Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,6,10 to less than 12 years,1,2,53,17,53,43.15092754489722,0.11764705882352941,0.028584414207217853,0.4842089940864362,,,,0,0,1,0,2.964638864559367,,0.00303038440068059,subgroup:460677643838889827
1,6,Mixed ages,2,4,275,7,261,56.84907245510279,0.5217698578731194,0.15210709801068706,1.7898164395050609,,,,0.5995585367163613,1,0.4387466777463971,0,1.0343741651464615,,0.3009612918983283,subgroup:460677646187175800
1,8,10 to less than 12 years,1,,54,,55,16.110840197297563,86.34,42.332710884971,130.347289115029,0,,,0,0,1,0,3.8453468465840257,,0.00012038203535172621,subgroup:465103111659836175
1,8,Mixed ages,2,,304,,292,83.88915980270241,65.42946384198893,35.16440283028521,95.69452485369266,724.511422435756,,,14.443465547162274,5,0.013024834249811712,65.38226934752267,4.237209124028296,,0.00002263153278534468,subgroup:465103133489877788
1,9,Male,1,,20,,20,25.249048557469404,36.89999999999998,18.603650646369317,55.19634935363064,0,,,0,0,1,0,3.9528470752104714,,0.00007722679550681562,subgroup:465103194016306093
1,9,Mixed,2,,335,,322,74.27104344853043,79.20353828418594,61.25528963747813,97.15178693089375,0,,,2.8787543138579315,4,0.5783162944081048,0,8.649093599091534,,5.191007385614312e-18,subgroup:465103210546582501
1,9,Not reported,3,,3,,5,0.4799079940001605,381.4799999999999,-0.7447936827981607,763.704793682798,0,,,8.496085099577106e-32,0,0,0,1.9561448476909444,,0.05044809333424309,subgroup:465103242060485626
1,10,Cyanocobalamin,1,,255,,242,80.1743974988141,48.62592882449774,-23.13643294534898,120.38829059434445,6021.5359025221,,,54.311706871037316,4,-7.483436093025375e-11,92.63510533834268,1.328064835943975,,0.18415668887706022,subgroup:465103378087531717
1,10,Not reported,2,,103,,105,19.825602501185916,168.25624242868227,-98.80798985827752,435.32047471564204,25999.76314533325,,,2.361937101990854,1,0.12432788541238549,57.661870032139895,1.234819700527751,,0.2168976372260677,subgroup:465103390582625479
1,12,10 to less than 12 years,1,,54,,55,36.93496514581836,-5.200000000000001,-7.073201556318852,-3.3267984436811497,0,,,0,0,1,0,5.440852152416994,,5.302630863395067e-8,subgroup:460681982203344434
1,12,Mixed ages,2,,73,,72,63.06503485418165,-3.0832662822313455,-5.3329294201452235,-0.8336031443174678,1.3622290264423098,,,1.6185705443725873,1,0.20329127692956905,38.21708893215811,2.6862203349804328,,0.007226541659048666,subgroup:460681988061214261
1,15,10 to less than 12 years,1,,54,,55,18.565081809762503,1,-2.0061903830326413,4.006190383032641,,,,0,0,1,0,0.6519760011216738,,0.5144166583186025,subgroup:460709815163584686
1,15,Mixed ages,2,,249,,249,81.43491819023748,-0.7505236186377102,-2.1858794650993953,0.6848322278239749,,,,1.802074031555231,2,0.40614830204693575,0,1.0248324592837148,,0.30544226209529235,subgroup:460709790511825069
1,16,Cyanocobalamin,1,,203,,204,58.67233742672657,-0.7957159366536636,-2.486733894666993,0.895302021359666,,,,2.4173844306084393,2,0.29858757917114487,17.265951799953744,0.9222696721671612,,0.3563879399394396,subgroup:460709908157071631
1,16,Not reported,2,,100,,100,41.327662573273415,0.09999999999999432,-1.9148582286874616,2.11485822868745,,,,0,0,1,0,0.09727552820511481,,0.9225075894905114,subgroup:460709915381498132
2,5,Less than 2 years,1,,269,,264,56.01597385303288,0.038407188666255886,-0.13140697968904322,0.208221357021555,,,,0,0,1,0,0.4432887270972373,,0.6575569098612715,subgroup:460711079943636663
