Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Álvarez 2022,2022,PUB,28428592,<p>Ineligible study population - The comparison was between two doses of ARA:DHA. There was no comparison with either a placebo or different enteral lipid.</p>
Andersen 2011,2011,PUB,28428594,<p>Ineligible study population - The population were not at risk of parenteral nutrition-associated liver disease and did not have parenteral nutrition-associated liver disease. The study population was older children.&nbsp;</p>
Arsenault 2019,2019,PUB,28428596,"<p>Ineligible study population - The oil supplementation was commenced on infants who were on full feeds. Since these infants were neither had nor were at risk for parenteral nutrition-associated cholestasis, this study was excluded.</p>"
Arun 2019,2019,PUB,28428598,<p>Ineligible study population - This study did not include infants at risk for parenteral nutrition associated liver disease since it included only those infants who were already on 100 ml/kg/d of feeds. This study excluded certain groups of infants who are at risk for parenteral nutrition associated liver disease such as necrotizing enterocolitis and those who did not achieve full feeds by day 21.</p>
Carlson 1987,1987,PUB,28428600,<p>Ineligible study population - Study participants were not at risk for parenteral nutrition-associated liver disease since they were much older and substantial amounts of oral feeds.</p>
Carlson 1991,1991,PUB,28428602,"<p>Ineligible study population - Study participants were not at risk for parenteral nutrition-associated liver disease, since they were much older and substantial amount of oral feeds.The at-risk population for parenteral nutrition-associated liver disease, such as necrotizing enterocolitis, was excluded.</p>"
Carlson 1992,1992,PUB,28428604,<p>Ineligible study population - The study population did not include subjects who either had parenteral nutrition-associated liver disease or were at risk for parenteral nutrition-associated liver disease.</p>
Clandinin 2005,2005,PUB,28428606,"<p>Ineligible study population - Study participants were not at risk for parenteral nutrition-associated liver disease, since they were much older and substantial amount of oral feeds. The at-risk population for parenteral nutrition-associated liver disease, such as necrotizing enterocolitis, was excluded.</p>"
Collins 2015,2015,PUB,28428608,"<p>Ineligible study design - In this randomized control trial, the intervention group was randomized to 3 different doses of docosahexaenoic acid. However, the control group was not part of the randomization. The control group was obtained from a reference group that was not part of the randomization.</p>"
Demmelmair 2001,2001,PUB,28428610,<p>Ineligible study population - Study participants were not at risk for parenteral nutrition-associated liver disease since they were much older and were on full enteral feeds.</p>
Ecevit 2014,2014,PUB,28428612,"<p>Incomplete data - In this conference abstract, there was no sufficient data regarding the type of the oil, outcomes measured.</p>"
Fewtrell 2004,2004,PUB,28428614,<p>Ineligible study population - The study population did not include participants with parenteral nutrition-associated liver disease or were at risk for parenteral nutrition-associated liver disease.</p>
Gianni 2018a,2018,PUB,28428616,<p>Ineligible study population - The study population included healthy full-term infants who neither had parenteral nutrition-associated liver disease nor were at risk for parenteral nutrition-associated liver disease.</p>
Gianni 2018b,2018,PUB,28428618,<p>Ineligible study population - The study population included healthy full-term infants who neither had parenteral nutrition-associated liver disease nor were at risk for parenteral nutrition-associated liver disease.</p>
Groh-Wargo 2005,2005,PUB,28428620,"<p>Ineligible study population - Infants were not risk for parenteral nutrition-associated liver disease nor have parenteral nutrition-associated liver disease. Infants at risk, such as necrotizing enterocolitis, were excluded from the study.</p>"
Henriksen 2008,2008,PUB,28428622,"<p>Ineligible study population - The study participants were neither were at risk for parenteral nutrition-associated liver disease, nor had parenteral nutrition-associated liver disease. This study included only those infants who were on 100 ml/kg/d of enteral feeds.</p>"
Hoffman 2008,2008,PUB,28428624,"<p>Ineligible study population - This study included only healthy full-term infants. The study participants were neither were at risk for parenteral nutrition-associated liver disease, nor had parenteral nutrition-associated liver disease.</p>"
Hørby Jørgensen 1998,1998,PUB,28428626,"<p>Ineligible study population -This study included only healthy full-term infants. The study participants were neither were at risk for parenteral nutrition-associated liver disease, nor had parenteral nutrition-associated liver disease.</p>"
Koletzko 2003,2003,PUB,28428628,"<p>Ineligible study population - Participants were not at risk for parenteral nutrition-associated liver disease, since they were on full enteral feeds at the time of enrollment.&nbsp;</p>"
Lapillonne 2000,2000,PUB,28428630,"<p>Ineligible study population - Participants were not at risk for parenteral nutrition-associated liver disease, since they were on full enteral feeds at the time of enrollment.</p>"
López-Alarcón 2006,2006,PUB,28428632,"<p>Ineligible study population -Since, this study included infants with a functional gastrointestinal tract in their fourth week of life following concerns of sepsis after a surgical intervention, the study population was deemed different from the eligibility criteria for this review.</p>"
López-Alarcón 2012,2012,PUB,28428634,"<p>Ineligible study population -Since, this study included infants with a functional gastrointestinal tract in their fourth week of life following concerns of sepsis, the study population was deemed different from the eligibility criteria for this review.</p>"
Martinez 2002,2002,PUB,28428636,"<p>Ineligible study population - Participants were not at risk for parenteral nutrition-associated liver disease, since they were on full enteral feeds at the time of enrollment.</p>"
NCT01157780,2011,PUB,28428638,<p>Insufficient data — Study results not available.</p>
NCT02420496,2016,PUB,28428640,<p>Unavailable data - This protocol was withdrawn from recruitment and no results were available.</p>
van Wezel-Meijler 2002,2002,PUB,28428642,<p>Ineligible study population - The study population did not include participants who either had parenteral nutrition-associated liver disease or were at risk for parenteral nutrition-associated liver disease.</p>
