Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,1,"Vaginal misoprostol (≤ 50 µg) versus Placebo, no treatment, or expectant management",1,116,173,44,49,100.00000000000003,0.7467157120336311,0.6486554258072252,0.8596002321324941,0,,,0,0,1,0,4.066176715833492,,0.000047790702560925196,subgroup:447426191857576813
1,1,"Controlled-release dinoprostone vaginal pessary versus Placebo, no treatment, or expectant management",2,28,57,52,56,100,0.5290148448043185,0.4022257271052995,0.6957702781405449,0,,,0,0,1,0,4.554639362516201,,0.000005247552628293758,subgroup:447426236351015841
1,1,Oral misoprostol (≤ 50 µg) versus Vaginal misoprostol (≤ 50 µg),3,281,596,223,602,100,1.316559045489953,0.9957475836145999,1.7407300291599737,0.07152863975547027,,,17.430328593360635,5,0.003752005967499139,71.3143675219953,1.9300575690561859,,0.053599705067142206,subgroup:447426281486707991
1,1,Sublingual or buccal misoprostol (≤ 50 µg) versus Vaginal misoprostol (≤ 50 µg),4,248,556,221,562,99.99999999999999,1.113824927270566,0.9302991538088916,1.3335559465252782,0.018216850454225827,,,8.346803797105078,5,0.13813001427385696,40.09683081643599,1.1734806033499434,,0.24060315133098897,subgroup:447426525965610829
1,1,Vaginal dinoprostone (tablet or gel) versus Vaginal misoprostol (≤ 50 µg),5,467,962,410,951,100.00000000000003,1.1941362724384477,0.9927874904810866,1.4363209154279286,0.028347837904418745,,,12.338962133142573,4,0.015000900456441535,67.58236262630258,1.8831344211717624,,0.059682153507599,subgroup:447426548644212693
1,1,Controlled-release dinoprostone vaginal pessary versus Vaginal misoprostol (≤ 50 µg),6,131,264,126,304,100,1.2049750307823797,1.007861345146515,1.4406394607761464,0,,,2.85331905262364,3,0.4147978144316036,0,2.045883799449881,,0.04076780462678038,subgroup:447426549769596936
1,1,Oxytocin (alone) versus Vaginal misoprostol (≤ 50 µg),7,31,55,15,55,100,2.066666666666667,1.2658028418452125,3.374230938591462,0,,,0,0,1,0,2.9023298214991518,,0.003703983440169344,subgroup:447426550429413385
1,1,Nitric oxide donors versus Vaginal misoprostol (≤ 50 µg),8,47,65,26,65,100,1.8076923076923077,1.2949346389661276,2.5234875807314143,0,,,0,0,1,0,3.478509050467217,,0.000504211411142565,subgroup:447426551197757450
1,1,Balloon catheters versus Vaginal misoprostol (≤ 50 µg),9,48,123,51,120,100,0.9182209469153515,0.6778611242937573,1.2438089117923021,0,,,0,0,1,0,0.5509757034915482,,0.5816503326541514,subgroup:447426551920750605
1,1,Balloon catheters plus oxytocin versus Vaginal misoprostol (≤ 50 µg),10,99,246,102,239,100,0.9415805160920752,0.6821277488517048,1.299718226940157,0.03051322647444934,,,2.2829331805463324,1,0.13080440611680166,56.1967030607226,0.36601036859590036,,0.7143573393468166,subgroup:447426552713736206
