Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Failure to achieve vaginal delivery within 24 hours,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],50,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:447425935516119699
1,2,Caesarean section due to any causes,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429418097349952
1,3,Caesarean section due to non‐reassuring fetal status,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:447426997371565629
1,4,Uterine hyperstimulation with changes in the heartbeat of the baby before birth,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:447428828401274077
1,5,Perinatal death,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429155869987656
1,6,Severe neonatal morbidity,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429387606857004
1,7,Maternal not satisfied with the care related to induction of labour,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429796697250701
1,8,Time from induction of labour to delivery,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Continuous,false,,,,,,,Intervention,Comparator,IV,Mean Difference,Hours,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429892151221375
1,9,Time from induction of labour to vaginal delivery,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Continuous,false,,,,,,,Intervention,Comparator,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447429957256780978
1,10,Blood loss 500 mL or more within 24 hours of delivery,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430320479838294
1,11,"Blood loss 1,000 mL or more within 24 hours of delivery",Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430339881640060
1,12,Mean volume of blood loss (mL),Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Continuous,false,,,,,,,Intervention,Comparator,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430353026064537
1,13,Uterine scar dehiscence or rupture,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430366709981349
1,14,Oxytocin augmentation,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430387669704973
1,15,Admission to intensive care unit&nbsp;,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430404878147881
1,16,Pain related to induction of labour,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430427560419644
1,17,Use of mechanical ventilation for infants,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430456798126431
1,18,Admission to the neonatal intensive care unit,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430494175404436
1,19,A 5‐minute Apgar score of less than 7,Direct comparisons: women without previous caesarean section and a mix of women with or without previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447430516261298615
2,1,Caesarean section due to any causes,Direct comparisons: women with previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447450217179346352
2,2,Caesarean section due to non-reassuring fetal status,Direct comparisons: women with previous caesarean section,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention,Comparator,IV,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447450207945323893
2,3,Time from induction of labour to delivery,Direct comparisons: women with previous caesarean section,Custom input,#N/A,Continuous,false,,,,,,,Intervention,Comparator,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447450227223655902
2,4,Time from induction of labour to vaginal delivery,Direct comparisons: women with previous caesarean section,Custom input,#N/A,Continuous,false,,,,,,,Intervention,Comparator,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,STUDY,Favours [Intervention],Favours [Comparator],100,false,,,,,,,,,,,,,,,,,,,,,,,,analysis:447450235614623231
