Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Serious adverse events,Orlistat versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Orlistat,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Orlistat,Favours Placebo,10,true,104,720,76,756,1.4491605648814485,1.0998823045944437,1.9093555137991514,,,0,,,0.18466627330408522,1,0.6673934184864018,0,2.636568263081479,,0.008374934755925151,,,,,analysis:412871854475643830
1,2,All adverse events,Orlistat versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Orlistat,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Orlistat,Favours Placebo,10,true,642,675,615,711,1.1309641272907558,0.933701757888364,1.3699019482530217,,,0.01814528949777775,,,18.717092104056366,1,0.000015161884961978345,94.65728974115973,1.2584930232948448,,0.2082135334673092,,,,,analysis:412871854496091070
1,3,Change in body weight from baseline to endpoint (6 to 12 months follow-up),Orlistat versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Orlistat,Placebo,IV,Mean Difference,kg,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Orlistat,Favours Placebo,10,true,,1023,,1057,-3.7420354394734336,-4.700342656767438,-2.7837282221794295,,,0.6287292621121723,,,9.483268366447874,3,0.02351009693768702,68.36533688518082,7.653343894195392,,1.958193164919612e-14,,,,,analysis:396532457177038179
1,4,Change in systolic blood pressure from baseline to endpoint (6 to 12 months follow-up),Orlistat versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Orlistat,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Orlistat,Favours Placebo,10,true,,1015,,1043,-2.456889290789626,-4.010416092180931,-0.9033624893983216,,,0.9170914871351188,,,4.722092648032245,3,0.19331528278304388,36.46884498866964,3.0996662044306182,,0.0019373884546177588,,,,,analysis:396532457167600983
1,5,Change in diastolic blood pressure from baseline to endpoint (6 to 12 months follow-up),Orlistat versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Orlistat,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Orlistat,Favours Placebo,10,true,,1015,,1043,-1.921982678479393,-2.992311783264129,-0.8516535736946571,,,0.5580470997900017,,,5.7043071863384505,3,0.1269169669390996,47.40816190290627,3.5194939686210422,,0.00043237086682085306,,,,,analysis:396532457172319581
2,1,Serious adverse events,Phentermine/topiramate versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Phen/Top,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Phen/Top,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:412871854528859088
2,2,All adverse events,Phentermine/topiramate versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Phen/Top,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Phen/Top,Favours Placebo,2,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:412871854541179860
2,3,Change in body weight from baseline to endpoint (13 months follow-up),Phentermine/topiramate versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Phen/Top LD,Placebo,IV,Mean Difference,%,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Phen/Top LD,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432480412001
2,4,Change in systolic blood pressure from baseline to endpoint (13 months follow-up),Phentermine/topiramate versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Phen/Top LD,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Phen/Top LD,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432480411993
2,5,Change in diastolic blood pressure from baseline to endpoint (13 months follow-up),Phentermine/topiramate versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Phen/Top LD,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Phen/Top LD,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432480411997
