Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Antinori 2008,2008,PUB,3378804,<p>This study did not meet our inclusion criteria.</p>
Balaban 2011,2011,PUB,3378807,<p>This study did not meet our inclusion criteria.</p>
Baldini 2020,2020,PUB,29493905,"<p>Authors confirmed the study was not registered, and they were unable to provide further data as it had been deleted.&nbsp;</p>"
Battista 2017,2017,PUB,29493908,<p>This study was retracted.</p>
Berkovitz 2006,2006,PUB,3378809,<p>Not an RCT (couples were matched)</p>
Blanchard 2010,2010,PUB,3378811,<p>This study did not analyse a relevant intervention.</p>
Brahmbhatt 2021,2021,PUB,29493910,<p>This study did not meet the inclusion criteria.</p>
Casciani 2014,2014,PUB,11772597,<p>Not prospective or randomised</p>
Charehjooy 2014,2014,PUB,11772599,<p>Not randomised</p>
Figueira 2011,2011,PUB,3378813,<p>This study did not meet our inclusion criteria.</p>
Fleming 2007,2007,PUB,3378816,<p>Not an RCT (observational study)</p>
Ghosh 2007,2007,PUB,11772601,<p>Not an RCT (observational study)</p>
Gianaroli 2008,2008,PUB,3378818,<p>This study was pseudo-randomised.</p>
Gianaroli 2010,2010,PUB,3378820,<p>This study was pseudo-randomised.</p>
Han 2009,2009,PUB,29493912,<p>This study was not truly randomised. &nbsp;&nbsp;</p>
Hasanen 2023,2023,PUB,29493914,<p>Authors confirmed the trial was retrospectively registered (NCT05494216) and they were unable to provide any further documentation to verify the study. &nbsp;</p>
Jin 2015,2015,PUB,11772603,<p>Pseudo-randomised (randomised based on odd or even number date of retrieval)</p>
Kim 2014,2014,SOUGHT,11772605,<p>Comparison made with IMSI (subject of a separate Cochrane Review)</p>
Knez 2011,2011,PUB,3378824,<p>This study did not meet our inclusion criteria.</p>
Knez 2012,2012,PUB,3378826,<p>This study did not meet our inclusion criteria.</p>
Liu 2017,2017,PUB,11772607,<p>Outcome measures were not relevant to this review.</p>
Mahmoud 2011,2011,PUB,3378828,<p>This study did not meet our inclusion criteria.</p>
NCT03659812 2018,2018,PUB,29493928,<p>This study had the wrong patient population.</p>
NCT05978947 2023,2023,PUB,29493930,<p>This study had the wrong patient population.</p>
Norozi-Hafshejani 2022,2022,PUB,29493932,<p>This study was the wrong study design.</p>
Parmegiani 2010b,2010,SOUGHT,3378830,"<p>Results were 'per-treatment randomised' rather than 'per-woman or couple randomised'. We contacted the study authors to adjust results, but received no reply.</p>"
Parmegiani 2010c,,PUB,3378832,<p>This study was not an RCT.</p>
Salehi 2023,2023,PUB,29493934,<p>This study was the wrong study design.</p>
San Carchenilla 2013,2013,SOUGHT,11772609,<p>Not randomised (email sent for further information)</p>
Setti 2011,2011,PUB,3378834,<p>This study did not meet our inclusion criteria.</p>
Setti 2012a,2012,PUB,3378836,<p>This study did not meet our inclusion criteria.</p>
Setti 2012b,2012,PUB,3378839,<p>This study did not meet our inclusion criteria.</p>
Stimpfel 2017,2017,PUB,11772611,<p>Not randomised</p>
West 2022,2022,PUB,29493938,<p>This study was the wrong study design.&nbsp;</p>
