Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,3,"Surgical complications, serious",,,SUBGROUP_AND_OVERALL,Heer 2022,2022,,,,,4,209,,,3,217,,,46.17504869518467,1.3843700159489634,0.31361128077899464,6.111005753039535,
1,3,"Surgical complications, serious",,,SUBGROUP_AND_OVERALL,Rolevich 2017,2017,,,,,3,252,,,6,273,,,53.82495130481533,0.5416666666666666,0.13691548485802182,2.142948097375761,
1,4,Time to death from bladder cancer,,,SUBGROUP_AND_OVERALL,Heer 2022,2022,0.122218,0.458932,,,,209,,,,217,,,58.68103245673091,1.1300004150216747,0.45965816222434874,2.7779359595619026,
1,4,Time to death from bladder cancer,,,SUBGROUP_AND_OVERALL,Rolevich 2017,2017,-0.597837,0.548304,,,,191,,,,216,,,41.318967543269096,0.5500000004155913,0.1877783328162824,1.610941986331878,
1,5,Any adverse events,,,SUBGROUP_AND_OVERALL,Heer 2022,2022,,,,,3,209,,,5,217,,,1.6611268641317183,0.6229665071770335,0.15077638369913635,2.5739260986571595,
1,5,Any adverse events,,,SUBGROUP_AND_OVERALL,Schumacher 2010,2010,,,,,39,141,,,24,138,,,13.908070621629193,1.5904255319148937,1.0129992627733344,2.4969942876777345,
1,5,Any adverse events,,,SUBGROUP_AND_OVERALL,Stenzl 2010,2010,,,,,202,365,,,193,361,,,57.19586466290741,1.035162183263539,0.9060225457874946,1.1827086981898005,
1,5,Any adverse events,,,SUBGROUP_AND_OVERALL,Stenzl 2011,2011,,,,,61,187,,,62,183,,,27.234937851331665,0.9628255994479903,0.7213196554216105,1.2851904533372684,
1,6,"Surgical complications, non-serious",,,SUBGROUP_AND_OVERALL,Heer 2022,2022,,,,,44,209,,,51,217,,,0,0.8957688338493293,0.6276292061428761,1.2784647301979208,
2,1,Time to disease recurrence,Primary bladder cancer,1,SUBGROUP_AND_OVERALL,Geavlete 2012,2012,-0.430783,0.258796,,,,74,,,,70,,,8.084963257383855,0.6499999454600975,0.3914044559879949,1.0794458842622083,
2,1,Time to disease recurrence,Primary bladder cancer,1,SUBGROUP_AND_OVERALL,Stenzl 2010,2010,-0.162519,0.160082,,,,101,,,,123,,,21.130421802578404,0.8499999400731107,0.6210933075865022,1.1632711048390527,
2,1,Time to disease recurrence,Recurrent bladder cancer,2,SUBGROUP_AND_OVERALL,Geavlete 2012,2012,-0.356675,0.20575,,,,51,,,,44,,,12.791264569981514,0.6999999607571138,0.4676956150670187,1.047689842013477,
2,1,Time to disease recurrence,Recurrent bladder cancer,2,SUBGROUP_AND_OVERALL,Stenzl 2010,2010,-0.198451,0.096629,,,,170,,,,157,,,57.99335037005623,0.819999949753549,0.678520653749242,0.9909792927899859,
3,1,Time to disease recurrence,solitary bladder cancer,1,SUBGROUP_AND_OVERALL,Geavlete 2012,2012,-0.415515,0.328564,,,,43,,,,51,,,16.679487224725904,0.6600002930147645,0.346633030850002,1.256661506583519,
3,1,Time to disease recurrence,solitary bladder cancer,1,SUBGROUP_AND_OVERALL,O’Brien 2013,2013,-0.462035,0.548983,,,,38,,,,48,,,5.974545279544451,0.6300002895458985,0.21480558663887953,1.8477190050702226,
3,1,Time to disease recurrence,solitary bladder cancer,1,SUBGROUP_AND_OVERALL,Riedl 2001,2001,-0.71335,0.433686,,,,19,,,,31,,,9.573524294137949,0.4899999450599608,0.209431420721912,1.1464370786920983,
