Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Time to disease recurrence,Blue light versus white light,Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favors BL,Favors WL,100,true,,1691,,1729,0.6790572881786882,0.5618656968126158,0.8206922103350593,,,0.09764009009412637,,,60.878348479586094,15,1.7782482530925847e-7,75.36069822092851,4.00439734791358,,0.00006217578218023294,,,,,analysis:421382837149753399
1,2,Time to disease progression,Blue light versus white light,Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favors BL,Favors WL,100,true,,1302,,1324,0.7044127900065091,0.549379010947966,0.9031968255732129,,,0,,,8.32265919572488,9,0.5019855087590153,0,2.7627499816529624,,0.005731665217560415,,,,,analysis:421382837162074184
1,3,"Surgical complications, serious",Blue light versus white light,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favors BL,Favors WL,100,true,7,461,9,490,0.8354196826119215,0.3045843888155267,2.291404522764647,,,0,,,0.8261632255198524,1,0.36338438913306725,0,0.34930395995188235,,0.726861126507744,,,,,analysis:421382837166268498
1,4,Time to death from bladder cancer,Blue light versus white light,Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,,400,,433,0.8392041373974192,0.41885713710683453,1.6813933005642339,,,0.0036116729924999405,,,1.0141286322406566,1,0.3139160540686664,1.3931795032194552,0.494419785816357,,0.6210097452280501,,,,,analysis:421584204226226025
1,5,Any adverse events,Blue light versus white light,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,305,902,284,899,1.068355537138268,0.8881437397178208,1.2851338163984978,,,0.01091155258293685,,,4.191048901036206,3,0.24155972432283612,28.41887387049404,0.7014852032509553,,0.4830002706136144,,,,,analysis:421382837166268502
1,6,"Surgical complications, non-serious",Blue light versus white light,Custom input,#N/A,Dichotomous,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favors BL,Favors WL,100,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:432701845182936993
2,1,Time to disease recurrence,Blue light versus white light—subgroup analysis:&nbsp;primary versus recurrent bladder cancer,Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,,396,,394,0.794627979530941,0.6879028928918246,0.9179109906036127,,,0,,,1.2652682029949665,3,0.7373966327151062,0,3.1239704437034357,,0.001784283788560461,0.003603947511182334,1,0.9521294833658205,0,analysis:421601634205041032
3,1,Time to disease recurrence,Blue light versus white light—subgroup analysis:&nbsp;solitary versus multiple lesions of bladder cancer,Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,,239,,232,0.5847740472664211,0.4495393122825528,0.7606913945301741,,,0,,,3.6802698143306074,5,0.5963030487338817,0,3.9983654296151747,,0.0000637814267222009,0.10957097911351425,1,0.7406331380286131,0,analysis:421422317473414758
4,1,Time to disease recurrence,Blue light versus white light—subgroup analysis of 5-ALA versus HAL (post hoc),Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,,1482,,1512,0.660696325310518,0.541007758929762,0.8068639073538578,,,0.10147985356837529,,,57.6224057480299,14,3.0486591529044205e-7,75.70389535414589,4.064473764742678,,0.00004814095323463133,1.4711437552538107,1,0.22516564138274386,32.02567754315255,analysis:423262604614294619
4,2,Time to disease progression,Blue light versus white light—subgroup analysis of 5-ALA versus HAL (post hoc),Custom input,#N/A,Contrast level,true,,,,,,,Intervention: blue light transurethral resection of bladder tumors,Control: white light transurethral resection of bladder tumors,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BL,Favours WL,100,true,,1093,,1107,0.7745010277133743,0.6273618413617637,0.9561497087980727,,,0,,,7.635546869741329,8,0.4698555699663889,0,2.3770887282994297,,0.017449890087510134,0.027288717974188772,1,0.8687921220914414,0,analysis:428565355221498344
