Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Bergstrom 2013,2013,,,,,8,321,,,9,295,,,15.11381501260832,0.8168916580131533,0.31936868386051004,2.0894721826355993,,Low risk,"<p><b>Quote:&nbsp;</b></p><p>“Two sets of numbered envelopes were used, one each for residents at high and moderate risk of developing PrUs. Protocol allocation was conducted by selecting a sealed envelope from numerically ordered risk stratification envelopes. Each envelope contained another envelope with the concealed repositioning frequency""</p>",Some concerns,<p><b>Quote:</b></p><p><b>“</b>The recruiter prepared a bedside folder containing a fixed indicator dial for the 2- 3- or 4- hourly repositioning dial”&nbsp;</p><p>Carers were aware of the repositioning intervention assigned</p>,Low risk,<p>Outcome data were available for nearly all randomised participants</p>,Low risk,<p><b>Quote:</b></p><p>“Licensed nurses blinded to repositioning schedule assessed the outcome”</p>,Some concerns,<p>No a priori protocol registered</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain</p>"
1,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Defloor 2005,2005,,,,,39,63,,,30,66,,,47.21493177886479,1.361904761904762,0.9813889068607219,1.889958779371139,,Low risk,"<p><b>Quote:</b></p><p>""Afterwards a sealed envelope containing all the room numbers in a random order was opened. The first five patients on that list who satisfied the inclusion criteria entered the study”</p>",Some concerns,"<p><b>Quote:</b></p><p>“Using computerised randomisation tables, the prevention schemes were randomly allocated to the participating 32 wards. Each ward applied the prevention scheme selected for a period of 4 weeks""</p><p>“It was impossible to blind the nurses for the preventive care""&nbsp;</p>",Some concerns,"<p><b>Quote:</b></p><p>""Of the 838 included patients, 761 patients completed the 4-week study period”</p><p>“The data of three patients were incomplete and it could not be guaranteed that the protocol was strictly followed. Those patients were excluded. An analysis including those patients did not change the results”</p>",High risk,"<p><b>Quote:</b></p><p>“All nurses were instructed in observing pressure ulcers. The nurses recorded the condition of the skin of each patient at all pressure points (sacrum, heels, shoulders, elbows, trochanters, malleoli, ischium) daily using the classification of the AHCPR”</p>",Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
1,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Manzano 2014,2014,,,,,17,165,,,22,164,,,35.55641772259857,0.7680440771349862,0.4236778285862048,1.392311951726567,,Low risk,"<p><b>Quote:</b></p><p>“Eligible patients were randomly assigned (1:1 ratio) to groups for turning every 2 or 4 h. Randomization was done in blocks of six in order to balance the number of patients in the two groups. The allocation of patients was concealed by using prenumbered opaque, sealed envelopes”</p>",Low risk,"<p><b>Quote:</b></p><p>“...the impossibility of blinding the nursing staff and the patients themselves to the turning schedule of the patients, increasing the risk of bias, although the five independent PU evaluators were blinded to the allocation of the patients”</p>",Low risk,<p>Outcome data available for all except one participant</p>,Low risk,"<p><b>Quote:&nbsp;</b></p><p>Using the European Pressure Ulcer Advisory Panel classification, “the presence of a PU was evaluated by five study nurses (PU evaluators), who took part in a group training program on PU recognition before the trial to maximize the consistency and interrater reliability of the data collection”</p><p>“A kappa value of 0.95 (95 % CI 0.91–0.98) was obtained for the inter-rater reliability of PU (at least grade II) detection by the five PU evaluators”</p>",Some concerns,<p>No a priori protocol registered</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain</p>"
1,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Tarigan 2021,2021,,,,,0,13,,,1,17,,,2.1148354859283187,0.42857142857142855,0.018858882979292998,9.739360999770135,,Low risk,"<p><b>Quotes:</b></p><p>“We performed randomisation by<b> </b>drawing lots to allocate participants into three repositioning schedules blinded randomly by the principal investigator”&nbsp;</p><p>“Participants who met the inclusion criteria were recruited and divided into one of three repositioning schedules”&nbsp;</p><p>“Statistical analysis confirmed no difference between groups relating to demographic characteristics, except religion (p=0.04), sex (p=0.01) and working status (p=0.02)""</p>",Some concerns,"<p><b>Quote:</b></p><p><b>“</b>Blinding was also not possible, due to the limited characteristics of interventions and resources”&nbsp;</p>",High risk,<p>Outcome data not available for a large number of participants: Number of excluded participants: Group 1 = 9/13 (69%); Group 2 = 8/14 (57%); Group 3 = 12/17 (70%)</p>,High risk,<p>The sacral skin was observed and recorded daily by the principal and co-investigator</p>,Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
2,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Bergstrom 2013,2013,,,,,8,321,,,2,326,,,31.192106094199374,4.062305295950155,0.869311431935889,18.98321327807146,,Low risk,"<p><b>Quote:&nbsp;</b></p><p>“Two sets of numbered envelopes were used, one each for residents at high and moderate risk of developing PrUs. Protocol allocation was conducted by selecting a sealed envelope from numerically ordered risk stratification envelopes. Each envelope contained another envelope with the concealed repositioning frequency""</p>",Some concerns,<p><b>“</b>The recruiter prepared a bedside folder containing a fixed indicator dial for the 2- 3- or 4- hourly repositioning dial”&nbsp;</p><p>Carers were aware of the repositioning intervention assigned</p>,Low risk,<p>Outcome data were available for nearly all randomised participants</p>,Low risk,<p>“Licensed nurses blinded to repositioning schedule assessed the outcome”</p>,Some concerns,<p>No a priori protocol registered</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
2,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Defloor 2005,2005,,,,,39,63,,,40,58,,,53.70968614496283,0.8976190476190476,0.6924733049391147,1.1635393724229823,,Low risk,"<p><b>Quote:</b></p><p>""Afterwards a sealed envelope containing all the room numbers in a random order was opened. The first five patients on that list who satisfied the inclusion criteria entered the study”</p>",Some concerns,"<p>“Using computerised randomisation tables, the prevention schemes were randomly allocated to the participating 32 wards. Each ward applied the prevention scheme selected for a period of 4 weeks""</p><p>“It was impossible to blind the nurses for the preventive care""&nbsp;</p>",Some concerns,"<p>""Of the 838 included patients, 761 patients completed the 4-week study period”</p><p>“The data of three patients were incomplete and it could not be guaranteed that the protocol was strictly followed. Those patients were excluded. An analysis including those patients did not change the results”</p>",High risk,"<p>“All nurses were instructed in observing pressure ulcers. The nurses recorded the condition of the skin of each patient at all pressure points (sacrum, heels, shoulders, elbows, trochanters, malleoli, ischium) daily using the classification of the AHCPR”</p>",Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
2,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Tarigan 2021,2021,,,,,0,13,,,3,14,,,15.098207760837793,0.15306122448979592,0.008658646314224033,2.705704516863066,,Low risk,"<p><b>Quotes:</b></p><p>“We performed randomisation by<b> </b>drawing lots to allocate participants into three repositioning schedules blinded randomly by the principal investigator”&nbsp;</p><p>“Participants who met the inclusion criteria were recruited and divided into one of three repositioning schedules”&nbsp;</p><p>“Statistical analysis confirmed no difference between groups relating to demographic characteristics, except religion (p=0.04), sex (p=0.01) and working status (p=0.02)""</p>",Some concerns,"<p><b>“</b>Blinding was also not possible, due to the limited characteristics of interventions and resources”&nbsp;</p>",High risk,<p>Outcome data not available for a large number of participants: Number of excluded participants: Group 1 = 9/13 (69%); Group 2 = 8/14 (57%); Group 3 = 12/17 (70%)</p>,High risk,<p>The sacral skin was observed and recorded daily by the principal and co-investigator</p>,Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
3,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Bergstrom 2013,2013,,,,,2,326,,,9,295,,,31.185590710974694,0.20109066121336058,0.0438028068936477,0.923170383245253,,Low risk,"<p><b>Quote:&nbsp;</b></p><p>“Two sets of numbered envelopes were used, one each for residents at high and moderate risk of developing PrUs. Protocol allocation was conducted by selecting a sealed envelope from numerically ordered risk stratification envelopes. Each envelope contained another envelope with the concealed repositioning frequency""</p>",Some concerns,<p><b>“</b>The recruiter prepared a bedside folder containing a fixed indicator dial for the 2- 3- or 4- hourly repositioning dial”&nbsp;</p><p>Carers were aware of the repositioning intervention assigned</p>,Low risk,<p>Outcome data were available for nearly all randomised participants</p>,Low risk,<p>“Licensed nurses blinded to repositioning schedule assessed the outcome”</p>,Some concerns,<p>No a priori protocol registered</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
3,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Defloor 2005,2005,,,,,40,58,,,30,66,,,45.19995927678343,1.5172413793103448,1.1065214914211785,2.080412735711911,,Low risk,"<p><b>Quote:</b></p><p>""Afterwards a sealed envelope containing all the room numbers in a random order was opened. The first five patients on that list who satisfied the inclusion criteria entered the study”</p>",Some concerns,"<p>“Using computerised randomisation tables, the prevention schemes were randomly allocated to the participating 32 wards. Each ward applied the prevention scheme selected for a period of 4 weeks""</p><p>“It was impossible to blind the nurses for the preventive care""&nbsp;</p>",Some concerns,"<p>""Of the 838 included patients, 761 patients completed the 4-week study period”</p><p>“The data of three patients were incomplete and it could not be guaranteed that the protocol was strictly followed. Those patients were excluded. An analysis including those patients did not change the results”</p>",High risk,"<p>“All nurses were instructed in observing pressure ulcers. The nurses recorded the condition of the skin of each patient at all pressure points (sacrum, heels, shoulders, elbows, trochanters, malleoli, ischium) daily using the classification of the AHCPR”</p>",Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
3,1,Pressure injury occurrence (category/stage 1 to 4),,,SUBGROUP_AND_OVERALL,Tarigan 2021,2021,,,,,3,14,,,1,17,,,23.614450012241875,3.642857142857143,0.4244252561563532,31.266773055505073,,Low risk,"<p><b>Quotes:</b></p><p>“We performed randomisation by<b> </b>drawing lots to allocate participants into three repositioning schedules blinded randomly by the principal investigator”&nbsp;</p><p>“Participants who met the inclusion criteria were recruited and divided into one of three repositioning schedules”&nbsp;</p><p>“Statistical analysis confirmed no difference between groups relating to demographic characteristics, except religion (p=0.04), sex (p=0.01) and working status (p=0.02)""</p>",Some concerns,"<p><b>“</b>Blinding was also not possible, due to the limited characteristics of interventions and resources”&nbsp;</p>",High risk,<p>Outcome data not available for a large number of participants: Number of excluded participants: Group 1 = 9/13 (69%); Group 2 = 8/14 (57%); Group 3 = 12/17 (70%)</p>,High risk,<p>The sacral skin was observed and recorded daily by the principal and co-investigator</p>,Some concerns,<p>No a priori protocol registered</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result</p>
