Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Abrams 2003,2003,PUB,27862600,"<p>Ineligible comparison group. Quasi-cluster randomised trial in Botswana. Schools with children, aged 5-11 years, were assigned to a 1) micronutrient fortified beverage (β-carotene 2400 µg, riboflavin 0.4 mg, niacin 2.7 mg, pyridoxine 0.5 mg, folic acid 140 µg, cyanocobalamin 1 µg, ascorbic acid 60 mg, dl-α-tocopherol 7.5 mg, tricalcium phosphate 120 mg, ferrous bisyglycinate chelate 7 mg, potassium iodide 60 µg, zinc gluconate 3.75 mg), or 2) non-fortified beverage (isoenergetic placebo drink; same beverage without micronutrients). &nbsp;</p>"
Adams 2017,2017,PUB,27862602,"<p>Ineligible comparison group. Cluster randomised trial with a mixed methods approach in Bangladesh. Schools with children, aged 6-11 years, were randomly assigned a 1) fortified biscuit (multiple micronutrients with vitamin B<sub>12</sub>) or 2) no biscuit (no intervention).&nbsp;</p>"
Adu-Afarwuah 2007,2007,PUB,27862604,"<p>Ineligible comparison group. Randomised controlled trial in Ghana. Infants, 5 months of age, were randomly assigned to 1) sprinkles powder (β-carotene 300 μg RE, vitamin C 50 mg, vitamin D<sub>3</sub> 7.5 μg, folic acid 150 μg, iron 12.5 mg, zinc 5 mg), 2) crushable Nutritabs tablets (multiple micronutrients with vitamin B<sub>12</sub> 0.5 μg), or 3) energy-dense Nutributter (multiple micronutrients with vitamin B<sub>12</sub> 0.5 μg).&nbsp;</p>"
Ahmed 2012,2012,PUB,27862606,"<p>Ineligible comparison group. Randomised double-blind controlled trial in Bangladesh. Girls, aged 11–17 years, were assigned to 1) multiple micronutrients once-weekly (vitamin A 1600 mg, &nbsp;vitamin D 10 mg, vitamin E 20 mg, vitamin C 140 mg, vitamin B<sub>1</sub> 2.8mg, vitamin B<sub>2</sub> 2.8 mg, niacin 36 mg, vitamin B<sub>6</sub> 3.8 mg, vitamin B<sub>12 </sub>5.2 mg, folic acid 400 mg, iron 60 mg, zinc 30 mg, copper 4 mg, selenium 130 mg, iodine 300 mg), 2) same multiple micronutrients twice-weekly or 3) iron and folic acid (60 mg iron and 400 μg folic acid).</p>"
Albelbeisi 2020,2020,PUB,27862608,"<p>Ineligible comparison group. Randomised controlled trial in Palestine. Infants, 6 months of age, were randomly assigned to 1) micronutrient powder (vitamin A 400 μg, vitamin C 30 mg, vitamin D 5 μg, vitamin E 5 mg, α-TE Vitamin B<sub>1</sub> 0.5 mg, vitamin B<sub>2 </sub>0.5 mg, vitamin B<sub>6</sub> 0.5 mg, vitamin B<sub>12</sub> 0.9 μg, folic acid 90 μg, niacin 6 mg, iron (fumarate) 10 mg, zinc 4.1 mg, copper 0.56 mg, selenium 17 μg, and Iodine 90 μg) plus National Micronutrient Supplement (NMS) (vitamin A 300–600 μg, vitamin D 10 μg, iron sulphate 2 mg/kg), or 2) NMS alone.&nbsp;</p>"
Anorve-Valdez 2018,2018,PUB,27862610,"<p>Ineligible comparison group. Randomised controlled trial in Mexico. Children, 6-12 months, were randomly assigned to a 1) milk-based fortified food (sodium 24.5 mg, Iron 10 mg, Zinc 10 mg, Vitamin A 400 μg, Vitamin E 6 mg, Vitamin C 50 mg, Vitamin B<sub>2</sub> 0.8 mg, Vitamin B<sub>12</sub> 0.7 μg, Folic acid 50 μg), 2) micronutrient powders (Iron (mg ) 10.0, Zinc 10 mg, Vitamin A 400 μg, Vitamin E 6 mg, Vitamin C 50 mg, Vitamin B<sub>2</sub> 0.8 mg, Vitamin B<sub>12</sub> 0.7 μg, Folic acid 50 μg), or 3) micronutrient syrup (Iron 10 mg, Zinc 10 mg, Vitamin A 400 μg, Vitamin E 6 mg, Vitamin C 50 mg, Vitamin B<sub>2</sub> 0.8 mg, Vitamin B<sub>12</sub> 0.7 μg, Folic acid 50.0 μg).&nbsp;</p>"
Ash 1999,1999,PUB,27862613,"<p>Ineligible comparison group. Randomised, double-blind placebo-controlled trial in Tanzania. Children, aged 6-11 years, were randomly assigned to a 1) fortified beverage (ferrous glycinate 5.4 mg, Vitamin A retinyl palmitate 526 µg RE, Iodine 45 µg, Vitamin B<sub>2</sub> 0.6 mg, Vitamin B<sub>6</sub> 0.7 mg, Vitamin B<sub>12</sub> 3 µg, Folic acid 140 µg, Zinc 5.25 mg, Vitamin C 72 mg), or 2) non-fortified beverage (isoenergetic placebo drink; same beverage without micronutrients).&nbsp;</p>"
Bjørke-Monsen 2011,2011,PUB,27862615,"<p>Ineligible route of administration (injection). Double-blind randomised controlled trial in Norway. Infants, aged less than 8 months, were randomly assigned &nbsp;to receive 1) intramuscular vitamin B<sub>12</sub> (400 µg) or 2) no intervention.&nbsp;</p>"
Black 2021,2021,PUB,27862620,"<p>Ineligible comparison group. Cluster-randomised controlled trial in India. Preschools with children, aged 29-49 months, were randomly assigned to 1) multiple micronutrient powder (Iron, Vitamin A, Vitamin C, Folic Acid, Zinc, Vitamin B<sub>12</sub>, Vitamin B<sub>2</sub>) or 2) a placebo.&nbsp;</p>"
Crombie 1990,1990,PUB,27862622,"<p>Ineligibile comparison group. Randomised controlled trial in Wales. Schools with children, aged 11-13 years, were randomly assigned to 1) a vitamin and mineral supplement (pionavanoids 50 mg; biotin 100 μg; choline bitartrate 70 mg; folic acid 100 μg; inositol 30 mg; niacin 50 mg; pantothenic acid 50 mg; para-aminobenzoic acid 10 mg; vitamin B<sub>6</sub> 12 mg; vitamin B<sub>1</sub> 3-9 mg; vitamin B<sub>2</sub> 5 mg; vitamin A 375 μg; vitamin B<sub>12</sub> 10 μg; vitamin C 500 mg; vitamin D<sub>3</sub> g; vitamin E 70 IU; vitamin K 100 μg, Calcium gluconate 100 mg; chromium 0-2 mg; magnesium 7-6 mg; manganese 1-5 mg; molybdenum 0-1 mg; iodine 50 μg; iron 1-3 3 mg; zinc 10 mg) or 2) a placebo.&nbsp;</p>"
CTRI/2019/01/017075,2019,PUB,27862624,"<p>Ineligible comparison group. Clinical trial registry of a randomised controlled trial in India. Children, aged 6-11 years, will be randomly assigned to 1) a protein product (8g legume based protein product) with micronutrients , 2) a protein product (8 g legume based protein product) without micronutrients , or 3) no intervention.&nbsp;</p>"
CTRI/2019/04/018567,2019,PUB,27862626,"<p>Ineligible comparison group. Clinical trial registry of a randomised controlled trial in India. Children, aged 6-12 years, will be randomly assigned to 1) rice fortified with micronutrients (iron 4.25 mg per 100 g, vitamin B<sub>12 </sub>0.125 µg &nbsp;per 100 g, folic acid: 12.50 µg &nbsp;per 100g), or 2) non-fortified &nbsp;rice.&nbsp;</p>"
CTRI/2022/02/040332,2022,PUB,27862628,"<p>Ineligible comparison group. Clinical trial registry of a randomised trial in India. Children, aged 12-59 mo, will be randomly assigned 1) fortified salt (1.34 mg of iron, 1.4 mg of zinc, &nbsp;0.6μg of vitamin B<sub>12, </sub>52.4 μg folic acid, 30 μg of iodine; all per gram of salt), or 2) iodized salt (30 μg of iodine per gram of salt).&nbsp;</p>"
Dergachev 1970,1970,PUB,27862630,"<p>Ineligible comparison group. Quasi-randomised controlled trial in Russia. Children, aged 8-10 years, were assigned 1) 1.5 g of orotic acid, 60 mg of folic acid, plus 10 µg of vitamin B<sub>12</sub> or 2) the standard treatment (not defined by study authors).&nbsp;</p>"
Evdokimova 1971,1971,PUB,27862632,"<p>Ineligible route of administration (injection). Quasi-randomised controlled trial in Russia. Children, aged 6 months to 15 years, with haemolytic anaemia, assigned to 1) intramuscular vitamin B<sub>12 </sub>100 µg<sub>&nbsp;</sub> or 2) no intervention.&nbsp;</p>"
Finberg 1952,1952,PUB,27862634,"<p>Ineligible comparison group. Quasi-randomised trial in the United States of America. Premature infants, in 1 week of life, were assigned to 1) 0.6 cc polyvisol, and aqueous polyvitamin preparation, containing vitamin B<sub>12</sub>, or 2) 0.6 cc polyvisol and 30 µg of vitamin B<sub>12 </sub>until discharge.&nbsp;</p>"
Friis 2022,2022,PUB,27862636,"<p>Ineligible comparison group. Secondary analysis of a randomised controlled trial in Burkina Faso. Children, aged 6 to 23 months, with moderate acute malnutrition were randomly assigned to 1) lipid-based nutrient supplement with vitamin B<sub>12</sub> 0.9 µg &nbsp;or 2) a corn-soy blend with vitamin B<sub>12</sub> 0.9 µg, each with either dehulled soy or soy isolate, and milk protein (0%, 20%, or 50%). T</p>"
Gonzalez 2020,2020,PUB,27862638,"<p>Ineligible comparison group. Protocol for a randomised controlled trial in Guatemala. Children, aged 6–24 months, will be randomly assigned to 1) a programme behavioural change strategy and small-quantity lipid-based nutrient supplements (Energy 118 kcal, Proteins 2.6 g, Lipids 9.6 g, Calcium 280 mg, Linoleic acid 2.81 g, α-linolenic acid 0.58 g, Phosphorous 190 mg, Potassium 200 mg, Magnesium 40 mg, Zinc 8 mg, Copper 0.34 mg, Iron 9 mg, Iodine 90 µg, Selenium 20 µg, Manganese 1.2 µg, Vitamin B<sub>1</sub> 0.3 mg, Vitamin B<sub>2</sub> 0.4 mg, Niacin 4.0 mg, Pantothenic acid 1.8 mg, Vitamin B<sub>6</sub> 0.3 mg, Folic acid 80 µg, Vitamin B<sub>12</sub> 0.5 µg, Vitamin C 30 mg, Vitamin D 5 µg, Vitamin E 6.0 mg, Vitamin K 30 µg, and Sodium 20 mg), 2) programme behavioural change strategy and micronutrient powders (15-micronutrient formulation with vitamin B<sub>12</sub>) or 3) micronutrient powders with vitamin B<sub>12 </sub>only.&nbsp;</p>"
Grillenberger 2006,2006,PUB,27862640,"<p>Ineligible intervention group. Randomised controlled trial in Kenya. Children, aged 6-9 years, were randomly assigned to 1) an energy supplement (githeri), 2) a milk supplement (githeri plus a 200 mL of milk), 3) a meat supplement (githeri with 60 g minced beef), or 4) no food supplement.&nbsp;</p>"
Haiden 2006,2006,PUB,27862642,"<p>Ineligible route of administration (intravenous and subcutaneous). Randomised controlled trial in Austria. Premature infants, weighing 801-1300 g, were randomly assigned to receive 1) intravenous vitamin B<sub>12</sub> (3 μg/kg/day), subcutaneous vitamin B<sub>12</sub> (21 μg/kg/week) and oral folic acid (100 μg/kg/day), or 2) oral folic acid (60 μg/kg/day), both groups received iron, vitamin E and erythropoietin.&nbsp;</p>"
Haskell 2008,2008,PUB,27862644,"<p>Ineligible comparison group. Randomised, double-blind, placebo-controlled trial in the United Kingdom. Children, aged 8-14 years, were randomly assigned to 1) a multi-vitamin/mineral supplement (L-Lysine monohydrochloride 50 mg, &nbsp;β-Carotene 0.514 mg, Vitamin A 715 IU, &nbsp;Thiamine nitrate 0.5 mg, Vitamin B<sub>2 </sub>0.55 mg, Pyridoxine hydrochloride 0.55 mg, Vitamin B<sub>12</sub> 0.600 mg, Vitamin C 22 mg, Vitamin D<sub>3</sub> 150 IU, Vitamin E 5.215 mg, Folic acid 50 mg, Biotin 15.00mg , Nicotinamide 6.00 mg, Copper (II) 0.3 mg, Calcium phosphate 65 mg, Ferrous (II) fumarate 2.5 mg, Zinc oxide 2.5 mg and Magnesium oxide 12.5 mg) &nbsp;or 2) a placebo .&nbsp;</p>"
Hess 2019,2019,PUB,27862646,"<p>Ineligible comparison group. Randomised controlled trial in Lao People's Democratic Republic. Children, aged 6-23 months, were randomly assigned 1) micronutrient powder (6 mg iron, 10 mg zinc and thirteen other micronutrients), or 2) a placebo.&nbsp;</p>"
Jack 2012,2012,PUB,27862648,"<p>Ineligible comparison group. Cluster-randomised trial in Cambodia. Infants, aged 6 months, were randomly assigned to 1) micronutrient sprinkles (14 micronutirents including vitamin B<sub>12 </sub>0.9 μg) and infant and young child feeding (IYCF) education or 2) IYCF only.&nbsp;</p>"
Jobert 1975,1975,PUB,27862650,"<p>Ineligible route of administration (intramuscular). Clinical trial in France. Premature infants, with blood reticulocytosis is below 45,000/mm<sup>3</sup>, were assigned an intramuscular injection of calcium folinate (5 mg) and vitamin B<sub>12</sub> (1000 µg).&nbsp;</p>"
Kuong 2019,2019,PUB,27862652,"<p>Ineligible comparison group. Cluster-randomised placebo-controlled trial in Cambodia. Sixteen schools with children, aged 6-16 years, were randomly assigned to four groups either receiving one of three extruded-fortified rice (each containing Iron, Zinc, Vitamin B<sub>1</sub>, Folic Acid, Vitamin A, Vitamin B<sub>3</sub>, Vitamin B<sub>12</sub> and Vitamin B<sub>6</sub>) or placebo (unfortified rice).&nbsp;</p>"
