Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Larcomb 1954,1954,PUB,27862654,"<p>Ineligible comparison group. Randomised controlled trial in the United States. Children, aged 6-17 years, were randomly assigned to 1) a controlled diet with vitamin B<sub>12</sub> (20μg), or 2) controlled diet with placebo. Both groups received a daily multiple vitamin supplement containing vitamin 1 μg B<sub>12</sub> activity.&nbsp;</p>"
Locks 2017,2017,PUB,27862656,"<p>Ineligible comparison group. Randomised, double‐blind, placebo‐controlled trial in Tanzania. Infants, at 6 weeks of age, were randomly assigned to 1) zinc only (5mg zinc sulfate) 2), zinc and multivitamin supplementation (5mg zinc sulfate, 60 mg of vitamin C, 8 mg of vitamin E, 0.5 mg of vitamin B<sub>1</sub>, 0.6 mg of vitamin B<sub>2</sub>, 4 mg of niacin, 0.6 mg of B<sub>6</sub>, 130μg of folic acid and 1μg of vitamin B<sub>12</sub>), &nbsp;3) multivitamin supplementation only (60 mg of vitamin C, 8 mg of vitamin E, 0.5 mg of vitamin B<sub>1</sub>, 0.6 mg of vitamin B<sub>2</sub>, 4 mg of niacin, 0.6 mg of B<sub>6</sub>, 130μg of folic acid and 1μg of vitamin B<sub>12</sub>), or 4) a placebo.&nbsp;</p>"
Lovell 2019,2019,PUB,27862658,"<p>Ineligible comparison group. Randomised controlled trial in Australia and New Zealand. Children, aged 12-23 months, were randomly assigned 1) a reduced protein, micronutrient-fortified milk (including iron, vitamin D<sub>3</sub>, vitamin B<sub>12</sub>, and vitamin C) or 2) plain cow's milk .</p>"
Mena 2001,2001,PUB,27862660,<p>Ineligible route of administration (intramuscular). Randomised double-blind controlled trial in Chile. Preterm newborns (&lt; 34 weeks and &lt; 1.850 g) were randomly assigned &nbsp;to 1) intramuscular vitamin B<sub>12</sub> (100 mg) or 2) a placebo.&nbsp;</p>
Nchito 2004,2004,PUB,27862662,"<p>Ineligible comparison group. Randomised, placebo-controlled, double-blind trial in Zambia. Children, aged 7-15 years, were randomly assigned 1) iron supplementation (60 mg elemental iron), 2) iron and multi-micronutrient supplementation (60 mg elemental iron, vitamin A 2000 g, vitamin B<sub>1</sub> 2.6 mg, vitamin B<sub>2</sub> 3 mg, vitamin B<sub>6</sub> 3.4 mg, vitamin B<sub>12</sub> 4g, vitamin C 100 mg, vitamin D 20g, vitamin E 20 mg, niacin 34 mg, folate 300g, zinc 30 mg, iodine 300 g, copper 4 mg and selenium 80 g), 3) multi-micronutrient supplementation &nbsp;(vitamin A 2000 g, vitamin B<sub>1</sub> 2.6 mg, vitamin B<sub>2</sub> 3 mg, vitamin B<sub>6</sub> 3.4 mg, vitamin B<sub>12</sub> 4g, vitamin C 100 mg, vitamin D 20g, vitamin E 20 mg, niacin 34 mg, folate 300g, zinc 30 mg, iodine 300 g, copper 4 mg and selenium 80 g), or 4) placebo.&nbsp;</p>"
NCT00572741,2007,PUB,27862665,"<p>Ineligible route of administration (intramuscular). Clinical trials registry of a randomised crossover controlled trial in the United States. Children, aged 3-7 years, with autistic disorder were randomly assigned to 1) a nutritional supplement (carnitine (250 mg), magnesium citrate (200 mg), selenium (50 µg); zinc picolinate (25 mg), molybdenum (50 µg), calcium citrate (400 mg), cod liver oil (1/2 teaspoon), vitamin C (500 mg), vitamin B<sub>1</sub> (3 mg), vitamin B<sub>2</sub> (3.4 mg), vitamin B<sub>352</sub> (20 mg), vitamin B<sub>6</sub> (4 mg) pantothenic acid(10 mg), biotin (300 µg), pyridoxal (25mg), folinic acid (800 µg), and vitamin B<sub>12</sub> (75 μg/kg every 3 days)), or 2) placebo.&nbsp;</p>"
NCT03384862,2017,PUB,27862667,"<p>Ineligible comparison group. Clinical trials registry of a randomised controlled trial in Bangladesh. Children, aged 8-10 years, exposed to arsenic in their drinking water, were randomly assigned to 1) &nbsp;folic acid 400μg plus vitamin B<sub>12</sub> 5 μg, or 2) a placebo.&nbsp;</p>"
NCT04456985,2020,PUB,27862669,"<p>Ineligible comparison group. Clinical trials registry of a randomised, double-blind, placebo-controlled trial in China. Children, aged 6 months to 2 years, will be randomly assigned 1) vitamin B<sub>12</sub> (1.2 μg) and folic acid (0.4 mg), or 2) a placebo 3 days before surgery.</p>"
Olivi 1971,1971,PUB,27862671,"<p>Ineligible route of administration (intramuscular). Quasi-randomised controlled trial in Italy. Children, aged 3-12 years, were allocated to one of five groups, 1) anabolic steroid (100 µg/kg/day) plus cobamamide (100 µg/kg/day), 2) anabolic steroid (50 µg/kg/day) plus cobamamide (100 µg/kg/day), 3) anabolic steroid alone (100 µg/kg/day), 4) cobamamide alone (100 µg/kg/day) or 5) placebo.&nbsp;</p>"
Osendarp 2007,2007,PUB,27862673,"<p>Ineligible comparison group. Randomised, placebo-controlled trial in Australia and Indonesia. Children, aged 6-10 years, were randomly assigned to 1) a micronutrient mix drink (iron, folate, vitamin A, vitamin C, vitamin B<sub>6</sub>, and vitamin B<sub>12</sub> at one times the Recommended Dietary Allowance (RDA) or Recommended Daily Intake (RDI) and zinc at one-half the RDA/RDI ) 2) docosahexanoic acid (DHA) and eicosapentaenoic acid (EPA) (88 mg DHA and 22 mg EPA), 3) group 1 and group 2 or 4) placebo.&nbsp;</p>"
Ouedraogo 2008,2008,PUB,27862675,"<p>Ineligible comparison group. Community-based randomised double-blind trial in Burkina Faso. Children, aged 6-23 months, with anemia were randomly assigned to 1) iron 15 mg, 2) iron 15 mg plus zinc 10 mg, or 3) multiple micronutrients (15 mg iron, 10 mg zinc, 375 μg vitamin A, 5 μg vitamin D, 6 mg vitamin E, 0.5 mg vitamin B<sub>1</sub>, 0.5 mg riboflavin, 6 mg niacin, 150 μg folic acid, 0.5 mg vitamin B<sub>6</sub>, 0.9 mg vitamin B<sub>12</sub>, 35 mg vitamin C, 10 μg vitamin K, 50 μg iodine, and 0.7 mg copper).&nbsp;</p>"
Owolabi 2021,2021,PUB,27862677,"<p>Ineligible comparison group. Randomised open-label dose response trial in Nigeria. Toddlers, aged 1-3 years, with mild-moderate andmeia and malnutrition were randomly assigned 1) 200mL of a multi-nutrient fortified dairy-based drink (Protein, Carbohydrates, Sucrose, Lactose, Fat, DHA, Calcium, Phosphorus, Potassium, Magnesium, Sodium, Iron, Copper, Zinc, Iodine, Selenium, Vitamin A, Vitamin D<sub>3</sub>, Vitamin E, Vitamin B<sub>1</sub>, Vitamin B<sub>2</sub>, Vitamin B<sub>6</sub>, Folic acid, Vitamin B<sub>12</sub>, Vitamin K<sub>1</sub>, Biotin, Niacin, and Pantothenic acid), 2) 400 mL of same multi-nutrient fortified dairy-based drink, or 3) 600 mL of same multi-nutrient fortified dairy-based drink daily for 6 months.&nbsp;</p>"
Petrova 2019,2019,PUB,27862680,"<p>Ineligible comparison group. Randomised controlled trial in Spain. Children, aged 8-14 years, were randomly assigned &nbsp;to 1) milk fortified with micronutrients (vitamin A, vitamin B<sub>1</sub>, vitamin B<sub>2</sub>, vitamin B<sub>3</sub>, pantothenic acid, vitamin B<sub>6</sub>, biotin, folic acid, vitamin B<sub>12</sub>, vitamin C, vitamin D, vitamin E, calcium, phosphorus, and zinc) and poly-unsaturated fatty acids (DHA), eicosapentaenoic acid (EPA), and oleic acid) or 2) non-fortified milk.&nbsp;</p>"
Reinken 1978,1978,PUB,27862682,"<p>Ineligible comparison group. Quasi-randomised controlled trial in Germany. Children, with hypochromic anemia, were assigned 1) iron plus vitamin supplements (104.4 mg iron, folic acid, riboflavin, vitamins C, B<sub>6</sub> and B<sub>12</sub>), or 2) iron alone (104.4 mg iron) and were compared to hematologically healthy controls.&nbsp;</p>"
Rindone 1975,1975,PUB,27862684,"<p>Ineligible comparison group. Quasi-randomised controlled trial in Italy. Children, aged 1 month to 3 years, with underweight, anorexia, and dystrophy were assigned to 1) dimethazine (0.05 mg/kg), 2) cobamamide (3.00 mg), or 3) dimethazine (0.05 mg/kg) and cobamamide (3 mg).&nbsp;</p>"
Rivera-Pasquel 2021,2021,PUB,27862686,"<p>Ineligible comparison group. Randomised double-blind clinical trial in Mexico. Children, 12-30 months, were randomly assigned to 1) milk-based formula with micronutrients including vitamin B<sub>12</sub> 1.65 µg, and poly-unsaturated fatty acids (linoleic acid, alpha-linolenic acid , and docosahexaenoic acid , or 2) milk-based formula with micronutrients only (without vitamin B<sub>12</sub>).&nbsp;</p>"
Samuel 2018,2018,PUB,27862688,"<p>Ineligible comparison group. Quasi-experimental study in Ethiopia. Children, aged 6-23 months, were allocated to 1) micronutrient powder (vitamin A 1332 IU/400 µg, vitamin D 200 IU/5 µg, vitamin E 5 mg TE, vitamin B<sub>1 </sub>0.5 mg, vitamin B<sub>2</sub> 0.5 mg, vitamin B<sub>6</sub> 0.5 mg, vitamin B<sub>12</sub> 0.9 µg, niacinamide 6 mg, folate 150 µg, vitamin C 30 mg, iron 6mg, zinc 4.1 mg, copper 0.56 mg, selenium 17 µg, and iodine 90 µg), or 2) placebo.&nbsp;</p>"
Sarma 1981,1981,PUB,27862690,"<p>Ineligible comparison group. Randomised controlled trial in India. Boys, aged 5-11 years, were randomly assigned to 1) a B-complex vitamin supplement (thiamin 1 mg, riboflavin 1.5 mg, pyridoxine 1.5 mg, niacin 15 mg, folic acid 0.1 mg and vitamin B<sub>12</sub> 0.001mg), or 2) a placebo (100 mg lactose).&nbsp;</p>"
Sasaki 1961,1961,PUB,27862692,"<p>Ineligible comparison group. Randomised controlled trial in Japan. Children, aged 10-11 years, were randomly assigned to 1) &nbsp;L-lysine hydrochloride 0.9 g plus a vitamin mixture (6 mg of vitamin B<sub>1</sub>, 6 mg of vitamin B<sub>2</sub>, 3 mg of vitamin B<sub>6</sub>, and 15 γ of vitamin B<sub>12</sub>), 2) vitamin mixture alone or, 3) no intervention.&nbsp;</p>"
Savino 1999,1999,PUB,27862694,"<p>Ineligible comparison group. Randomised controlled trial in Italy. Children, aged 6-12 years, were randomly assigned to 1) a multi-vitamin supplement (Vitality Roeder 2000 Junior), or 2) a placebo.</p>"
Schoenthaler 2000,2000,PUB,27862696,"<p>Ineligible comparison group. Randomised double-blind placebo-controlled trial in the United States. Children, aged 6-12 years, were randomly assigned to 1) a vitamin-mineral supplement (containing 50% to 67% RDA for 11 vitamins and 7 minerals including vitamin B<sub>12</sub>), or 2) a placebo daily for 3 months.&nbsp;</p>"
Schumann 2009,2009,PUB,27862698,"<p>Ineligible comparison group. Randomised placebo-controlled intervention trial in Cambodia. Infants, aged 6-24 months, received either 1) iron plus folic acid (IFA) (30 mg ferrous sulfate, and 300 μg folic acid), 2) IFA plus a micronutrient (30 mg ferrous sulfate, 300 μg folic acid, 375 RAE vitamin A, 10 μg vitamin D, 12 mg vitamin E (<i>α</i>-tocopherol equivalents), 1 mg vitamin B<sub>1</sub>, 1 mg vitamin B<sub>6</sub>, 12 mg niacin, 1.8 μg vitamin B<sub>12</sub>, 70 mg vitamin C, 10 mg zinc, 1.2 mg copper, 40 μg selenium and 100 μg &nbsp;iodine), or 2) placebo.</p>"
Singla 1985,1985,PUB,27862700,"<p>Ineligible comparison group. Randomised controlled trial in India. Children, aged 6-60 months, were randomly assigned to 1) 2 μg vitamin B<sub>12</sub> and 250 μg folic acid, 2) 5 mg iron, 2 μg vitamin B<sub>12</sub> and 250 μg folic acid 3) 10mg iron, 2 μg vitamin B<sub>12</sub> and 250 μg folic acid, 4) 20 mg iron, 2 μg vitamin B<sub>12</sub> and 250 μg folic acid, or 5) 40 mg iron, 2 μg vitamin B<sub>12</sub> and 250 μg folic acid.&nbsp;</p>"
Sivakumar 2006,2006,PUB,27862702,"<p>Ineligible comparison group. Double-blind randomised controlled trial in India. Children, aged 6-18 years, were randomly assigned to 1) a micronutrient-enriched beverage (containing 100% RDA for iron, riboflavin (B<sub>2</sub>), pyridoxine (B<sub>6</sub>), vitamin B<sub>12</sub>, folate, and vitamin C; 50% RDA for vitamins A, D, and B<sub>1</sub>, niacin, calcium, and iodine; and 15% RDA for zinc) or 2) placebo, daily for 14 months.&nbsp;</p>"
Smuts 2005,2005,PUB,27862706,"<p>Ineligible comparison group. Double-blind randomised placebo-controlled trial in South Africa, Peru, Vietnam, and Indonesia. Infants, aged 6-11 months, were randomly to receive 1) multiple-micronutrient supplement (2 RDAs of vitamins A, D, E, C, B<sub>1</sub>, B<sub>2</sub>, B<sub>6</sub>, B<sub>12</sub>, niacin, folic acid, iron, zinc, copper, and iodine) weekly, 2) multiple-micronutrient supplement (1 RDA of vitamins A, D, E, C, B<sub>1</sub>, B<sub>2</sub>, B<sub>6</sub>, B<sub>12</sub>, niacin, folic acid, iron, zinc, copper, and iodine) daily, 3) iron supplement (10mg) daily, or 4) placebo.&nbsp;</p>"
Smuts 2019,2019,PUB,27862708,"<p>Ineligible comparison group. Randomised controlled trial in South Africa. Infants, aged 6-12 months, were randomly assigned to receive 1) small-quantity lipid-based nutrient supplements (SQ-LNS) (linoleic acid, α-linolenic acid, plus 20 micronutrients), 2) SQ-LNS plus (linoleic acid, α-linolenic acid, docosahexaenoic acid, arachidonic acid plus 26 micronutrients), or 3) a placebo.&nbsp;</p>"
Sun 2022,2022,PUB,27862710,"<p>Ineligible route of administration (intramuscular). Randomised controlled trial in China. Children, aged 6 months to 6 years, with cerebral palsy were randomly assigned &nbsp;to 1) vitamin B<sub>12</sub> 25μg (orally and intramuscularly) and mouse nerve growth factor (18 μg), or 2) mouse nerve growth factor (18 μg) alone.&nbsp;</p>"
Thankachan 2013,2013,PUB,27862712,"<p>Ineligible comparison group. Randomised double-blind placebo-controlled trial in India. Children, aged 6-12 years, with low serum ferritin (SF &lt; 20 μg/L) were randomly assigned to 1) a multiple micronutrient fortified drink (containing 20 to 70% of the RDA for vitamin A, B<sub>2</sub>, B<sub>12</sub>, C, folic acid, iron and zinc), or 2) a placebo.&nbsp;</p>"
Thomas 2012,2012,PUB,27862714,"<p>Ineligible comparison group. Randomised double-blind controlled trial in India. Children, aged 6-10 years, were randomly assigned to 1) high dose miconutrients (100% RDA of iodine, iron, vitamin B<sub>2</sub>, vitamin B<sub>6</sub>, vitamin B<sub>12</sub>, folate, zinc, calcium, vitamin A and vitamin C) with high dose α-linolenic acid (ALA) (900 mg ALA) plus &nbsp;docosahexaenoic acid (100 mg DHA), 2) high dose micronutrients with low dose of ALA 140 mg, 3) low dose micronutrients (15% RDA for &nbsp;iodine, iron, vitamin B<sub>2</sub>, vitamin B<sub>6</sub>, vitamin B<sub>12</sub>, folate, zinc, calcium, vitamin A and vitamin C) with high dose ALA, or 4) low dose micronutrients and low dose of ALA.&nbsp;</p>"
Torsvik 2015,2015,PUB,27862716,"<p>Ineligible route of administration (intramuscular). Double-blind randomised controlled trial in Norway. Healthy infants, birthweight 2000-3000 g, with impaired total homocysteine (tHcy  &gt;  6.5 μmol/L) were randomly assigned 1) 400 μg hydroxycobalamin intramuscularly, or 2) a placebo injection.&nbsp;</p>"
Valentiner-Branth 2001,2001,PUB,27862719,"<p>Ineligible comparison group. Randomised community-based controlled trial in Guinea-Bissau. Children, under 3 years, with persistent diarrhea were randomly assigned to 1) millet gruel with a micronutrient supplement (2 RDAs of vitamin A, thiamine, riboflavin, vitamin B<sub>6</sub>, vitamin B<sub>12</sub>, folic acid, niacin, pantothenic acid, vitamin C, vitamin D, vitamin E, iron, zinc, copper, iodine, and selenium), or 2) no dietary treatment/intervention.&nbsp;</p>"
