Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Areekul 1979,1979,PUB,27862540,<p>Randomised controlled trial</p>,"<p>Apparently healthy children (n = 8; 8-10 years) admitted at the Department of Pediatrics, Hospital for Tropical Diseases in Bangkok, Thailand for malarial treatment who were not suffering from malarial attack or other diseases at study enrollment. Children were allocated to 1 of 2 groups.</p>",<p>Intervention (n = 3): vitamin B<sub>12</sub> supplementation 50 µg three times/day (150 µg/day)&nbsp;</p><p>Control (n = 5): placebo three times/day</p><p>Duration: 5 weeks</p>,"<p>Serum vitamin B<sub>12</sub>, unsaturated vitamin B<sub>12</sub> binding capacity, and vitamin B<sub>12</sub> binding proteins (holotranscobalamin) at baseline, weekly and 5 weeks</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): East Asia &amp; Pacific, South-East Asia, hospital&nbsp;</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: intervention: 543.70 ± 202.96 pmol/L; control: 490.37 ± 294.07 pmol/L</p><p>Form of vitamin B<sub>12</sub>: tablet</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: not available</p><p>Declarations of interest: not available</p><p>Ethical approval: not reported</p><p>Dates of trial: not reported</p>"
Benjamin 1952,1952,PUB,27862542,<p>Randomised controlled trial</p><p>Trial conducted from January 1951 to March 1951</p>,"<p>831 male and female children [under 8 and 9, 10 and 11, 12 years and over (n = 612; children &lt;12 years)] from day open-air schools under the auspices of the Health Department of the London County Council, London, United Kindgom. Children were allocated to 1 of 2 groups.</p>",<p>Intervention (n = 418): vitamin B<sub>12</sub> supplementation (10 µg/day) for five days/week</p><p>Control (n = 413): placebo (inert sugar) for five days/week&nbsp;</p><p>Duration: 8 weeks during school attendance days</p>,"<p>Weight, height at baseline and at 4 and 8 weeks. Morbidity reported as number of children absent from school due to a primary ailment (asthma, bronchitis, bronchiectasis) or a new condition (e.g. whooping cough, chicken pox, measles, mumps, acute upper respiratory infection, influenza, other respiratory diseases)&nbsp;</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): Europe &amp; Central Asia, European Region, open-air schools</p><p>Compliance: tablets taken with midday meals were assessed by school attendance when schools were open during the trial; results not reported.</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: tablet</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: Giaxo Laboratories supplied and dispensed the vitamin B<sub>12</sub> tablets.</p><p>Declarations of interest: not reported</p><p>Ethical approval: &nbsp;not reported</p><p>For the purposes of analysis in this review, we extracted outcome data for children &lt; 12 years only (n = 612).</p>"
Chinnock 1952,1952,PUB,27862544,<p>Quasi-randomised controlled trial&nbsp;</p><p>Conducted in September 1950 (end date is not reported)</p>,"<p>Participants (n = 90) were full-term infants (age not reported) after birth in the White Memorial Park Clinic, Los Angeles, California, United States of America. Children were allocated to 1 of 3 groups.</p><p>Exclusion criteria: Infants were excluded for failure to attend at least 2 observations/visits, illness or due to inability of parents to provide or of infants to receive supplements as directed.&nbsp;</p>","<p>Intervention: infants were allocated to 1 of 2 groups.</p><ol><li data-list-item-id=""e22de163892305d8d7ed3f0b9ec8b74bc"">Vitamin B<sub>12</sub> supplementation as drops (crystalline compound in aqueous solution; 5 μg/day) added to milk in one bottle daily for 30 days. Placebo (water containing vegetable coloring) was provided to infants after 30-day discontinuation of supplementation</li><li data-list-item-id=""eaf8c323faa1dc55a9b07e516551212f1"">Vitamin B<sub>12</sub> supplementation as drops (crystalline compound in aqueous solution; 5 μg/day) added to milk in one bottle daily for 60 days</li></ol><p>Control: placebo (water containing vegetable coloring)</p><p>Duration: 8 weeks</p><p>All infants were provided with evaporated milk, water, karo syrup, orange juice, vitamin A, and vitamin D.&nbsp;</p><p>For the purposes of this review, we compared vitamin B<sub>12</sub> supplementation for 60 days versus placebo.</p>","<p>Weight, and height at baseline and at 2, 4, and 8 weeks</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): North America, Region of the Americas, pediatric clinic</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: drops</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: funded by a grant from the Squibb Institute for Medical Research.</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p><p>There is minimal information to ascertain number of infants enrolled at start of study by treatment group.</p>"
Craigmile 1956,1956,PUB,27862546,<p>Quasi-randomised controlled trial&nbsp;</p>,"<p>104 children (1-2 years old) attending the City of Birmingham day nurseries, Birmingham, United Kingdom. Children were allocated to 1 of 2 groups.</p>",<p>Intervention (n = 49): vitamin B<sub>12</sub> supplementation (50 µg/day)</p><p>Control (n = 55): placebo</p><p>Duration: 6 months during school attendance days only</p>,"<p>Weight, height at baseline and at 6 months. Health-related quality of life (appetite or behavior reported by matrons of nurseries; time point not reported), morbidity reported as number of children absent due to colds during the trial&nbsp;</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): Europe &amp; Central Asia, European Region, day nurseries&nbsp;</p><p>Compliance: supplements were administered in the nurseries during school day; results not reported</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: not reported</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: Giaxo Laboratories supplied vitamin B<sub>12</sub> supplements and control fluids</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p><p>Dates of trial: not reported</p>"
Deshmukh 2010,2010,MIX,27862548,<p>Cluster-randomised controlled trial (cRCT)</p><p>Conducted from April 2007 to March 2008</p>,"<p>Clusters were families [n = 119 families: 300 children and parents (n = 52; children &lt; 12 years)] of pregnant women who were initally followed up as part of the Pune Maternal Nutriton Study living in six rural villages near Pune city, India. 106 male and female children (9.0 ± 0.2 years) included in trial. Families were stratified according to the children’s baseline plasma concentration B<sub>12</sub> concentrations with those below and above the median value equally distributed into 1 of 6 groups.&nbsp;</p><p>Exclusion criteria: unwillingness to participate, pregnancy, anemia (hemoglobin per 100 ml), already taking supplements containing iron, folic acid and/or B<sub>12</sub> for 10 or more days, or on treatment with drugs known to impair the absorption or utilization of folic acid or B<sub>12</sub> (for example, phenytoin, antacids).&nbsp;</p>","<p>Intervention (n=197): families were assigned to 1 of 4 groups</p><ol><li data-list-item-id=""e10efc99eeaa455113260fb473f0e234e"">Vitamin B<sub>12</sub> supplementation (B<sub>2</sub>F<sub>0</sub>; 2 µg/day)</li><li data-list-item-id=""efb94cfa5ca8acdb0c39a0c44b3dd0fe8"">Vitamin B<sub>12</sub> supplementation (B<sub>10</sub>F<sub>0</sub>; 10 µg/day)</li><li data-list-item-id=""ee0affafbd397c031c55dd5fb387dd3d1"">Vitamin B<sub>12</sub> supplementation (2 µg/day) plus FA (200 µg/day)&nbsp;(B<sub>2</sub>F<sub>200</sub>)</li><li data-list-item-id=""ea9b372e51108ebe464fc550b6322f0dc"">Vitamin B<sub>12</sub> supplementation (10 µg/day) plus FA (200 µg/day) (B<sub>10</sub>F<sub>200</sub>)</li></ol><p>Control (n = 103): Families were assigned to 1 of 2 groups.</p><ol><li data-list-item-id=""e4c0f67e456b103a24f9305e4558ec78f"">FA alone (B<sub>0</sub>F<sub>200</sub>; 200 µg /day)</li><li data-list-item-id=""eca1af8ace400cb65602274ee0764425a"">Placebo (B<sub>0</sub>F<sub>0)</sub></li></ol><p>Duration: 12 months</p><p>For the purpose of this review, the following groups were combined to create a single pair-wise comparison for meta-analysis:&nbsp;</p><ul><li data-list-item-id=""eba3cfd0742d667ba42f94b330677bcfd"">B<sub>2</sub>F<sub>0</sub> and B<sub>10</sub>F<sub>0</sub> versus B<sub>0</sub>F<sub>0</sub></li><li data-list-item-id=""e6ed10facb29d900e96f88aaa1fe5ca02"">B<sub>2</sub>F<sub>200</sub> and B<sub>10</sub>F<sub>200</sub> versus B<sub>0</sub>F<sub>200</sub></li></ul>","<p>Haemogram (anaemia), blood glucose, lipid profile, serum creatinine, insulin levels, body composition (anthropometry including percent body fat), blood pressure. Dual Energy X-ray Absorptiometry, grip-strength, neuro-cognitive performance, arterial elasticity, food frequency questionnaire assessed among children at 12 months. Vitamin B<sub>12</sub> deficiency, plasma vitamin B<sub>12</sub>, folate, and homocysteine at baseline and at 4 months, and 12 months.</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): South Asia, South-East Asia, rural villages</p><p>Compliance: monitored by counting the number of dispensed capsules and those returned at each monthly home visit (defined as taking ≥ 80% of capsules dispensed). 71% (n = 210) of participants returned &lt; 20% of the dispensed capsules over 12 months. In addition, assessed by homocysteine concentrations &gt; 10 µmol/l (in children), and vitamin B<sub>12</sub> and folate concentrations &lt; 150 pmol/l and &lt; 7 nmol/l respectively. Compliance rates were comparable at 4 and 12 months.</p><p>Anaemia status at start of supplementation: B<sub>10</sub>F<sub>200</sub>: 22.2%; B<sub>2</sub>F<sub>200</sub>: 27.8%; B<sub>10</sub>F<sub>0</sub>: 11.8%; B<sub>2</sub>F<sub>0</sub>: 29.4%; B<sub>0</sub>F<sub>200</sub>: 27.8%; and B<sub>0</sub>F<sub>0</sub>: 22.2% (Hb &lt;12 g/dL)</p><p>Vitamin B<sub>12</sub> status at start of supplementation: B<sub>10</sub>F<sub>200</sub>: 38.9%; B<sub>2</sub>F<sub>200</sub>: 33.3%; B<sub>10</sub>F<sub>0</sub>: 17.6%; B<sub>2</sub>F<sub>0</sub>: 23.5%; B<sub>0</sub>F<sub>200</sub>: 16.7%; and B<sub>0</sub>F<sub>0</sub>: 22.2% (total vitamin B<sub>12</sub> concentrations &lt;148 pmol/L)</p><p>Form of vitamin B<sub>12</sub>: capsule</p><p>Vitamin B<sub>12</sub> compound: cyanocobalamin</p><p>Funding source: Wellcome Trust, London, UK</p><p>Declarations of interest: no conflict of interest reported</p><p>Ethical approval: King Edward Memorial Hospital And Research Centre Ethics Committee on the 11th April 2006 (ref: KEMHRC/VSP/Dir Off/EC/065; Project No. 067)</p><p>We reached out to the corresponding author who provided us with unpublished data by cluster (age-stratified for children &lt;12 years of age) and additional information for effective sample size calculation:&nbsp;</p><p>""We have filled in the relevant data in the Excel sheets you gave us. If you need any additional information kindly let us know. Herewith attached is the document with the additional information requested. Let us know if you need further information. There were 106 families randomized based on the median plasma vitamin B12 concentration (188 pmol/l) of the children, to six groups (A to F). We are working on a paper where a secondary analysis of this trial is being done. Could you review the following data and let us know if this is enough? We noticed that the numbers in groups A and F are interchanged in the primary publication (flow chart: A, n = 50 and not 51; and B, n = 51 and not 50).""</p><p>Based on the information from trial authors, we calculated effective sample sizes for unpublished data for children &lt; 12 years of age. To estimate the mean cluster size (M), we used the average total number of individuals randomized per family (children and parents) across all intervention groups. Sample sizes were adjusted accordingly, and sensitivity analyses were conducted using low and high intracluster correlation coefficient (ICC) values of 0.01 (Design effect = 1.49) and 0.05 (Design effect = 3.45), respectively.</p>"
Fukui 1959,1959,PUB,27862553,<p>Quasi-randomised controlled trial</p><p>Conducted from June to December 1957</p>,"<p>117 male and female children (10-11 years) attending primary school in the municipal area of Tokushima City, Japan. Children were allocated to 1 of 5 groups.</p>","<p>Intervention (n = 75): children were assigned to 1 of 4 groups.</p><ol><li data-list-item-id=""ec37c3f34e7bd007ee32056742a771afe"">Vitamin B<sub>12</sub> supplementation (10 µg/day)</li><li data-list-item-id=""e131290b7a348d5ce56315545f2655312"">Vitamin B<sub>12</sub> supplementation (20 µg/day)</li><li data-list-item-id=""e00e178e76019a4b0de7c511a2ba13381"">Vitamin B<sub>12</sub> supplementation (10 µg/day) plus lysine (0.5 g/day)</li><li data-list-item-id=""e4b95d782afd7ac63c065b3edad2fab2d"">Vitamin B<sub>12</sub> supplementation (20 µg/day) plus lysine (1.0 g/day)</li></ol><p>Control (n = 42): Placebo</p><p>Duration: 6 months during school attendance days</p><p>For the purpose of this review, we combined groups (vitamin B<sub>12</sub> 10 µg/day and vitamin B<sub>12 </sub>20 µg/day) to create a single pair-wise comparison. Hence, we compared vitamin B<sub>12</sub> supplementation alone with placebo</p>","<p>Weight, height, and grip strength at baseline, 2 months, 4 months, and 6 months</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): East Asia &amp; Pacific, Western Pacific, primary school</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: not reported</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: not reported</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p>"
Gutiérrez-Diaz 1959,1959,PUB,27862555,<p>Quasi-randomised controlled trial</p><p>Trial conducted from January 1957 to October &nbsp;1957</p>,"<p>100 female children (age not reported) attending schools in Barecelona, Spain. Children were subdivided into 5 groups at the beginning of the study.&nbsp;</p>","<p>Intervention (n = 80): children were assigned to 1 of 4 groups.</p><ol><li data-list-item-id=""ec5ec59856b3cf60e6e1eccb3013e1503"">Vitamin B<sub>12</sub> supplementation (10 µg/day)</li><li data-list-item-id=""e89abdf797d46476ba89b83ee802818fc"">Magnesium molybdate supplementation (0.06 g/day)</li><li data-list-item-id=""e54b0147e04d8dc992f9fc649ff872d81"">Vitamin T complex supplementation (factor T found in insect cuticle, mould mycelia, and yeast fermentation liquor. Probably a mixture of folic acid, vitamin B<sub>12</sub>, and deoxyribonucleic acid).</li><li data-list-item-id=""e38c805aca0c6cb74bfc91f54473b5835"">Magnesium molybdate (0.06 g/day) + vitamin B<sub>12</sub> (10 µg/day) + vitamin T complex supplementation</li></ol><p>Control (n = 20): no intervention</p><p>Duration: 10 months</p><p>For the purpose of this review, vitamin B<sub>12</sub> supplementation alone was compared with control (no intervention)</p>","<p>Weight, height, morbidity (general, flu pandemic or childhood diseases), health-related quality of life (appetite rated by parents), and several other anthropometric measurements at 2 months, and 10 months</p><p>Seated height, back of the head to coccyx height, head circumference, thoracic perimeter, arm circumference, calf circumference, some femurmeasurement, some shoulder measurement, some pelvis measurement, bone age</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): Europe &amp; Central Asia, European Region, setting type not reported</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: syrup</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: not reported</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p><p>Study record was translated from Spanish to English.</p>"
Kudo 1962,1962,PUB,27862557,<p>Randomised controlled trial</p><p>Trial conducted from February 1959 to February 1960</p>,"<p>40 apparently healthy male children (9-11 years) in the Hirosaki Area, Aomori Prefucture, Japan. Children were allocated to 1 of 2 groups.</p>
<p>Inclusion criteria: apparently healthy children who showed ariboflavinotic signs as part manifestations of nutritional dystrophy</p>",<p>Intervention (n = 20): vitamin B<sub>12</sub> supplementation (25 µg/day)</p><p>Control (n = 20): placebo</p><p>Duration: 52 weeks</p>,"<p>Total vitamin B<sub>12</sub> concentrations at baseline and at 10, 21, 33, 41.5, and 52 weeks</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): East Asia &amp; Pacific, Western Pacific, rural prefecture</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: not reported&nbsp;</p><p>Vitamin B<sub>12</sub> status at start of supplementation: intervention: 199.26 ± 22.14 pmol/L; control: 199.26 ± 51.66 pmol/L</p><p>Form of vitamin B<sub>12</sub>: tablet</p><p>Vitamin B<sub>12</sub> compound: cyanocobalamin</p><p>Funding source: ""This work was supported by a Grant from the VitaminB Committee of the Japanese Society of Vitaminology. Vitamin B<sub>12</sub> preparation was kindly given through Merck &amp; Co. U.S.A""</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p>"
Murakami 1962,1962,PUB,27862560,<p>Randomised controlled trial</p><p>Conducted from February 1959 to February 1961</p>,"<p>100 apparently healthy male and female children (9-11 years) living in the mountainous and retired areas in Tokushima Precfecture, Japan. Children were assigned to 1 of 2 groups.&nbsp;</p>",<p>Intervention (n = 50): vitamin B<sub>12</sub> supplementation (25 µg/day)</p><p>Control (n = 50): placebo</p><p>Duration: 52 weeks</p>,"<p>Total vitamin B<sub>12</sub>, haemoglobin concentrations, blood water value, body development, body weight, height, grasping power, % nutritional deficiency symptoms at baseline, 10, 21, 33, 41.5, and 52 weeks, and nutritional intake</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): East Asia &amp; Pacific, Western Pacific, rural prefecture</p><p>Compliance: not reported</p><p>Anaemia status at start of supplementation: intervention: 12.27 ± 0.89 g/dL; control: 12.35 ± 0.85 g/dL</p><p>Vitamin B<sub>12</sub> status at start of supplementation: intervention: 258.30 ± 66.42 pmol/L; control: 250.92 ± 81.18 pmol/L</p><p>Form of vitamin B<sub>12</sub>: tablet</p><p>Vitamin B<sub>12</sub> compound: cyanocobalamin</p><p>Funding source: not reported</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p>"
Scaglione 1955,1955,PUB,27862562,<p>Quasi-randomised controlled trial</p>,"<p>70 male and female newborn or premature or immature and low birthweight infants at (2 days of age) were recruited from an Obstetric Clinic of the University of Rome, Italy. Infants were assigned to 1 of 4 groups.</p><p>Inclusion criteria: born at term without complications and birth weight ranging from 1570 g to 2450 g</p>","<p>Intervention (n = 60): infants were assigned to 1 of 3 groups</p><ol><li data-list-item-id=""e9386ad1570ad25ca686c336b798acdac"">Vitamin B<sub>12</sub> supplementation (30 µg/day)</li><li data-list-item-id=""ebb48a83f92e1e683b4e2252e388a0e7c"">Methylandroxtendiol (10 mg/day)</li><li data-list-item-id=""ed12dd9b92bafeb550d086b827cea45be"">Goetsch vitamin T&nbsp;</li></ol><p>Control (n = 10): no intervention&nbsp;</p><p>Duration: 28 days</p><p>For the purpose of this review, we compared vitamin B<sub>12</sub> supplementation alone with no intervention.</p>","<p>Weight, height at baseline, every 2 days, and at 28 days</p>","<p>Setting (World Bank Region, WHO region, facility/setting type): Europe &amp; Central Asia, European Region, obstetric clinic&nbsp;</p><p>Compliance: supplements were administered at the clinic; results not reported</p><p>Aanemia status at start of supplementation: not reported</p><p>Vitamin B<sub>12</sub> status at start of supplementation: not reported</p><p>Form of vitamin B<sub>12</sub>: drops</p><p>Vitamin B<sub>12</sub> compound: not reported</p><p>Funding source: not reported</p><p>Declarations of interest: not reported</p><p>Ethical approval: not reported</p><p>Dates of trial: not reported</p><p>Study record was translated from Italian to English.</p>"
