Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality prior to discharge,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,All-cause mortality mortality prior to discharge,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,188,1191,198,1224,0.991521,0.82826,1.186963,,,,,,5.072231,3,0.166584,40.854433,0.092765,,0.92609,,,,,analysis:451702445060508315
1,2,All-cause mortality at 2 years of life,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,All-cause mortality 2 years of corrected age,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,13,86,22,80,0.549683,0.297375,1.016061,,,,,,0.0,0,1.0,0.0,1.909132,,0.056245,,,,,analysis:451702411289807513
1,3,All-cause mortality at longest follow-up,NIRS vs no NIRS or blinded NIRS,Custom input,"#N/A",Dichotomous,true,,,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,189,1191,200,1224,0.985392,0.823773,1.17872,,,,,,5.585757,3,0.133599,46.291972,0.160997,,0.872096,,,,,analysis:452475451008164116
1,4,Major neurodevelopmental disability in children aged 18 to 24 months,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Major neurodevelopmental disability. after 18 months' chronological age,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,10,65,6,50,1.282051,0.499514,3.290512,,,,,,0.0,0,1.0,0.0,0.51664,,0.605408,,,,,analysis:451730992867073097
1,5,Major brain injury diagnosed by brain ultrasound prior to discharge,NIRS vs no NIRS or blinded NIRS,Custom input,"#N/A",Dichotomous,true,,,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,216,1191,226,1224,0.993145,0.841857,1.17162,,,,,,3.451451,3,0.327114,13.080026,0.081579,,0.934981,,,,,analysis:453630678291518342
1,6,Intraventricular haemorrhage grade III or IV prior to discharge,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Intraventricular haemorrhage grade III or IV prior to discharge,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,154,1191,173,1224,0.926212,0.758809,1.130545,,,,,,2.416184,3,0.490629,0.0,0.753621,,0.451077,,,,,analysis:451702625643907807
1,7,Cystic periventricular leukomalacia prior to discharge,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,45,1105,37,1144,1.245286,0.809979,1.91454,,,,,,1.424284,1,0.2327,29.789293,0.999618,,0.317496,,,,,analysis:451702554030361298
1,8,Chronic lung disease at 36 weeks of gestational age,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,423,1191,455,1224,0.954689,0.862006,1.057338,,,,,,5.260437,3,0.15369,42.97052,0.88993,,0.373503,,,,,analysis:451702510120716994
1,9,Proven necrotising enterocolitis prior to discharge,NIRS vs no NIRS or blinded NIRS,Custom input,"#N/A",Dichotomous,true,,,,,,,Experimental,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,121,1191,116,1224,1.078971,0.847588,1.373519,,,,,,1.192024,3,0.754918,0.0,0.617198,,0.537104,,,,,analysis:451731187189964228
1,10,Retinopathy of prematurity (any stage) prior to discharge,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Retinopathy of prematurity severe (stage equal or above III) any time point,NIRS vs Usual Care,,,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,126,1191,111,1224,1.149892,0.901526,1.466681,,,,,,3.108044,4,0.53991,0.0,1.124972,,0.260601,,,,,analysis:451731057040186529
1,11,Retinopathy of prematurity (stage ≥ 3 ) prior to discharge,NIRS vs no NIRS or blinded NIRS,Custom input,"#N/A",Dichotomous,true,,,,,,,NIRS,No NIRS or blinded NIRS,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,86,858,77,887,1.149271,0.856666,1.541819,,,,,,0.809079,1,0.368393,0.0,0.928024,,0.353395,,,,,analysis:453006814523770012
1,12,Severe adverse reactions prior to discharge,NIRS vs no NIRS or blinded NIRS,Study data,Only arm-level data,Dichotomous,true,Severe adverse reactions as reported by study authors prior to discharge,NIRS vs Usual Care,Intervention,No NIRS,,,NIRS,Control,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,4,1191,0,1224,9.407503,0.507342,174.440702,,,,,,0.0,0,0.0,100.0,1.504506,,0.132451,,,,,analysis:451731363305906581
1,13,Abnormal fidgety movements (at six to 20 weeks of corrected age),NIRS vs no NIRS or blinded NIRS,Custom input,"#N/A",Dichotomous,true,,,,,,,NIRS,No NIRS or blinded NIRS,IV,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,4,82,5,89,0.868293,0.241394,3.123237,,,,,,0.0,0,1.0,0.0,0.216233,,0.828806,,,,,analysis:453201832505693833
