Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality prior to discharge,,,SUBGROUP_AND_OVERALL,Hansen 2023,2019,,,,,164,772,,,160,807,,,85.866962,1.07147,0.882387,1.301071,
1,1,All-cause mortality prior to discharge,,,SUBGROUP_AND_OVERALL,Hyttel-Sorensen 2015,2015,,,,,12,86,,,20,80,,,7.715901,0.55814,0.292047,1.066677,
1,1,All-cause mortality prior to discharge,,,SUBGROUP_AND_OVERALL,Pichler 2016,2016,,,,,0,18,,,2,22,,,0.365737,0.242105,0.01236,4.742491,
1,1,All-cause mortality prior to discharge,,,SUBGROUP_AND_OVERALL,Pichler 2018,2018,,,,,0,11,,,0,12,,,,,,,
1,1,All-cause mortality prior to discharge,,,SUBGROUP_AND_OVERALL,Pichler 2023,2023,,,,,12,304,,,16,303,,,6.0514,0.747533,0.359751,1.553314,
1,2,All-cause mortality at 2 years of life,,,SUBGROUP_AND_OVERALL,Hyttel-Sorensen 2015,2015,,,,,13,86,,,22,80,,,100.0,0.549683,0.297375,1.016061,
1,3,All-cause mortality at longest follow-up,,,SUBGROUP_AND_OVERALL,Hansen 2023,2019,,,,,164,772,,,160,807,,,85.134473,1.07147,0.882387,1.301071,
1,3,All-cause mortality at longest follow-up,,,SUBGROUP_AND_OVERALL,Hyttel-Sorensen 2015,2015,,,,,13,86,,,22,80,,,8.503132,0.549683,0.297375,1.016061,
1,3,All-cause mortality at longest follow-up,,,SUBGROUP_AND_OVERALL,Pichler 2016,2016,,,,,0,18,,,2,22,,,0.362617,0.242105,0.01236,4.742491,
1,3,All-cause mortality at longest follow-up,,,SUBGROUP_AND_OVERALL,Pichler 2018,2018,,,,,0,11,,,0,12,,,,,,,
1,3,All-cause mortality at longest follow-up,,,SUBGROUP_AND_OVERALL,Pichler 2023,2023,,,,,12,304,,,16,303,,,5.999778,0.747533,0.359751,1.553314,
1,4,Major neurodevelopmental disability in children aged 18 to 24 months,,,SUBGROUP_AND_OVERALL,Hyttel-Sorensen 2015,2015,,,,,10,65,,,6,50,,,100.0,1.282051,0.499514,3.290512,
1,5,Major brain injury diagnosed by brain ultrasound prior to discharge,,,SUBGROUP_AND_OVERALL,Hansen 2023,2019,,,,,185,772,,,188,807,,,86.812716,1.028656,0.861464,1.228296,
