Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,4,Mental,1,,51,,47,100.0,-0.046275,-0.849395,0.756844,0.3706,,,7.634906,2,0.021984,73.804525,0.112932,,0.910084,subgroup:396519787249594412
1,4,Psychological,2,,35,,45,100.0,0.349798,-1.216951,1.916547,1.154672,,,10.308547,1,0.001324,90.299312,0.437589,,0.661684,subgroup:396519787254050863
1,4,Social,3,,35,,45,100.0,0.370556,-0.18087,0.921981,0.047971,,,1.410145,1,0.235032,29.085329,1.317089,,0.187809,subgroup:396519787258507314
1,4,Environment,4,,35,,45,100.0,0.505189,0.049927,0.96045,0.0,,,0.053764,1,0.816639,0.0,2.174907,,0.029637,subgroup:396519787262963765
1,4,Physical,5,,86,,92,100.0,0.567135,0.152764,0.981506,0.097852,,,7.143606,4,0.128491,44.005869,2.682534,,0.007307,subgroup:396519787267420216
1,4,Quality-of-life,6,,19,,20,100.0,0.558247,-0.083101,1.199596,0.0,,,0.0,0,1.0,0.0,1.706007,,0.088007,subgroup:421243081049476287
2,4,Physical,1,,37,,35,100.0,0.251003,-0.214951,0.716958,0.0,,,0.979551,1,0.32231,0.0,1.055806,,0.291057,subgroup:396519787288916038
2,4,Mental,2,,37,,35,100.0,0.053313,-0.409034,0.515659,0.0,,,0.06041,1,0.805849,0.0,0.226001,,0.821201,subgroup:396519787292061768
2,4,Quality-of-life,3,,19,,18,100.0,0.368631,-0.282131,1.019393,0.0,,,0.0,0,1.0,0.0,1.110243,,0.266894,subgroup:421243081053670606
3,4,Mental,1,,14,,11,100.0,-11.9,-24.040944,0.240944,,,,0.0,0,1.0,0.0,1.921067,,0.054723,subgroup:396519787357335635
3,4,Physical,2,,14,,11,100.0,1.3,-0.67423,3.27423,,,,0.0,0,1.0,0.0,1.290606,,0.19684,subgroup:396519787360481365
4,1,Bright light therapy,1,,9,,9,100.0,-1.481584,-2.555608,-0.40756,0.0,,,0.0,0,0.0,0.0,2.703712,,0.006857,subgroup:458817519470881494
4,1,Reflexology,2,,20,,20,100.0,-1.317382,-2.007735,-0.62703,0.0,,,0.0,0,1.0,0.0,3.740149,,1.84E-4,subgroup:458817689246346612
