Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Reduction in depressive symptoms post-treatment,Exercise versus control,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1137,,1052,-0.668561,-0.817306,-0.519816,,,0.183996,,,144.873946,56,0.0,61.345707,8.80939,,0.0,,,,,analysis:396519787117735900
1,2,Reduction in depressive symptoms follow-up,Exercise versus control,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,207,,198,-0.526135,-1.112652,0.060381,,,0.689523,,,62.195434,8,0.0,87.137319,1.758189,,0.078715,,,,,analysis:396519787177504769
1,3,Completed intervention or control,Exercise versus control,Custom input,"#N/A",Dichotomous,true,,,,,,,Exercise,Control,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,994,1189,943,1122,0.999003,0.97568,1.022885,,,0.0,,,34.555144,50,0.952701,0.0,0.082726,,0.934069,,,,,analysis:396519787194281995
1,4,Quality of life,Exercise versus control,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:396519787246710826
2,1,Reduction in depressive symptoms post-treatment,Exercise versus psychological therapy,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Psychological therapy,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,212,,202,0.032391,-0.161321,0.226103,,,0.0,,,4.815359,9,0.850098,0.0,0.327729,,0.743116,,,,,analysis:396519777899413839
2,2,Reduction in depressive symptoms follow-up,Exercise versus psychological therapy,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Psychological therapy,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,57,,57,-0.110208,-0.480647,0.260231,,,0.0,,,2.535671,3,0.468879,0.0,0.583102,,0.559825,,,,,analysis:421243081053670596
2,3,Completed exercise or pyschological therapies,Exercise versus psychological therapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Exercise,Psychological therapy,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,179,208,179,225,1.056543,0.988485,1.129287,,,1.81E-4,,,6.118875,6,0.410007,1.942756,1.619035,,0.10544,,,,,analysis:396519787276857406
2,4,Quality of life,Exercise versus psychological therapy,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Psychological therapy,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.689716,2,0.708321,0.0,analysis:396519787286032452
3,1,Reduction in depressive symptoms post-treatment,Exercise versus pharmacological treatment (antidepressants),Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Antidepressants,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,168,,162,-0.112784,-0.329429,0.103861,,,0.0,,,2.273126,4,0.685666,0.0,1.020346,,0.307565,,,,,analysis:396519777916191069
3,2,Reduction in depressive symptoms follow-up,Exercise versus pharmacological treatment (antidepressants),Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Antidepressants,IV,Mean Difference,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,,29,,29,-0.4,-0.801772,0.001772,,,,,,0.0,0,1.0,0.0,1.95132,,0.051019,,,,,analysis:421243081053670610
3,3,Completed exercise or antidepressants,Exercise versus pharmacological treatment (antidepressants),Custom input,"#N/A",Dichotomous,true,,,,,,,Exercise,Antidepressants,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,201,332,230,323,0.921035,0.769743,1.102064,,,0.034982,,,28.46779,4,1.0E-5,85.949032,0.898458,,0.368941,,,,,analysis:396519777922220386
3,4,Quality of Life,Exercise versus pharmacological treatment (antidepressants),Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Antidepressants,IV,Mean Difference,,Fixed effect,"#N/A",false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:396519787354189905
4,1,Reduction in depressive symptoms post-treatment,Exercise versus 'other' interventions,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,1.684242,4,0.793578,0.0,analysis:458817451263634094
4,2,Reduction in depressive symptoms follow-up,Exercise versus 'other' interventions,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,84,,86,-1.220588,-2.629608,0.188431,,,1.439189,,,29.912661,2,0.0,93.313868,1.697854,,0.089535,0.0,0,1.0,0.0,analysis:458930882324719367
4,3,Completed intervention or control,Exercise versus 'other' interventions,Custom input,"#N/A",Dichotomous,true,,,,,,,Exercise,Control,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,144,155,140,150,1.005411,0.962508,1.050226,,,0.0,,,2.149253,5,0.828131,0.0,0.24253,,0.808369,0.02797,1,0.867179,0.0,analysis:458817840039702005
5,1,Exercise vs control subgroup analysis: type of exercise,Exercise versus control - reduction in depressive symptoms post-treatment: subgroup analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,1.005342,2,0.604913,0.0,analysis:396519787364937816
5,2,Exercise vs control subroup analysis: intensity,Exercise versus control - reduction in depressive symptoms post-treatment: subgroup analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,1.31784,3,0.724901,0.0,analysis:396519787428900992
5,3,Exercise vs control subroup analysis: number of sessions,Exercise versus control - reduction in depressive symptoms post-treatment: subgroup analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,4.674595,4,0.322344,14.431091,analysis:396519787499417771
5,4,Exercise vs control subroup analysis: diagnosis of depression,Exercise versus control - reduction in depressive symptoms post-treatment: subgroup analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.628111,2,0.730479,0.0,analysis:396519787573342421
5,5,Exercise vs control subgroup analysis: type of control,Exercise versus control - reduction in depressive symptoms post-treatment: subgroup analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1185,,1110,-0.648324,-0.793173,-0.503475,,,0.185909,,,154.435648,60,0.0,61.148866,8.772533,,0.0,7.157725,4,0.127784,44.11632,analysis:396519787652772093
6,1,Exercise vs control sensitivity analysis: peer-reviewed journal publications and doctoral theses only,Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1128,,1041,-0.652579,-0.799866,-0.505292,,,0.174771,,,138.856961,55,0.0,60.390894,8.683949,,0.0,,,,,analysis:396519777940046193
6,2,Exercise vs control sensitivity analysis: studies published as abstracts or conference proceedings only,Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Mean Difference,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,,9,,9,-13.46,-19.370753,-7.549247,,,,,,0.0,0,1.0,0.0,4.463241,,8.0E-6,,,,,analysis:396519768124035549
6,3,Exercise vs control sensitivity analysis: studies with adequate allocation concealment,Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,485,,431,-0.505749,-0.716195,-0.295302,,,0.106465,,,37.390827,16,0.001847,57.208756,4.710223,,2.0E-6,,,,,analysis:396519768127967713
6,4,Exercise vs control sensitivity analysis: studies using intention-to-treat analysis,Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,522,,472,-0.774067,-1.046374,-0.501761,,,0.268644,,,75.881994,20,0.0,73.643286,5.571461,,0.0,,,,,analysis:396519777978319251
6,5,Exercise vs control sensitivity analysis: studies with blinded outcome assessment,Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,531,,467,-0.528762,-0.725248,-0.332275,,,0.107216,,,43.52371,20,0.001742,54.048034,5.27443,,0.0,,,,,analysis:396519768147628534
6,6,"Exercise vs control sensitivity analysis: allocation concealment, intention-to-treat, blinded outcome",Exercise versus control - reduction in depressive symptoms post treatment: sensitivity analysis,Custom input,"#N/A",Continuous,false,,,,,,,Exercise,Control,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,242,,205,-0.460308,-0.884553,-0.036063,,,0.243353,,,26.985738,6,1.46E-4,77.766033,2.12657,,0.033456,,,,,analysis:396519777999815077
