Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Aziminekoo 2015,2015,PUB,3204629,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Iran</li>
</ul>","<ul>
 <li>Number of participants randomised: 118</li>
 <li>Age: BS 34.9 and CS 35.1</li>
 <li>Number of previous treatments: BS 3.7 and CS 3.1</li>
 <li>Infertility duration: BS 10.3 and CS 8.5 years</li>
 <li>Prognosis: poor prognostic factors</li>
 <li>Inclusion criteria: infertile women with at least two previous failures of implantation</li>
 <li>Exclusion criteria: females aged more than 40 years old with severe untreated uterus abnormalities, and couples with severe male factor infertility, such as severe oligospermia</li>
</ul>","<ul>
 <li>BS group: N = 57</li>
 <li>CS group (day 3): N = 61</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Long protocol (down-regulation with GnRH agonist and stimulation with rFSH)</li>
  <li>Injected oocytes were transferred to culture dish with cleavage medium (Sydney IVF cleavage medium, Cook Medical)</li>
  <li>In blastocyst group, on day 3, embryos were transferred to blastocyst medium (Sydney IVF blastocyst medium) for 48 h extended culture. Then, the day 5 embryos (blastocysts) were transferred to uterus.</li>
  <li>All embryo transfers were performed using the Sydney IVF catheter (K-JETS-7019-SIVF; Cook Medical)</li>
  <li>To support luteal phase, all participants received progesterone suppository.</li>
 </ul>
</ul>","<p>Clinical pregnancy rate</p>
<p>Multiple pregnancy rate</p>
<p>Miscarriage rate</p>
<p>Cancellation</p>","<p>The authors report no declarations of interest.</p><p>Funding source: not stated.&nbsp;</p><p>Authors were contacted for additional information; a reply was not received</p><p>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
Brugnon 2010,2010,PUB,3204631,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: France</li>
</ul>","<ul>
 <li>Number of participants randomised: 107</li>
 <li>Age: BS and CS: not stated</li>
 <li>Number of previous treatments: not stated</li>
 <li>Infertility duration: not stated</li>
 <li>Prognosis: good prognosis</li>
 <li>Inclusion criteria: if more than five oocytes were retrieved and three top-quality embryos (4 blastomeres, &lt; 20% fragmentation without multinuclear blastomeres) were observed at day two, the couples were included in the study.</li>
 <li>Exclusion criteria: Not described</li>
</ul>","<ul>
 <li>BS group: N = 52</li>
 <li>CS group (day 3): N = 56</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Sequential media was used in both groups.</li>
  <li>The freezing method was standard slow freezing method at day 3(FreezeKit, Vitrolife) and at day 5/6 (G- FreezeKit Blast, Vitrolife)</li>
 </ul>
</ul>","<p>Cumulative pregnancy rate</p>
<p>Clinical pregnancy rate per embryo transfer</p>","<p>Conference abstract: conflicts of interest and funding source not stated.</p><p>A letter was sent to the study authors, and a reply was received clarifying the randomisation process, as well as information on live birth rates and place where the study was done&nbsp;</p><p>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
Bungum 2003,2003,PUB,3204633,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Denmark</li>
</ul>","<ul>
 <li>Number of participants randomised: 118</li>
 <li>Age: BS 31.2 and CS 31.3</li>
 <li>Number of previous treatments: not stated</li>
 <li>Infertility duration: not stated</li>
 <li>Prognosis: good prognosis patients</li>
 <li>Inclusion criteria: D3 3 or more 8-cell embryos &lt; 20% fragmentation, eligible participants under 40 years of age, BMI &lt; 30, FSH &lt; 12</li>
 <li>Exclusion criteria: not stated</li>
</ul>","<ul>
 <li>BS group: N = 61</li>
 <li>CS group (day 3): N = 57</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Long protocol (down-regulation with GnRH agonist and stimulation with rFSH)</li>
  <li>HEPES-buffered medium, was used to rinse the oocytes(Vitrolife, Gothenburg,Sweden)</li>
  <li>Embryos cultured for either 3 or 5 days in the sequential media system used in the standard IVF/ICSI programme (G1/G2 Vitrolife, Gothenburg, Sweden).</li>
  <li>All embryo transfers were performed with a Cook Soft 5000catheter (Cook, Australia)</li>
  <li>To support luteal phase, all participants received progesterone suppository</li>
 </ul>
</ul>","<p>Clinical pregnancy rate</p>
<p>Multiple rate</p>
<p>Miscarriage</p>
<p>Embryo freezing rate</p>
<p>Implantation rate</p>","<p>3 or more 8-celled D3<br>Lower blastocyst rate in ICSI than IVF<br>A letter was sent to the study authors, and a reply was received clarifying the randomisation process. Authors also confirmed that the included study reported on the same participants as another scientific abstract, which was consequently excluded.<br>Conflicts of interest and funding source not stated.<br>Retraction Watch check: no retractions, corrections or expressions of concern found&nbsp;</p>"
Clua 2022,2022/1/10,MIX,27895933,<p>Study type: randomised controlled trial in parallel groups&nbsp;</p><p>Randomisation: at the start of the cycle</p><p>Country: Spain</p>,"<p>• Number of participants randomised: 134<br>• Age: BS 26.2 and CS 26.4<br>• Number of previous treatments: oocyte donors<br>• Infertility duration: oocyte donation cycles<br>• Prognosis: good prognosis<br>• Inclusion criteria: Recipients of donated oocytes aged between 18 and 50 years, in their first<br>or second synchronous oocyte donation cycle. Donors: Healthy oocyte donors aged between&nbsp;<br>18 and 34 years, with regular menstrual cycles, body mass index less than 28 kg/m2, normal karyotype and no relevant personal or family history<br>• Exclusion criteria: Cycles with an indication for preimplantation genetic testing for aneuploidies, cases of recurrent implantation failure and biopsy obtained spermatozoa</p>","<p>• TLS blastocyst stage: N = 65&nbsp;</p><p>• TLS cleavage stage (day 3): N = 69</p><p>• Description of the cycles:<br>◦ Ovarian stimulation protocol: not stated<br>◦ Collected oocytes remained in the culture environment G-IVFTM (Vitrolife) and underwent IVF or ICSI depending on sperm quality. Embryos were cultured in vitro from fertilization until day 3 or day 5 of embryonic development in the G-TLTM (Vitrolife, Västra Frölunda, Sweden) culture medium and incubated in time-lapse-monitored incubators (EmbryoScope®)</p>",<p>• Cumulative live birth rate&nbsp;</p><p>• Live birth rate</p><p>&nbsp;• Clinical pregnancy rate&nbsp;</p><p>• Multiple pregnancy rate</p><p>&nbsp;• Miscarriage rate</p>,"<p>Follow-up for CLBR is 12 months after the first embryo transfer, which included fresh and all subsequent transfers within this timeframe.</p><p>Authors were contacted for additional information; a reply was received confirming the follow-up time of outcome assessment. Also, additional unpublished data were received from the contact author in September 2024 via personal communication (email) to Demián Glujovsky. This is the source of data on cumulative pregnancy rates (analysis 3.1), embryo freezing rate (analysis 8.1) and failure rate to transfer embryos (analysis 9.1)</p><p>Conflicts of interest and funding source not stated.</p><p>Retraction Watch check: no retractions, corrections or expressions of concern found&nbsp;</p>"
Cornelisse 2024,2024,PUB,27895935,"<p>Study type: randomised controlled trial, multi centre&nbsp;</p><p>• Randomisation: on day 1 after fertilisation</p><p>• Country: the Netherlands</p>","<p>• Number of participants randomised: 1202<br>• Age: Range 18-43 y/o. BS 33.9 and CS 34.1<br>• Number of previous treatments: first, second or third treatment cycle<br>• Infertility duration: BS 33.6 and CS 33.4 (months)<br>• Prognosis: good prognosis<br>• Inclusion criteria: Women aged 18 to 43 years, scheduled for their first, second or third IVF or ICSI oocyte retrieval cycle, were eligible for participation. Each woman could participate in only one treatment cycle. To be eligible, women needed to have four or more embryos available on the second day following oocyte retrieval.&nbsp;<br>• Exclusion criteria: (1) preimplantation genetic testing (PGT), (2) the use of frozen-thawed oocytes, and (3) the use of donor oocytes.</p>",<p>• Blastocyst stage: N = 603&nbsp;</p><p>• Cleavage stage (day 3): N = 599<br>• Description of the cycles:<br>◦ Ovarian stimulation protocol: Controlled ovarian stimulation was conducted with a gonadotropin-releasing hormone (GnRH) agonist or a GnRH antagonist protocol.<br>◦ Culture media: according to the local protocol of the participating center (multi centre study trial)</p><p>◦ Cryopreservation: Blastocyst-stage group: vitrification; Cleavage stage group slow-freezing or vitrification according to the local protocol of the participating cente (8.5% Slow-freezing &nbsp;and 84.3% vitrification)</p>,<p>• Cumulative live birth rate • Cumulative ongoing pregnancy rate&nbsp;</p><p>• Cumulative clinical pregnancy rate</p><p>&nbsp;• Cumulative biochemical pregnancy rate</p><p>&nbsp;• Cumulative pregnancy loss rate</p><p>&nbsp;• Live birth rate after fresh transfer</p><p>&nbsp;• Ongoing pregnancy rate after fresh transfer&nbsp;</p><p>• Clinical pregnancy rate after fresh transfer&nbsp;</p><p>• Biochemical pregnancy rate after fresh transfer</p><p>• Pregnancy loss rate after fresh transfer</p><p>• Multiple pregnancy rate</p><p>• number of frozen embryos</p><p>• embryo utilization rate</p><p>• number of embryo transfers needed to achieve a live birth</p><p>•time to conception leading to live birth</p><p>• obstetric-perinatal outcomes</p>,"<p>Follow up for CLBR arising from pregnancies out of fresh or frozen-thawed embryos transfers from the study cycle or natural conceptions within 12 months after oocyte retrieval</p><p>Funding source: ZonMw (Netherlands)</p><p>A letter was sent to the study authors, and a reply was received clarifying the freezing method and the number of transferred embryos.<br>Conflicts: not stated<br>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
Coskun 2000,2000,PUB,3204635,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Israel</li>
</ul>","<ul>
 <li>Number of participants randomised: 201</li>
 <li>Age: BS 30.4 and CS 30.7</li>
 <li>Number of previous treatments: not stated</li>
 <li>Infertility duration: not stated</li>
 <li>Prognosis: good prognosis</li>
 <li>Inclusion criteria: all IVF/ICSI cycles from consenting patients with four or more fertilized oocytes.</li>
 <li>Exclusion criteria: no exclusion criteria</li>
</ul>","<ul>
 <li>BS group: N = 100</li>
 <li>CS group (day 3): N = 101</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Long protocol (down-regulation with GnRH agonist and stimulation with rFSH)</li>
  <li>IVF medium(Medi-Cult) was used to rinse the oocytes.</li>
  <li>Embryos cultured for day 3 were cultured in IVF medium(Medi-cult). Embryos for day 5 were cultured in the sequential media system (G1/G2 Vitrolife, Gothenburg, Sweden).</li>
  <li>To support luteal phase, all participants received progesterone suppository(100mg/daily i.m)</li>
 </ul>
</ul>","<p>Clinical pregnancy rate</p>
<p>Multiple pregnancy rate</p>
<p>High-order multiple pregnancy rate</p>
<p>Miscarriage rate</p>","<p>Prognosis: good<br>4 or more zygotes<br>Young women<br>Good ET policy<br>Mixture of media brands<br>Low blast rate<br>High implantation rate considering<br>No dropouts unusual</p><p>Conflicts and funding source not stated<br>Retraction Watch check: no retractions, corrections or expressions of concern found&nbsp;</p>"
Devreker 2000,2000,PUB,3204637,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Belgium</li>
</ul>","<ul>
 <li>Number of participants randomised: 23</li>
 <li>Age: not stated</li>
 <li>Number of previous treatments: not stated</li>
 <li>Infertility duration: not stated</li>
 <li>Prognosis: poor prognostic</li>
 <li>Inclusion criteria: age &lt; 40 years old and &gt; four previous cycles</li>
 <li>Exclusion criteria: not stated</li>
</ul>","<ul>
 <li>BS group: N = 11</li>
 <li>CS group (day 2): N = 12</li>
 <li>Description of the cycles: not stated</li>
</ul>","<p>Live birth rate</p>
<p>Clinical pregnancy rate</p>
<p>Miscarriage rate</p>","<p>Prognosis: poor<br>Abstract only<br>Letter sent regarding randomisation, no response received<br>Conflicts not stated<br>Supported by the NAtional Belgian Funds for Scientific Research<br>Retraction Watch check: no retractions, corrections or expressions of concern found&nbsp;</p>"
Elgindy 2011,2011,PUB,3204639,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Egypt</li>
</ul>","<ul>
 <li>Number of participants randomised: 200</li>
 <li>Age: BS 28.47 and CS 27.7</li>
 <li>Number of previous treatments: not stated</li>
 <li>Infertility duration: BS 6.22 and CS 6.84 years</li>
 <li>Prognosis: not stated</li>
 <li>Inclusion criteria: participants under 35 years of age, with regular cycles, serum day-3 FSH concentration &lt; 9.5 IU/L and antral follicle count &gt; 6. At least four good-quality embryos on day 3</li>
 <li>Exclusion criteria: not described</li>
</ul>","<ul>
 <li>BS group: N = 100</li>
 <li>CS group (day 2): N = 100</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Long protocol (down-regulation with GnRH agonist and stimulation with rFSH and HCG)</li>
  <li>Embryos were cultured in sequential media (Sage; Cooper Surgical, USA)</li>
 </ul>
</ul>",<p>Live birth rate per fresh embryo transfer</p><p>Clinical pregnancy rate</p><p>Miscarriage rate</p><p>Failure rate to transfer embryos</p>,"<p>Conflicts and funding source not stated<br>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
Emiliani 2003,2003,PUB,3204641,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Belgium</li>
</ul>","<ul>
 <li>Number of participants randomised: 171</li>
 <li>Age: BS 32 and CS 31</li>
 <li>Number of previous treatments: BS 2.0 and CS 1.7</li>
 <li>Infertility duration: not stated</li>
 <li>Prognosis: mixed unselected</li>
 <li>Inclusion criteria: participants under 39 years of age, 3 or fewer previous cycles, 4 or more 2PN on day 1</li>
 <li>Exclusion criteria: not described</li>
</ul>","<ul>
 <li>BS group: N = 82</li>
 <li>CS group (day 2): N = 89</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Ovarian stimulation was performed using GnRH analogue (buserelin acetate: Suprefact spray; Hoechst, Germany), hMG (Humegon; Organon, The Netherlands) and hCG (Pregnyl; Organon).</li>
  <li>For culture between day 3 and day 5 after insemination, similar dishes were prepared, containing blastocyst medium (in-house sequential media).</li>
 </ul>
</ul>","<p>Live birth rate per fresh embryo transfer</p>
<p>Cumulative pregnancy rate</p>
<p>Clinical pregnancy rate</p>
<p>Multiple pregnancy rate</p>
<p>Failure rate to transfer embryos</p>","<p>Prognosis: mixed unselected<br>Outcome: discontinued blast culture<br>Gives cumulative fresh thawed rates<br>Not all different women - per cycle data only<br>Conflicts and funding source not stated<br>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
Fernandez-Shaw 2015,2015,MIX,3204643,"<ul>
 <li>Study type: randomised controlled trial in parallel groups</li>
 <li>Country: Spain</li>
</ul>","<ul>
 <li>Number of participants randomised: 120</li>
 <li>Age: BS 35.2 and CS: 36.3</li>
 <li>Number of previous treatments: BS 0 and CS 0</li>
 <li>Infertility duration: BS 23.9 months and CS 27.7 months</li>
 <li>Prognosis: mixed unselected</li>
 <li>Inclusion criteria: first IVF or ICSI cycle; presence of normal uterine cavity; ejaculated sperm origin; absence of any contraindications to pregnancy</li>
 <li>Exclusion criteria: oocyte donation cycles; vitrified oocytes cycles; non-ejaculated sperm; PGD</li>
</ul>","<ul>
 <li>BS group: N = 60</li>
 <li>CS group (day 3): N = 60</li>
 <li>Description of the cycles:</li>
 <ul>
  <li>Three ovarian stimulation protocols were used for the 120 participants in the study depending on their age and diagnosis: long GnRH agonist protocol with intranasal nafarelin; short GnRH agonist protocol with nafarelin; GnRH antagonist protocol where the ganirelix was started on day 6 of the stimulation. All with recombinant daily FSH. Some participants were given added hMG when needed.</li>
  <li>Oocytes and embryos were cultured in sequential media of Vitrolife Sweden (G5 series, Kungsbacka, Sweden) using IVF, G1 and G2 medium as recommended by the manufacturer.</li>
  <li>All embryo transfers were performed using a Wallace catheter with EmbryoGlue media.</li>
  <li>To support luteal phase, all participants received progesterone suppository.</li>
  <li>Frozen embryos were vitrified in the day 3 and day 5 groups respectively. The vitrification followed the Irvine Scientific procedure.</li>
 </ul>
</ul>","<p>Cumulative live birth rate*</p>
<p>Live birth rate*</p>
<p>Cumulative pregnancy rate</p>
<p>Clinical pregnancy rate</p>
<p>Multiple pregnancy rate</p>
<p>Miscarriage rate</p>
<p>The percentage of participants with embryos that were vitrified</p>
<p>Three participants from the day 3 group and 2 from the day 5 group (with a mean number of 3 vitrified embryos) had not done a frozen embryo transfer cycle at the time of closing our interim analysis.</p>","<p>Authors were contacted for additional information; a reply was received clarifying the randomization and allocation process, protocol registration and live birth rates. Also, additional unpublished data were received from the contact author in May 2016 via personal communication (email) to Demián Glujovsky. This is source of data on live births (analysis 1.1)</p><p>Conflicts: the authors declared that they have no conflict of interest.&nbsp;</p><p>Funding source not stated</p><p>Retraction Watch check: no retractions, corrections or expressions of concern found</p>"
