Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Cornelisse 2018,2018,PUB,16278297,<p>Ineligible study design: non-RCT; letter to the editor</p>
Green 2016,2016,PUB,16278299,<p>Ineligible study design: a retrospective cohort</p>
Guerin 1991,1991,PUB,3204692,<p>Used co-culture</p>
Holden 2017,2017,PUB,16278301,<p>Ineligible study design: retrospective review</p>
Loup 2009,2009,PUB,3204696,<p>Included transfer of embryos on two separate days within the same cycle</p>
Madani 2024,2024/2/2,PUB,27895943,"<p>Ineligible population: only women who underwent frozen-thawed embryo transfer. In this study, no fresh embryo transfers were included.</p>"
Menezo 1992,1992,PUB,3204698,<p>Used co-culture</p>
Mengels 2024,2024/1/5,PUB,27895945,<p>Ineligible population: a fresh embryo transfer in both groups was performed on Day 3. and then were randomised for the frozen embryo transfer.</p>
NCT04210414,,UNPUB,29632164,<p>Study terminated due to COVID pandemic</p>
Torky 2021,2021/4/27,PUB,27895947,<p>Excluded due to retraction by journal</p>
Utsonomiya 2004,2004,PUB,20577107,"<p>Ineligible study design: non-randomised study (sequentially numbered), confirmation from trial author</p>"
Zech 2007,2007,PUB,3204704,"<p>Ineligible study design: non-randomised study; according to even or odd year of birth, confirmation from trial author</p>"
