Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Clinical remission,Induction - Adalimumab vs BI695501,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,BI695501,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BI695501,Favours adalimumab,100,true,46,72,54,75,0.8873456790123457,0.7094287441901775,1.1098822263829873,,,0,,,0,0,1,0,1.046840075424799,,0.2951733587888665,,,,,analysis:429491605671280519
1,2,Clinical response,Induction - Adalimumab vs BI695501,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,BI695501,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours BI695501,Favours adalimumab,100,true,59,72,55,75,1.1174242424242424,0.9386847481912715,1.3301983865865084,,,0,,,0,0,1,0,1.2484518616930074,,0.2118656509475788,,,,,analysis:438700439573799777
2,1,Clinical remission,Induction - Adalimumab vs Placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours placebo,Favours adalimumab,100,true,95,293,15,97,2.0922884447051056,1.2774751327484863,3.426814991246017,,,0,,,0.019631139449619826,1,0.8885721646898118,0,2.9327919835118434,,0.003359288821649741,,,,,analysis:429491621544361865
2,2,Clinical response,Induction - Adalimumab vs Placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours placebo,Favours adalimumab,100,true,156,293,29,97,1.766241187476896,1.205282398867673,2.5882796722747923,,,0.015115564363778321,,,1.1195035744600428,1,0.29002540894130924,10.674693425403452,2.9176044577543987,,0.0035273148089404027,,,,,analysis:438700456305664882
3,1,Clinical remission,Induction - Adalimumab vs Ustekinumab,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,Ustekinumab,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours ustekinumab,Favours adalimumab,100,true,109,191,117,195,0.9511343804537522,0.8039504099885826,1.1252641934643588,,,0,,,0,0,1,0,0.5840789082920878,,0.5591672273370085,,,,,analysis:429491622774865803
3,2,Clinical response,Induction - Adalimumab vs Ustekinumab,Custom input,#N/A,Dichotomous,true,,,,,,,Adalimumab,Ustekinumab,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours ustekinumab,Favours adalimumab,100,true,138,191,129,195,1.0921709484962863,0.9557475368469937,1.2480674391005413,,,0,,,0,0,1,0,1.2951089109481428,,0.19528266134784944,,,,,analysis:438700475383194501
4,1,Clinical remission,Induction - AdalimumabAZA vs AZA,Custom input,#N/A,Dichotomous,true,,,,,,,AdalimumabAZA,AZA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aza,Favours Ada-Aza,100,false,72,261,19,269,3.8706679890088482,2.119717981361789,7.067954705707003,,,0.06688145695177199,,,1.534854900947125,1,0.21538571632861436,34.84726149794863,4.405371743558193,,0.00001056026197420888,,,,,analysis:432958226867847261
4,2,Clinical response,Induction - AdalimumabAZA vs AZA,Custom input,#N/A,Dichotomous,true,,,,,,,AdalimumabAZA,AZA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aza,Favours Ada-Aza,100,false,130,261,69,269,1.9614103028266199,1.2357601862122185,3.1131690589793286,,,0.08154447796196959,,,3.756526459770498,1,0.05260201952989674,73.37966308212577,2.8580544952313205,,0.004262471815050176,,,,,analysis:438700395904803665
5,1,Clinical remission,Induction - Andecaliximab vs Placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Andecaliximab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours placebo,Favours andecaliximab,100,true,26,159,6,28,0.7631027253668763,0.3457752226941277,1.6841165336403494,,,0,,,0,0,1,0,0.6694018477337629,,0.5032391776066011,,,,,analysis:429491623809810317
5,2,Clinical response,Induction - Andecaliximab vs Placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Andecaliximab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,STUDY,Favours placebo,Favours andecaliximab,100,true,21,159,4,28,0.9245283018867925,0.34321487332027495,2.490429895187129,,,0,,,4.822068253026066e-32,0,0,0,0.15520976452473312,,0.8766559506483504,,,,,analysis:438700493391176583
