Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Funding sources,Char: Declarations of interest,Char: Contact of study author,Char: Notes,Cov: Fluorescent agent,Cov: Multifocality,Cov: Setting,Cov: Stage,Cov: Tumor size
Babjuk 2005,2005,PUB,16118437,"<ul><li data-list-item-id=""e372c194f247431655bf08ffdba2de726"">randomized, parallel unblinded</li><li data-list-item-id=""eca9834e07d28600be0b93c685c5cdcde"">single center/Czech Republic</li><li data-list-item-id=""e7121af2e14be2fec9fae97f1ca05a874"">trial period: 2001 to 2005</li><li data-list-item-id=""ea2ded3ffcca5c5794f6d617f01ed9fa5"">duration of follow-up: 24 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e77ee0b23a52372dd7423f05f1910d169"">primary and recurrent</li><li data-list-item-id=""eba7d9ec87659b98e9cc1ea097dc4025e"">only Ta/T1</li><li data-list-item-id=""e8872aa18e9f28d224bc5c24cb4162ad0"">adjuvant instillation/re-resection: NA/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e9c3cbc6521b7a5a90abff71f0ca71961"">patients with suspected primary or recurrent superficial BCa planned for TURBT</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""ec012b6b042f7538e05361bea1f5a87e4"">surgical or instillation therapy within 3 months</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""ec88df5d91c1ad27e6b1470f9c4180ea3"">participants recruited: 64</li><li data-list-item-id=""ea5d4167ecad4307e61c0491499328622"">unifocal/multifocal tumors: 15/45</li><li data-list-item-id=""ed85ba5fb1e06e10b279ff068b8560766"">age (years (mean), range): 67.9 ± NA </li><li data-list-item-id=""edd460e13a7c087b3118c012ea3dda765"">gender (male/female): 43/17</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""e1dda5d89425a069dd5229768ca721808"">participants recruited: 64</li><li data-list-item-id=""e6e795084e60d2517f7b444a7805a75e3"">unifocal/multifocal tumors: 24/38</li><li data-list-item-id=""e269fd11b34df4c81784a286459ee6eea"">age (years (mean), range): 67.9 ± NA</li><li data-list-item-id=""eb7904a957842f6ab02cf4bef531ea2fc"">gender (male/female): 39/23</li></ul>",<p>Intervention: WLC + BLC &nbsp;+ BL-TURBT (1 g 5-ALA)</p><p>Comparator: WLC + WL-TURBT</p><p>Adjuvant instillation therapy: NA</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence-free survival</li>
 <li>recurrence rate</li>
 <li>progression rate (to muscle invasive disease)</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 24 months</li>
 <li>RFS was 17.1 months in intervention group vs 8.1 months in comparator group</li>
 <li>RFS rate was 40% in intervention group vs 28% in comparator group</li>
</ul>",<p>Grant of Czech Health Ministry</p>,<p>NA</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: reply by author; original study data no longer available</p>",,,,,,
Drăgoescu 2017,2017,PUB,16118440,"<ul><li data-list-item-id=""e0250db76019acdd0dbc1ba577b89e4c1"">randomized, parallel-group trial</li><li data-list-item-id=""efc199b21f0310f7712df019d6acf42fb"">single center/Romania</li><li data-list-item-id=""e5c30ae63a96767589bc6caf01fae6ec0"">trial period: 2009 to 2011</li><li data-list-item-id=""e15b7c867ec7e0568d9f1d7a116d09c29"">duration of follow-up: 60 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""ea6e747a318bca982e5dc9d84eb41d033"">primary</li><li data-list-item-id=""e1d29f18153175000c9bfa8c64953c2e3"">adjuvant instillation/re-resection: mitomycin C, doxorubicin, farmorubicin/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e9b82c3da79425fd8acf214b98b24a594"">patients with primitive NMIBC diagnosed</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e73bb3d48632b6eaf13bd11cc18b97149"">NR</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""ea409f310fef6c5d65fa428b38f714a83"">participants recruited: 57</li><li data-list-item-id=""ebe9b37942d9e3382918f10a9c868988e"">unifocal/multifocal tumors: 27/30</li><li data-list-item-id=""ebbfd3f0985489ce4a598fc2b85468e47"">age (years (mean), range): 59.4 ± 9.9</li><li data-list-item-id=""ec087ed7c1858a1bdc6cc8f4d53383954"">gender (male/female): 45/12</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""eb97a4306d62267315f88f96737b3dd4e"">participants recruited: 56</li><li data-list-item-id=""e2b68656c4bf2b413e293700e3c1a50d1"">unifocal/multifocal tumors: 30/26</li><li data-list-item-id=""e3528a9b9e492daab9f48b7514032dff0"">age (years (mean), range): 60.3 ± 10.2</li><li data-list-item-id=""e3b8feb0d7b1319c693696d380a11ed78"">gender (male/female): 43/13</li></ul>","<p>Intervention: WLC + BLC + BL-TURBT (0.85 g HAL)</p><p>Comparator: WLC + WL-TURBT</p><p>Adjuvant instillation therapy:&nbsp;30 to 50 mg mitomycin C, doxorubicin, farmorubicin within 6 hours after surgery</p>","<p>Outcome(s)</p>
<ul>
 <li>recurrence-free survival</li>
 <li>detection rate</li>
 <li>progression rate</li>
 <li>cancer-related death</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 72.1 months</li>
 <li>RFS was 38.6 months in intervention group vs 32.3 months in comparator group (P = 0.2)</li>
 <li>5-year recurrence rate was 49.1% in&nbsp;intervention group vs 67.9% in comparator group</li>
 <li>detection rate: 26.3% more in intervention group</li>
 <li>progression rate was 8.7%&nbsp;in intervention group vs 10.7% in comparator group</li>
</ul>",<p>National Scientific Research Council (CNCSIS) within the National Exploratory Research Project Program (PCE–2)</p>,<p>None</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
Filbeck 2002,2002,PUB,16118446,"<ul><li data-list-item-id=""e6b706730ab99cde02be0b6090348cc8a"">randomized</li><li data-list-item-id=""ee518595cd5434504a5f56eeb98632a6a"">single center/Germany</li><li data-list-item-id=""e08ce71bf1151d51893c3a8467b32e06b"">trial period: 1997 to 2000</li><li data-list-item-id=""ef6484497cecd59031b05182849ed4c7e"">duration of follow-up: 24 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e9e3db00393fba675f7cf79ae6d6846db"">primary and recurrent</li><li data-list-item-id=""ef80f979d4d6acb7cb323d37e09570b74"">adjuvant instillation/re-resection: NA/WL-TURBT after 6 weeks</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e16fc4fdcecfdddcdfc7504f35dc9e12c"">patients with suspected primary or recurrent BCa on preoperative endoscopy</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""ee2c4e3f53b617328cee5a4c9037a0738"">NR</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""e8c02ccb7b7b2a2d4c049a96685359a84"">participants recruited: 151</li><li data-list-item-id=""e1946eeca590c7fe509b0c0bc05b40da4"">unifocal/multifocal tumors: 55/33</li><li data-list-item-id=""ee51504d6af7fbfff66aaa134a2f0eabc"">age (years (mean), range): 68.0 (31 to 88)</li><li data-list-item-id=""ef73a239fba10e7eba41adc6cd93ac904"">gender (male/female): NA</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""eefe915720d0d1c712d15e9647179d51b"">participants recruited:&nbsp;150</li><li data-list-item-id=""e76643986d0962203fc69f8c8f63c1712"">unifocal/multifocal tumors: 79/24</li><li data-list-item-id=""e92976dc8c044dc348ff0e5af591bbc95"">age (years (mean), range): 70.0 (32 to 89)</li><li data-list-item-id=""eaf23001319d05e51494f633f2fc7f848"">gender (male/female): NA</li></ul>",<p>Intervention: BL-TURBT (1 g 5-ALA)</p><p>Comparator: WL-TURBT</p><p>Adjuvant instillation therapy: NA</p>,"<p>Outcome(s)</p>
<ul>
 <li>recurrence-free survival</li>
 <li>residual tumor rate</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 24 months</li>
 <li>RFS rate was 57% in comparator group vs 28% in intervention group (P &lt; 0.001)</li>
</ul>",<p>NR</p>,<p>NR</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
Geavlete 2010,2010,PUB,16118454,"<ul><li data-list-item-id=""e79fe4e381b17bbfc2888e9409ba85753"">randomized</li><li data-list-item-id=""e0cf8c9ad46334081c1f7aa8e6f7901f9"">single center/Romania</li><li data-list-item-id=""e6fe3ed379ce02bb5d89311dcafc9e74a"">trial period: 2007 to 2009</li><li data-list-item-id=""e7f1a7ba2928aedda3e8ab3d3e16bb2e0"">duration of follow-up: 6 weeks</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e2cb0c54d54d4bd6e8c1020c3f95b37b7"">primary</li><li data-list-item-id=""e83f31f70d43d1c5684513f3c9e4d7d4d"">adjuvant instillation/re-resection: Mitomycin C/WL-TURBT after 6 weeks</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e2b9e2f3e137573ef9a352a73c2c3002e"">patients with suspicion of BCa based on positive urinary cytology and ultrasound</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e2b232d1c901ae14539d2a1a77599d650"">massive hematuria</li><li data-list-item-id=""eff4c65e98a6616973e76c2028098bfe9"">moderate to severe leukocyturia</li><li data-list-item-id=""e786957624ecfc516261602d2d7978814"">prior intravesical instillations earlier than 3 months</li><li data-list-item-id=""e47cbd1e843a1e33f966612f033e76d3c"">suspicion of upper urinary tract disease</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""ec17f3be4496631135933004e5420da05"">participants recruited: 223</li><li data-list-item-id=""ece19ff951e9956ad60de25a9338aacee"">unifocal/multifocal tumors: NR</li><li data-list-item-id=""e7355465f9e9d07304392e62041f75971"">age (years (mean), range): 64.0 (32 to 86), no separate reporting for cohorts</li><li data-list-item-id=""e628b5f2c9bf000b09e5655263fb77ad5"">gender (male/female): 327/119, no separate reporting for cohorts</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""ecbaaf5c71ad749aee382c9e6cab8dd8b"">participants recruited: 223</li><li data-list-item-id=""e6c984f4512a8750c0e85328b54847141"">unifocal/multifocal tumors: NR</li><li data-list-item-id=""e4e8b95abcdeb0724d5fcd967bd832bbc"">age (years (mean), range): 64.0 (32 to 86), no separate reporting for cohorts</li><li data-list-item-id=""ec69a6fe916b07b9fde384dc9e5c24097"">gender (male/female): 327/119, no separate reporting for cohorts&nbsp;</li></ul>",<p>Intervention: WLC + BLC + WL-TURBT + BL-TURBT (HAL)</p><p>Comparator: WLC + &nbsp;WL-TURBT</p><p>Adjuvant instillation therapy: mitomycin C (no further information on dosage)</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence rate</li>
 <li>detection rate</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 6 weeks</li>
 <li>RFS rate was 11.1% in intervention group vs 31.2% in comparator group</li>
</ul>",<p>NR</p>,<p>NR</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
Geavlete 2012,2012,PUB,16118458,"<ul><li data-list-item-id=""e0af7b8450844d17b4a226a6438af1661"">randomized</li><li data-list-item-id=""ef8ebd90a0a157d87d8acddd223b0806c"">single center/Romania</li><li data-list-item-id=""e9f49a086dfb3e5125313e376c84bee14"">trial period: NA</li><li data-list-item-id=""e36370330062c363be5fd67f96a398e0b"">duration of follow-up: 24 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e37561e4d9418e3baa7849a1fef10c9b0"">primary and recurrent</li><li data-list-item-id=""e50642de2090416437540a396035ca2bf"">adjuvant instillation/re-resection: Mitomycin C/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e0c03a18a43d4c6f54c28b72a2ddc2fec"">patients with suspected NMIBC based on positive urinary cytology and ultrasound</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e8a8e68593afbf02ebbfed03f2a625ba1"">massive hematuria</li><li data-list-item-id=""e8672b2f80d02ecc4d7ae0e81eab2e350"">moderate to severe leukocyturia</li><li data-list-item-id=""e50319970cf72caaf6f904ee559008e58"">prior intravesical instillations earlier than ≤ 3 months</li><li data-list-item-id=""eb5f2e47b2dc150ee54cd309c11c2e0c2"">suspicion of upper urinary tract disease</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""e88aff691d612eabb962138c652babec2"">participants recruited: 181</li><li data-list-item-id=""ec0114656f333c26d8ce6dd55980351a6"">unifocal/multifocal tumors: 53/89</li><li data-list-item-id=""e4e8b95abcdeb0724d5fcd967bd832bbc"">age (years (mean), range): 66.8 (31 to 85), no separate reporting for cohorts</li><li data-list-item-id=""ec69a6fe916b07b9fde384dc9e5c24097"">gender (male/female): 267/95, no separate reporting for cohorts&nbsp;</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""e3c2b811941044c519649f32939523169"">participants recruited: 181</li><li data-list-item-id=""ee5930213171890362ad74928d040d80c"">unifocal/multifocal tumors: NR</li><li data-list-item-id=""e4e8b95abcdeb0724d5fcd967bd832bbc"">age (years (mean), range): 66.8 (31 to 85), no separate reporting for cohorts</li><li data-list-item-id=""ec69a6fe916b07b9fde384dc9e5c24097"">gender (male/female): 267/95, no separate reporting for cohorts&nbsp;</li></ul>",<p>Intervention: WLC + BLC + WL-TURBT + BL-TURBT (HAL)</p><p>Comparator: WLC + WL-TURBT</p><p>Adjuvant instillation therapy: mitomycin C (no further information on dosage)</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence rate</li>
 <li>detection rate</li>
 <li>progression rate</li>
 <li>postoperative treatment modification</li>
 <li>false-positive rate</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 24 months</li>
 <li>RFS rate was 31.2% in intervention group vs 45.6% in comparator group</li>
 <li>recurrence rate at 24 months was 35.4%&nbsp;in intervention group vs 54.0% in comparator group</li>
 <li>detection rate was&nbsp;92.2% in intervention group&nbsp;vs 80.3% in comparator group (P = 0.046)</li>
 <li>progression rate at 24 months was 4.0%&nbsp;in intervention group vs 7.0% in comparator group (P = 0.123)</li>
</ul>",<p>NR</p>,<p>1 author: received honoraria from GE Healthcare when spoke at a company-sponsored symposia</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
Gkritsios 2014,2014,PUB,16118470,"<ul><li data-list-item-id=""e11e08987956b09872461f404796ce95e"">randomized</li><li data-list-item-id=""e70cb76334aa2d87327405cfb34f3e69f"">single center/Greece</li><li data-list-item-id=""e0125a6f24de8d1a9489c60beace21d97"">trial period: NA</li><li data-list-item-id=""e54a8aad951601e8c71dd964e76ea17cb"">duration of follow-up: 40 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e0dfbf7f360adbbf23cec039c9d072bbb"">primary and recurrent</li><li data-list-item-id=""e4857db28fa93f1e340185a189ce33ada"">adjuvant instillation/re-resection: Epirubicin/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""ece42a31121c77d375c8c9435b45f3497"">patients with suspected or confirmed NMIBC</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""ee67f2e1c228cfaf643d880b05bca7033"">patients scheduled for a second TURBT</li><li data-list-item-id=""e5da729ba9416d576488449744935c10c"">porphyria</li><li data-list-item-id=""e2d44996c72b257dd68519569346ef87a"">gross hematuria</li><li data-list-item-id=""e81dbe6168f83c935c4238213479df3b1"">known allergy to HAL</li><li data-list-item-id=""e2abfd475decb23b6b4f3edf03a70b631"">presence of &gt; 4 solitary tumors</li><li data-list-item-id=""ee3131e35590c5b24f4f2a8b72721a4eb"">large tumors (&gt; 3 cm in diameter)</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""e98d3a732ba2428005d8e950e3f8af90f"">participants recruited: 66</li><li data-list-item-id=""e65379b4d7a834ce5701348f39bf1cce5"">unifocal/multifocal tumors: NR</li><li data-list-item-id=""e3d330918fef62716ff0493ccefbfe3f5"">age (years (mean), range): 66.0 ± NA</li><li data-list-item-id=""e1afc58f94bfbd7fafb79e0c29177430f"">gender (male/female): 43/11</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""eb896342bcfb9ba2a004a0d2a4e6d99b7"">participants recruited: 64</li><li data-list-item-id=""e26f47c5eac99af16eba50281cba1b618"">unifocal/multifocal tumors: NR</li><li data-list-item-id=""e7675b53dc623fbfacc86ef0320cd0cc2"">age (years (mean), range): 68.2 ± NA</li><li data-list-item-id=""e5a17b79d5da67b7de714281bb3c40cfb"">gender (male/female): 44/6</li></ul>",<p>Intervention: WLC + BLC + WL-TURBT + BL-TURBT (0.85 g 5-ALA)</p><p>Comparator: WLC + WL-TURBT</p><p>Adjuvant instillation therapy:&nbsp;50 mg&nbsp;epirubicin</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence-free survival</li>
 <li>detection rate</li>
 <li>recurrence rate</li>
 <li>false-positive rate</li>
 <li>adverse events</li>
 <li>surgeon opinion on whether blue light ""helped them with patient""</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 40 months</li>
 <li>RFS was 31.0 months in intervention group vs 27.0 months in comparator group</li>
 <li>recurrence rate within 40 months was&nbsp;37.5%&nbsp;in intervention group vs 45.9% in comparator group (P =&nbsp;0.507)</li>
 <li>surgeon opinion: in&nbsp;34 out of the 54 participants (63%, 95% CI&nbsp;50.1 to 75.8) blue light was helpful</li>
</ul>",<p>NR</p>,<p>NR</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
Heer 2022,2022,PUB,29055939,"<ul><li data-list-item-id=""e2897bae97536e5dad6b424a30bd1956b"">randomized, parallel group</li><li data-list-item-id=""eea4dde32127e54ff3d05eee8e7d74d6f"">multicenter, United Kingdom</li><li data-list-item-id=""ef355c342fe25eb2b8f1277631b0c5d31"">trial period: 2014 to 2018</li><li data-list-item-id=""e9498b61379a4c8ddddfb8408ccf1247b"">duration of follow-up: 44 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""ee98ef5be32ba1b9b6dbdea557ce45aeb"">primary </li><li data-list-item-id=""ea506e1f30fbdc16d839a152fa654cef4"">adjuvant instillation/re-resection: Mitomycin C/WL-TURBT</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e40142cf19211349b81bf8404af759365"">patients with supected primary intermediate or high risk NMIBC</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e69d1fbc85b834171bf81b1ff28860807"">low risk NMIBC</li><li data-list-item-id=""e5368719e96269ce1b4ec81a352744c59"">evidence of MIBC</li><li data-list-item-id=""e5b5c0832bc20da56b690cfee0ad84d2f"">evidence of metastasis</li><li data-list-item-id=""ebfbe8fef2ff5a7eb8165790e1b7e39d3"">evidence of upper tract involvement</li><li data-list-item-id=""ef188ca5db5b9790eed85ef3028110884"">life threating malignancies in the past 2 years</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""ea1c145e3c399220c4f7cf0990ac340ca"">participants recruited: 269</li><li data-list-item-id=""ea548831ef2339c90f558e6643a57e409"">unifocal/multifocal tumors: 66/139/missing: 4</li><li data-list-item-id=""ed786e4cf535fb4f7e22ee8362246e2c4"">age (years (mean), range): 71.0 ± NA</li><li data-list-item-id=""eca2f6d5704b265f5a599142ec04a9f77"">gender (male/female): NA</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""e537cd508d57963b8e730a87ea40682fb"">participants recruited: 269</li><li data-list-item-id=""ed06b79dbeb7f8c79b7a2974923bc2014"">unifocal/multifocal tumors: 81/134/missing: 2</li><li data-list-item-id=""ef7cdb7c4a25be21c8225d5affa09b65a"">age (years (mean), range): 70.0 ± NA</li><li data-list-item-id=""e380a3fc094299d131bbb2e634dee8b71"">gender (male/female): NA</li></ul>",<p>Intervention: BL-TURBT (0.85 g HAL)</p><p>Comparator: WL-TURBT</p><p>Adjuvant instillation therapy: 40 mg in 40 ml saline Mitomycin C</p>,"<p>Outcome(s)*</p><ul><li>recurrence-free survival</li><li>adverse events</li><li>self-reported health-related quality of life</li><li>disease progression (to MIBC)</li><li>overall survival</li><li>bladder cancer survival</li><li>quality-adjusted life years</li><li>costs</li></ul><p>Results</p><ul><li>median follow-up: 44 months</li><li>RFS: 0.94 (95% CI, 0.69 to 1.28; P = 0.70)</li><li>adverse events: 3 complications in the intervention group vs 5 complications in the comparator group</li><li>health-related quality of life: responses were similar in BL- and WL-TURBT groups at all time points</li><li>disease progression: 1.41 (95% CI, 0.67–2.96)</li><li>overall survival: 0.83 (95% CI, 0.49–1.41)</li><li>bladder cancer suvival: 1.13 (95% CI, 0.46–2.78)</li><li>quality-adjusted life years: 2.087 with BL-TURBT and 2.094 WL-TURBT</li><li>costs: there was no evidence of differences between the groups in terms of staff time and length-of stay costs; there was no evidence of differences between the groups in health service costs (mean difference, £ 876; 95% CI, 2776 to 2518; P = 0.59) over 36 months</li></ul>",<p>National Institute for Health and Care Research (NIHR) Health Technology Assessment program&nbsp;</p>,<p>None</p>,<p>NA</p>,,,,,,
Hermann 2011,2011,PUB,16118473,"<ul><li data-list-item-id=""e682ad38f9bced7e0c80b1eaee4306974"">randomized, comparative</li><li data-list-item-id=""edd68c47a3b38246cc690843d71297049"">multicenter (2 centers)/Denmark</li><li data-list-item-id=""e5127db553cfcdb1984a7cd5ab3d7a61c"">trial period: NA</li><li data-list-item-id=""ebcccc5442fbc971584dee33a5faebb75"">duration of follow-up: 12 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""ebd6b68ecb6f52a170b235ed8e1bd1c82"">primary and recurrent</li><li data-list-item-id=""e4f627d886c74d23694909bf040f40b1b"">only Ta/T1</li><li data-list-item-id=""e6bab5eff54604ad616acd5a9902f5961"">adjuvant instillation/re-resection: NA/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""e0fa8e61a1e202a22e1f6709e0e83294e"">patients with suspicion of BCa based on cystoscopy</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e04fd26ca1869de5a37cca87adc20bbed"">porphyria</li><li data-list-item-id=""e4435ea918cc73b5978aed0f9846b5636"">gross hematuria</li><li data-list-item-id=""ef5581e05efd18e46d726c9b56abd24e7"">known allergy to HAL</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""e6e544e7ec72d2582040e3fcf4acc9b9b"">participants recruited: 115</li><li data-list-item-id=""e8d472fbb54939abd001872edcf0c8131"">unifocal/multifocal tumors: 44/24&nbsp;(0 to 1: 44/2 to 7:&nbsp;24/&gt; 8: 0)</li><li data-list-item-id=""e325872e354baf094efe36feb33655941"">age (years (mean), range): 71.0 (35 to 96)</li><li data-list-item-id=""ec61e09e85fb73a9b7d607c077ec7b0d6"">gender (male/female): NA</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""e40003e025679f7dd935dbdb5a088db17"">participants recruited: 118</li><li data-list-item-id=""ee0c968ba5c78e0919891f229e194af4b"">unifocal/multifocal tumors: 48/29 (0 to 1: 48/2 to 7: 29/&gt; 8: 0)</li><li data-list-item-id=""eea1ff3a426604ae1389c7798dba60b58"">age (years (mean), range): 69.0 (41 to 92)</li><li data-list-item-id=""e57835bb81915c5029f82669bbe3ffdd2"">gender (male/female): NA</li></ul>",<p>Intervention: WLC + WL-TURBT + BL-TURBT (0.85 g 5-ALA)</p><p>Comparator: WLC + WL-TURBT</p><p>Adjuvant instillation therapy: NA</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence-free survival</li>
 <li>recurrence rate</li>
 <li>detection rate</li>
 <li>adverse events</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 12 months</li>
 <li>true- (and false-) positive detection rate was 64% (25%) of intervention group and 83% (16%) of comparator group</li>
 <li>RFS rate was 47.3% in intervention group and 30.5% in comparator group (P&nbsp;= 0.05)</li>
</ul>",<p>Photocure ASA;&nbsp;financial support by the Juchum and the Boemske&nbsp;Foundations&nbsp;</p>,<p>NR</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: reply by author; provided full study report in co-operation with the sponsor</p>",,,,,,
Karaolides 2012,2012,PUB,16118476,"<ul><li data-list-item-id=""e6b240c4a88f0344d2ef38c40271c9381"">randomized</li><li data-list-item-id=""ec4480c5362c8a68f87aa19829976d5b5"">single center/Greece</li><li data-list-item-id=""ee0a0db2c4fa547ce21b52e9cbb377c43"">trial period: 2008 to 2010</li><li data-list-item-id=""e6d67070e03d4cf5ee8e062d2260b2d9a"">duration of follow-up: 18 months</li></ul>","<p>Study setting</p><ul><li data-list-item-id=""e0263f8318e90cde07d814d83551e85ee"">primary and recurrent</li><li data-list-item-id=""e4ce3b77437b106bc56045892137e989c"">adjuvant instillation/re-resection: Epirubicin/NA</li></ul><p>Eligibility criteria</p><ul><li data-list-item-id=""ee57c73290b364feb2abc91949ca6b0a7"">patients with suspicion of BCa based on ultrasound, CT imaging, endoscopic finding, positive cytology</li></ul><p>Non-eligibility criteria</p><ul><li data-list-item-id=""e04b75861637a1ae6eac0b9607d8b7af5"">upper urinary tract disease</li><li data-list-item-id=""edd5ed9a8a5f16a2c94d07d0c2d7853db"">documented recurrence of BCa within the last 12 months</li><li data-list-item-id=""e6fbc25f6e1b03bc1f9ae10d6406afac3"">intravesical chemotherapy or immunotherapy instillations within the last 3 months</li></ul><p>Intervention cohort</p><ul><li data-list-item-id=""eec57ea861e16ed4eed5ee8bc6852f95d"">participants recruited: 49</li><li data-list-item-id=""e245ea7f448e6ae232ec36f90c7712715"">unifocal/multifocal tumors: 18/23</li><li data-list-item-id=""ea14ddf1e6a78c7406e438b26971af523"">age (years (mean), range): 66.3 (37 to 82)</li><li data-list-item-id=""e1c4d98618ccbf5801e2be2ec26514e6c"">gender (male/female): 33/8</li></ul><p>Comparator cohort</p><ul><li data-list-item-id=""e07ada4131add4ebe6fce791fdd2a26c7"">participants recruited: 53</li><li data-list-item-id=""e6b1ff3262a9b301e01e088374489f647"">unifocal/multifocal tumors: 26/19</li><li data-list-item-id=""ecf7c3d1cd39dc6c12fb46b0f509c8300"">age (years (mean), range): 63.8 (39 to 88)</li><li data-list-item-id=""e7bcedfc3ad657d3718300093f91000e1"">gender (male/female): 40/5</li></ul>",<p>Intervention: WLC + BLC + WL-TURBT + BL-TURBT (HAL)</p><p>Comparator: WL-TURBT</p><p>Adjuvant instillation therapy:&nbsp;50 mg epirubicin</p>,"<p>Outcome(s)*</p>
<ul>
 <li>recurrence-free survival</li>
 <li>recurrence rate</li>
</ul>
<p>Results</p>
<ul>
 <li>median follow-up: 18 months</li>
 <li>RFS was 13.6 months in intervention group vs &nbsp;7.0 months in comparator group</li>
 <li>recurrence-free&nbsp;rate at 18 months&nbsp;was 82.5% in intervention group vs 50.6% in comparator group (P&nbsp;&lt; 0.001)</li>
</ul>",<p>NR</p>,<p>None</p>,"<p>Date of contact attempt to first study author: 30 November 2020</p>
<p>Contact status: no reply to date</p>",,,,,,
