Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Hyttel-Sorensen 2015,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Control,,80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Intervention,,86,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Control,,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Intervention,,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,All-cause mortality mortality prior to discharge,Arm level,,Control,,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,All-cause mortality mortality prior to discharge,Arm level,,Intervention,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Control,,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Intervention,,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Control,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Intervention,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Control,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Intervention,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Control,,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Intervention,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Control,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Intervention,,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Control,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2016,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Intervention,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,All-cause mortality mortality prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,All-cause mortality mortality prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Chronic lung disease <28 weeks age,Arm level,,Control,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Chronic lung disease <28 weeks age,Arm level,,Intervention,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) <28 weeks age,Arm level,,Control,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) <28 weeks age,Arm level,,Intervention,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Intraventricular haemorrhage grade III or IV <28 weeks age,Arm level,,Control,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Intraventricular haemorrhage grade III or IV <28 weeks age,Arm level,,Intervention,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Proven necrotising enterocolitis (Bell's stage II or III) <28 weeks age,Arm level,,Control,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Proven necrotising enterocolitis (Bell's stage II or III) <28 weeks age,Arm level,,Intervention,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
