Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Glycaemic control: HbA1c %,Insulin lispro versus regular human insulin,Custom input,#N/A,Continuous,false,,,,,,,Insulin lispro,Regular human insulin,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin lispro,Favours regular human insulin,3,true,,240,,251,-0.21972919546015865,-0.46087513544867437,0.021416744528357068,,,0,,,1.1023849463395128,4,0.8938936311662017,0,1.7858949210357127,,0.0741162734994114,,,,,analysis:457576694808897613
1,2,Hypoglycaemia: Severe/Serious hypoglycaemia,Insulin lispro versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin lispro,Regular human insulin,PETO,Peto Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin lispro,Favours regular human insulin,100,true,15,234,16,245,1.0015861700122506,0.48078948215228495,2.0865158103480805,,,,,,0.43042555779544905,2,0.8063699582125434,0,0.004232631018004432,,0.9966228591424757,,,,,analysis:457576739948783830
1,3,Diabetic ketoacidosis,Insulin lispro versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin lispro,Regular human insulin,PETO,Peto Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin lispro,Favours regular human insulin,10000,true,1,212,2,222,0.5254987705405857,0.05436841488697228,5.0792166446963645,,,,,,2.5461320201212554,1,0.11056497419575018,60.72473885496413,0.5558825420874094,,0.5782911560044617,,,,,analysis:457576766475397349
1,4,Deaths: All-cause mortality,Insulin lispro versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin lispro,Regular human insulin,PETO,Peto Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin lispro,Favours regular human insulin,100,true,0,234,0,245,,,,,,,,,,,,,,,,,,,,analysis:457981621425221162
1,5,Body weight change,Insulin lispro versus regular human insulin,Custom input,#N/A,Continuous,false,,,,,,,Insulin lispro,Regular human insulin,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin lispro,Favours regular human insulin,5,true,,234,,245,-0.5972703885761868,-1.8306849146914703,0.6361441375390968,,,0.6798920829920914,,,5.038124306484763,3,0.16902687510774905,43.32015615453458,0.9490957223671893,,0.342571941430859,,,,,analysis:457576879123392808
2,1,Glycaemic control: HbA1c %,Insulin aspart versus regular human insulin,Custom input,#N/A,Continuous,false,,,,,,,Insulin aspart,Regular human insulin,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin aspart,Favours regular human insulin,1,true,,1438,,705,-0.1385925848086134,-0.21273034628739795,-0.06445482332982884,,,0,,,0.5283382958893923,2,0.7678436636197117,0,3.663942225001324,,0.00024836283017020495,,,,,analysis:457577076513368444
2,2,Glycaemic control: Fasting blood glucose,Insulin aspart versus regular human insulin,Custom input,#N/A,Continuous,false,,,,,,,Insulin aspart,Regular human insulin,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin aspart,Favours regular human insulin,2,true,,707,,358,0.7999999999999999,0.36341946121993995,1.23658053878006,,,0,,,2.4842076605385748e-31,0,0,0,3.591482094033408,,0.0003288027707601344,,,,,analysis:457577076524116349
2,3,Hypoglycaemia: Mild/Moderate (non-severe) hypoglycaemia,Insulin aspart versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin aspart,Regular human insulin,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin aspart,Favours regular human insulin,2,true,629,850,301,420,1.0488248931545605,0.9797332627136611,1.122788924664869,,,0,,,0.7067403391817719,1,0.4005285244988517,0,1.371073653805974,,0.17035199696300027,,,,,analysis:457577076534339966
2,4,Hypoglycaemia: Severe/Serious hypoglycaemia,Insulin aspart versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin aspart,Regular human insulin,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin aspart,Favours regular human insulin,2,true,215,1303,119,644,0.8920471461641135,0.7280598462143097,1.092970742882179,,,0,,,0.10253561683689708,1,0.7488077836601961,0,1.1022138536371189,,0.2703687279817987,,,,,analysis:457577076544039295
2,5,Nocturnal hypoglycaemia: Severe/Serious nocturnal hypoglycaemia,Insulin aspart versus regular human insulin,Custom input,#N/A,Dichotomous,true,,,,,,,Insulin aspart,Regular human insulin,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours insulin aspart,Favours regular human insulin,10,true,74,1201,57,578,0.6342708427548853,0.45568760531181596,0.8828405628757637,,,0,,,0.8740098500000396,1,0.34984769693754647,0,2.6985658043277345,,0.006963896864046809,,,,,analysis:457577076560816513
