Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
4,2,Clinical pregnancy rate: grouped by number of embryos transferred,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1733,3816,1532,3883,1.287870512389981,1.1739086309582014,1.4128956998380644,,,,,,63.424923931223965,33,0.001127153192172159,47.96998095609199,5.351808457246165,,8.707954641524175e-8,3.6165274673174563,2,0.16393859744036554,44.698332362356105,analysis:418398634851596229
4,3,Clinical pregnancy rate: grouped by prognosis,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1892,4185,1636,4204,1.3133736956911743,1.2017439498939768,1.4353727053801073,,,,,,72.55738320731301,35,0.00019676457961936844,51.76231769550314,6.014999182829112,,1.7988760759978274e-9,1.208716591010107,2,0.5464252158970538,0,analysis:418398788570479239
4,4,Clinical pregnancy rate: grouped by day of randomisation,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1892,4185,1636,4204,1.3133736956911743,1.2017439498939768,1.4353727053801073,,,,,,72.557383207313,35,0.00019676457961581573,51.762317695503135,6.014999182829113,,1.7988760759978144e-9,4.697642017367604,3,0.19532423711394953,36.13817338765426,analysis:418398879596051435
5,1,Multiple pregnancy,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,231,3380,209,3396,1.1091404080188527,0.9095614903852652,1.3525115758574513,,,,,,31.876205033522623,25,0.16162544466412498,21.571592434831125,1.0234173710292305,,0.30611056386937274,,,,,analysis:396509213674646548
5,2,Multiple pregnancy: grouped by number of embryos transferred,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,231,3380,213,3396,1.0856741873487419,0.8912717849306269,1.3224792493202235,,,,,,32.24232380163715,25,0.15111965688757745,22.462164471127263,0.8165513574401099,,0.41418487034610163,10.108305561404775,2,0.006382793917993235,80.21429024033128,analysis:418376094122390224
5,3,Multiple pregnancy: grouped by prognosis,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,231,3380,213,3396,1.0856741873487414,0.8912717849306265,1.3224792493202229,,,,,,32.24232380163715,25,0.15111965688757745,22.462164471127263,0.8165513574401059,,0.41418487034610385,0.05629827932070581,2,0.9722433815202418,0,analysis:418376413389141239
5,4,Multiple pregnancy: grouped by day of randomisation,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours day 5/6,Favours day 2/3,4.295252861366694,true,231,3386,213,3396,1.0852358812419607,0.8909149390284021,1.3219409242586166,,,,,,32.2702790148748,25,0.15033971231245746,22.529334225847904,0.8125539446717941,,0.41647385356723055,14.182462361841855,3,0.002667027332285077,78.84711467261462,analysis:418376553931093487
5,5,High-order pregnancies (more than 2 gestational sacs),Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,5,1274,14,1301,0.4427074984350963,0.1814222299678658,1.0802972116778373,,,,,,2.33892345532885,6,0.8860412873751798,0,1.7902709128006915,,0.07341036995625023,,,,,analysis:418376662196565734
6,1,Miscarriage,Miscarriage following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,283,3331,256,3343,1.1178510217521338,0.93654560407426,1.3342552689331804,,,,,,19.03524785509434,24,0.7501073049331909,0,1.2338918550516669,,0.217243228451223,,,,,analysis:396509213794970749
6,2,Miscarriage rate per fresh clinical pregnancy,Miscarriage following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,283,1564,256,1286,0.8714918801463313,0.7187379237352213,1.0567107593459644,,,,,,29.677955922032464,24,0.19565579884706963,19.131896876419425,1.3989460759878614,,0.16182915410492982,,,,,analysis:453701173171119288
7,1,Embryo freezing rate,Embryo freezing rate,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,215.43,true,1515,2264,1838,2356,0.444916957486393,0.38268858585539167,0.5172641839225106,,,,,,87.06223571128926,16,-1.958255779754836e-10,81.62234191520389,10.535293150056322,,5.939792133475607e-26,,,,,analysis:396509213826428050
8,1,Failure to transfer any embryos (per couple),Failure rate to transfer embryos,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,145.84,true,131,2559,52,2586,2.694332805766323,1.9448649186230658,3.732613611730007,,,,,,21.631756667855374,14,0.08650418223353329,35.28033707588855,5.95972180980439,,2.526676919668311e-9,,,,,analysis:396509213846613155
9,1,Cumulative preeclampsia or eclampsia,Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,false,false,false,false,true,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,20,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:453179340447412918
9,2,Cumulative preterm premature rupture of membrane,Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,false,false,false,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:453179340487520953
9,3,Cumulative neonatal hospitalisation &gt; 3 days,Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,false,false,false,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:453179340493812412
9,4,Cumulative neonatal infection,Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,false,false,false,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:453179340499055294
9,5,Major congenital anomalies,Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,15,1100,13,1094,1.1509581655615782,0.544357399235615,2.4335201482206714,,,,,,0.060611286877957915,1,0.8055323751411695,0,0.36803058678627665,,0.7128504281403978,,,,,analysis:453611909876301028
9,6,Small for gestational age (&lt; 10 centile),Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,51,1100,51,1094,0.9941967909053643,0.6681150649846831,1.4794266898759196,,,,,,0.38710796919600715,1,0.5338238591391395,0,0.028699211776790672,,0.9771044850189944,,,,,analysis:453612167562804531
9,7,Large for gestational age (&gt; 90 centile),Other cumulative obstetric and perinatal outcomes following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,91,1100,84,1094,1.0865163148894776,0.7956281675839479,1.4837555413678243,,,,,,0.5588584695361631,1,0.4547206540597788,0,0.5219226372061219,,0.6017241983374473,,,,,analysis:453612189396516179
