Study,Year,Data source,ID: CRS,ID: DOI,Char: Reason for exclusion
Abaza 2017,2017,PUB,29054413,,<p>Ineligible intervention</p>
Adams 2015,2015,PUB,29054445,https://dx.doi.org/10.1089/pop.2014.0106,<p>Ineligible outcomes</p>
Arora 2014,2014,PUB,29054473,,<p>Ineligible intervention</p>
Asayut 2022,2022,PUB,29054479,,<p>Ineligible patient/population</p>
Bailey 2017,2017,PUB,29054499,,<p>Ineligible intervention</p>
Buitrago 2007,2007,PUB,29054577,,<p>Ineligible patient/population</p>
Bunphong 2018,2018,PUB,29054581,,<p>Ineligible comparator</p>
Coburn 2016,2016,PUB,29054675,,<p>Ineligible comparator</p>
De Geest 2006,2006,PUB,29054741,,<p>Ineligible intervention</p>
Dent 2009,2009,PUB,29054751,,<p>Ineligible intervention</p>
De Vera 2014,2014,PUB,29054755,,<p>Did not end up publishing</p>
Dunn 2023,2023,PUB,29054787,,<p>Ineligible patient/population</p>
Ekinci 2017,2017,PUB,29054797,,<p>Ineligible intervention</p>
Farsaei 2011,2011,PUB,29054811,,<p>Ineligible comparator</p>
Gatwood 2016,2016,PUB,29054857,,<p>Ineligible intervention</p>
Goldfien 2016,2016,PUB,29054867,,<p>Ineligible intervention</p>
Green 2008,2008,PUB,29054887,,<p>Ineligible comparator</p>
Gurwitz 2021,2021,PUB,29054907,,<p>Ineligible intervention</p>
Haag 2016,2016,PUB,29054909,,<p>Ineligible comparator</p>
IRCT2017061934647N1,2017,PUB,29054969,,<p>Ineligible intervention</p>
ISRCTN48076318,2005,PUB,29055009,,<p>Ineligible patient/population</p>
Jiang 2021,2021,PUB,29055029,,<p>Ineligible study design</p>
Kapoor 2023,2023,PUB,29055053,,<p>Ineligible intervention</p>
Krackhardt 2023,2023,PUB,29055105,,<p>Ineligible comparator</p>
Lyons 2016,2016,PUB,29055191,,<p>Ineligible comparator</p>
Ma 2010,2010,PUB,29055193,,<p>Ineligible intervention</p>
Mikuls 2019,2019,PUB,29055253,,<p>Ineligible intervention</p>
NCT00414817,2006,PUB,29055271,,<p>Ineligible intervention</p>
NCT05418478,2022,PUB,29055375,,<p>Ineligible intervention</p>
Okoro 2022,2022,PUB,29055433,,<p>Ineligible intervention</p>
Pham 2023,2023,PUB,29055485,,<p>Ineligible intervention</p>
Polgreen 2020,2020,PUB,29055497,,<p>Ineligible patient/population</p>
Syafhan 2021,2021,PUB,29055631,,<p>Ineligible intervention</p>
UMIN000041412,2020,PUB,29055663,,<p>Ineligible patient/population</p>
Zhao 2015,2015,PUB,29055749,,<p>Ineligible comparator</p>
