Study,Year,Data source,ID: CRS,ID: DOI,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Identification,Char: Difference of geographic location,Char: Intervention methods,Char: Notes,Cov: Country income level,Cov: Intervention method category,Cov: Sensitivity analysis 1: overall risk of bias,Cov: Sensitivity analysis 2: unit of analysis matches unit of allocation,Cov: Sensitivity analysis 3: imputation of missing outcome data,Cov: Sensitivity analysis 4: validity of outcome measure,Cov: Single vs multiple telepharmacy approaches
Alsabbagh 2012,2012,PUB,29054343,10.1097/HCR.0b013e318272bbf2,"<p><b>Study design:</b> randomized controlled trial</p><p><b>Study grouping:</b> parallel group</p><p><b>Single or multicenter:</b> single</p><p><b>Types of centres:</b> hospital</p><p><b>Study aim:</b> to determine to what extent a telephone-based pharmacist intervention would (a) be utilized by individuals not attending a traditional cardiac rehabilitation (CR) program and (b) facilitate adherence to cardiovascular medications.</p><p><b>Unit of randomisation (individual or cluster):</b> individual</p><p><b>Duration of intervention:</b> 6 months</p><p><b>Follow-up period:</b> 6 months from baseline</p><p><b>Blinding:</b> neither the subjects nor the researcher were blinded to the intervention.</p><p><b>Unit of analysis (individual or cluster):</b> individual</p><p><b>Method of recruitment:</b> ""between October 1, 2009, and June 30, 2010, all patients who received a mailed invitation to participate in the CR program in Saskatoon, Saskatchewan, Canada, were invited to participate in our trial, irrespective of whether they chose to participate in the formal CR program.""</p><p><b>How was the missing data handled? (e.g. available case analysis, imputation methods):</b> available case analysis. Although missing data were reported, all randomised participants were included in the analysis. No imputation method was described.</p><p><b>Reported power calculation (Y/N), if yes, sample size and power:</b> Y, a sample size of 72 patients per arm for a power of 80%.</p>","<p><b>Country:</b> Canada</p><p><b>Intervention group:</b></p><ul><li data-list-item-id=""e64ee5dadaffe7aa99e20239738d7b8a4"">Number randomised: not reported </li><li data-list-item-id=""e45fe51d7080093c7ddb45c317284c796"">Baseline described number: 46 </li><li data-list-item-id=""ee0bc28603e24f56dc9e8ccee601df750"">Mean age (SD): 62.4 (10.5) </li><li data-list-item-id=""e5abfad56b10140c67cdccd43588a111d"">N (%) female: 9 (20)</li></ul><p><b>Usual care group:</b></p><ul><li data-list-item-id=""e890c91406ac9f1dc34edc224b98385d5"">Number randomised: not reported</li><li data-list-item-id=""e80c17d4332bf2d4f2d71de505871a831"">Baseline described number: 48</li><li data-list-item-id=""eb285ea6c00f08b50b1fdc94629a7e46a"">Mean age (SD): 63.5 (11.9)</li><li data-list-item-id=""ecfd519a6ecf1dbaa7d68e7346b91016e"">N (%) female: 11 (23)</li></ul><p><b>Overall:</b></p><ul><li data-list-item-id=""ee65cb9ff18dd90c60220347a6827f076"">Number randomised: 95</li><li data-list-item-id=""e4418908c5049693f64d874e080afc45c"">Baseline described number: 94</li><li data-list-item-id=""e862a08a71a090d63e150b61dc1283a11"">Mean age (SD): not reported</li><li data-list-item-id=""e6678fd13a56f0e3bddf8cabd6c194446"">N (%) female: not reported</li></ul><p><b>Race or ethnicity:</b> not reported</p><p><b>Number of withdrawals:</b> intervention group: 0, usual care group: 0, overall: 0.</p><p><b>Number of dropouts:</b> intervention group: not reported, usual care group: not reported, overall: 1.</p><p><b>Types of targeted diseases:</b> cardiovascular diseases</p><p><b>Inclusion criteria:</b></p><ul><li data-list-item-id=""ecaf3b2e5819993eab9de0b2539f36a9b"">""Older than 30 years""</li><li data-list-item-id=""e96a2849ec6f7eecc22fa0a12b1c62c10"">""Experienced hospitalization because of ACS (ST-elevation myocardial infarction, non-ST-elevation myocardial infarction), or revascularization (percutaneous transluminal coronary intervention or coronary artery bypass surgery), or a revascularization procedure within the previous 3 months"" </li><li data-list-item-id=""eae39696d829de960415ce35a06ef232a"">""Newly initiated on at least 1 cardiovascular medication (statin, ACE inhibitor/angiotensin receptor blocker, or -blocker) defined as no prior use within the previous 1 year""</li></ul><p><b>Exclusion criteria:</b> ""They had inaccessible laboratory results or prescription data to confirm eligibility""</p><p><b>Group difference:</b> comparable for baselines such as age and gender (Table 1 in this article)</p>","<p><b>Types of intervention:</b> telephone (synchronous, fixed line phones or mobile devices)</p><p><b>Intervention as defined in the study:</b> pharmacists conducted structured phone interviews using four adherence-related questions to identify barriers, with follow-up calls scheduled every 1–2 weeks tailored to patient needs to support medication adherence.</p><p><b>Frequency:</b> follow-up phone calls every 1–2 weeks, with timing tailored to patient needs (e.g. support for adherence, side effects, cost, or drug interactions).</p><p><b>Mode of delivery:</b> synchronous (telephone)&nbsp;</p><p><b>Person delivering intervention:</b> clinical pharmacist (described as CR pharmacist)</p>","<p><b>Primary outcome:</b>&nbsp;</p><ul><li data-list-item-id=""ecf00c3449b1058d9386720e99a9965ce"">""adherence to cardiovascular medication assessed by electronic filling records over a minimum of 6 months.""</li></ul><p><b>Secondary outcomes:</b></p><ul><li data-list-item-id=""e601e118735440b79069598dc8e341725"">""Mean MPR for newly initiated statins, ACE inhibitors/ARBs and beta-blockers Mean MPR for all cardiovascular medications (previously and newly initiated combined) ""</li><li data-list-item-id=""e52ca80029f7357f72103cea06abf1808"">""The proportion of subjects exhibiting optimal adherence of MPR ≧ 80% to newly initiated statins, ACE inhibitors/ARBs, and beta-blockers""</li><li data-list-item-id=""e3f1982779b87db856c439fae9e77e7eb"">""Mean persistence to newly initiated statins, ACE inhibitors/ARBs and beta-blockers""</li></ul><p><b>Safety outcomes:</b> not reported.</p><p><b>(For outcomes of interest in this review)</b><br><b>Medication adherence:&nbsp;</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: standard deviation (mean, SD, N)<br>&nbsp;Outcome group: objective outcomes<br>&nbsp;Scale: MPR for all newly initiated cardiovascular medications<br>&nbsp;Reporting: partially reported<br>&nbsp;Range: 0 to 100<br>&nbsp;Unit of measure: %<br>&nbsp;Direction: Higher is better<br>&nbsp;Data value: Endpoint<br>&nbsp;Note: ""cardiovascular medications (ACE inhibitors/angiotensin receptor blockers, -blockers, and/or statins), beginning from the date of enrollment in the trial until the end of followup. Adherence for post-ACS or post-revascularization medications was determined using the medication possession ratio (MPR) for each therapeutic category using electronic dispensation records.""</p>","<p><b>Study period:</b> not reported.</p><p><b>Publication language:</b> English</p><p><b>Sponsorship source:</b> ""Dr. David Blackburn is the chair in Patient Adherence to Drug Therapy within the College of Pharmacy and Nutrition, University of Saskatchewan. This position was created through unrestricted financial support from AstraZeneca Canada, Merck Frosst Schering, Pfizer Canada, and the Province of Saskatchewan Ministry of Health. As a graduate student in Dr Blackburn’s research team, Wasem Alsabbagh also receives support from these funds.""</p><p><b>Conflicts of interest: </b>The authors declare no conflict of interest.</p><p><b>Trial registry:</b> not reported.</p>",,,,high income,synchronous,Some concerns or high risk of bias,Yes (unit of analysis matches unit of allocation),No imputation,Validated outcome measure,Single telepharmacy approach
Bosworth 2018,2010,PUB,29054345,,"<p><b>Study design: </b>randomized controlled trial</p><p><b>Study grouping:</b> parallel group</p><p><b>Single or multicenter:</b> single</p><p><b>Types of centres:</b> clinic</p><p><b>Study aim: </b>to evaluate a clinical pharmacist specialists (CPS)-delivered intervention administered by telephone to Veterans with hypertension and/or hypercholesterolemia.</p><p><b>Unit of randomisation (individual or cluster):</b> individual</p><p><b>Duration of intervention:</b> 12 months</p><p><b>Follow-up period:</b> 12 months from baseline</p><p><b>Blinding:</b> not reported.</p><p><b>Unit of analysis (individual or cluster):</b> individual</p><p><b>Method of recruitment: </b>""patients meeting initial screening criteria were mailed an introductory letter signed by their primary care physician offering participation in the study, as well as an opt-out phone number. The remaining eligible patients were contacted by study personnel for additional eligibility screening and to schedule an in-person meeting. At the in-person meeting, once informed consent to participate had been obtained from patients, the baseline outcome assessment was completed.""</p><p><b>How was the missing data handled? (e.g. available case analysis, imputation methods):</b> imputation methods. Although imputation was used for missing data, it was unclear whether the analysis followed the intention-to-treat <b>(ITT) </b>principle.</p><p><b>Reported power calculation (Y/N), if yes, sample size and power:</b> Y, a sample size of 460 total (230 in each group) for a power of 80%.</p>","<p><b>Country:</b> United States of America</p><p><b>Intervention group:</b>&nbsp;</p><ul><li data-list-item-id=""ec701d4881a72cef042930ff61abd48fd"">Number randomised: 215</li><li data-list-item-id=""e30703846a848eec8f63f663ec4fbc2e3"">Baseline described number: 215</li><li data-list-item-id=""ee94ae548b7254badbe7238ed2d861bed"">Mean age (SD): 60.9 (8.4)</li><li data-list-item-id=""e3520110f4c280459760efc587207152e"">N (%) female: 33 (15.3)</li></ul><p><b>Usual care group:</b></p><ul><li data-list-item-id=""e81d0fcd2e4abd58719cf4e4228e4baae"">Number randomised: 213</li><li data-list-item-id=""ea42283db951c703086630499c59470ef"">Baseline described number: 213</li><li data-list-item-id=""e0243399484822395159ec171fab80c76"">Mean age (SD): 61.5 (8.9)</li><li data-list-item-id=""e6bb9c53ba8797bf91133eb7bf09ac237"">N (%) female: 32 (15)</li></ul><p><b>Overall:</b></p><ul><li data-list-item-id=""e0977212186ce5ef12d0d964ed71b898d"">Number randomised: 428</li><li data-list-item-id=""e8886fc7b61f3b75a5003bdb63324d72a"">Baseline described number: 428</li><li data-list-item-id=""eed53d0392814b78c528caf0af361cb4e"">Mean age (SD): 61.2 (8.7)</li><li data-list-item-id=""e9cb0e6311d2a6c1283a0a7c95e88f273"">N (%) female: 65 (15.2)</li></ul><p><b>Race or ethnicity:&nbsp;</b></p><ul><li data-list-item-id=""e88b4e160dc7534d7f77ccc707ac72fb4"">Intervention group: White: 93 (43.5), Black or African American: 111 (51.9), Others: 10 (4.7).</li><li data-list-item-id=""e70b1d45dd945165766da946cfdcb05e2"">Usual care group: White: 106 (50.0), Black or African American: 102 (48.1), Others: 4 (1.9).</li><li data-list-item-id=""e2ddcf93e6954929293d9b207768e4f4c"">Overall: White: 199 (46.7), Black or African American: 213 (50.0), Others: 14 (3.3).</li></ul><p><b>Hispanic/Latino(a): </b>intervention group: 12 (5.6), usual care group: 2 (0.9), overall 14: (3.3).</p><p><b>Number of withdrawals:</b> intervention group: not reported, usual care group: not reported, overall: not reported.</p><p><b>Number of dropouts:</b> intervention group: 22, usual care group: 13, overall: 35.</p><p><b>Types of targeted diseases: </b>hypertension or hypercholesterolemia</p><p><b>Inclusion criteria:</b></p><ul><li data-list-item-id=""e033f4067cac90e00a7ebe2c3897a23f8"">""Lived in North Carolina or Virginia""</li><li data-list-item-id=""e39a4872e6917e306bc116abbc5e14e79"">""Were ≥40 years of age at baseline""</li><li data-list-item-id=""e715d4b524914683330d6abae8966fd21"">""Enrolled in 1 of 3 primary care clinics affiliated with the Durham VAMC (at least 1 visit with assigned primary care provider [PCP] in the past year)"" ""Had a diagnosis of hypertension or hypercholesterolemia""</li><li data-list-item-id=""edad526073fe8899ce16c3118ffe0df36"">""Had poorly controlled hypertension defined by averaging all clinic-obtained blood pressure (BP) values recorded in the electronic medical record in the previous year of &gt;150/100 mm Hg and/or hypercholesterolemia defined as low-density lipoprotein (LDL) value &gt;130 mg/dL. LDL was also obtained by electronic medical record review for the same time period""</li></ul><p><b>Exclusion criteria:</b> not reported.</p><p><b>Group difference: </b>comparable to baselines such as age, gender and BMI (Table 1 in this article).</p>","<p><b>Types of intervention:</b> telephone (synchronous, fixed line phones or mobile devices)</p><p><b>&nbsp;Intervention as defined in the study:</b> pharmacists delivered a structured behavioral intervention via monthly phone calls over 12 months to identify and address barriers to medication adherence among patients with cardiovascular risk factors.</p><p><b>Frequency:</b> monthly phone calls for 12 months</p><p><b>Mode of delivery:</b> synchronous (telephone)</p><p><b>Person delivering intervention:</b> clinical pharmacist</p>","<p><b>Primary outcome:&nbsp;</b></p><ul><li data-list-item-id=""ecfdd5ae366a54fa4d975eb11414cbbde"">""Framingham CVD risk score at 6 and 12 months""</li></ul><p><b>Secondary outcomes:</b></p><ul><li data-list-item-id=""ef0882d954123ad1e4c993cb51b8b98f0"">&nbsp;""Systolic blood pressure; diastolic blood pressure; total cholesterol; low-density lipoprotein; high-density lipoprotein; body mass index; and, for those with diabetes, HbA1c""</li></ul><p><b>Safety outcomes: </b>not reported.</p><p><b>(For outcomes of interest in this review)</b><br><b>Clinical measurements (systolic blood pressure)</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: confidence intervals (mean, CI, N)<br>&nbsp;Outcome group: objective outcomes<br>&nbsp;Reporting: partially reported<br>&nbsp;Unit of measure: mm Hg<br>&nbsp;Direction: lower is better<br>&nbsp;Data value: change from baseline<br>&nbsp;Note:&nbsp;</p><ul><li data-list-item-id=""ebd2c7245cbedcc259a7825a8d1e4e207"">""Patients randomized to the intervention received a VA-issued home BP monitor.""</li><li data-list-item-id=""e8c1ef8e9e122b77ad502f1935dd1bd94"">""Patients received training on BP monitor use and were instructed to measure and record their BP every other day.""</li><li data-list-item-id=""edeb02e6824cadc03f623598f9f91692c"">""All BP measurements were performed using electronic BP cuffs, which have been shown to be equivalent to the criterion standard of random zero sphygmomanometers.""</li><li data-list-item-id=""e9dd81fc1dc04db8c20f5f9a292882479"">""At each outcome assessment, 3 measures at 1-minute intervals were obtained after individuals rested for 5 minutes.""</li></ul><p><b>Clinical measurements (diastolic blood pressure)</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: confidence intervals (mean, CI, N)<br>&nbsp;Outcome group: objective outcomes<br>&nbsp;Reporting: partially reported<br>&nbsp;Unit of measure: mm Hg<br>&nbsp;Direction: lower is better<br>&nbsp;Data value: change from baseline<br>&nbsp;Note:&nbsp;</p><ul><li data-list-item-id=""ebb963839fbe31ee7d014bf334276ad6e"">""Patients randomized to the intervention received a VA-issued home BP monitor.""</li><li data-list-item-id=""e5b2daf1c8c293f084ac11f167aae5629"">""Patients received training on BP monitor use and were instructed to measure and record their BP every other day.""</li><li data-list-item-id=""e9ea504372210b1d73e4340e2e2732f3d"">""All BP measurements were performed using electronic BP cuffs, which have been shown to be equivalent to the criterion standard of random zero sphygmomanometers.""</li><li data-list-item-id=""ea2069ddbdd40936e409125cfa80e42f9"">""At each outcome assessment, 3 measures at 1-minute intervals were obtained after individuals rested for 5 minutes.""</li></ul><p><b>Laboratory values (LDL cholesterol)</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: confidence intervals (mean, CI, N)<br>&nbsp;Outcome group: objective outcomes<br>&nbsp;Reporting: partially reported<br>&nbsp;Unit of measure: mg/dL<br>&nbsp;Direction: lower is better<br>&nbsp;Data value: change from baseline<br>&nbsp;Note:&nbsp;""total cholesterol and HDL-C were obtained from a lipid profile.""</p><p><b>Laboratory values (HbA1c, glycosylated haemoglobin)</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: confidence intervals (mean, CI, N)<br>&nbsp;Outcome group: objective outcomes<br>&nbsp;Reporting: partially reported<br>&nbsp;Unit of measure: %<br>&nbsp;Direction: lower is better<br>&nbsp;Data value: change from baseline<br>&nbsp;Note:&nbsp;""HbA1c was measured by standard high-performance liquid chromatography methods on a machine calibrated to the national standard (mean = 5.0%, top of normal range = 6.0%). The reliability of high-performance liquid chromatography allowed us to take a single specimen from each patient at each follow-up visit.""</p>","<p><b>Study period: </b>study started in November 2011 and completed in May 2015.</p><p><b>Publication language:</b> English</p><p><b>Sponsorship source:</b> ""the investigators acknowledge funding from Durham Center of Innovation for Health Services Research in Primary Care (CIN 13-410). This study was funded by a grant from the VA Health Service Research and Development to Dr. Bosworth (VA HSR&amp;D IIR 08-297). Dr. Bosworth was supported by a research career scientist award from the VA Health Service Research and Development (VA HSR&amp;D 08-027). Dr. Crowley was supported by an HSRD CDA award (13-261). Dr. Zullig was supported by an HSRD CDA award (13-025). Dr. Goldstein was supported by an HSRD CDA award (13-263).""</p><p><b>Conflicts of interest:</b> No authors have conflicts of interest.&nbsp;</p><p><b>Trial registry: </b>NCT01142908</p>",,,,high income,synchronous,Some concerns or high risk of bias,Yes (unit of analysis matches unit of allocation),Imputation performed,Validated outcome measure,Single telepharmacy approach
Bynum 2001,2001,PUB,29054350,,"<p><b>Study design:</b> randomized controlled trial</p><p><b>Study grouping: </b>parallel group</p><p><b>Single or multicenter:</b> multicenter</p><p><b>Types of centres:</b> hospital</p><p><b>Study aim: </b>to determine the effectiveness of pharmacists using interactive compressed video (i.e., telepharmacy) in teaching MDI technique to a rural, adolescent asthma population in junior high and high schools.</p><p><b>Unit of randomisation (individual or cluster):</b> individual</p><p><b>Duration of intervention:</b> 2–4 weeks</p><p><b>Follow-up period:</b> 2–4 weeks from baseline</p><p><b>Blinding:</b> not reported.</p><p><b>Unit of analysis (individual or cluster):</b> individual</p><p><b>Method of recruitment:</b> ""the participants were recruited from rural junior high and high schools in southeastern Arkansas.""</p><p><b>How was the missing data handled? (e.g. available case analysis, imputation methods):</b> available case analysis. The method for handling missing data was not reported. The study excluded participants with missing outcome data from the analysis; it is unclear whether this was a per-protocol analysis.</p><p><b>Reported power calculation (Y/N), if yes, sample size and power:</b> N</p>","<p><b>Country: </b>United States of America</p><p><b>Intervention group:</b>&nbsp;</p><ul><li data-list-item-id=""e1ed39dcf913c62163e0983f7f71d97e3"">Number randomised: 24</li><li data-list-item-id=""efbac0ceb225d9aab060f6748cadddf0b"">Baseline described number: 15</li><li data-list-item-id=""e353a37b377b2a4440f3a058ffdb92f92"">Mean age (SD): not reported</li><li data-list-item-id=""e24b6c0e764965a58ab03044a62a3c838"">N (%) female: not reported</li></ul><p><b>Usual care group:</b>&nbsp;</p><ul><li data-list-item-id=""eecd6707cc64bb00593c3f5c6c5fb7161"">Number randomised: 25</li><li data-list-item-id=""e03c4edfe978a72d401ce015d87941ce3"">Baseline described number: 21</li><li data-list-item-id=""e5fa3fcbfc9d631117d32ee96e61e46cd"">Mean age (SD): not reported</li><li data-list-item-id=""e68288e85fb49df6f0e7ceebe510431cd"">N (%) female: not reported</li></ul><p><b>Overall:</b></p><ul><li data-list-item-id=""e1d24971375ee9d1faf6d8565aa6385a0"">Number randomised: 49</li><li data-list-item-id=""effe9d8411528f2b91e72bb7768f0be4e"">Baseline described number: 36</li><li data-list-item-id=""ed8e655e71da5a7615b3099c0291c3e56"">Mean age (SD): not reported</li><li data-list-item-id=""e947fee12a3493f0f65704abfe15707bf"">N (%) female: 34 (69)</li></ul><p>Note: age only reported by categories: 12–14: 20 (43.4), 15–17: 23 (50.0), 18–19: 3 (6.5).</p><p><b>Race or ethnicity:&nbsp;</b></p><ul><li data-list-item-id=""eb539326e36d93367f359180619d5523a"">Intervention group: not individually reported.</li><li data-list-item-id=""eadd155c51cf5c197c87f034ec85c1aa1"">Usual care group: not individually reported.</li><li data-list-item-id=""ef001958847d38f69815d2b13c4638075"">Overall: white/Caucasian: 1 (2), black/ African American: 45 (91.8).</li></ul><p><b>Number of withdrawals:</b> intervention group: not reported, usual care group: not reported, overall: 8.</p><p><b>Number of dropouts:</b> intervention group: 9, usual care group: 4, overall: 13.<br>Note: ""Three students did not attend any visit, 8 students had never used an MDI in the past (and, therefore, did not meet the inclusion criteria), and 2 students did not attend the follow-up visit for comparison.""</p><p><b>Types of targeted diseases:</b> asthma</p><p><b>Inclusion criteria:</b></p><ul><li data-list-item-id=""ee6ab137d154744a4343b3d0075e404aa"">""A diagnosis of asthma""</li><li data-list-item-id=""ef4378963dc221d5a6802748ec1edbf76"">""Previous MDI use""</li><li data-list-item-id=""e8a6848fd91708dae78ad4acdf9297fcc"">""Male or female adolescents in grades 7-12""</li><li data-list-item-id=""ea4fb799bf2e79bd2808e7302bfc45843"">""Access to a local health clinic with interactive compressed video equipment""</li></ul><p><b>Exclusion criteria:</b> not reported.</p><p><b>Group difference: </b>not reported separately for intervention group and usual care group for age and gender.</p>","<p><b>Types of intervention:</b> video (synchronous)</p><p><b>Intervention as defined in the study:</b> participants received video-based inhaler technique education using a structured protocol at baseline and a follow-up session 2–4 weeks later. All participants received the same content and schedule; no individualisation was described.</p><p><b>Frequency:</b> three video contacts - baseline assessment, initial education with post-test, and a reinforcement session at 2–4 weeks.</p><p><b>Mode of delivery: </b>synchronous (video conferencing)</p><p><b>Person delivering intervention:</b> pharmacist</p>","<p><b>Primary and secondary outcomes:</b>&nbsp;</p><ul><li data-list-item-id=""eaeb4953e920a94e371317dbe51113167"">MDI technique, patient satisfaction with telepharmacy</li></ul><p><b>Safety outcomes:</b> not reported</p><p><b>(For outcomes of interest in this review)</b><br><b>Patients’ satisfaction</b><br>&nbsp;Outcome type: continuous outcome<br>&nbsp;Reported as: standard deviation (mean, SD, N)<br>&nbsp;Outcome group: patient-reported outcomes<br>&nbsp;Reporting: partially reported<br>&nbsp;Scale: the Telepharmacy MDI Technique Evaluation instrument<br>&nbsp;Range: 1 to 5<br>&nbsp;Direction: higher is better<br>&nbsp;Data value: endpoint<br>&nbsp;Note: &nbsp;""11 items to evaluate patient satisfaction with the telepharmacy sessions regarding picture and sound quality and instructions for MDI technique. The response scale for these 11 items included a Likert-type scale of strongly disagree (rating of 1) to strongly agree (rating of 5). High scores indicated high patient satisfaction with the telepharmacy session (range = 1–5).""</p>","<p><b>Study period:</b> not reported.</p><p><b>Publication language:</b> English</p><p><b>Sponsorship source:</b> ""a grant from the Office for the Advancement of Telehealth in the Department of Health Resources and Services Administration.""</p><p><b>Conflicts of interest:</b> not reported.</p><p><b>Trial registry:</b> not reported.</p>",,,,high income,synchronous,Some concerns or high risk of bias,Yes (unit of analysis matches unit of allocation),No imputation,,Single telepharmacy approach
