Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Alsabbagh 2012,Medication adherence 6 months,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,46,,88.8,16.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsabbagh 2012,Medication adherence 6 months,Arm level,,Usual care,,48,,89.9,14.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsabbagh 2012,Medication adherence End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,46,,88.8,16.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsabbagh 2012,Medication adherence End of study,Arm level,,Usual care,,48,,89.9,14.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Clinical measurements: diastolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,215,,75.8,11.5,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Clinical measurements: diastolic blood pressure,Arm level,,Usual care,,213,,75.8,12.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,180,,73.4,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDs not reported; imputed using methods from Follmann (1992) and Abrams (2005).
Bosworth 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,Usual care,,191,,73.1,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Clinical measurements: systolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,215,,130.6,18.5,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Clinical measurements: systolic blood pressure,Arm level,,Usual care,,213,,129.7,18.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
