Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Feeding intolerance,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Fish oil enteral lipid,No treatment,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors fish oil enteral lipid,Favors no treatment,100,false,0,18,0,18,,,,,,,,,,,,,,,,,,,,analysis:457955082404367844
1,2,Time taken to achieve full enteral feeds (in days) during the hospital stay,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Fish oil enteral lipid,Placebo,IV,Mean Difference,days,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favors fish oil enteral lipid,Favors placebo,10,false,,631,,642,-1.0999999999999979,-2.9756343406275256,0.7756343406275297,,,0,,,0,0,1,0,1.1494566591656346,,0.25036774784873705,,,,,analysis:453218931949911221
1,3,Adequacy of growth - Weight (z-scores),Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Placebo,Fish oil enteral lipid,IV,Mean Difference,z-scores,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors placebo,Favors fish oil enteral lipid,100,false,,613,,592,0.020000000000000018,-0.08957799262011325,0.12957799262011327,,,0,,,0,0,1,0,,0,0.7205457605784671,,,,,analysis:453218931958561977
1,4,Adequacy of growth - Length (z-scores),Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Placebo,Fish oil enteral lipid,IV,Mean Difference,z-scores,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors placebo,Favors fish oil enteral lipid,100,false,,613,,592,0.75,0.6362924085092188,0.8637075914907812,,,0,,,0,0,1,0,,0,3.1424117404341715e-38,,,,,analysis:453218931964067004
1,5,Adequacy of growth - Head Circumference (z-scores),Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Placebo,Fish oil enteral lipid,IV,Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors placebo,Favors fish oil enteral lipid,100,false,,613,,592,0,-0.14123331489812624,0.14123331489812624,,,0,,,0,0,1,0,,0,1,,,,,analysis:453218931968785599
1,6,Incidence of central line-associated bloodstream infections,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Fish oil enteral lipid,Placebo or no treatment,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors fish oil enteral lipid,Favors placebo or no treatment,100,false,161,629,184,641,0.8932084131925737,0.5016941334344162,1.5902543327273937,,,0,,,0.24386883015969468,1,0.6214257293012306,0,,2.4877022512935962,0.21925788188363615,,,,,analysis:453218931916094623
1,7,Duration of parenteral nutrition&nbsp;,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Fish oil enteral lipid,No treatment,IV,Mean Difference,days,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favors fish oil enteral lipid,Favors no treatment,10,false,,18,,18,-3,-12.886545683340202,6.886545683340202,,,0,,,0,0,1,0,0.5947367404095808,,0.5520194619329961,,,,,analysis:457946827251904805
1,8,Duration of intravenous lipids,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Continuous,false,,,,,,,Fish oil enteral lipid,No treatment,IV,Mean Difference,days,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favors fish oil enteral lipid,Favors no treatment,10,false,,18,,18,-5,-11.434468860125566,1.4344688601255653,,,0,,,0,0,1,0,1.5230192477004285,,0.1277538900125445,,,,,analysis:457954589877210042
1,9,All‐cause mortality up to hospital discharge and the first year of life&nbsp;,Comparison of any fish oil versus no treatment or placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Fish oil enteral lipid,Placebo or no treatment,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors fish oil enteral lipid,Favors placebo or no treatment,100,false,51,659,39,669,1.3284383849998487,0.6942530470380414,2.541938490972597,,,0,,,0.061792847381447094,1,0.8036843905790486,0,,5.560929477011183,0.1668657507711953,,,,,analysis:453218931929463975
2,1,Prevention of parenteral nutrition-associated liver disease during the hospital stay and in the first year of life (Incidence of cholestasis),Comparison of other enteral lipid (not defined above) versus no treatment or placebo&nbsp;,Custom input,#N/A,Dichotomous,true,,,,,,,Algal oil enteral lipid,Placebo or no treatment,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favors algal oil enteral lipid,Favors placebo or no treatment,100,false,8,143,10,122,0.6503774045257069,0.13490620396795833,3.135443410875752,,,0,,,1.1784604226909756,2,0.554754377658603,0,,1.1767600106637692,0.366368478641217,,,,,analysis:457956141816616730
