Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
3,1,Any Algal oil enteral lipid,1,8,143,10,122,100,0.6503774045257069,0.13490620396795833,3.135443410875752,0,,,1.1784604226909756,2,0.554754377658603,0,,1.1767600106637692,0.366368478641217,subgroup:457920858347357571
3,2,Any algal oil enteral lipid,1,1,110,7,90,100,0.14285714285714285,0.018177037306294493,1.1227442031072363,0,,,0,0,1,0,,0,0.06432790496269326,subgroup:457920858357056904
3,2,Any fish oil enteral lipid,2,0,18,0,18,,,,,,,,,,,,,,,subgroup:457955024684977598
3,3,Any fish oil enteral lipid,1,,631,,642,100,-1.0999999999999979,-2.9756343406275256,0.7756343406275297,0,,,0,0,1,0,1.1494566591656346,,0.25036774784873705,subgroup:457920858395067811
3,4,Any algal oil enteral lipid,1,,50,,47,4.764195969840743,-0.09000000000000008,-0.5799239357569694,0.39992393575696933,0,,,0,0,1,0,,0,0.718810284591458,subgroup:457920858412107177
3,4,Any fish oil enteral lipid,2,,613,,592,95.23580403015924,0.020000000000000018,-0.08957799262011325,0.12957799262011327,0,,,0,0,1,0,,0,0.7205457605784671,subgroup:457920858415515051
3,5,Any algal oil enteral lipid,1,,50,,47,42.468813434601294,0.07000000000000006,-0.45960450167978373,0.5996045016797839,0,,,0,0,1,0,,0,0.7955916616330105,subgroup:457920858422068654
3,5,Any fish oil enteral lipid,2,,613,,592,57.531186565398706,0.75,0.6362924085092188,0.8637075914907812,0,,,0,0,1,0,,0,3.1424117404341715e-38,subgroup:457920858425738672
3,6,Any algal oil enteral lipid,1,,50,,47,8.099061625818816,0.05,-0.4257510700439501,0.52575107004395,0,,,0,0,1,0,,0,0.8368016185784624,subgroup:457920858435700149
3,6,Any fish oil&nbsp;,2,,592,,613,91.9009383741812,0,-0.14123331489812624,0.14123331489812624,0,,,0,0,1,0,,0,1,subgroup:457920858432030131
3,7,Any algal oil enteral lipid,1,8,109,6,99,2.9130389969479547,1.095104389381765,0.5322484943383488,2.2531836846885405,0,,,0.1996651213425842,2,0.9049890121311653,0,,0.5417846927788165,0.8640791915874204,subgroup:457920858372261264
3,7,Any fish oil enteral lipid,2,161,629,184,641,97.08696100305204,0.8932084131925737,0.5016941334344162,1.5902543327273937,0,,,0.24386883015969468,1,0.6214257293012306,0,,2.4877022512935962,0.21925788188363615,subgroup:457920858367542669
3,8,Any algal oil enteral lipid,1,,33,,34,100,-3.4400000000000013,-6.204582329327109,-0.6754176706728936,0,,,0,0,1,0,,0,0.01473593380624077,subgroup:457920858403456422
3,9,Any fish oil enteral lipid,1,,18,,18,100,-3,-12.886545683340202,6.886545683340202,0,,,0,0,1,0,0.5947367404095808,,0.5520194619329961,subgroup:457946531486101119
3,10,Any fish oil enteral lipid,1,,18,,18,100,-5,-11.434468860125566,1.4344688601255653,0,,,0,0,1,0,1.5230192477004285,,0.1277538900125445,subgroup:457953667854894661
3,11,Any algal oil enteral lipid,1,31,448,31,424,40.88985763099557,1.012247387545391,0.6191600182898249,1.6548949275223375,0,,,3.968377741684782,6,0.6809561236701855,0,,0.06059478358297509,0.9606965722717621,subgroup:457920858379339157
3,11,Any fish oil enteral lipid,2,51,659,39,669,59.110142369004414,1.3284383849998487,0.6942530470380414,2.541938490972597,0,,,0.061792847381447094,1,0.8036843905790486,0,,5.560929477011183,0.1668657507711953,subgroup:457920858385368478
