Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding (performance bias and detection bias): participants,Domain (support): Blinding (performance bias and detection bias): participants,Domain (judgement): Blinding (performance bias and detection bias): those delivering intervention,Domain (support): Blinding (performance bias and detection bias): those delivering intervention,Domain (judgement): Blinding (performance bias and detection bias): outcome assessors,Domain (support): Blinding (performance bias and detection bias): outcome assessors,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Hess-Homeier 1981,Unclear risk,"<p>Stated that ""random assignment"" was performed</p>",High risk,<p>Categorised as inadequate in <i>BMJ</i> review (Lawlor and Hopker)</p>,High risk,<p>Participants not blinded to treatment allocation</p>,High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>Self report BDI</p>,High risk,"<p>Previously categorised by Lawlor and Hopker as not intention-to-treat, but data on drop-outs are not reported</p>",Unclear risk,"<p>The BDI was listed as the first outcome measure and data on BDI were reported. The authors also mentioned the Zung Self rating Depression Scale, but data were not reported in the abstract. No protocol was available</p>",Unclear risk,<p>Unclear</p>
Hidalgo 2021,Low risk,<p>&nbsp;Allocation was performed centrally at the Zone VIII Health Center using a computer-generated random sequence of numbers.</p>,Unclear risk,<p>Not described</p>,High risk,<p>Not clearly reported</p>,High risk,<p>Not clearly reported</p>,Unclear risk,<p>Unclear - methods of outcome assessment not described and doesn't say if outcome assessors were blinded</p>,Low risk,"<p>154/313 dropped out. Physical Activity group 92/158; Antidepressant group 62/155. Drop outs due to adverse events particularly high in Antidepressant group. However, both intention-to-treat and per-protocol analyses were conducted and discussed in limitations section</p>",High risk,<p>Protocol main outcome will be change in 10-item Montgomery-Asberg Depression Rating Scale rather than binary ouctome. Also states that the Geriatric Depression Rating score will be reported</p>,Unclear risk,<p>No other source of bias identified</p>
Ho 2014,Low risk,<p>Blocked randomization into one of two groups using online research randomizer.</p>,Low risk,<p>A random number list was generated by an investigator with no clinical involvement in the study using online research randomizer</p>,High risk,"<p>Interventions could not be blinded,but it is unclear what effect this had on bias</p>",High risk,"<p>Interventions could not be blinded,but it is unclear what effect this had on bias</p>",Low risk,"<p>“All subjects were assessed by 1 of 3 assessors…., who were blinded to the subjects’ allocation throughout the study”</p>",Low risk,<p>7 participants from the exercise group and 5 participants from the control group dropped out</p>,Low risk,<p>The same outcomes are listed as assessed and reported in the results. Protocol not available.</p>,Unclear risk,<p>Unclear</p>
Hoffman 2010,Low risk,<p>Participation open to anyone who met inclusion criteria. Random distribution of sealed envelopes.</p>,Low risk,<p>Use of sealed envelopes</p>,High risk,<p>All participants informed of nature of the study and both groups increased total amount of exercise over study period</p>,High risk,<p>No detail provided</p>,High risk,<p>BDI self report</p>,Low risk,<p>No evidence of missing data</p>,Low risk,<p>All findings reported</p>,Unclear risk,<p>Unclear</p>
Huang 2015,Low risk,<p>First author used computer developed randomisation tables to randomly assign subjects.</p>,Unclear risk,<p>Not reported.</p>,High risk,"<p>Blinding was not reported, however the interventions assessed (physical fitness exercise versus cognitive behavioural therapy) could not be blinded and the outcomes (i.e. GDS-15; 6-min walk distance; quality of life (SF-36) physical and mental; Inventory of socially supportive behaviours) may be influenced by the participant and/or provider awareness of the intervention received,but it is unclear what effect this had on bias.</p>",High risk,"<p>Blinding was not reported, however the interventions assessed (physical fitness exercise versus cognitive behavioural therapy) could not be blinded and the outcomes (i.e. GDS-15; 6-min walk distance; quality of life (SF-36) physical and mental; Inventory of socially supportive behaviours) may be influenced by the participant and/or provider awareness of the intervention received,but it is unclear what effect this had on bias.</p>",Low risk,<p>Assessment was carried out by a research assistant blinded to group allocation.</p>,Low risk,<p>No drop-outs</p>,Low risk,<p>All outcomes identified in the research methods are reported in the results. No protocol identified.</p>,Unclear risk,<p>Unclear</p>
Karg 2020,Low risk,<p>Computer vased system</p>,Low risk,<p>Carried out by independent group</p>,High risk,<p>Not blinded as stated in the protocol</p>,High risk,<p>Not blinded as stated in the protocol</p>,Low risk,<p>Outcome assessors were blinded to purpose of study</p>,Low risk,<p>Similar dropouts in both groups</p>,Low risk,"<p>Although PHQ-9 originally stated as a primary outcome in protocol and changed to a secondary outcome, all key outcomes are reported in the different publications.</p>",Low risk,<p>Protocol registered</p>
Khorvash 2012,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,High risk,<p>Not reported</p>,High risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,High risk,<p>Missing key data such as standard deviation overall poorly reported</p>,Unclear risk,<p>Unclear</p>
Khoshnab 2017,Unclear risk,<p>Simply states “randomly divided into four groups”</p>,Unclear risk,<p>Unclear</p>,High risk,<p>Participants aware they were taking medication or doing exercise or both</p>,High risk,<p>No info given on who delivered intervention</p>,High risk,<p>BDI self rating</p>,Unclear risk,<p>No details given</p>,Low risk,<p>No difference between protocol and outcomes reported</p>,Unclear risk,<p>Unclear</p>
Klein 1985,Unclear risk,<p>Method not stated</p>,High risk,<p>Inadequate. Categorised by Lawlor and Hopker for <i>BMJ</i> review</p>,High risk,<p>Participants not blind but unclear whether this had an effect on bias</p>,High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>Self report for main outcome</p>,High risk,"<p>Of the 74 randomised, 32 dropped out or never started treatment (12/27 in the running group; 12/23 in the meditation group and 8/24 in the group therapy group)</p>",Unclear risk,<p>It appears that all outcomes specified in methods are reported. No protocol</p>,Unclear risk,<p>Unclear</p>
Knubben 2007,Low risk,<p>Computer-generated block list</p>,Low risk,<p>Central randomisation</p>,High risk,"<p>Participants aware of treatment allocation, unclear effect on bias</p>",High risk,"<p>Those delivering intervention aware of allocation, unclear effect on bias</p>",Low risk,<p>A single psychologist (blinded to treatment allocation) assessed outcome using the BRMS</p>,Unclear risk,"<p>The report states 39 were randomised, but the outcome data relate to only 38. Three participants dropped out. Missing data were imputed, but authors have not accounted for the 1 participant who seems to have been randomised but was not reported in the tables of results.</p>",Unclear risk,"<p>All prespecified outcomes seem to have been reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Krogh 2009,Low risk,<p>Computerised restricted randomisation with a block size of 8</p>,Low risk,<p>The block size and allocation sequence were unknown to the DEMO trial staff</p>,High risk,"<p>Participants not blind, but unclear what influence this had on bias</p>",High risk,<p>Physiotherapists delivering the intervention were not blind. Unclear how this influenced risk of bias</p>,Low risk,<p>The assessor was blind to intervention group. The investigators asked the outcome assessors to guess intervention group. The kappa values for agreement between the right allocation and the guessed allocation were 0.15 and 0.05 for the assessments at 4 and 12 months respectively</p>,Low risk,"<p>137/165 were available for follow-up at the end of the intervention. Eighteen were lost to follow-up and 10 refused to participate (8/55 in strength group, 7/55 in aerobic group and 13/55 in the relaxation group). The authors used a likelihood-based mixed-effect model with an unstructured variance matrix available in SPSS, which is able to handle missing data with higher precision and power than last observation carried forward. The authors reported no significant difference between missing participants and participants included in the analyses at either 4 or 12 months, and concluded that it was reasonable to assume that the missing data were 'missing at random'</p>",Low risk,<p>All prespecified outcomes seem to have been reported. Protocol was published in advance of the trial</p>,Unclear risk,"<p>The authors repeated power calculations part-way through the trial, and reduced the sample size as the standard deviation was lower than anticipated</p>"
Kruisdijk 2018,Unclear risk,"<p>SPSS random generator, SPSS version 14.0</p>",Unclear risk,<p>Unclear</p>,High risk,<p>Not blinded</p>,High risk,<p>Not blinded</p>,Unclear risk,<p>Observer-blinded</p>,High risk,<p>Did not use an appropriate method of intention-to-treat analysis</p>,Unclear risk,<p>Protocol stated but could not be located NL.26169.097.08.</p>,High risk,"<p>Because the GPs already had started with the depression protocol several months before the start of this study, the depressive symptoms of these outpatients were usually in partial remission. Additionally this led to 135 patients who were originally eligible to enter the trial being excluded as at the point of entry their depression symptom levels were reduced.</p>"
La Rocque 2021,Low risk,<p>No other source of bias identified</p>,Low risk,<p>Use of sealed envelopes</p>,High risk,<p>Participants not blinded&nbsp;</p>,High risk,<p>Those delivering the intervention not blinded</p>,Low risk,<p>Outcome assssors were blinded to treatment group</p>,Low risk,"<p>11/53 dropped out (3/18 Yoga group; 5/20 Aerobic exercise group; 3/15 waitlist group). Intention-to -treat analysis conducted using last observation carried forward method. Completer sample also reported on. ""completion rate and class attendance did not differ significantly between the active conditions [yoga or exercise], and were not significantly associated with outcome""</p>",Low risk,<p>All outcomes reported as in protocol: https://classic.clinicaltrials.gov/ct2/show/NCT04058080</p>,Unclear risk,<p>No other source of bias identified</p>
Legrand 2014,Low risk,<p>Computer-generated randomization</p>,Unclear risk,<p>No attempt to conceal allocations described</p>,High risk,"<p>No attempt to blind participants described,but it is unclear what effect this had on bias</p>",High risk,"<p>No attempt to blind those delivering the intervention described,but it is unclear what effect this had on bias</p>",High risk,"<p>No attempt to blind those assessing outcome described, although outcome was self-assessed by participants, therefore ? whether relevant.</p>",High risk,"<p>Seven of the 22 participants (31.8%) in the ET group failed to attend the whole set of scheduled training sessions, and 10 of the 22 participants (45.4%) in the WL group missed at least one of the two interim appointments. They were accordingly excluded from analysis. Data were analyzed using completers</p>",Low risk,<p>No evidence that they have not reported on anything they said they would</p>,Unclear risk,<p>unclear</p>
Legrand 2016,Low risk,<p>Computer generated random number</p>,Low risk,<p>Unclear</p>,High risk,<p>Pariticipants aware of group assignment</p>,High risk,<p>Intervention delivered by person leading trial who was aware of intervention/trial/allocation</p>,High risk,<p>BDI self rated</p>,Low risk,"<p>Intention to treat analysis</p>
<p>Drop outs:</p>
<p>1 from ex group</p>
<p>2 from stretch group</p>
<p>1 from control</p>",Low risk,<p>All outcome measures reported as per protocol</p>,Unclear risk,<p>Nil</p>
Martinsen 1985,Low risk,<p>Block randomisation with respect to age</p>,Low risk,<p>Categorised by Lawlor and Hopker as low risk</p>,High risk,<p>Participants not blind</p>,High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>Self report BDI</p>,High risk,"<p>6 participants dropped out, leaving 43 who completed the study</p>",Unclear risk,"<p>Prespecified outcome measures were reported, but no protocol</p>",Unclear risk,<p>unclear</p>
Mather 2002,Low risk,<p>Computer-generated random number list</p>,Low risk,<p>Sealed envelopes</p>,High risk,"<p>Participants not blind, unclear effect on bias</p>",High risk,"<p>Those delivering intervention aware of allocation, unclear effect on bias</p>",Low risk,<p>Primary outcome was HRSD delivered by one of 2 psychiatrists who were blinded to treatment allocation</p>,Low risk,<p>No drop-outs</p>,Unclear risk,"<p>All prespecified outcome measures reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
McCann 1984,Unclear risk,<p>No information</p>,High risk,<p>Classified as inadequate by Lawlor and Hopker</p>,High risk,<p>Participants not blind</p>,High risk,<p>Those delivering intervention not blind</p>,High risk,<p>Self report depression scores</p>,High risk,"<p>4/47 withdrew (1 from the aerobic exercise, 1 from the placebo condition and 2 from the 'no treatment' condition). 43 remained</p>",Unclear risk,<p>No prespecified outcomes. Reported depression scores before and after the intervention. No protocol</p>,Unclear risk,<p>Unclear</p>
McNeil 1991,Unclear risk,<p>No information</p>,High risk,<p>Inadequate (as assessed by Lawlor and Hopker for <i>BMJ</i> review)</p>,High risk,"<p>Participants not blind, but this on its own does not necessary imply bias</p>",High risk,<p>Investigator delivering intervention was not blind</p>,High risk,<p>Self report BDI</p>,Low risk,<p>No drop-outs</p>,Unclear risk,"<p>All prespecified outcome measures were reported, but no protocol</p>",Unclear risk,"<p>Note Lawlor and Hopker categorised this study as ""not intention-to-treat""</p>"
Mota-Pereira 2011,Unclear risk,<p>No details provided</p>,Unclear risk,<p>No details provided</p>,High risk,"<p>Participants were not blinded to intervention, but were not provided with information on how the intervention might benefit them.</p>",High risk,<p>Those delivering intervention not blinded to treatment group</p>,Low risk,<p>Investigators carrying out rating tests post-intervention were blinded to treatment group</p>,Low risk,<p>No missing data</p>,Low risk,<p>Prespecified outcomes all reported</p>,Low risk,<p>Appears to be free of other bias</p>
Mutrie 1988,Unclear risk,<p>No data in report</p>,High risk,<p>Inadequate (classified by Lawlor and Hopker in <i>BMJ</i> review)</p>,High risk,<p>Participants not blind</p>,High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>BDI self report</p>,Low risk,<p>All participants completed the intervention</p>,Unclear risk,"<p>All prespecified outcomes are reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Nabkasorn 2005,Unclear risk,<p>No information in the paper; wrote to authors but no response</p>,Unclear risk,<p>No information in the paper</p>,High risk,"<p>Participants not blind, unclear effect on bias</p>",High risk,"<p>Those delivering intervention not blind, unclear effect on bias</p>",High risk,"<p>Self report using CES-D score, so not blind</p>",High risk,"<p>59 randomised, 7/28 in jogging group not available at follow-up, 3/31 in control group not available for follow-up; leaving data from 49 to be analysed</p>",Unclear risk,"<p>All prespecified outcome measures seem to have been reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Olson 2017,Low risk,<p>A 1:1 ratio into AE or PE arms using a computer-generated number list was used</p>,Unclear risk,<p>unclear</p>,High risk,<p>unclear</p>,High risk,<p>unclear</p>,Unclear risk,<p>unclear</p>,High risk,<p>No intention to treat analysis and high dropout</p>,Unclear risk,<p>No protocol given</p>,Unclear risk,<p>unclear</p>
Orth 1979,Unclear risk,"<p>Unclear, not specified. Too old a study to contact authors</p>",Unclear risk,<p>Unclear</p>,High risk,<p>Unclear</p>,High risk,<p>Not relevant as activities done on own</p>,High risk,<p>Self-report outcomes</p>,Low risk,"<p>All participants completed the study, data from all reported</p>",Unclear risk,"<p>All prespecified outcomes reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Pfaff 2014,Low risk,<p>Allocated using permuted block randomisation. Blocks varied in size from 4 to 10 participants and the random list of numbers was computer generated.</p>,Low risk,<p>...randomisation conducted by an independent researcher not in direct contact with participants.</p>,High risk,"<p>Difference in intervention and control could not be blinded, but it is unclear what effect this had on bias.</p>",High risk,"<p>Difference in intervention and control could not be blinded, but it is unclear what effect this had on bias.</p>",Low risk,<p>Those conducting the telephone mental-health assessments were blind to the treatment group allocation status.</p>,Low risk,"<p>SIGMA scores were reported through ITT and per protocol analysis. SCID-I was reported through per protocol analysis only. Although12% of medical care and 16% of physical activity participants were lost to follow up, it presents reasons for their loss.</p>",Low risk,<p>All outcomes identified in the research methods are reported in the results. No protocol identified. Adverse events were not reported.</p>,Unclear risk,<p>Unclear</p>
Pilu 2007,Unclear risk,<p>Not stated</p>,Unclear risk,<p>Unclear</p>,High risk,"<p>Participants not blind, unclear risk of bias</p>",High risk,"<p>Those delivering intervention were not blind, unclear risk of bias</p>",Unclear risk,"<p>Unclear. Two different trained psychiatrists rated outcomes, including the HAM-D, but authors did not report whether these psychiatrists were blind to treatment allocation</p>",Low risk,<p>All those starting the intervention had outcome data reported</p>,High risk,"<p>The authors stated that a structured diagnostic interview was performed to make a diagnosis of depression at 8 months (follow-up), but these data were not reported</p>",Unclear risk,<p>Unclear</p>
Pinchasov 2000,Unclear risk,<p>No information given</p>,Unclear risk,<p>Unclear</p>,High risk,<p>Participants not blind</p>,High risk,<p>The authors did not state how the intervention was delivered</p>,Unclear risk,"<p>HDRS, but not stated whether outcome assessor blind</p>",Unclear risk,"<p>63 participants were recruited, and were included in 7 groups, 9 per group. Data not provided on number still in the trial at the end of the interventions</p>",Unclear risk,<p>Insufficient information provided to make this judgement</p>,Unclear risk,<p>Unclear</p>
Prakhinkit 2014,Low risk,<p>The eligible subjects were stratified based on age and depression levels (mild-to-moderate depression) and then were randomly allocated into three groups using the random number table generated by the computer: the sedentary control group.</p>,High risk,<p>There is no indication that allocation concealment was undertaken</p>,High risk,"<p>Patients were fully aware of intervention and purpose,but it is unclear what effect this had on bias.</p>",High risk,"<p>There’s no mentioning of blinding of those delivering the intervention,but it is unclear what effect this had on bias.</p>",High risk,<p>Self report</p>,Unclear risk,<p>A total of 5 subjects dropped out by the end of the study.</p>,Low risk,"<p>All outcomes reported</p>
<p>No protocol</p>",Unclear risk,<p>Unclear</p>
Reuter 1984,Unclear risk,<p>No information to make this judgement</p>,High risk,<p>Not used</p>,High risk,<p>No information</p>,High risk,"<p>Those delivering the intervention were not blind, but the effect on bias is uncertain</p>",High risk,<p>Judged by Lawlor and Hopker in <i>BMJ </i>review as not blind</p>,High risk,<p>Judged by Lawlor and Hopker as not intention-to-treat</p>,Unclear risk,<p>Insufficient information; no protocol</p>,Unclear risk,<p>Unclear</p>
Roy 2018,Unclear risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,High risk,<p>Not blinded</p>,High risk,<p>Not blinded</p>,Unclear risk,<p>Not blinded</p>,Unclear risk,<p>Three participants in each group did not complete the study no intention to treat analysis</p>,Unclear risk,<p>No protocol</p>,Unclear risk,<p>No other source of bias identified</p>
Salehi 2016,Unclear risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,High risk,<p>Not described</p>,High risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,Low risk,<p>No dropout reported</p>,Unclear risk,<p>no protocol</p>,Unclear risk,<p>No other source of bias identified</p>
