Study,Year,Data source,ID: CRS,ID: CTG,ID: DOI,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Chu 2008,2008,PUB,3422946,,,<p>RCT</p>,"<p>Volunteers aged 18 to 45 recruited via flyers and word of mouth from University and local physician referral. Depression severity mild to moderate, if severe required written permission from physician.</p>
<p>Mean age: 26.4 (18 to 43).</p>
<p>100% women.</p>","<p>For 10 weeks:</p>
<p>1. Up to 5 high-intensity aerobic exercise sessions per week (1 supervised) to expend 1000 Kcal per week (n = 15)</p>
<p>2. Up to 5 low-intensity aerobic exercise sessions per week (1 supervised) to expend 1000 Kcal per week (n = 11)</p>
<p>3. Met with investigator once per week for 30 minutes of group stretching exercises (n = 12)</p>",<p>Beck Depression Inventory-II</p>,"<p>Analysis not intention-to-treat</p>
<p>BDI-II self-rated depression score</p>"
De Groot 2019,2019,PUB,26698099,,,<p>RCT</p>,"<p>Diabetic patients with depression</p>
<p>Mean age: 56.0 years</p>
<p>77% women</p>
<p>N = 140</p>",<p>1. Aerobic exercise (n = 34)</p><p>2. Cognitive behavioral therapy (n = 36)</p><p>3. Cognitive behavioral therapy + Aerobic exercise (n = 34)</p><p>4. Usual care (n= 36)</p>,"<p>1. HbA1c</p>
<p>2. Depression remission</p>","<p>intention-to-treat Analysis</p>
<p>Psychological interview blinded to assignment</p>"
Doose 2015,2015,PUB,26698103,,,<p>RCT</p>,"<p>General public with depression based in Germany</p>
<p>Recruited from press conference, local newspapers and regional television program</p>
<p>Age 46.07 +/-10.22</p>
<p>Female 29/46(63%)</p>
<p>N = 46</p>","<p>1. Supervised group, outdoors practice, Aerobic exercise, self-selected intensity running/walking; 3x weekly, 60 minutes for 8 weeks (N = 30)</p>
<p>2. Treatment as usual (N = 16)</p>","<p>1. Hamilton Rating Scale for Depression — HRSD-17.</p>
<p>2. BDI-II</p>
<p>3. Participants completed a Urho Kaleka Kekkonen (UKK) 2-km Walk Test to estimate physical fitness. Gave rating of perceived exertion (RPE) according to Borg’s scale.</p>
<p>4. VO2 Max was estimated using record lap time, BMI, heart rate (during last 30 seconds of walking), age, and gender.</p>
<p>5. Fitness Index (using same parameters as VO2 Max)</p>","<p>Outcome assessment not blind</p>
<p>Analysis used intention-to-treat</p>"
Doyne 1987,1987,PUB,3422949,,,<p>RCT</p>,"<p>Community volunteers recruited via media<br>
 Mean age 28.5 (SD 4.36)<br>
 100% women<br>
 N = 40. The number randomised into each group not stated.</p>","<p>1. Supervised running or walking 4 times a week for 8 weeks <br>
 2. Supervised strength training 4 times a week<br>
 3. Waiting list control</p>","<p>1. Beck Depression Inventory<br>
 2. Lubin's Depression Adjective List<br>
 3. Hamilton Rating Scale for Depression</p>","<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Dunn 2005,2005,PUB,3422952,,,<p>RCT</p>,"<p>Community volunteers recruited via media. Men or women aged 20 to 45 with mild to moderate depression<br>
 Mean age 35.9<br>
 75% women<br>
 N = 80</p>","<p>4 different aerobic exercise programmes, that varied in total energy expenditure (7.0 kcal/kg/week or 17.5 kcal/kg/week) and frequency (3 days per week or 5 days per week). The 17.5 kcal/kg/week is consistent with public health recommendations for physical activity and is termed 'public health dose'.<br>
 1. Public health dose 3/week (n = 17)<br>
 2. Public health dose 5/week (n = 16)<br>
 3. Low dose 3/week.(n = 16)<br>
 4. Low dose 5/week (n = 18)<br>
 5. Control, (flexibility exercise) 3 sessions per week (n = 13)</p>
<p>Exercise was on a treadmill or stationary bike, individually and monitored by laboratory staff.<br>
 Duration 12 weeks.</p>",<p>Change in HRSD from baseline to 12 weeks.</p>,"<p>Intention-to-treat (though data from the last available exercise session rather than data collected at 12 weeks were used in the analysis)<br>
 Outcome assessors blind</p>"
Eman 2017,2017,PUB,26698105,,,<p>RCT</p>,"<p>Post-menopausal women complaining of depression</p>
<p>Mean age: 56.77 years</p>
<p>100 % women</p>
<p>N = 40</p>","<p>1. Cardiovascular exercise (walking) for 40-minutes three times a week (N=20)</p>
<p>2. Reflexology sessions for 30 minutes (each foot 15 minutes) twice a week for four weeks N=20)</p>",<p>Beck Depression Inventory (BDI-II)</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat</p>"
Epstein 1986,1986,PUB,3422957,,,<p>RCT</p>,"<p>Community volunteers recruited via media<br>
 Mean age 39.4<br>
 (range 24 to 60)<br>
 92% women</p>","<p>1. Group walking or jogging for 30 minutes 3 to 5 times a week for 8 weeks (n = 7)<br>
 2. Cognitive therapy 1 session of 1.5 hours per week (n = 9)<br>
 3. Waiting list control (n = 10)</p>","<p>1. Beck Depression Inventory<br>
 2. Zung Self Rating Depression Scale</p>","<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Fetsch 1979,1979,PUB,3422959,,,<p>RCT. n = 21</p>,<p>Depressed people (reactive depression) referred from a University counselling service and recruited via advertisements</p>,"<p>1. Running 4 sessions over 4 weeks (n = 10). Age range 18 - 51<br>2. Stroking therapy (a type of 'talking' therapy/cognitive behavioural therapy), 4 sessions over 4 weeks (n = 11) (age range 20 - 35)</p>",<p>Beck Depression inventory</p>,"<p>Outcome assessment not blind (self report)<br>
 Analysis not intention-to-treat (only 16/21 randomised participants completed trial and were included in the analysis)</p>"
Foley 2008,2008,PUB,3422961,,,<p>RCT (parallel group)</p>,"<p>Recruited from media advertisements, pamphlet and poster displays and psychiatric referrals with major depressive episode.</p>
<p>Age range 18 - 55, mean age and gender data not stated<br>
 N = 23</p>","<p>1. Moderate-intensity aerobic exercise. Each session lasted 30 - 40 minutes (n = 10)</p>
<p>2. Mild-intensity stretching (n = 13)</p>
<p>12-week programme of 3 supervised sessions per week</p>","<p>Beck Depression Inventory</p>
<p>Montgomery-Asberg Depression Rating scale</p>","<p>Intention-to-treat analysis</p>
<p>Small sample size with insufficient power to detect small differences</p>"
Fremont 1987,1987,PUB,3422963,,,<p>RCT</p>,"<p>Community volunteers recruited via media<br>
 Data on age and gender not available<br>
 N = 61</p>","<p>1. Group running (3 times a week, for 10 weeks, with a running coach in small groups of 6 - 8 subjects) (n = 15)<br>
 2. Cognitive therapy (10 individual 1 hour sessions with a therapist) (n = 16)<br>
 3. Combined running and cognitive therapy (n = 18)</p>
<p>10 weeks</p>",<p>Beck Depression Inventory</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Gary 2010,2010,PUB,3422966,,,<p>RCT</p>,"<p>Depressed people with heart failure (NYHA Class II to III)</p>
<p>42% men</p>
<p>Age 30 - 70</p>","<p>1. Home exercise programme: 12 weekly face-to-face home visits to monitor walking and to tailor the exercise prescription. Participants were advised to walk for 3 days per week for 12 weeks, and to increase duration to a maximum of 1 hour for 3 days per week at moderate intensity (n = 20).</p>
<p>2. Home exercise programme plus CBT (n = 18)</p>
<p>3. CBT alone, based on Beck's CBT model. Each session lasted 1 hour. Total number of sessions not stated, but we assume this was 12 because in the combined group they were delivered at the same time as the home exercise programme visits (n = 18)</p>
<p>4. Usual care (n = 17)</p>","<p>HAM-D, 6-minute walk</p>",<p>Small sample size</p>
Greist 1979,1979,PUB,3422968,,,<p>RCT</p>,"<p>Community volunteers<br>
 Age range 18 - 30<br>
 53.4% women<br>
 N = 28</p>","<p>1. Supervised running (n = 10). running leader met individually with his participants 3 - 4 times per week for 1 hour, then in the 5th week, only 2 sessions were scheduled with the leader, and in the 7th and 8th weeks, only 1 was scheduled.<br>
 2. Time-limited psychotherapy (n = 6)<br>
 3. Time-unlimited psychotherapy (n = 12)</p>",<p>Symptom checklist score</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Haller 2018,2018,PUB,26698107,,,<p>RCT</p>,"<p>Participants were recruited offline through local outpatient psychiatrists.</p>
<p>Ability to undestand the purpose and risks of the study; Sufficient computer or internet literacy to get along with our internet platform; Aged 20-65 years, inclusive, at the time of informed consent; Montreal Cognitive Assessment &gt;18 to exclude moderate to severe cognitive impairment; Apart from a clinical diagnosis of major depression or bipolar affective disorder, the subject must be in good health as determined by the investigator based on medical history and physical examination; Quick Inventory of Depressive Symptomatology (QIDS) scores &gt;5; No changes in antidepressive therapy in the 4 weeks before study entry.</p>
<p>Mean age: 45 years (SD 14); Women 65%</p>","<p>1. Exercise with maximum of 3 endurance and 2 strength training units per week. Delivered online and patients were provided with a heart rate monitor and resistance bands.&nbsp;</p>
<p>2. Control group: treatment as usual</p>",<p>Quick Inventory of Depressive Symptomatology (QIDS)&nbsp;</p>,
Heinzel 2022,2022,PUB,26698109,,,<p>RCT</p>,"<p>A diagnosed mild or moderate depressive episode, an age between 18 and 65 years (Mean age: 39.46 years (SD 10.32); women 52.2%), and passing a sport medical examination. Participants were recruited at the Center for Psychotherapy at the Humboldt Universitat zu Berlin, Germany and via flyers and online advertisements.&nbsp;</p>","<p>Aerobic exercise: (1) high intensity exercise group included 20 min bicycle ergometer, 20 min running or Nordic walking, and 20 min of aerobic body workout at 55–85 % of the individual maximum heart rate reserve; &nbsp;(2) low intensity exercise group completed a similar program (20 min bicycle ergometer, 20 min walking, and 20 min stretching and relaxation) at significantly lower intensities of about 20–30 % of the individual maximum heart rate reserve; (3) Waiting list control did no exercise. All participants receive psychotherapy intervention - a therapy manual for CBT in MDD patients for 25 sessions with 2 sessions per week).</p>",<p>Hamilton Rating Scale for Depression (HAMD)</p>,
Heissel 2015,2015,PUB,26698111,,,<p>RCT</p>,"<p>Inpatients with MDD of the Friedrich-von-Bodelschwingh Klinik in Berlin</p><p>Mean age 66.75</p><p>Gender (female) = 58.3% (7/12)</p><p>Randomised N=14, Analysed N=12</p>","<p>1. Strength and strain balance exercises and walking with a ball or obstacle course 4 Weeks, 2 x 60 minutes sessions each week in groups.</p>
<p>2. Several relaxation tasks and Each session ended with stretching. The activities were purposely kept below the adequate threshold for physical training</p>","<p>1. Depression: BDI II</p>
<p>2. Physical: Six-Minute Walk Test</p>
<p>3. Timed Get-Up and Go Test</p>
<p>4. Neurocognitive: the Trail Making Test</p>
<p>5. Stroop Test</p>
<p>6. Subtest of the Leistungsprüfsystem</p>","<p>Outcome assessment not blind</p>
<p>Analysis not intention-to-treat</p>"
Hemat-Far 2012,2012,PUB,3422972,,,<p>RCT</p>,"<p>University students aged 18 - 25 with depression</p>
<p>100% women</p>","<p>1. 40 - 60 minutes of running, 3 times a week, supervised. (n = 10)</p>
<p>2. Control group with no active intervention (n = 10)</p>",<p>Beck Depression Inventory score</p>,<p>Small sample size (10 participants in each arm); specific population under study</p>
Hess-Homeier 1981,1981,PUB,3422974,,,<p>RCT</p>,"<p>Community volunteers recruited via media<br>
 Data on age and gender distribution not available<br>
 N = 17</p>","<p>1. Running or walking with the instructor for 30 minutes 4 times a week for 8 weeks (n = 5)<br>
 2. Cognitive therapy: 1 session of 1 hour and 2 of ½ hour per week (n = 6)<br>
 3. Waiting list control (n = 6)</p>",<p>Beck Depression Inventory</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Hidalgo 2021,2021,PUB,26698113,,,<p>RCT</p>,"<p>Outpatients of family medicine clinics aged &gt;/65 years presenting with a clinically mild to moderate depressive episode scoring at least 10 points on the Montgomery-Åsberg Depression Rating Scale (MADRS). Aged &gt;/65 &nbsp;(Mean age: Intervention: 72.2 years (SD 5.5), Control: 72.8 years (SD 6.1); Women 78.59%).</p>","<p>Mixed exercise: The sessions included a balanced combination of aerobic, muscle strength, and flexibility exercises, as well as exercises designed to improve balance.Educational content on how to increase physical effort in daily life and perform regular exercise adapted to individual age and fitness to maintain appropriate body weight. Over the course of the sessions, participants were trained to increase their level of physical activity and reach a point at which they would perform at least 30 minutes of moderately intense exercise every day.&nbsp;</p>
<p>Comparator: Antidepressant treatment with each patient’s general practitioner made the choice of the most appropriate drug, taking into account the patient’s characteristics.</p>",<p>Montgomery-Åsberg Depression Rating Scale (MADRS).</p>,
Ho 2014,2014,PUB,26698115,,,<p>RCT</p>,"<p>Males and females aged 18-64 years with a mild to moderate depression (MDD) who were sedentary due to absence of structured or regular exercise for ≥1 month, who were admitted as inpatients to a Psychiatric Unit</p>
<p>Age mean = 46.215</p>
<p>Gender (female) = 67%</p>
<p>N = 52</p>","<p>1. 5 supervised exercise sessions per week for 3 consecutive weeks, involving a 40 minute session of interval aerobic training for upper extremity and lower extremities (including 5 minutes warm-up and 5 minutes cool down).</p>
<p>2. Participants were reminded to maintain their physical activity level as usual and were given a 10-minute stretching exercise on large muscle groups for standardisation.</p>","<p>1. MADRS</p>
<p>2. C-BDI</p>
<p>3. Sit Reach distance (cm)</p>
<p>4. Handgrip strength (kg).</p>","<p>Outcome assessment blind</p>
<p>Analysis not intention-to-treat</p>"
Hoffman 2010,2010,PUB,3422976,,,<p>RCT</p>,<p>People with a history of traumatic brain injury occurring between 6 months and 5 years prior to trial with at least mild depression (n = 80)</p>,"<p>1. Aerobic exercise of participant's choosing. 60 minutes of gym-based supervised exercise per week and 4 x 30-minute home exercise sessions per week (n = 40; 38% men)</p>
<p>2. No intervention in control group (n = 40; 50% men)</p>",<p>Beck Depression Inventory Score</p>,"<p>The control group were informed they could participate in exercise programme post-trial intervention period. Authors report that both intervention and control groups showed a substantial increase in exercise.</p>
<p>SDs received from author</p>"
Huang 2015,2015,PUB,26698118,,,<p>RCT</p>,"<p>Adults ≥65 years old with depressive mood<b> from </b>three communities in Taiwan.</p>
<p>Mean Age 76.54</p>
<p>Female 52.62%</p>
<p>N=57</p>","<p>1. Cardiovascular and muscle strength exercise 3 times per week, 12 week physical fitness exercise intervention, 150 min/week of exercise by completing 3x50 min.</p>
<p>2. Cognitive behavioral therapy (CBT) approach.</p>
<p>3. Control group received no extra care.</p>","<p>1. Geriatric deppression scale (GDS) -15</p>
<p>2. 6-min walk distance</p>
<p>3. quality of life (SF-36) physical and mental</p>
<p>4. Inventory of socially supportive behaviours</p>","<p>Outcome assessment were blind</p>
<p>Analysis was intention-to-treat</p>"
Karg 2020,2020,PUB,26698120,,,<p>RCT</p>,<p>Adults with acute depressive symptoms</p><p>Mean age: 42 years; Sex: 69.2% women</p>,"<p>Intervention: Mixed exercise (20 min physical training alone at home, 3 times per week for 10 weeks, supported by DVD and/or training materials, with motivational reminders); Control: (i) Cognitive behavioural therapy; (ii) Bouldering psychotherapy</p>",<p>Montgomery-Asberg Depression Rating Scale</p>,
Khorvash 2012,2012,PUB,26698122,,,<p>RCT</p>,"<p>Recruited from Azad University physical education organisation</p>
<p>Mean Age 25.1 SD 3.2</p>
<p>Female 0%</p>
<p>N=120</p>","<p>1. Strength training (Specific strength exercises) 20 sessions, 1.5 h each for l0 weeks.</p>
<p>2. Endurance training (Runng) during 20 sessions, 1.5 h each for l0 weeks.</p>","<p>1. Blood tests</p>
<p>2. Beacke questionnaire – depression</p>
<p>3. Kettle questionnaire - anxiety</p>","<p>Analysis not intention-to-treat</p>
<p>Missing data for standard deviation for Beacke questionnaire</p>"
Khoshnab 2017,2017,PUB,26698124,,,<p>RCT</p>,"<p>Middle aged women with depression in Iran#</p>
<p>Mean Age: 51.2</p>
<p>100% women</p>
<p>N = 60</p>","<p>1. Drug therapy (n=15)</p>
<p>2. Aerobic exercise (n=15)</p>
<p>3. Combination (drug &amp; aerobic exercise) (n=15)</p>
<p>4. Control (n=15)</p>",<p>Beck depression inventory</p>,"<p>Participants aware they were taking medication or doing exercise or both</p>
<p>Self report</p>"
Klein 1985,1985,PUB,3422979,,,<p>RCT (parallel group)</p>,"<p>Community volunteers recruited via media<br>
 Mean age 30.1 (SD 6.72)<br>
 72% women<br>
 N = 74<br></p>","<p>1. Supervised running twice a week for 12 weeks (n = 27)<br>
 2. Group cognitive therapy for 2 hours once a week (n = 24)<br>
 3. Control group: meditation for 1 hour twice weekly (n = 23)</p>","<p>1. Symptom checklist<br>
 2. Target symptoms<br>
 3. Structural Analysis of Social Behaviour<br>
 4. Social Adjustment Self reported Questionnaire<br>
 5. Cornell Medical Index<br>
 6. Role Rating Questionnaire<br>
 7. Hamilton Rating Scale<br>
 8. Global Assessment Scale</p>","<p>Main outcome assessment not blind. Hamilton Rating Scale administered by interviewer blind to allocation.<br>
 Analysis not intention-to-treat<br></p>"
Knubben 2007,2007,PUB,3422981,,,<p>RCT (parallel group)</p>,"<p>Inpatients with major depression<br>
 Mean age 49<br>
 55% women<br>
 N = 38</p>","<p>1. Walking training on a treadmill for 10 days (n = 10)<br>
 2. Placebo (low-intensity stretching and relaxation) light stretching exercises for the calves, thighs, back, shoulders and pectoral muscles, as well as relaxation exercises, daily for 30 minutes (n = 18)<br></p>","<p>1. Bech-Rafaelsen Scale (BRMS)<br>
 2. Center for Epidemiologic Studies Depression Scale (CES-D)</p>","<p>Authors state intention-to-treat, but of the 39 recruited only 38 were used in the analysis. Outcome assessor for BRMS blinded to treatment allocation</p>"
Krogh 2009,2009,PUB,3422983,NCT00103415,,<p>RCT (parallel group)</p>,"<p>Referred from general practitioners, private psychiatrists, psychologists and psychiatric wards institutions. Included if met criteria for major depression</p>
<p>Mean age 38.9</p>
<p>73.9% women</p>
<p>N = 165</p>","<p>1. Strength circuit training (n = 55)</p>
<p>2. Aerobic (machine-based) training (n = 55)</p>
<p>3. Relaxation control (n = 55)</p>
<p>Twice-weekly intervention for 32 sessions delivered over a 4-month period</p>",<p>Hamilton Rating Scale for Depression</p>,"<p>Intention-to-treat analysis</p>
<p>Significant drop-outs in each group</p>
<p>Changed sample size calculation after first 50 participants on basis of observed standard deviation</p>"
Kruisdijk 2018,2017,PUB,26698126,,,<p>RCT</p>,"<p>Hospital inpatients, day hospital and outpatients with MDD</p>
<p>Mean age: 41.6</p>
<p>62.5 % women</p>
<p>N = 48</p>","<p>1. Aerobic Running Therapy plus treatment as usual (TAU) or Nordic walking plus TAU twice a week (n = 25)</p><p>2. Control group: Treatment as usual (pharmacotherapy, supportive psychotherapy and daily activation for the hospitalized participants or those in-day treatment, and pharmacotherapy and cognitive therapy for the outpatients) (n = 23)</p>",<p>Hamilton Rating Scale of Depression</p>,<p>Analysis not intention-to-treat</p>
La Rocque 2021,2021,PUB,26698130,,,<p>RCT</p>,"<p>Women with depressive disorder who met current DSM-5 (APA, 2013) criteria for a non-chronic, unipolar depressive disorder.</p>
<p>Mean age: Yoga 34.17 years (SD 15.75); Exercise 34.85 years (SD 15.15); Waitlist 29.40 years (SD 13.08); Women 100.00%</p>","<p>Aerobic exercise</p>
<p>1. Two 50–60-min group YMCA exercise classes per week for 8 weeks with a choice of choreography-based cardio, aerobics, light muscular conditioning, and stretching; cardio, plyometric, and strength training; high intensity aerobic exercise with intermittent rest periods; circuit-based cardio and strength training; stepper-based exercises; and Latin-inspired dance/ fitness;&nbsp;</p>
<p>2. Two 90 minute Bikram Yoga classes per week at a specific Bikram yoga studio with certified Bikram teachers. Classes were held in a temperature-controlled room (~40 ◦C, 40% humidity).&nbsp;</p>
<p>No intervention comparator</p>
<p>3. Waitlist control&nbsp;</p>",<p>Hamilton Rating Scale for Depression (HAMD)</p>,
Legrand 2014,2014,PUB,26698132,,,<p>RCT</p>,"<p>Young low-income women (18-35 years old) with a low occupational grade living in France , recruited from Word of mouth and through advertisements posted on the walls of the main building of the housing association.</p>
<p>Age Median: 23</p>
<p>Age Range: 19-30</p>
<p>Female 100%</p>
<p>N =44</p>","<p>1. 7 weeks (14 sessions) 2 sessions a week for 60 minutes. Session 1: Fast walking and jogging for 30 min and Followed by calisthenics exercises Session 2: Zumba class</p>
<p>2. Control group: Wait-list</p>","<p>1. Depression as measured by the BDI-II,</p>
<p>2. Global self-esteem (ISP-25)</p>
<p>3. Physical self-worth (ISP-25)</p>
<p>4. Physical condition (ISP-25)</p>
<p>5. Sports competence (ISP-25)</p>
<p>6. Physical strength (ISP-25)</p>
<p>7. Body attractiveness (ISP-25)</p>","<p>Outcome assessment not blind</p>
<p>Analysis not intention-to-treat</p>"
Legrand 2016,2016,PUB,26698134,,,<p>RCT</p>,"<p>Depressed hospital inpatients</p>
<p>Age Median: 45.4</p>
<p>Female 68.6%</p>
<p>N =35</p>","<p>1. Aerobic exercise (n = 14)</p>
<p>2. Stretching (n = 11)</p>
<p>3. Control:no intervention other than prescribed medication (n = 10)</p>",<p>BDI-II</p>,"<p>Outcome assessment not blind</p>
<p>Analysis intention-to-treat</p>"
Martinsen 1985,1985,PUB,3422987,,,<p>RCT (parallel group)</p>,"<p>Psychiatric hospital inpatients<br>
 Mean age 40 (range 17 - 60)<br>
 Data on sex distribution not available<br>
 N = 49</p>","<p>1. Aerobic exercise with instructor for 1 hour 3 times a week for 9 weeks at 50 - 70% of maximum aerobic capacity (n = 28 randomised)<br>
 2. Control group attended occupational therapy whilst intervention group exercised (n = 21 randomised)</p>",<p>Beck Depression Inventory</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
