Study,Year,Data source,ID: CRS,ID: CTG,ID: DOI,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Pinchasov 2000,2000,PUB,3423007,,,<p>RCT</p>,"<p>Several groups including one with depression in the absence of seasonal affective disorder. Also 1 group of depressed people fulfilling criteria for seasonal affective disorder mean age 35.2.<br>
 100% women<br>
 N = 63<br></p>","<p>1. 54 minutes per day of cycling on stationary bicycle for 1 week<br>
 2. Bright light therapy</p>
<p>7 groups, 9 participants in each</p>
<p>We are using data from the cycling and bright light therapy</p>","<p>1. HDRS score<br>
 2. Body weight <br>
 3. Oxygen consumption</p>","<p>Randomisation method unclear<br>
 Unclear if outcome assessment was blind</p>"
Prakhinkit 2014,2014,PUB,26698144,,,<p>RCT</p>,"<p>Elderly Female with mild-to-moderate depression recruited from two welfare centres in Bangkok, Thailand.</p>
<p>Mean age = 76.5</p>
<p>Female gender = 100%</p>
<p><b>N= 45 </b></p>","<p>1. Traditional walking exercise training program were conducted at mild intensity (20%–39% individually determined heart rate reserve) performed for 20 minutes, 3 times a week. In phase 2 (weeks 7–12), the training intensity was increased to moderate intensity (40% – 50% heart rate reserve) performed for 30 minutes, 3 times a Week also included 11 common stretching exercises</p>
<p>2. Buddhism-based walking aerobic exercise incorporating Buddhist meditations. training program were conducted at mild intensity (20%–39% individually determined heart rate reserve) performed for 20 minutes, 3 times a week. In phase 2 (weeks 7–12), the training intensity was increased to moderate intensity (40% – 50% heart rate reserve) performed for 30 minutes, 3 times a Week also included 11 common stretching exercises</p>
<p>3. Instructed not to alter their physical activity, dietary and lifestyle habits through training intervention.</p>","<p>1. Geriatric Depression Scale</p>
<p>2. Body composition: BMI</p>
<p>3. Resting Heart rate: BPM</p>
<p>4. Cardiovascular endurance: meters that the subjects walked in 6 minutes around a 50-yard course.</p>
<p>5. Arm curl test: number of biceps curls</p>
<p>6. 30- second chair-stand test.</p>
<p>7. The back scratch flexibility test</p>
<p>8. chair sit-and-reach</p>
<p>9. up-and-go test</p>
<p>10. Endothelium-dependent vasodilation.</p>
<p>11. Mean blood velocity was sampled by using the pulsed-wave Doppler mode</p>
<p>12. arterial distension</p>
<p>13. Flow mediated dilation</p>
<p>14. Blood analyses</p>
<p>a. Nitric oxide concentration,</p>
<p>b. IL-6</p>
<p>c. Plasma cortisol</p>
<p>d. C-reactive protein</p>
<p>e. lipoprotein concentrations</p>","<p>Outcome assessment not blind</p>
<p>Analysis not intention-to-treat</p>"
Reuter 1984,1984,PUB,3423009,,,<p>RCT</p>,"<p>University students presenting to mental health clinic with depression<br>
 Details of age and gender distribution not provided<br>
 N = 18</p>","<p>1. Supervised running for at least 20 minutes 3 times a week for 10 weeks plus counselling<br>
 2. Counselling only</p>",<p>Beck Depression Inventory</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Roy 2018,2018,PUB,26698146,,,<p>RCT</p>,"<p>Inpatient women with moderate to severe depression</p>
<p>Mean age: 32</p>
<p>100% women</p>
<p>N = 40</p>",<p>1. 20 minutes of aerobic exercise daily (n = 20)</p><p>2. Control group usual care (n = 20)</p>,<p>Hamilton Rating Scale for Depression</p>,<p>No intention to treat analysis</p>
Salehi 2016,2016,PUB,26698148,,,<p>RCT</p>,<p>Patients referred to a University Council service</p><p>Mean age: 29.67 years</p><p>30.0 % women</p><p>N = 60</p>,<p>1. Aerobic exercise (n=20)</p><p>2. Aerobic exercise plus electroconvulsive therapy (n=20)</p><p>3. Electroconvulsive therapy (n=20)</p>,<p>Beck Depression Inventory (BDI- II)</p>,<p>No dropout reported</p>
Schuch 2015,2015,MIX,26698150,,,<p>RCT</p>,"<p>Inpatients with major depression, recruited during the first 24 hours of hospitalisation</p><p>N=50</p><p>Age (yrs): 40.3</p><p>Females :74%</p>","<p>1. Weekly aerobic exercise 3 times per week (intensity and duration decided by participant), completed using 3 modalities, specifically a stationary bike, treadmill or a ‘transport’ machine (included warm-up and cool down exercises such as stretching an 4 minutes walking on treatmill). Participants were permitted to receive other treatments, such as antidepressants and/or electroconvulsive therapy (ECT).</p>
<p>2. The control group was a ‘treatment as usual’ group with participants receiving antidepressants and/or ECT (treatments and doses were recorded).</p>","<p>1. Clinical diagnosis (Hamilton Scale for Depression (HAM-D))</p>
<p>2. World Health Organisation Quality of Life Assessment Instrument – Brief version (WHOQOL-BREF) using 4 domains (physical, psychological, social relationships and environment)</p>
<p>3. dropouts</p>
<p>4. hospitalisation length</p>
<p>5. pharmacological</p>
<p>6. Other treatments</p>",<p>Outcome assessment blinding unclear</p><p>Analysis intention-to-treat</p><p>We contacted the authors for additional data and received a response.</p>
Setaro 1985,1985,PUB,3423014,,,<p>RCT (parallel group)</p>,"<p>Community volunteers recruited via the media<br>
 Age range 18 - 35 (mean age not stated)<br>
 26% women<br>
 N = 150</p>","<p>1. Cognitive therapy and aerobic dance classes (n = 30)<br>
 2. Aerobic dance classes only (n = 30)<br>
 3. Cognitive therapy only using the principles of A Beck (n = 30)<br>
 4. Cognitive therapy and non-aerobic exercise classes (n = 30)<br>
 5. Non-aerobic exercise only (arts and crafts) (n = 30)<br>
 6. No intervention (n =30)</p>
<p>Duration of interventions was 10 weeks</p>",<p>Minnesota Multiphasic Personality Inventory</p>,"<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Shahidi 2011,2011,PUB,3423016,,,<p>RCT</p>,"<p>Older members of a local cultural community</p>
<p>Age 60 - 80</p>
<p>100% women all with geriatric depression score greater than 10</p>
<p>(n = 70)</p>","<p>1. 10 sessions of aerobic group exercise, each 30 minutes in duration, including jogging and stretching (n = 23)</p>
<p>2 ""Laughter yoga"" - 10 sessions of structured group activity which includes laughing, clapping, chanting and positive discussion (n = 23)</p>
<p>3. Control (n = 24)</p>","<p>Depression scoring on Geriatric Depression Scale, Life Satisfaction scale</p>",<p>Overall drop-out of 10 participants</p>
Sims 2009,2009,PUB,3423019,,,<p>RCT</p>,"<p>Recruited from hospital databases of stroke patients discharged in last year, general practitioners and newspaper articles. Had to be over 6 months post-stroke and have depression confirmed by a psychiatrist.</p>
<p>Mean age 67.13 (range 21 to 93)<br>
 40% women<br>
 N = 45</p>",<p>1. Group-based moderate-intensity strengthening exercises twice a week for 10 weeks.The PRT programme included 2 high-intensity sessions/week for 10 weeks at a community-based gymnasium. (n = 23).</p><p>2. Waiting list receiving usual care (n = 22)</p>,<p>Centre for Epidemiologic Studies for Depression scale</p>,"<p>Intention-to-treat analysis</p>
<p>Outcome was self-rated symptoms of depression by CES-D scale</p>"
Singh 1997,1997,PUB,3423022,,,<p>RCT</p>,"<p>Community volunteers from 2 registers of individuals interested in participation in research<br>
 Mean age 70 (range 61 - 88)<br>
 63% women<br>
 N = 32</p>","<p>1. Supervised non-aerobic progressive resistance training 3 times a week for 10 weeks (n = 17)<br>
 2. Control group received health seminars twice a week in which depression and mental health were not discussed (n = 15)</p>","<p>1. Beck Depression Inventory<br>
 2. Hamilton Rating Scale of Depression</p>","<p>Outcome assessment not blind<br>
 Intention-to-treat analysis</p>"
Singh 2005,2005,PUB,3423025,,,<p>RCT</p>,"<p>People responding to a postal questionnaire who had DSM-IV depression or dysthymia<br>
 Mean age 69<br>
 55% women<br>
 N = 60</p>","<p>1. Progressive resistance training at 80% of 1 repetition max (n = 20)<br>
 2. Resistance training at 20% of 1 repetition max (n = 20)<br>
 3. Usual care (n = 20)</p>
<p>Each intervention group held 3 times a week for 8 weeks</p>","<p>1. Hamilton Rating Scale for depression<br>
 2. Geriatric Depression score</p>","<p>Not intention-to-treat (50/60 completed the study and were available for assessment)<br>
 Outcome assessment blind</p>"
Siqueira 2016,2016,PUB,26698156,,,<p>RCT</p>,"<p>Predominantly young to middle aged women with MDD attending outpatient clinics</p>
<p>Mean age: 38.8 years</p>
<p>71.9% women</p>
<p>N = 57</p>","<p>1. Exercise (plus sertraline 50mg/day)</p>
<p>2.Control (sertraline 50mg/day)</p>","<p>HAM-D</p>
<p>BDI</p>",
Taheri 2018,2018,PUB,26698161,,,<p>RCT</p>,"<p>inactive obese women with mild to moderate depression with the age range of 25-40 years</p>
<p>Mean age: 45 years</p>
<p>100 % women</p>
<p>N = 32</p>","<p>1. Aerobic exercises (n=8)</p>
<p>2. Omega-3 supplement (n=8);</p>
<p>3. Aerobic exercises + omega-3 supplement (n=8)</p>
<p>4. Control group which consumed placebo capsules suless (n=8).</p>",<p>BDI</p>,<p>Likely to be underpowered as small sample size</p>
Veale 1992,1992,PUB,3423027,,,<p>RCT</p>,"<p>Psychiatric hospital outpatients and hospital day-patients<br>
 Mean age 35.5 (range 19 - 58)<br>
 64% women<br>
 N = 83</p>","<p>1. Group running 3 times a week for 12 weeks, plus routine care (n = 48)<br>
 2. Control group: routine care only (n = 35)</p>","<p>1. Beck Depression Inventory<br>
 2. State-Trait Anxiety Inventory</p>","<p>Outcome assessment not blind<br>
 Analysis not intention-to-treat<br></p>"
Wang 2022,2022,PUB,26698163,,,<p>RCT</p>,"<p>Patients met the “Chinese Classification and Diagnostic Criteria for Mental Disorders (3rd Edition)” for the diagnosis of depression. The total score of the Hamilton Depression Scale (HAMD, 17 items) ≥ 17 points. Mean age and participant sex not reported.</p>","<p>1. Jogging 3-5 times a week for 30-60 minutes each time. According to the adult healthy running 170 minus the age of the heart rate to control the exercise intensity, the heart rate is controlled at 120-150 beats/min. Also prescribed the same drug (Biyoujie) as the control group;&nbsp;</p>
<p>2. Control group received anti-dpressant drug Biyoujie 20mg/day and took it at breakfast.</p>","<p>Hamilton Depression Scale (HAMD, 17 items)</p>",
Williams 2008,2008,PUB,3423029,,,<p>RCT</p>,"<p>Residents recruited from 8 long-term care facilities if clinical evidence of Alzheimer's Disease dementia and depression</p>
<p>Mean age 87.9 (range 71 to 101)</p>
<p>89% women</p>
<p>N = 45</p>","<p>1. Comprehensive exercise - strength, balance, flexibility and walking (n = 16)</p>
<p>2. Supervised walking at pace of individual (n = 17)</p>
<p>3. Control group of casual conversation (n = 12)</p>
<p>Intervention delivered individually 5 days per week for 16 weeks</p>",<p>Cornell Scale for Depression in Dementia</p>,"<p>Analysis intention-to-treat</p>
<p>Substantial drop-out rate</p>"
Yu 2023,2023,PUB,26698165,,,<p>RCT</p>,"<p>Participants were: (1) Aged ≥50 years, (2) ethnic Chinese, (3) diagnosed with clinical depression by a clinical psychiatrist, (4) presented with at least mild depression assessed by Beck depression inventory (BDI), and (5) using antidepressant medications. Participants with severe depression were included to enhance the generalizability of this study.Mean age (1) Control: 60.5 years (SD 7.3); Moderate walking group 60.6 years (SD 3.1); Vigorous walking group 59.6 years (SD 4.6); Women 73.33%.</p>","<p>Aerobic exercise: the exercise intensity and session duration in MOD [moderate walking] and VIG [vigorous walking] were set to 3.5 Metabolic Equivalents of Task (METs) for 50 minutes and 7 METs for 25 minutes, respectively. Walking exercise sessions were conducted on treadmills under the supervision of research personnel three times per week for 12 weeks. Heart rate was monitored during the walking exercise sessions to ensure the prescribed exercise intensity was reached. &nbsp;Participants in MOD and VIG were supervised to maintain their heart rates within the THR ranges during the walking exercise sessions (THR ± 10 beats per minute).</p>
<p>Comparator: No intervention given. Participants continued antidepressant treatment during 12-week period, instructed to maintain their lifestyle routines, including daily diet and habitual physical activity.</p>",<p>Beck Depression Inventory (BDI)</p>,
