Study,Arm,Description,Intervention
Barker 2004,Clinically indicated replacement,,Clinically indicated removal
Barker 2004,Routine replacement - 48 hours,,Routine removal - 48 hours
Hosseinzadeh 2014,Clinically indicated replacement,,Clinically indicated removal
Hosseinzadeh 2014,Routine replacement - 72 hours,,Routine removal - 72 hours
Li 2021,Clinically indicated removal,,Clinically indicated removal
Li 2021,Routine removal - 96 hours,,Routine removal - 96 hours
