Study,Year,Data source,ID: CRS,ID: CTG,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes,Cov: Concealment of allocation,Cov: Intervention,Cov: Intervention interval,Cov: Methodological quality,Cov: Popluation,Cov: Resource allocation,Cov: Size of studies,Cov: Unit of analysis
Barker 2004,2004,MIX,3182337,,"<p><b>Study design: </b>single-centre RCT</p>
<p><b>Method of randomisation: </b>computer-generated</p>
<p><b>Concealment of allocation: </b>sealed envelopes</p>
<p><b>Funding source: </b>Nil disclosed</p>
<p><b>Ethics approval: </b>HREC: Scarborough Local Research and Ethics Committee</p>
<p><b>Registration on clinical trials register: </b>Nil stated</p>","<p><b>Country: </b>England, UK</p><p><b>Number: </b>47 patients in general medical or surgical wards. Clinically indicated: 43 catheters were inserted in 26 participants. Routine removal: 41 catheters were inserted in 21 participants</p><p><b>Age: </b>clinically indicated 60.5 years (15.5); routine removal 62.7 years (18.2)</p><p><b>Sex (M/F): </b>clinically indicated 15/11; routine removal 14/7</p><p><b>Inclusion criteria: </b>hospital inpatients receiving crystalloids and medications</p><p><b>Exclusion criteria: </b>not stated</p>","<p><b>Clinically indicated:</b> catheters were removed if the site became painful, the catheter dislodged or there were signs of PVT</p><p><b>Routine removal</b>: catheters were replaced every 48 hours</p>","<p><b><u>Critical Outcomes</u></b></p><p><b><i>CRBSI:</i></b><i> </i>Not included</p><p><b><i>Primary BSI:</i></b><i> </i>Not included</p><p><b><i>Local Infection:</i></b><i> </i>Not included</p><p><b><i>Mortality:</i></b><i> </i>Not included</p><p><b><u>Important outcomes</u></b></p><p><b><i>Thrombophlebitis:</i></b><i> </i>defined as ""the development of two or more of the following: pain, erythema, swelling, excessive warmth or a palpable venous cord.""</p><p><b><i>Infiltration: </i></b>Not included</p><p><b><i>Catheter occlusion:</i></b><i> </i>Not included</p><p><b><i>Catheter failure:</i></b><i> </i>Not included</p><p><b><u>Limited Importance outcomes</u></b></p><p><b><i>Cost: </i></b>Not included</p><p><b><i>Pain:</i></b><i> </i>Not included</p><p><b><i>Satisfaction:</i></b><i> </i>Not included</p><p><b><i>Catheters per participant:</i></b> reported <b>-</b> mean (SD)</p><p><b><u>Other outcomes reported in trial</u></b></p><p>None</p>","<p>PVT was defined as ""the development of two or more of the following: pain, erythema, swelling, excessive warmth or a palpable venous cord"". However, in the discussion, the trial author stated that ""even a small area of erythema was recorded as phlebitis"" (i.e. only 1 sign).</p>
<p>It is unclear what proportion of participants were on continuous infusion.</p>
<p>Catheters were inserted ""at the instruction of the principal investigator"".</p>
<p>""All patients were reviewed daily by the principal investigator, and examined for signs of PVT at the current and all previous infusion sites"".</p>",Adequate allocation concealment,Continuous infusion,48 hours,RCTs with higher risk of bias,Adult,High-income countries,< 100 participants,Multiple catheters per participant
Chin 2018,2018,MIX,9889776,,"<p><b>Study design: </b>Single site RCT</p>
<p><b>Method of randomisation: </b>Independent research nurse using an online program</p>
<p><b>Concealment of allocation: </b>sealed sequentially numbered opaque envelopes</p>
<p><b>Funding source: </b>MDT is supported by a National Health and Medical Research Council Early Career Fellowship, while AM is supported by a Royal Australasian College of Physicians Research Fellowship.</p>
<p><b>Ethics approval: </b>HREC: Monash Health - 15200B</p>
<p><b>Registration on clinical trials register: </b>ACTRN12615000827538<b> -</b> Prospective registration:<b> </b>9/06/2015</p>",<p><b>Country</b>: Australia</p><p><b>Number: </b>113 neonates were randomised. Clinically indicated 55 participants; routine removal 58 participants</p><p><b>Age: </b>Clinically indicated 36 weeks [33-39]; routine removal 35 weeks [33-39]</p><p><b>Sex (M/F):</b> Clinically indicated (34/21); routine removal (30/28)&nbsp;</p><p><b>Inclusion criteria: </b>1) Neonate ≥33 weeks gestation; 2) requires a PVC for at least 72 hrs</p><p><b>Exclusion criteria: </b>1) Infants who required more than one concurrent PVC; 2) a central venous catheter insitu; 3) those who did not require PVC for at least 72 hours</p>,<p><b>Clinically indicated: &nbsp;</b>Removed when clinically indicated</p><p><b>Routine removal: </b>PVC removed every 72-96 hours or earlier if complications arose&nbsp;</p>,"<p><b><u>Critical outcomes</u></b></p><p><i><b>CRBSI:</b> </i>Not included</p><p><i><b>Primary BSI:</b> </i>Not included</p><p><i><b>Local Infection:</b> </i>Not included</p><p><i><b>Mortality:</b> </i>Not included</p><p><b><u>Important outcomes</u></b></p><p><i><b>Thrombophlebitis:</b> </i>defined as ""pain/distress with flushing the cannula, erythema, induration, palpable venous cord or pyrexia.""</p><p><i><b>Infiltration:</b> </i>defined as ""pain/tenderness, swelling, skin blanching, delayed capillary refil, absent peripheral pulsation and blistering of skin."" The study authors did not differentiate between extravasation and infiltration</p><p><i><b>Catheter occlusion:</b> </i>reported in the unpublished data - no definition supplied.&nbsp;</p><p><b><u>Limited outcomes</u></b></p><p><i><b>Cost:</b> </i>Not included</p><p><i><b>Pain:</b> </i>Not included</p><p><i><b>Satisfaction:</b> </i>Not included</p><p><i><b>Catheters per participant:</b> </i>Reported - mean (SD)</p><p><b><u>Other outcomes reported in trial</u></b></p><p><i><b>Catheter failure:</b> </i>Reported - mean (SD)</p><p><i><b>Leakage: </b></i>Not stated</p><p><i><b>Accidental dislodgement: </b></i>Not stated</p><p><i><b>Catheter dwell time: </b></i>Reported - mean (SD)</p>",<p>The authors were contacted as the study results included the administration of TPN. The corresponding author supplied a deidentified data set for data extraction.&nbsp;</p>,Adequate allocation concealment,Continuous infusion,72-96 hours,RCTs with lower risk of bias,Paediatric,High-income countries,at least 100 participants,Multiple catheters per participant
Hosseinzadeh 2014,2014,PUB,27742816,https://www.irct.ir/trial/16554,<p><b>Study design: </b>Single-centre RCT</p><p><b>Method of randomisation: </b>Random number table</p><p><b>Concealment of allocation: </b>Not stated</p><p><b>Funding source: </b>North Khorasan University of Medical Sciences</p><p><b>Ethics approval: </b>North Khorasan University of Medical Sciences - 90/P/249</p><p><b>Prospective registration on clinical trials register:</b> Iranian Registry of Clinical Trials: IRCT2014061918152N1 - Retrospective registration - 22/08/2014</p>,"<p><b>Country: </b>Iran</p><p><b>Number: </b>Total 150 children recruited; 75 clinically indicated, 75 routine removal</p><p><b>Age: </b>reported for the whole cohort mean age 6.13±2.16 months.</p><p><b>Sex (M/F): </b>clinically indicated (44/31); routine removal (48/27)&nbsp;</p><p><b>Inclusion criteria: </b>Children &lt;5 years old; catheterisation for first time in the paediatric unit, anticipated dwell time of &gt;72 hours</p><p><b>Exclusion criteria: </b>Catheterisation outside the paediatric unit; emergency catheterisation; replacement of the previous catheter; lack of parental consent.</p>","<p><b>Clinically indicated:</b> The removal of the catheter was based on the incidence of clinical indications. Indications included thrombophlebitis, occlusion, infection, and infiltration. There was no time limitation for the survival of the catheter.</p><p><b>Routine removal: </b>Routine removal every 72 hours</p>",<p><b><u>Critical Outcomes</u></b></p><p><b><i>CRBSI:</i></b><i> </i>reported - nil definition</p><p><b><i>Primary BSI:</i></b><i> </i>Not included</p><p><b><i>Local Infection:</i></b><i> </i>reported - nil definition</p><p><b><i>Mortality: </i></b>Not included</p><p><b><u>Important outcomes</u></b></p><p><b><i>Thrombophlebitis:</i></b> inflammation of the vein</p><p><b><i>Infiltration:</i></b><i> </i>Infiltration and leakage of the injectable solution into the tissue around the vein</p><p><b><i>Catheter occlusion: </i></b>Occlusion of vein or catheter</p><p><b><u>Limited importance</u></b></p><p><b><i>Cost:</i></b><i> </i>Not included</p><p><b><i>Pain: </i></b>Not included</p><p><b><i>Satisfaction:</i></b><i> </i>Not included</p><p><b><i>Catheters per participant: </i></b>Not included</p><p><b><u>Other outcomes reported in trial</u></b></p><p><b><i>Accidental removal:</i></b> Reported</p><p><b><i>Catheter failure: </i></b>Not included&nbsp;</p><p><b><i>Catheter dwell time</i></b><i>: </i>Reported - median - 95% CI</p>,<p>Translation services completed by Behzad Kiani</p>,not reported,Continuous infusion,72 hours,RCTs with lower risk of bias,Paediatric,Low- to middle-income countries,at least 100 participants,Single catheter per participant
Li 2021,2021,MIX,27742818,,"<p><b>Study Design: </b>Multi-site RCT</p>
<p><b>Method of randomisation: </b>computer-generated allocation randomised sequence</p>
<p><b>Concealment of allocation: </b>concealed in opaque, sealed envelopes which were numbered consecutively.</p>
<p><b>Funding source: </b>This research was funded by the Nursing Research Fund of Peking University Health Science Center., Grant/Award Number: BMU20160519</p>
<p><b>Ethics approval: </b>HREC: Peking University First Hospital - 2015[1001]&nbsp;</p>
<p><b>Registration on clinical trials register: </b>Chinese Clinical Trial Register: ChiCTRIOR17010665 - Prospective registration: 17/02/2017&nbsp;</p>","<p><b>Country: </b>China</p><p><b>Number: </b>A total of 3,050 patients eligible for IV therapy were randomised into two groups across three participating hospitals, which used a total of 4572 catheters. Of these, 1,556 patients were placed in the clinically indicated removal group, while 1494 patients were in the routine removal group. After removal of patients who received TPN, 1477 patients were included in the clinically indicated group, and 1410 in the routine removal group.</p><p><b>Age: </b>Clinically indicated group: 58.66 years &nbsp;± 15.89; routine removal 59.23 years ± 15.80</p><p><b>Sex (M/F): </b>Clinically indicated group: 869/606; routine removal: 818/592</p><p><b>Inclusion criteria: </b>Participants were aged over 18 years, able to provide written consent either themselves or via their nominated representative, and had a peripheral intravenous catheter in place with an expected intravenous therapy duration exceeding four days.</p><p><b>Exclusion criteria: </b>Current BSI patients had a planned catheter removal within 24 hours, had PVC in place for more than 72 hours at screening, or had an immunodeficiency disease or were on immunosuppressive therapy.&nbsp;</p>","<p><b>Clinically indicated:</b> Patients in the clinically indicated group continued to have PVCs until they showed any of the following signs: phlebitis, infiltration, occlusion, displacement, local infection, or a confirmed PVC-related bloodstream infection.</p><p><b>Routine removal: </b>Patients in the routine removal group had their PVCs taken out every 96 hours. Catheters were also removed if any clinical indications arose within 4 days, following standard practice.</p>","<p><b><u>Critical Outcomes</u></b></p><p><i><b>CRBSI: </b></i>defined as ""(1) there is at least one positive blood culture from a peripheral vein; (2) there are clinical signs of infection (i.e. fever with body temperature &gt;38.5°C, hypothermia with body temperature &lt;36.5°C, chills or hypotension (systolic blood pressure &lt;90 mmHg)); (3) there is no other apparent source of the bloodstream infection except the intravenous catheter which is in situ within 48 hours of the bloodstream infection; and (4) the culture of intravascular catheter tip shows at least 1000 cfu/mL with the same organism (same species) &nbsp;as identified in blood.""&nbsp;</p><p><i><b>Primary BSI: </b></i>defined as ""any positive blood culture drawn from a peripheral vein while the PVC is in situ or 48 hours after removal.""&nbsp;</p><p><i><b>Local Infection</b>: </i>defined as ""there are organisms grown from purulent discharge with no evidence of associated bloodstream infection.""&nbsp;</p><p><i><b>Mortality:</b></i><b> </b>Reported</p><p><b><u>Important Outcomes</u></b></p><p><i><b>Thrombophlebitis</b>: </i>defined as ""phlebitis classification definition recommended by the American Infusion Nurses Society which in-cludes grade 0 to 4.""</p><p><i><b>Infiltration:</b> </i>defined as "" leaking of non-blistering drug from the vein of the infusion and resulting in swelling around the insertion site.""</p><p><i><b>Catheter occlusion:</b> </i>defined as ""the infusion does not drip, and flushing with normal saline is unsuccessful.""</p><p><b><u>Limited Importance</u></b></p><p><i><b>Cost:</b> </i>the total cost of supplies for PVC insertion and maintenance (did not include labour)</p><p><i><b>Pain</b>: </i>Not included</p><p><i><b>Satisfaction</b>: </i>Not included</p><p><i><b>Catheters per participant:</b> </i>Reported - median (IQR)</p><p><b><u>Other outcomes reported in trial</u></b></p><p><i><b>Catheter failure:</b> </i>Reported</p><p><b>Displacement: </b>defined as ""the accidental catheter removal.""</p><p><i><b>Catheter dwell time: </b></i>Reported - cumulative - median (IQR)</p>",<p>Author contacted for results for patients without administration of TPN</p>,Adequate allocation concealment,Continuous infusion,96 hours,RCTs with lower risk of bias,Adult,Low- to middle-income countries,at least 100 participants,Multiple catheters per participant
Lin 2021,2021,PUB,27742820,,"<p><b>Study design:</b> Single centre pre- and post -repeated RCT</p>
<p><b>Method of randomisation:</b> computer-generated</p>
<p><b>Concealment of allocation:</b> not stated</p>
<p><b>Funding source: </b>Chang Gung Memorial Hospital, Grants/Awards Number: CMRPG3D1661, CMRPF1H0131, CMRPF1K0021, CMRPF1K0022, CMRPF3K0011, NMRPF3K0053, NMRPF3J0181, and NMRPF3J0182.</p>
<p><b>Ethics approval: HREC: </b>Chang Gung Medical Foundation Institutional Review Board in Taiwan - 103−1023B</p>
<p><b>Registration on clinical trials register: </b>Not stated</p>","<p><b>Country: </b>Taiwan</p><p><b>Number:</b> 283 Paediatric participants. Clinically indicated; 140 and Routine removal; 143</p><p><b>Age: </b>Clinically indicated 3.44 years (0.34); routine removal 4.42 years (0.36)</p><p><b>Sex (M/F):</b> clincally indicated 68/72; routine removal 81/62</p><p><b>Inclusion criteria:</b> Participants were diagnosed with an infection-related disease and prescribed a treatment plan that included a PVC.</p><p><b>Exclusion criteria:</b> Unstable systemic disease, prior peripheral vascular conditions, use of immunosuppressive drugs, and combined CVC.</p>","<p><b>Clinically indicated:</b> endpoints included infiltration, occlusion, or phlebitis.</p><p><b>Routine removal:</b> removal of the PVC every 3 days.</p>","<p><b><u>Critical Outcomes</u></b></p><p><b><i>CRBSI: </i></b>Not included</p><p><b><i>Primary BSI: </i></b>Not included</p><p><b><i>Local Infection: </i></b>Not included</p><p><b><i>Mortality: </i></b>Not included</p><p><b><u>Important outcomes</u></b></p><p><b><i>Thrombophlebitis: </i></b>The Infusion Nurses Society phlebitis scale was used to assess phlebitis.</p><p><b><i>Infiltration: </i></b>The Infusion Nurses Society infiltration scale was used to assess the infiltration.&nbsp;</p><p><b><i>Catheter occlusion: </i></b>defined by the study authors as ""the occlusion of PVCs, including blood clots, medication sedimentation, medication flocculation, medication crystallate, and blood backflow. The presence of any of the above problems was scored as 1, and none of the above problems was scored as 0.""&nbsp;</p><p><b><u>Limited Importance</u></b></p><p><b><i>Cost: </i></b>Not included</p><p><b><i>Pain: </i></b>Not included</p><p><b><i>Satisfaction: </i></b>Not included</p><p><b><i>Catheters per participant: </i></b>Not included</p><p><b><u>Other outcomes reported in trial</u></b></p><p><b><i>Catheter dwell time: </i></b>Reported - Cumulative - mean (SE)</p>",,not reported,Continuous infusion,72 hours,RCTs with lower risk of bias,Paediatric,Low- to middle-income countries,at least 100 participants,Single catheter per participant
Lu 2021,2021,PUB,27742822,,"<p><b>Study Design:</b> Single-centre RCT</p>
<p><b>Method of randomisation: </b>Random number table method</p>
<p><b>Concealment of allocation:</b> Not stated</p>
<p><b>Funding source: </b>Ministry of Education Innovation Team Development Program (IRT_16R57).</p>
<p><b>Ethics approval: </b>HREC: The First Affiliated Hospital, Xi’an Jiaotong University.</p>
<p><b>Registration on clinical trials register: </b>Nil stated</p>","<p><b>Country:</b> China</p><p><b>Number</b>: A total of 600 participants were recruited from various departments, including hepatobiliary and pancreatic surgery, orthopaedics, gastroenterology, neurology, cardiovascular medicine, neurosurgery, nephrology, thoracic surgery, and urology. Each department contributed 60 participants, with 30 assigned to clinically indicated procedures and 30 to routine removals. This resulted in 300 participants in the clinically indicated group and 30 in the routine removal group.&nbsp;</p><p><b>Age:</b> clinically indicated 56.34 years (16.27); routine removal 58.68 years (14.37)</p><p><b>Sex (M/F):</b> clinically indicated 196/104; routine removal 199/101&nbsp;</p><p><b>Inclusion criteria:</b> Individuals aged 18 years or older, during hospitalisation, had their first use of a PVC in the limb, with an anticipated indwelling duration exceeding 96 hours, and written informed consent was duly obtained.&nbsp;</p><p><b>Exclusion criteria:</b> ""infusion of corrosive drugs, &nbsp;a history of thrombotic diseases, lower extremity catheterisation, scratches and burns on the local part of the catheter, changes in the plan of infusion therapy and a dwelling time of PVC of less than 96 hours, and not using PVC infusion for more than 24 hours.""</p>","<p><b>Routine removal: </b>""the catheter was removed in the routine replacement group: (i) &nbsp;if clinically indicated symptoms presented within 96 hours. (ii) The catheter is removed regularly every 96 hours.""</p><p><b>Clinically indicated:&nbsp;</b> ""The catheter was removed in the clinically indicated group if any of the following criteria were met.&nbsp;</p><p>(i) Signs and symptoms of complications with or without infusion through the catheter include but are not limited to the presence of any level of pain and/or tenderness with or without palpation, changes in color (erythema or blanching), changes in skin temperature (hot or cold), edema, induration, leakage of fluid or purulent drainage from the insertion site, and other types of dysfunction (e.g. resistance when flushing, absence of a blood return).&nbsp;</p><p>(ii) The infusion therapy was completed.""</p>","<p><b><u>Critical outcomes</u></b></p><p><i><b>CRBSI:</b> </i>defined as ""bacteremia or fungal blood during catheter insertion and within 48 hours after catheter removal, accompanied by fever (&gt;38°C), chills, hypotension, and other infection manifestations, with no other source of infection except blood vessels.""</p><p><i><b>Primary BSI:</b> </i>Not included</p><p><i><b>Local Infection:</b> </i>defined as ""may include but is not limited to, erythema extending at least 1 cm from the insertion site, induration at the exit site or over the pocket, the exudate from the insertion site produces microorganisms, which may be accompanied by other infection symptoms, with or without bloodstream infection, any pain or tenderness or drainage, necrosis of the overlying skin at the VAD insertion site.""</p><p><i><b>Mortality:</b> </i>Not included</p><p><b><u>Secondary outcomes</u></b></p><p><i><b>Thrombophlebitis: </b></i>defined as ""the incidence of phlebitis and the diagnostic criteria of phlebitis refer to the Infusion Therapy Standards of Practice.""</p><p><i><b>Infiltration</b>: </i>defined as ""whitening and edema with or without pain of the insertion site.""</p><p><i><b>Catheter occlusion</b>: </i>defined as ""occlusion means the disability of flushing the catheter without resistance and the ability to yield a blood return.""</p><p><b><u>Limited Importance</u></b></p><p><i><b>Cost: </b></i>Not included</p><p><i><b>Pain:</b> </i>Not included</p><p><i><b>Satisfaction:</b> </i>Not included</p><p><i><b>Catheters per participant: </b></i>not included</p><p><b><u>Other outcomes reported in trial</u></b></p><p><i><b>Catheter failure:</b> </i>defined as ""the incidence of any form of infusion therapy failure. Any form of infusion failure includes but is not limited to phlebitis, occlusion, infiltration, CRI, catheter damage, nerve injury, or accidental dislodgement.""</p><p><i><b>Catheter dwell time: </b></i>defined as ""the period from the beginning of the catheterisation operation to the catheter was removed."" - mean (SD)</p>",<p>Each participant was followed up from the first catheter and up to 48 hours after the PVC was removed.&nbsp;</p>,not reported,Continuous infusion,96 hours,RCTs with higher risk of bias,Adult,Low- to middle-income countries,at least 100 participants,Single catheter per participant
Nishanth 2009,2009,PUB,3182339,,"<p><b>Study design: </b>single-centre RCT</p>
<p><b>Method of randomisation: </b>not stated.</p>
<p><b>Concealment of allocation: </b>sequentially numbered, sealed envelopes</p>
<p><b>Funding source: </b>Nil disclosed</p>
<p><b>Ethics approval:</b> HREC: Jawaharlal Institute of Postgraduate Medical Education and Research</p>
<p><b>Registration on clinical trials register: </b>Nil stated</p>","<p><b>Country: </b>India</p><p><b>Number: </b>42 patients in surgical wards. Clinically indicated: 21. Routine removal: 21</p><p><b>Age: </b>clinically indicated 40.2 years (15.0); routine removal 42.9 years (15.0)</p><p><b>Sex (M/F): </b>clinically indicated 17/4; routine removal 16/5</p><p><b>Inclusion criteria: </b>participants included hospital inpatients admitted for major abdominal surgery</p><p><b>Exclusion criteria: </b>duration of therapy expected to be &lt; 3 days, PVC already in situ, terminally ill patients, and patients receiving total parenteral nutrition</p>","<p><b>Clinically indicated:</b> catheters were removed if the site became painful, the catheter dislodged or there were signs of PVT.</p><p><b>Routine removal</b>: catheters were removed every 48 hours</p>","<p><b><u>Critical outcomes</u></b></p><p><b><i>CRBSI: </i></b>Not included</p><p><b><i>Primary BSI:</i></b><i> </i>Not included</p><p><b><i>Local Infection</i></b><i>: </i>Not included</p><p><b><i>Mortality:</i></b><i> </i>Not included&nbsp;</p><p><b><u>Important outcomes</u></b></p><p><b><i>Thrombophlebitis:</i></b><i> </i>incidence of PVT defined as ""the development of two or more of the following: pain, erythema, swelling, excessive warmth or a palpable venous cord""</p><p><b><i>Infiltration: </i></b>Not included&nbsp;</p><p><b><i>Catheter occlusion:</i></b><i> </i>Not included&nbsp;</p><p><b><i>Catheter failure: </i></b>Not included&nbsp;</p><p><b><u>Limited Importance</u></b></p><p><b><i>Cost:</i></b><i> </i>Not included</p><p><b><i>Pain: </i></b>Not included</p><p><b><i>Satisfaction:</i></b><i> </i>Not included<i>&nbsp;</i></p><p><b><i>Catheters per participant:</i></b><i> </i>reported - mean (SD)</p><p><b><u>Other outcomes reported in trial</u></b></p><p>None</p>",,not reported,Continuous infusion,48 hours,RCTs with higher risk of bias,Adult,Low- to middle-income countries,< 100 participants,Unclear
Rickard 2010,2010,MIX,3182341,,"<p><b>Study design: </b>single-centre RCT</p>
<p><b>Method of randomisation: </b>computer-generated</p>
<p><b>Concealment of allocation: </b>telephone service</p>
<p><b>Funding source: </b>Clifford Craig Medical Research Trust, Launceston, Tasmania. Further financial support of the study came from the Launceston General Hospital, University of Tasmania, Monash University and Griffith University.</p>
<p><b>Ethics approval: </b>HREC: Tasmanian State, Australia</p>
<p><b>Prospective registration on clinical trials register: </b>Australia New Zealand Clinical Trial Registry:<b> </b>ACTRN12608000421336 - Retrospective registration - 5/08/2008</p>","<p><b>Country: </b>Australia</p><p><b>Number: </b>A total of 362 patients needed IV therapy in general medical or surgical wards. Out of these, 280 catheters were inserted in 185 patients based on clinical indication. For routine removal, 323 catheters were inserted in 177 patients.</p><p><b>Age: </b>clinically indicated 62.7 years (15.5); routine removal 65.1 years (17.3)</p><p><b>Sex (M/F): </b>clinically indicated 82/103; routine removal 81/91</p><p><b>Inclusion criteria: </b>&gt; 18 years, expected to have a PVC requiring IV therapy for ≥ 4 days.&nbsp;</p><p><b>Exclusion criteria: </b>patients who were immunosuppressed, had an existing BSI or had a PVC in place for &gt; 48 hours</p>","<p><b>Clinically indicated:</b> Catheters were taken out if signs such as phlebitis, local infection, bacteraemia, infiltration, or blockage were present.</p><p><b>Routine removal: </b>catheters were replaced every third calendar day, unless clinical reasons made this impossible (eg, cannulas failed before day 3, or the patient was unable to be recannulated)</p>","<p><b><u>Critical Outcomes</u></b></p><p><i><b>CRBSI:</b> </i>defined as<i> ""b</i>acteremia/fungemia with one positive blood culture obtained from a peripheral vein, clinical manifestations of infections (i.e., fever, chills, and/or hypotension), and no apparent source for the BSI except the catheter. One of the following should be present: a positive semiquantitative (&gt;15 CFU/catheter segment) or quantitative (&gt;103 Colony Forming Units/catheter segment catheter) culture whereby the same organism (species and antibiogram) is isolated from the catheter segment and peripheral blood; simultaneous quantitative blood cultures with a &gt;5:1 ratio IV versus peripheral; differential period of IV culture versus peripheral blood culture positivity of &gt;2 hours.""</p><p><i><b>Primary BSI:</b> </i>Not included</p><p><i><b>Local Infection:</b> </i>defined according to CDC criteria - bacteremia or fungemia with at least one positive blood culture from a peripheral vein, clinical signs of infection, and no other apparent source for the bloodstream infection (BSI) except the device—regardless of whether the tip or entry site swab culture is positive.</p><p><i><b>Mortality: </b></i>Not included</p><p><b><u>Important outcomes</u></b></p><p><i><b>Thrombophlebitis:</b></i> defined as ""≥ 2 of the following: pain, erythema, purulence, infiltration, palpable venous cord""</p><p><i><b>Infiltration:</b> </i>Reported&nbsp;</p><p><i><b>Catheter occlusion: </b></i>Reported</p><p><b><u>Limited importance</u></b></p><p><i><b>Cost:</b> </i>defined as<i> ""</i>(calculations based on 20 minutes nursing or medical insertion time at relevant rates, plus the cost of the required equipment (cannula, insertion pack including dressing and solution, gloves, saline, syringe, extension tubing and starter pack for all plus fluid bag, tubing and secondary tubing for medication administration for those patients requiring this) for insertions, nursing time and equipment to routinely remove IVDs that were otherwise functional, and the costs of treating any complications that occurred (e.g., IVD-BSI).""</p><p><i><b>Pain: </b></i>Not included</p><p><i><b>Satisfaction:</b> </i>Not included</p><p><i><b>Catheters per participant: </b></i>PVCs per patient (number of peripheral devices inserted to complete the course of treatment</p><p><b><u>Other outcomes reported in trial</u></b></p><p><i><b>Accidental removal:</b></i> Reported</p><p><i><b>Catheter dwell time</b>: </i>defined as ""time in situ (hours of catheterisation from insertion to removal, both per patient and per device).""</p>","<p>Approximately 75% of participants were receiving a continuous infusion&nbsp;</p>
<p>CRBSI - defintion from trial registry.&nbsp;</p>",Adequate allocation concealment,Continuous infusion,72 hours,RCTs with lower risk of bias,Adult,High-income countries,at least 100 participants,Multiple catheters per participant
Rickard 2012,2012,MIX,3182343,,"<p><b>Study design: </b>multicentre RCT</p>
<p><b>Method of randomisation: </b>computer-generated, stratified by site</p>
<p><b>Concealment of allocation: </b>allocation concealed until eligibility criteria was entered into a hand-held computer</p>
<p><b>Funding source: </b>Australian National Health and Medical Research Council funded the study through the national competitive grants scheme.&nbsp;</p>
<p><b>Ethics approval: </b>HREC: Royal Brisbane and Women's Hospital, Australia; Princess Alexandra Hospital, Australia; Gold Coast Hospital, Australia; Griffith University</p>
<p><b>Registration on clinical trials register: </b>Australian New Zealand Clinical Trials Registry, ACTRN12608000445370; Retrospective registration - 05/08/2008</p>","<p><b>Country: </b>Australia</p><p><b>Number: </b>3283 patients requiring IV therapy in general medical or surgical wards. Clinically indicated: 1593 participants. Routine removal: 1690 participants</p><p><b>Age: </b>clinically indicated 55.1 years (18.6); routine removal 55.0 years (18.4)</p><p><b>Sex (M/F): </b>clinically indicated 1022/571; routine removal 1034/656</p><p><b>Inclusion criteria: </b>patients, or their representative able to provide written consent; &gt; 18 years, expected to have an IVD in situ, requiring IV therapy for ≥ 4 days</p><p><b>Exclusion criteria: ""</b>patients who were immunosuppressed, had an existing BSI or those in whom an PVC had been in place for &gt; 48 hours or it was planned for the catheter to be removed &lt; 24 hours""</p>","<p><b>Clinically indicated:</b> catheters were removed if there were signs of phlebitis, local infection, bacteraemia, infiltration or blockage</p><p><b>Routine removal:</b> catheters were replaced every 3 days or if clinically complications occured or the cannula was no longer required.&nbsp;</p>","<p><b><u>Critical outcomes</u></b></p><p><i><b>CRBSI:</b> </i>defined as ""catheter-related bloodstream infection, defined as positive blood culture from a peripheral vein; clinical signs of infection (ie, fever, chills, or hypotension); no other apparent source for the bloodstream infection except the intravenous catheter (in situ within 48 h of the bloodstream infection); and a colonised intravenous catheter tip culture with the same organism as identified in the blood...Hospital costs were set at AU$25·13 for intravenous catheter plus administration set, burette, and fl uid bag; $21·83 for intravenous catheter plus admin istration set and fl uid bag; $12·73 for intravenous catheter plus end cap; and $0·37 gauze and tape for removal; and staff time (observed rates of 14·5 min per insertion and 4·5 min per removal at fixed industrial award wages for registered nurses of $32·93/h, junior [$45·96/h] and senior [$67·16/h] medical staff ).""</p><p><i><b>Primary BSI:</b> </i>defined as ""any positive blood culture drawn from a peripheral vein while an intravenous catheter is in situ or for 48 hours after removal""</p><p><i><b>Local Infection: </b></i>defined as ""organisms grown from purulent discharge or vein segment with no evidence of associated bloodstream infection.""</p><p><i><b>Mortality:</b> </i>defined as ""mortality with intravenous catheter in situ or within 48 h of removal, collected from hospital records.""</p><p><b><u>Important outcomes</u></b></p><p><i><b>Thrombophlebitis:</b> </i>defined as ≥ 2 of the following: pain, erythema, swelling, purulent discharge, palpable venous cord</p><p><i><b>Infiltration</b>: </i>reported</p><p><i><b>Catheter occlusion:</b> </i>reported&nbsp;</p><p><b><u>Limited importance</u></b></p><p><i><b>Cost:</b> </i>defined as ""costs per patient for the course of intravenous therapy, based on equipment required for insertion and removal of intravenous catheters with prices from negotiated hospital supply contract rate.""</p><p><i><b>Pain:</b> </i>not included</p><p><i><b>Satisfaction:</b> </i>not included</p><p><i><b>Catheters per participant:</b> </i>defined as ""number of intravenous catheters needed per patient for the course of treatment.""</p><p><b><u>Other outcomes reported in trial</u></b></p><p><i><b>Accidental removal:</b></i> reported</p><p><i><b>Catheter failure:</b> </i>defined as ""any premature removal of intravenous catheter before end of treatment, other than for routine replacement—includes phlebitis, infiltration, occlusion, accidental removal, and catheter-related bloodstream infections.""</p><p><i><b>Catheter dwell time: </b></i>defined as ""overall duration of intravenous therapy (cumulative of all intravenous catheters) per patient (hours).""</p>",,Adequate allocation concealment,Continuous infusion,72 hours,RCTs with lower risk of bias,Adult,High-income countries,at least 100 participants,Multiple catheters per participant
