Study,Year,Data source,ID: CRS,ID: DOI,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Bergstrom 2013,2013,PUB,13794245,,"<p><b>Study design: </b>randomised clinical trial</p><p><b>Quote: </b>""multisite randomised clinical trial""</p><p><b>Location: </b>nursing homes in the United States (n = 20) and Canada (n = 7)</p><p><b>Ethics and informed consent: </b>yes</p><p><b>Sample size calculation: </b>a priori calculation used to calculate sample size.</p><p><b>Quote: </b>""to estimate power and sample size, it was hypothesized that 3- or 4-hour repositioning would be significantly and incrementally different from 2-hour repositioning if the combination of high-density foam mattresses, repositioning, and documentation was not effective and if PrU incidence increased from 4% or less to 8% or greater. Sample size needed to detect this change at a one-tailed alpha of 0.05 and power of 0.80 was 900 participants in a per protocol analysis""</p><p><b>ITT analysis: </b>per-protocol analysis used</p><p><b>Quote: ""</b>25 participants who were allocated but did not receive the intervention because of death, hospitalisation, choice, or other reasons before beginning the study were not included in the final per protocol analysis""</p><p><b>Guidance for Reporting Involvement of Patients and Public (GRIPP2) checklist: </b>No reporting of consumer engagement and involvement in the research process.</p>","<p><b>Mean ages: </b>reported for females: 85.1 years ± 7.7 years</p><p>Participants stratified according to PU risk: ""participants were stratified according to risk level to determine whether moderate- and high-risk individuals have different repositioning requirements""</p><p>Total number of participants recruited: 967</p><p><i>Group A</i></p><p>Moderate risk 85.6 years ± 7.8</p><p>High risk 84.8 years ± 7.8</p><p><i>Group B</i></p><p>Moderate risk 84.3 years ± 7.7</p><p>High risk 84.3 years ± 7.8</p><p><i>Group C</i></p><p>Moderate risk 85.8 years ± 7.4</p><p>High risk 85.2 years ± 7.5</p><p><b>Inclusion criteria: </b>nursing home residents either newly admitted (≤ 7 days) or long-stay residents (≥ 90 days); aged ≥ 65 years; free of PIs; Braden scale either moderate (13 to 14) or high (11 to 12); limited mobility (≤ 3 on Braden subscale of mobility)</p><p><b>Exclusion criteria: </b>individuals deemed not competent to provide consent</p>","<p><b>Aim(s): </b>determine the effectiveness of 3 repositioning (turning) schedules (2-, 3-, 4-hourly) for prevention of PI in nursing home residents</p><p><i>Group A</i>: repositioning every 2 hours/± 30 minutes of scheduled time: (n = 335)</p><p><i>Group B</i>: repositioning every 3 hours/± 30 minutes of scheduled time: (n = 333)</p><p><i>Group C</i>: repositioning every 4 hours/± 30 minutes of scheduled time: (n = 299)</p><p>Documentation (for all groups) of:</p><ul><li data-list-item-id=""eb3429a49d3cb12735f130a40baa1dc1c"">each repositioning episode;</li><li data-list-item-id=""e7ac340cd88068a6ba381fbeb6667c386"">time of repositioning;</li><li data-list-item-id=""e55b79725b7f23c7cf6b3af720b55c54f"">new position (right, left, back, chair);</li><li data-list-item-id=""ec4bf019da784184b688427d8cf862918"">heel position (up, yes, no);</li><li data-list-item-id=""ea37df065d6523ee01b2564d9ab41ef3d"">skin condition (normal, red bruised, open);</li><li data-list-item-id=""e6c21361ba063384e6f8376d74320f4f1"">brief condition (wet, dry, soiled);</li><li data-list-item-id=""e5121806e47184f91259f9cb4667e1748"">skin care (washed, barrier cream, brief change).</li></ul><p><b>Standard care across all groups: </b>all groups repositioned on high-density foam mattresses</p>","<p>Participants were stratified according to their level of risk, either being at moderate or high risk of developing a PI using the Braden scale as a risk assessment tool.</p><p><b>Primary outcome: </b>""PrUs on sites susceptible to pressure when lying in bed (coccyx or sacrum, trochanter, heel) weekly. Stage 1 PrUs identified on 2 consecutive days excluded false positives caused by reactive hyperemia. The study continued for 3 weeks because 90% of PrUs developed in the first 3 weeks in a previous study""</p><p><b>Secondary outcomes: </b>none reported</p><p><b>Outcome assessment:</b> VSA assessment performed weekly by licensed nurses. No information provided on staging of outcome</p><p><b>Time points: </b>weekly follow-up for 3 weeks (21 days)</p>",<p>3-week study period (April 2008 to June 2011)</p><p>Conflicts of interest declared. Bergstrom is co-owner of Prevention plus website that promotes use of Braden scale</p><p><b>Funding:</b> funding received by 5 bodies (national and governmental bodies in the US and Canada). Role of funders stated</p>
Defloor 2005,2005,PUB,3355353,,"<p><b>Study design: </b>5-armed cluster-RCT in two 4-week periods (28-days and 28-days) of follow-up (only 4 arms analysed in this review -standard care group not included-see below)</p><p><b>Quote: </b>""each ward applied the prevention scheme selected for a period of 4 weeks. The randomisation procedure was repeated for a second period of 4 weeks. During the second period each ward used a different prevention scheme than used in the first period""</p><p><b>Location: </b>32 wards across 11 nursing homes in Flanders, Belgium</p><p><b>Ethics and informed consent: </b>ethics approval and consent obtained</p><p><b>Sample size calculation: </b>yes</p><p><b>ITT analysis:</b> participants analysed in the groups to which they were assigned, but data were incomplete for 24 participants, and they were not included in the analysis</p><p><b>Quote:</b> ""the observations were incomplete in the case of 24 patients""</p><p><b>GRIPP2 checklist: </b>No reporting of consumer engagement and involvement in the research process</p>","<p>Baseline data reported in relation to group comparisons for age, gender, and Braden scale scores</p><p><b>Mean ages:&nbsp;&nbsp;</b></p><p><i>Group A</i>: 85.2 years ± 7.2</p><p><i>Group B</i>: 85.2 years ± 6.2</p><p><i>Group C</i>: 84.7 years ± 7.7</p><p><i>Group D</i>: 85.4 years ± 7.3</p><p><b>Inclusion criteria: </b>838 people fulfilled inclusion criteria. Our review excludes participants from the usual care group, who received care that differed in terms of both support surface AND repositioning</p><ul><li data-list-item-id=""ed815c3db7c0a70a4a186f1c45525365c"">Geriatric residents with a Braden score of &lt; 17 or a Norton score of &lt; 12</li><li data-list-item-id=""e6ef5fb0661aa5155ae10ac6caddb8dcb"">Informed consent of the patient/family</li><li data-list-item-id=""e2902bee65d22cfa2f31ceefb6db7a7eb"">No PI at time of recruitment to study</li></ul><p><b>Exclusion criteria: </b>none stated, but total of 1114 people excluded</p>","<p><b>Aim(s): </b>to investigate the effect of 4 different preventative regimens involving either frequent turning (2- to 3-hourly) or the use of a pressure-reducing mattress in combination with less frequent turning (4- to 6-hourly)</p><p><i>Group A</i>: 2-hourly turning regimen on standard mattress (65 randomised, 63 analysed)</p><p><i>Group B</i>: 3-hourly turning regimen on standard mattress (65 randomised, 58 analysed)</p><p><i>Group C</i>: 4-hourly turning regimen on viscoelastic polyurethane (pressure-relieving) mattress (67 randomised, 66 analysed)</p><p><i>Group D</i>: 6-hourly turning regimen on viscoelastic polyurethane (pressure-relieving) mattress (65 randomised, 63 analysed)</p><p><b>Alternating turning positions:</b> semi-Fowler's with feet elevated 30° alternating with 30° lateral rotation, pillow placement under back from shoulder on standard mattress</p><p><b>Specified sitting position:</b> experimental group sitting periods were recorded but not standardised; participants sat on thick air cushions. Backrest tilt on chair, legs on footrest, but heels not supported. Cushion support for the back</p><p><b>Group 2 Control: </b>n = 576 participants</p><p>Care given according to participant's level of risk; water mattresses, alternating mattresses, sheepskins and gel cushions; based on nurses’ clinical judgement. No PI risk assessment tool used. We have excluded this group from our review since care was highly heterogeneous and differed systematically from the other groups in terms of BOTH the support surface provision policy AND the (absence of a) repositioning policy</p><p><b>Randomisation: C</b>luster randomisation in two 4-week periods. In the first period, a repositioning regimen (2-, 3-, 4-, 6-hourly and standard care) was randomly allocated to each of the 32 wards. This randomisation process was repeated again for the second 4-week period</p><p><b>Study date(s): </b>not stated</p>",<p><b>Primary outcome:</b> incidence of a PI (any stage) during a 28-day period</p><p><b>Secondary outcomes:</b> unrelated to review outcomes</p><p><b>Outcome assessment:</b> VSA assessment performed twice weekly by clinical staff. ACHPR (1992) PI staging criteria followed</p><p><b>Time points: </b>twice weekly for 4 weeks (28 days)</p>,"<p>Not reported whether water mattresses, alternating mattresses, sheepskins and gel cushions were used singly or in combination with each other</p><p><b>Funding:</b> not reported</p>"
Ghezeljeh 2017,2017,PUB,13794247,,"<p><b>Study design:</b> 3-group randomised clinical trial</p><p><b>Quote:</b> ""this study was a 3 group controlled randomised clinical trial""</p><p><b>Location: </b>Three ICUs ""intensive care unit (ICU) in selected government hospitals in Tehran, Iran. These hospitals included: Firoozgar, Rasoul-e Akram, and Haft-e Tir""</p><p><b>Ethics and informed consent: </b>yes</p><p><b>Sample size calculation: </b>yes</p><p><b>Quote: </b>""the sample size was determined to include 35 patients in each group using a sampling formula with the consideration of 0.05 alpha, 80% beta, and 25% the effect size for the reduction of VAP according to the previous study (Schallom et al. 2015). The prevalence of VAP among Iranian patients was reported as 0.3. Furthermore, considering a 10% probability of subject attrition, a total of 40 people were assigned into each group as the final sample size""</p><p><b>ITT analysis: </b>all participants randomised were analysed, no LTF</p><p><b>Evidence: </b>PRISMA flow chart presented to show patient flow through the study</p><p><b>GRIPP2 checklist: </b>No reporting of consumer engagement and involvement in the research process</p>","<p>Total 120 participants</p><p><b>Inclusion criteria: </b>18 years or older, no history of VAP, hospitalised in ICU, undergoing mechanical ventilation support for 8 hours following hospitalisation, no spinal or unstable pelvic fractures</p><p><b>Exclusion criteria: </b>patient death, remaining in selected positions for less than 6 hours over the last 24 hours, and a history of PI with elevation of HOB to 45°</p><p><b>Mean ages:</b></p><p><i>Group A</i>: 30° HOB tilt (n = 40); 64.76 ± 18.35 years</p><p><i>Group B</i>: 45° HOB tilt (n = 40): 55.75 ± 16.41 years</p><p><i>Group C</i>: routine position (n = 40): 64.02 ± 20.24 years</p>","<p><b>Aim(s): </b>the primary aim was to compare the effect 30° and 45° HOB tilts on the incidence of VAP. Incidence of PI was a secondary outcome</p><p><i>Group A</i>: 30° HOB tilt (n = 40)</p><p>Participants of intervention group received interventions consisting of HOB elevation to 30° for 3 consecutive days</p><p>HOB elevation was measured using the goniometer and recorded by nurses in particular forms</p><p>Changes in the patients' positions for performing nursing interventions were recorded and soon after the procedure, HOB was repositioned to 30° as instructed</p><p><i>Group B</i>: 45° HOB tilt (n = 40)</p><p>Participants of intervention group received interventions consisting of HOB elevation to 45° for 3 consecutive days</p><p>HOB elevation was measured using the goniometer and recorded by nurses in particular forms</p><p>Changes in the patients’ positions for performing nursing interventions were recorded and soon after the procedure, HOB was repositioned to 45° as instructed</p><p><i>Group C</i>: routine position (n = 40)</p><p>Participants in the control group were in the routine position in the bed for 3 consecutive days</p><p>In all 3 groups, the slope of the HOB was measured using a calibrated goniometer at each work shift by the nurse and documented in the particular form</p><p><b>Standard care across all groups: </b>various other interventions in relation to changing bed sheets, lifting patient rather than dragging, and 2-hourly position changes were performed for participants in all groups</p><p><b>Evidence: </b>""all 3 groups for the prevention of PI and VAP consisting of changing the position every 2-hours, assessment of pressure areas during position changing, changing wet sheets, lifting the patient instead of shearing the patient on the bed, washing hands, rinsing with Chlorhexidine, and performing oral as well as tracheal suction when needed""</p>","<p><b>Primary outcome: </b>unrelated to review outcomes</p><p><b>Secondary outcomes: </b>""the mean probability of pressure ulcer within 3 days of the analysis of variance test showed that there was no statistically significant difference in terms of the mean of the probability of pressure ulcers according to the Braden scale (P = 0.652). Furthermore, none of the patients in the groups suffered from pressure ulcers after 3 days""</p><p><b>Outcome assessment: </b>2 hourly skin check using study specific Skin Condition Assessment Form for 3 days. No information on PI staging criteria used.</p><p><b>Time points: </b>participants followed through for 3 days and their skin checked 2-hourly using Skin Condition Assessment Form</p>","<p><b>Funding: </b>Iran University of Medical Sciences, Tehran, Iran</p>"
Jin 2024,2024,PUB,29216094,,"<p><b>Study design: </b>prospective randomized controlled trial</p><p><b>Quote: </b>“an interventional prospective study adopting randomized grouping method and blinded design”</p><p><b>Location: </b>Intraoperative setting at Shulan (Hangzhou) Hospital, China</p><p><b>Ethics and informed consent: </b>yes</p><p><b>Sample size calculation: </b>G*Power 3.0.10 software was used for sample size estimation. Intraoperative-acquired PI (IAPI) incidence was taken as the estimation index of the sample size</p><p><b>Quote: “</b>The detailed indicators were set as follows: IAPI incidence was taken as the estimation index of the sample size, test level (α) was = 0.05, (1-β) was = 0.85, effect size was = 0.22, and case numbers of both groups were equal. The total sample size was calculated to be 186. However, given the number of removed cases, the sample size was enlarged by 10% and a total of 200 patients were finally enrolled”</p><p><b>ITT analysis: </b>intention to treat analysis used</p><p><b>GRIPP2 checklist: </b>No reporting of consumer engagement and involvement in the research process</p>","<p><b>Quote:</b> “A total of 200 patients accepting (abdominal) elective surgery in the supine position (on the operating table)... were selected and randomized into two groups (experimental group, n = 100; control group, n = 100)”</p><p><b>Inclusion criteria: </b>aged 18–70 years; American Society of Anaesthesiologists (ASA) Grade I–II; elective abdominal surgery under general anaesthesia in supine position (surgery duration ≥2.5 h); transferred to surgical wards postoperatively, provided informed consent</p><p><b>Exclusion criteria: </b>existing PIs before surgery; dermatological conditions that impact PI observation, such as eczema, psoriasis, vitiligo, or co-infection of skin at the pressure-bearing sites; planned robot-assisted laparoscopic surgery; trial refusal</p><p><b>Removal criteria:</b> patients who withdrew from the trial; patients requiring high doses of vasoactive drugs due to intraoperative blood loss of more than 500 mL, shock or cardiac arrest</p><p>Total number of participants recruited: 200 (experimental group, n = 100; control group, n = 100)</p><ul><li data-list-item-id=""e0ef50306d05ae2a1a0384a8d142c1a71""><b>Sex: </b>Male n = 108 (54.0%); Female n = 92 (46.0%)</li><li class=""ck-list-marker-bold"" data-list-item-id=""e5c25a739ff570131b98ae028ee77e3b5""><b>Surgical type:</b><ul><li data-list-item-id=""e120859b255e4f88fef246617121fc515"">Pancreaticoduodenectomy: n = 89 (44.5%)</li><li data-list-item-id=""e1851be93c441f6ccbd9fa9977cfd4fd7"">Radical surgery for liver cancer: n = 63 (31.5%)</li><li data-list-item-id=""eac66767b725dd6bdc16da68eab8bc52f"">Radical surgery for gall bladder cancer: n = 48 (24.0%)</li></ul></li></ul><p><b>Quote: </b>“Randomization method: Excel was utilized to generate random integers from 1 to 200 without repetitions. Patients assigned numbers of 1–100 were included in the control group, while those given with numbers of 101–200 were enrolled in the experimental group. Blindness method: trial recorders, assessors, subjects, and data statisticians were blinded to treatment protocols”</p><p><i>Group A (experimental group: micromovement protocol): </i>(n = 100 randomised and analysed)</p><ul><li data-list-item-id=""eb7b9e85c923704a97c7a4c54078a0e72"">Sex:<b> </b>Male n = 56 (28.0%); Female n = 44 (22.0%)</li><li data-list-item-id=""ed813891e75716acd67845967dad9a902"">Mean age (years) (Mean±SD): 61±7</li></ul><p><i>Group B (control group: micromovement protocol and silicone dressing):</i> (n = 100 randomised and analysed)</p><ul><li data-list-item-id=""e0ff72a1d1f0d6c36475583e523c78249"">Sex:<b> </b>Male n = 52 (26.0%); Female n = 48 (24.0%)</li><li data-list-item-id=""ea0e697ac990ff3820fb646b2062959ca"">Mean age (years) (Mean±SD): 62±6</li></ul><p><b>Quote: </b>“Intergroup comparisons were made…. No statistically significant difference was noted (p&gt;0.05)”</p>","<p><b>Aim(s): “</b>we hypothesized that the intraoperative prophylactic use of foam dressing combined “micromovement” with could lower the incidence of IAPI among patients operated in supine position”</p><p><i>Group A</i>: Experimental group (<b>confirmed via author correspondence</b>): &nbsp;Application of soft silicone foam dressing (see control group) plus <b>Micromovement protocol:</b> Operating table tilted 15° left and right alternately every 1 hour; tilt maintained for 5 min each time. Intraoperative monitoring; anaesthesia and surgery as standard</p><p><i>Group B</i>: Control group (<b>confirmed via author correspondence</b>): Application of soft silicone foam dressing to sacrococcygeal area and shoulder blades only, without any micromovement. Intraoperative monitoring; anaesthesia and surgery as standard</p><p><b>Quote: </b>“On the basis of the treatment given to control group patients, the “micromovement” protocol was also implemented on experimental group patients”</p><p>“For control group patients, soft silicone foam dressing was adopted to prevent PIs. The silicone foam dressing of 12.5 × 12.5 cm (Biatain, Hotedam 1, 3050 Humlebaek, Denmark) was applied to the sacrococcygeal region and two shoulder blades of each patient after skin condition evaluation by circulating nurses”</p><p>Micromovement protocol: “The operating table was tilted to the right for 15° during the first 1 h of surgery and the tilt angle was maintained for 5 min; while during the second 2 h, the operating table was tilted to the left for 15° and the tilt angle was also kept for 5 min. The rightward and leftward tilting schemes were implemented in turn until the end of the surgery”</p><p>Documentation (for all groups) of:</p><ul><li data-list-item-id=""eec416bf0594f63d82c246816a1dacbcc"">Skin assessment: evaluated before and after surgery by two nurses (one circulating nurse who was unaware of the experimental group protocol and one nurse from the Post Anaesthesia Care Unit (PACU). “When there was disagreement between two of them, another nurse was invited to participate, and the final evaluation result was obtained on a 2-to-1 basis. The PACU nurse measured the patient's skin temperature. After patients were taken into the operating room, their back skin conditions were checked”</li><li data-list-item-id=""e1650f79543294a64e985fb3c24be4557"">The intraoperative body temperature of patients in both groups was kept at 36_C or above. During the surgery, patients with mean arterial pressure (MAP) &lt;65 mmHg were injected with ephedrine or phenylephrine intravenously, and patients with heart rate (HR) &lt;50 bpm were intravenously administered with atropine of 0.5 mg. The MAP was measured invasively on a multi-function monitor (Datex-Ohmeda, Hoevelaken, the Netherlands) and stored by DoCare Anaesthesia Clinical Information System (Medical System, Shuzhou, China). MAP was recorded every 5 min in the anaesthesia record sheet, and the proportion of patients with MAP&lt;65 mmHg was calculated” &nbsp; &nbsp; &nbsp;&nbsp;</li><li data-list-item-id=""eb9743bdde82a7e79162cf314e403a560"">Relative sacrococcygeal skin temperature in the PACU: Using the non-contact infrared thermometer (Berrcom, JXB-178, Guangzhou Berrcom Medical Device Co., Ltd., Guangzhou, China), skin temperature of patients was measured”</li><li data-list-item-id=""e07f609cf7525d2578d065880ac51aa8e"">All patients monitored for evidence of study removal criteria</li></ul><p><b>Standard care across all groups:&nbsp;</b></p><ul><li data-list-item-id=""e0d5cb9136e9d35a6a34b73a36ebb1142"">Application of soft silicone foam dressing to sacrococcygeal area and shoulder blades only, without any micromovement. Intraoperative monitoring; anaesthesia and surgery as standard</li><li data-list-item-id=""e9c5f09eb67a738731cba9defe0a17838"">“The intraoperative body temperature of patients in both groups was kept at 36°C or above.” “During the surgery, patients with mean arterial pressure (MAP) &lt;65 mmHg were injected with ephedrine or phenylephrine intravenously, and patients with heart rate (HR) &lt;50 bpm were intravenously administered with atropine of 0.5 mg” </li><li data-list-item-id=""eb9842cdf29318375c1a3a27a0b345908"">“MAP was measured invasively on a multi-function monitor… and stored by DoCare Anaesthesia Clinical Information System. MAP was recorded every 5 min in the anaesthesia record sheet, and the proportion of patients with MAP &lt;65 mmHg was calculated”</li></ul>","<p><b>Primary outcome: </b>incidence of sacrococcygeal IAPI</p><p><b>Quote:</b> “The current study aimed to explore the effects of surgical table “micromovement” during supine surgery in redistributing sacrococcygeal pressure and reducing IAPI incidence”</p><p><b>Secondary outcomes: </b>none reported</p><p><b>Outcome assessment: </b>VSA assessment performed by two nurses. NPUAP (2019) PI staging criteria followed.</p><p><b>Time points: </b>Sacrococcygeal skin assessed once: directly after surgery</p><p><b>Quote:</b> “After the surgery, the sacrococcygeal skin conditions were assessed by two nurses of the operating room and post-anaesthesia care unit (PACU) who were unaware of our study protocols. The PI staging criteria formulated by the National Pressure Ulcer Advisory Panel (NPUAP 2019) in the United States were followed”</p>","<p>Study period May to July 2023</p><p>Conflicts of interest declared: “Nil to declare”</p><p>Funding source: Zhejiang Province Traditional Chinese Medicine Science and Technology Plan Project (2023ZL593); Shaoxing Public Welfare Project (2020A13014); Hangzhou Medical and Health Technology Project (B20210683, B20220840)</p><p>Funder: Funding information: Hangzhou Medical and Health Technology Project, Grant/Award Numbers: B20210683, B20220840; Shaoxing Public Welfare Project, Grant/Award Number: 2020A13014; Zhejiang Province Traditional Chinese Medicine Science and Technology Plan Project, Grant/Award Number: 2023ZL593</p><p>Role: (if any): not directly indicated except: The authors declare that there is no conflict of interest</p>"
Manzano 2014,2014,PUB,13794249,,"<p><b>Study design: </b>randomised clinical trial using 2 groups</p><p><b>Quote: </b>""a pragmatic, single-site, open label, parallel group randomised controlled trial (pressure ulcer prevention by repositioning associated with support surfaces""</p><p><b>Location: </b>2 mixed ICUs of a university hospital in southern Spain</p><p><b>Ethics and informed consent: </b>yes</p><p><b>Sample size calculation:</b> yes</p><p><b>Quote: </b>""a sample size of 165 per group was estimated to provide 80 % power at a 0.05 (two-sided) level of significance to detect an absolute risk reduction (ARR) of 10 % in PU onset, assuming that PUs would develop in 17 % of the control (4 h) group, based on previous studies and our own data""</p><p><b>ITT analysis: </b>modified ITT</p><p><b>Quote: </b>""the primary analysis was performed according to a modified intention-to-treat principle (because a patient was excluded after randomisation), and no interim analysis was planned""</p><p><b>GRIPP2 checklist: </b>No reporting of consumer engagement and involvement in the research process</p>",<p><b>Mean ages:</b></p><p><i>Group A</i>: 62.1 years ± 14.5</p><p><i>Group B</i>: 61.1 years ± 15.1</p><p><b>Inclusion criteria: </b>all critically ill adults with no PI at ICU admission who received invasive mechanical ventilation for at least 24 hours between February 2009 and January 2011</p><p><b>Exclusion criteria: </b>pregnancy; &lt; 18 years; not being on an APAM (due to lack of availability); weight greater than 140 kg or less than 45 kg (as per APAM specifications); refusal to consent; mechanical ventilation for more than 48 hours before enrolment in the study; and inclusion in a related trial</p><p>1 participant did not receive the intervention as randomised because they withdrew their consent</p>,"<p><b>Aim(s): </b>to compare the effectiveness of repositioning every 2 or 4 hours for preventing PI (stage 2 or greater) development in ICU patients under mechanical ventilation</p><p>Secondary aims were to compare clinical outcomes in relation to motility, ICU and hospital length of stay, mechanical ventilation duration, adverse/safety events, and nursing workload</p><p><i>Group A</i>: 2-hourly repositioning (n = 165)</p><p>First, left side with 30° tilt; second, supine with 30° elevation of the head end and the foot end of the bed; third, right side with 30° tilt. It was a systematic lateral turning every 2-hourly for the total duration of each period</p><p><i>Group B</i>: 4-hourly repositioning (n = 164)</p><p>First, left side with 30° tilt; second, supine with 30° elevation of the head end and the foot end of the bed; third, right side with 30° tilt. It was a systematic lateral turning every 4-hourly for the total duration of each period</p><p><b>Standard care across all groups: </b>all participants had the same APAM. Standard sedation and analgesia consisted of fentanyl plus propofol or midazolam. The weaning protocol included the daily interruption of sedatives and spontaneous awakening trials</p><p><b>Note:</b> repositioning schedules could be interrupted in cases of haemodynamic or respiratory instability (see below) or by the decision of the attending physician or patient</p>",<p><b>Primary outcome: </b>the occurrence of a new PI (at least stage 2) at any anatomic site between enrolment in the study and ICU discharge. EPUAP (1998) PI staging criteria followed.</p><p><b>Secondary outcomes: </b>unrelated to review outcomes</p><p><b>Outcome assessment: </b>VSA assessment performed by five nurses. EPUAP (1998) PI staging criteria followed.&nbsp;</p><p><b>Time points: </b>follow-up for 24 hours. Frequency of assessment unclear.</p>,<p><b>Funding:</b> grants from EFRD (European Fund for Regional Development) and the Spanish Institutes of Health Research (PI10/02923)</p>
Moore 2011,2011,SOUGHT,3355355,,"<p><b>Study design:</b> 2-arm cluster-RCT with a 4-week (28-day) follow-up period</p><p><b>Location: </b>12 long-term aged-care facilities (clusters) in Ireland</p><p><b>Ethics and informed consent:</b> ethics approval and consent obtained</p><p><b>Sample size calculation: </b>yes</p><p><b>ITT analysis: </b>yes, all participants randomised were analysed</p><p><b>GRIPP2 checklist: </b>No reporting of consumer engagement and involvement in the research process</p>","<p><b>Mean age: </b>not reported</p><p>Baseline data reported in relation to group comparisons for age, gender, and Braden scale scores</p><p><b>Inclusion criteria:</b></p><ul><li data-list-item-id=""e5d3c5ca2e08635f48724ca64a77f27d2"">inpatient in a long-term geriatric facility</li><li data-list-item-id=""e58f23b415c76adad79b46dea4db904e0"">over 65 years of age</li><li data-list-item-id=""e0131df4c1a209e404d1dfb381df0eff1"">at risk of PI development using the activity and mobility components of Braden scale</li><li data-list-item-id=""edd5638fea7a8178aa4c44a5839d4add6"">no PI at time of recruitment to study</li><li data-list-item-id=""edc7941fe794ae63227f2385573f69877"">no medical condition that would preclude the use of repositioning</li><li data-list-item-id=""e97fbd71236ef86f888a6735714be341c"">consent</li></ul><p><b>Exclusion criteria: </b>patients with existing PI. Total of 57 patients excluded</p>","<p><b>Aim(s):</b> to examine whether repositioning using 30° tilt and 3-hourly repositioning reduces the incidence of PI compared with usual care</p><p><i>Group A</i>: 30° tilt (n = 99 participants randomised, 99 analysed)</p><p>Repositioning by clinical staff using 30° tilt at night (left side, back, right side, back) 3-hourly overnight (8 pm to 8 am). During the day, position changes occurred 2- to 3-hourly</p><p><i>Group B</i>: Usual care (n = 114 participants randomised, 99 analysed)</p><p>Usual care consisted of repositioning by clinical staff every 6 hours using the 90° tilt (left side, back, right side, back) overnight (8 pm to 8 am). During the day, position changes occurred 2- to 3-hourly</p><p><b>Co-interventions:</b> participants in both groups nursed as per planned care regarding nutritional regimens, toileting, changing of incontinence pads, preparation for feeding, and pressure redistribution devices on chairs. Repositioned every 2- to 3-hourly during the day</p>","<p><b>Primary outcome: </b>incidence of all PIs during a 28-day period</p><p>Quote: ""the EPUAP PI classification system, ranging from non-blanching erythema of intact skin to full scale tissue destruction"" (Grades I to IV)</p><p>Quote: ""a pressure ulcer was defined as localised areas of tissue damage caused to skin and underlying soft tissue caused by sustained mechanical loading and shearing forces""</p><p><b>Secondary outcomes: unrelated to review outcomes</b></p><ul><li data-list-item-id=""e3abd4bfdfbe2b622384e39904c39cd81"">economic outcomes:<ul><li data-list-item-id=""e50db87680b9053554f8c061325ad0caf"">mean daily nurse time for repositioning</li><li data-list-item-id=""e46e24666c2aea588bad65bf529f9d6c9"">nurse time cost per patient</li><li data-list-item-id=""e3498019dfcf595aea401818d259aeebf"">cost of patient free of PI</li><li data-list-item-id=""e96f1999107709f5cef834440eb82ba95"">projected annual cost</li></ul></li></ul><p><b>Outcome assessment</b>: VSA assessment performed at each turning episode by clinical staff and followed up by one researcher.</p><p>EPUAP (1999) PI staging criteria followed.</p><p><b>Validity of measures: </b>interrater reliability not reported, but quote: ""the skin was then assessed by the assigned key staff member, the clinical manager, and the researcher. Agreement between assessors was reached by comparing patients’ skin condition to images of the EPUAP grading system""</p><p><b>Time points: </b>weekly follow-up over 4 weeks</p>","<p>PI risk status on study entry not stated by group</p><p>Imbalances in cluster size</p><p>ICC used in analysis and reported in text, Kish design effect reported</p><p><b>Funding: </b>Health Research Board of Ireland Clinical Nursing &amp; Midwifery Research Fellowship</p>"
Moore 2013,2013,PUB,29216096,,"<p>Economic evaluation of &nbsp;a 2-arm cluster-randomised controlled trial (parallel economic evaluation of Moore 2011)</p><p><b>Aim: </b>was to compare the incidence of pressure ulcers and the nurse time cost of the two repositioning regimes, and to evaluate their relative cost-effectiveness</p>",<p>see Moore 2011 trial</p>,<p>see Moore 2011 trial</p>,<p>see Moore 2011 trial</p>,"<p><b>Quote: </b>""Nurse time was calculated from the information recorded in the clinical study on the total number of turns per patient, the number of nurses per turn and nurse time per turn. The cost of nurse time was calculated by applying a standard rate per hour of patient contact (€2394), based on the salary of a staff nurse at scale point 8 at mid-2009. Cost-effectiveness was assessed by estimating the incremental cost per patient free of ulcer and the incremental cost per ulcer avoided</p><p><b>Salary costs: </b>based on 2009 salary costs</p>"
Paulden 2014,2014,PUB,29216098,,"<p>Economic evaluation of the Turning for Ulcer Reduction (TURN) multisite, randomized controlled trial (parallel economic evaluation of Bergstrom 2013 trial)</p><p><b>Aim: </b>economic analysis of switching from a repositioning schedule of 2-hour intervals to a schedule of 3-hour or 4-hour intervals</p>",<p>see Bergstrom 2013 trial</p>,<p>see Bergstrom 2013 trial</p>,<p>see Bergstrom 2013 trial</p>,"<p>All costs were measured in 2012 Canadian dollars.Various costs were considered for inclusion in the analysis including:</p><ul><li data-list-item-id=""e125fe5220ae89a18f65154a865f927d9"">nursing staff time spent repositioning residents</li><li data-list-item-id=""e21ebf2973194a8fafe2432eda41ea77b"">supplies (briefs, skin cream, washcloths, and barrier cream)</li><li data-list-item-id=""e163f201c619ef0ee626f9b2f0a5fe44c"">hospital visits, physician services, day surgery, and ambulatory procedures</li></ul><p><b>Salary costs: </b>based on 2012 salary costs</p>"
