Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,1,Pain at 1 month,1,,806,,764,100.0,-7.006797,-12.478669,-1.534925,115.442013,,,296.053582,17,0.0,94.257796,2.509757,,0.012081,subgroup:438021736056865001
1,1,Pain at 3 months,2,,600,,531,100.0,-2.25255,-6.317923,1.812824,25.593043,,,28.77263,9,7.08E-4,68.720273,1.08598,,0.277488,subgroup:438021736060272891
1,1,Pain at 6 months,3,,58,,56,100.0,0.960132,-6.341072,8.261336,12.462788,,,1.546201,1,0.213698,35.325364,0.257742,,0.796606,subgroup:438021736064729349
1,1,Pain at 12 months,4,,26,,37,100.0,0.2,-5.330544,5.730544,0.0,,,0.0,0,1.0,0.0,0.070878,,0.943495,subgroup:438021736066826504
1,2,Functional status at 1 month,1,,727,,689,100.0,-0.406473,-0.687838,-0.125108,0.227859,,,77.509862,14,0.0,81.937782,2.831451,,0.004634,subgroup:438021736074428697
1,2,Functional status at 3 months,2,,560,,498,100.0,-0.150512,-0.272726,-0.028297,0.0,,,6.056809,8,0.640869,0.0,2.413771,,0.015788,subgroup:438021736068661515
1,2,Functional status at 6 months,3,,58,,56,100.0,-0.123253,-0.500019,0.253514,0.0,,,0.594121,1,0.44083,0.0,0.641169,,0.521413,subgroup:438021736070758676
1,2,Functional status 12 months,4,,26,,37,100.0,-0.19223,-0.694996,0.310536,0.0,,,0.0,0,1.0,0.0,0.749383,,0.453627,subgroup:438021736072855831
1,3,Recovery at 1 month,1,32,109,24,141,100.0,1.72171,1.064803,2.783881,0.0,,,1.818105,2,0.402906,0.0,2.216069,,0.026687,subgroup:438021736076788009
1,3,Recovery at 3 months,2,8,19,14,32,100.0,0.962406,0.498651,1.857461,0.0,,,0.0,0,1.0,0.0,0.114221,,0.909063,subgroup:438021736079147309
1,4,Health related quality of life at 1 month,1,,26,,37,100.0,4.5,0.459438,8.540562,0.0,,,0.0,0,1.0,0.0,2.182825,,0.029049,subgroup:438021736080982320
1,4,Health related quality of life at 3 months,2,,26,,37,100.0,2.8,-1.240562,6.840562,0.0,,,0.0,0,1.0,0.0,1.358202,,0.1744,subgroup:438021736082293042
1,4,Health related quality of life at 6 months,3,,26,,37,100.0,1.7,-2.340562,5.740562,0.0,,,0.0,0,1.0,0.0,0.824623,,0.409586,subgroup:438021736083341620
1,4,Health related quality of life at 12 months,4,,26,,37,100.0,1.7,-2.340562,5.740562,0.0,,,0.0,0,1.0,0.0,0.824623,,0.409586,subgroup:438021736084652342
1,5,Return to work at 1 month,1,1,2,7,17,100.0,1.214286,0.271528,5.430339,0.0,,,0.0,0,1.0,0.0,0.254057,,0.799451,subgroup:438021736086225209
1,5,Return to work at 3 months,2,2,3,11,17,100.0,1.030303,0.430017,2.468565,0.0,,,0.0,0,1.0,0.0,0.066962,,0.946612,subgroup:438021736087535931
2,1,Pain at 1 month,1,,218,,107,100.0,-13.993751,-27.326415,-0.661086,203.185367,,,37.039842,4,0.0,89.200818,2.057147,,0.039672,subgroup:438021630160387412
2,1,Pain at 3 months,2,,36,,16,100.0,-14.2,-26.890557,-1.509443,0.0,,,0.0,0,1.0,0.0,2.193087,,0.028301,subgroup:438021630164843866
2,1,Pain at 6 months,3,,32,,15,100.0,-4.9,-18.679815,8.879815,0.0,,,0.0,0,1.0,0.0,0.696949,,0.485835,subgroup:438021630167465308
2,2,Functional Status 1 at month,1,,205,,107,100.0,-0.836625,-1.319197,-0.354053,0.21265,,,13.641541,4,0.008532,70.6778,3.397948,,6.79E-4,subgroup:438021630181358944
