Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Balthazard 2012,2012,,,28.0,21.0,,21,41.0,29.0,,18,,,4.255347,-13.0,-29.129232,3.129232,SMT with active excercise vs detuned US with active exercise; VAS 0-100; data extracted from table 2; 1st follow up is after discharge (4-8 weeks)
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Bialosky 2014,2014,,,34.0,26.0,,14,30.0,23.0,,27,,,4.251724,4.0,-12.147809,20.147809,"SMT vs standard sham SMT, described as placebo SMT by trialists; NRS 0-100; data based upon figures presented in Fig.4; change scores presented and SDs used from baseline; data at 2 weeks"
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Bialosky 2014,2014,,,34.0,26.0,,14,28.0,22.0,,28,,,4.305909,6.0,-9.871041,21.871041,"SMT vs enhanced sham SMT, described as placebo SMT by trialists; NRS 0-100; data based upon figures presented in Fig.4; change scores presented and SDs used from baseline; data at 2 weeks"
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Bond 2020,2020,,,28.35,21.0,,14,27.54,21.0,,15,,,4.419976,0.81,-14.485256,16.105256,SMT versus sham SMT; NPRS 0-10; converted to 100 scale; change score presented and SD based upon Balthazard 2012; data at 3 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Didehdar 2020,2020,,,26.0,14.2,,10,45.3,12.6,,13,,,5.272874,-19.3,-30.452231,-8.147769,SMT vs sham SMT; NRS 0-10 converted to 0-100; data extracted from table 2; data at 5 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Dougherty 2014b,2014,,,35.13,21.979282,,69,37.61,21.974493,,67,,,6.011761,-2.48,-9.867901,4.907901,SMT versus sham SMT; VAS 0-100; data extracted from table 2; data at 5 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Gevers-Montoro 2024,2024,,,16.6,14.1,,48,27.9,23.7,,48,,,5.936877,-11.3,-19.101481,-3.498519,"SMT vs sham SMT, described as placebo SMT by trialists; NPRS 0-100; data extracted from table 4; data (average pain) at 4 weeks"
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Ghroubi 2007,2007,,,49.37,16.78,,32,58.43,28.8,,32,,,5.190611,-9.06,-20.608665,2.488665,Unclear SMT vs. sham SMT; VAS 0-10 converted to 0-100; data extracted from table 3; data at 1 month
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Gibson 1985,1985,,,21.0,22.5,,39,27.0,20.0,,33,,,5.54579,-6.0,-15.819788,3.819788,SMT vs detuned diathermy; median (range) presented in the study and converted; data extracted from table 2; data (daytime pain) at 4 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Krekoukias 2017,2017,,,12.0,11.0,,25,58.8,9.2,,25,,,6.302599,-46.8,-52.421237,-41.178763,SMT vs sham SMT; NRPS 0-10; converted to 0-100 scale; data extracted from table 2; data at 5 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,37.7,26.2,,42,30.7,21.9,,23,,,5.106364,7.0,-4.953598,18.953598,Osteopathic SMT vs. sham SMT; VAS 0-10 converted to 0-10; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 1 month
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Licciardone 2013,2013,,,34.97,23.8,,230,38.8,21.89,,225,,,6.493364,-3.83,-8.030197,0.370197,Osteopathic MT vs sham MT; VAS 0-10; converted to 0-100; data received from the author; data at 1 month
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,29.5,5.934494,,26,33.2,7.260385,,37,,,6.592956,-3.7,-6.967459,-0.432541,SMT ('non-maintained') vs sham SMT ('control group'); VAS 0-100; SE converted into SD; data extracted from table 3; data at 1 month
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Tavares 2017,2017,,,2.5,0.801257,,20,16.5,1.826867,,20,,,6.740062,-14.0,-14.874269,-13.125731,SMT vs sham SMT; NPRS 0-10; converted to 0-100; data extracted from table 2; data at 5 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,31.5,14.622248,,49,26.6,10.522179,,26,,,6.282473,4.9,-0.855019,10.655019,Manipulation vs sham SMT; NPRS 0-10; converted to 0-100; data based upon figures presented in Fig 2 using WebPlot Digitizer; data at 4 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,27.8,15.265707,,52,26.6,10.522179,,26,,,6.276498,1.2,-4.594302,6.994302,Mobilisation vs sham SMT; NPRS 0-10; converted to 0-100; data based upon figures presented in Fig 2 using WebPlot Digitizer; data at 4 weeks
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Waagen 1986,1986,,,23.0,15.0,,9,31.0,15.0,,10,,,4.783465,-8.0,-21.50812,5.50812,Chiropractic/HVLA SMT vs. sham SMT; VAS 0-10;data converted to 0-100; SD's presented here are approximated from similar populations; data at 2 weeks?
1,1,Pain,Pain at 1 month,1,SUBGROUP_AND_OVERALL,Walker 2013,2013,,,38.0,21.0,,92,42.0,21.0,,91,,,6.231349,-4.0,-10.085249,2.085249,Chiropractic care vs detuned ultrasound and sham activator; NRS 0-10; converted to 0-100; data extracted from table 4; data at 2 weeks
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Balthazard 2012,2012,,,18.0,17.0,,20,42.0,32.0,,18,,,4.438517,-24.0,-40.554317,-7.445683,"SMT with active excercise vs detuned US with active exercise; VAS 0-100; data extracted from table2; 1st Follow up is after discharge (4-8 weeks), 2nd follow up is 3 months after discharge"
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Dougherty 2014b,2014,,,39.27,23.040781,,69,41.49,22.861263,,66,,,10.441138,-2.22,-9.96437,5.52437,SMT versus sham SMT; VAS 0-100; data extracted from table 2; data at 12 weeks
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Gevers-Montoro 2024,2024,,,21.2,17.6,,48,35.1,25.1,,48,,,9.52444,-13.9,-22.572379,-5.227621,"MT vs sham SMT, described as placebo SMT by trialists; NPRS 0-100; data extracted from table 4; data at 8 weeks"
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Ghroubi 2007,2007,,,48.125,22.78,,32,54.43,25.76,,32,,,6.878643,-6.305,-18.219471,5.609471,Unclear SMT vs. sham SMT; VAS 0-10; converted to 0-100; data extracted from table 3; data at 2 months
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Gibson 1985,1985,,,13.0,22.5,,38,6.0,22.5,,32,,,7.860206,7.0,-3.580662,17.580662,SMT vs detuned diathermy; median (range) presented in the study and converted; data extracted from table 2; data (daytime pain) at 12 weeks
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,31.0,24.5,,36,28.5,20.3,,21,,,6.951594,2.5,-9.308184,14.308184,Osteopathic SMT vs. sham SMT; VAS 0-10 converted to 0-10; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 3 months
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Licciardone 2013,2013,,,26.91,24.22,,230,32.78,24.39,,225,,,13.97436,-5.87,-10.336976,-1.403024,Osteopathic MT vs sham MT; VAS 0-10; converted to 0-100; data received from the author; data at 12 weeks
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,35.2,6.4,,26,35.2,7.6,,37,,,14.975337,0.0,-3.47111,3.47111,SMT ('non-maintained') vs sham SMT ('control group'); VAS 0-100; SE converted into SD; data extracted from table 3; data at 4 months
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,34.1,14.970397,,49,30.4,10.645969,,26,,,12.461207,3.7,-2.15791,9.55791,Manipulation vs sham SMT; NPRS 0-10; converted to 0-100; data based upon figures presented in Fig 2 using WebPlot Digitizer; data at 7 weeks
1,1,Pain,Pain at 3 months,2,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,33.9,15.265707,,52,30.4,10.645969,,26,,,12.494557,3.5,-2.327614,9.327614,Mobilisation vs sham SMT; NPRS 0-10; converted to 0-100; data based upon figures presented in Fig 2 using WebPlot Digitizer; data at 7 weeks
1,1,Pain,Pain at 6 months,3,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,31.6,22.4,,32,24.5,21.1,,19,,,26.90633,7.1,-5.15755,19.35755,Osteopathic SMT vs. sham SMT; VAS 0-10; converted to 0-100; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 6 months
1,1,Pain,Pain at 6 months,3,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,35.5,10.9,,26,36.8,8.5,,37,,,73.09367,-1.3,-6.305519,3.705519,SMT ('non-maintained') vs sham SMT ('control group'); VAS 0-100; SE converted into SD; data extracted from table 3; data at 7 months
1,1,Pain,Pain at 12 months,4,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,38.5,12.5,,26,38.3,8.5,,37,,,100.0,0.2,-5.330544,5.730544,SMT ('non-maintained') vs sham SMT ('control group'); VAS 0-100; SE converted into SD;data extracted from table 3; data at 10 months
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Balthazard 2012,2012,,,20.0,15.0,,21,26.0,15.0,,18,,,6.184578,-0.391837,-1.028038,0.244365,SMT with active excercise vs detuned US with active exercise; ODI 0-100; data extracted from table 2; 1st Follow up is after discharge (4-8 weeks)
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Bialosky 2014,2014,,,12.5,9.0,,14,11.5,9.0,,27,,,6.12463,0.108961,-0.537013,0.754934,"SMT vs standard sham SMT, described as placebo SMT by trialists; ODI 0-100; data based upon figures presented in Fig.4; change scores presented and SDs used from baseline; data at 2 weeks"
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Bialosky 2014,2014,,,12.5,9.0,,14,15.0,13.0,,28,,,6.141421,-0.207006,-0.850238,0.436226,"SMT vs enhanced sham SMT, described as placebo SMT by trialists; ODI 0-100; data based upon figures presented in Fig.4; change scores presented and SDs used from baseline; data at 2 weeks"
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Bond 2020,2020,,,13.14,8.0,,15,12.24,8.0,,15,,,5.702043,0.109459,-0.606835,0.825754,SMT vs sham SMT; ODI 0-100; Change score presented and SD based upon Didehar 2020; data at 3 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Didehdar 2020,2020,,,14.0,7.71,,10,30.15,11.29,,13,,,4.390028,-1.569928,-2.533263,-0.606593,SMT vs sham SMT; ODI 0-100; data extracted from table 2; data at 5 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Dougherty 2014b,2014,,,31.3,13.320777,,69,32.2,13.324086,,67,,,8.009682,-0.067177,-0.403442,0.269088,SMT vs sham SMT; ODI 0-100; data extracted from table 2 (mean and CI); data at 5 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Gevers-Montoro 2024,2024,,,4.6,4.3,,48,5.6,5.3,,48,,,7.639687,-0.205554,-0.606731,0.195622,"SMT vs sham SMT, described as placebo SMT by trialists; ODI 0-100; data extracted from table 4; data at 4 weeks"
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Krekoukias 2017,2017,,,2.44,1.76,,25,10.04,2.05,,25,,,4.345153,-3.915513,-4.888467,-2.942559,SMT vs sham SMT; RMDQ 0-24; data extracted from table 2; data at 5 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,5.7,4.1,,42,7.7,4.8,,23,,,6.942821,-0.45352,-0.968256,0.061216,Osteopathic SMT vs sham; RMDQ 0-24; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 1 month
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Licciardone 2013,2013,,,5.64,5.16,,230,6.02,5.13,,225,,,8.70814,-0.073733,-0.257576,0.11011,Osteopathic MT vs sham MT; RMDQ 0-24; data received from the author; data at 1 month
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,24.1,9.3,,26,32.5,12.5,,37,,,6.917629,-0.734272,-1.253026,-0.215518,SMT ('non-maintained') vs sham SMT ('control group'); ODI 0-100; SE converted into SD; data extracted from table 3; data at 1 month
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Tavares 2017,2017,,,3.1,3.98492,,20,4.5,3.846035,,20,,,6.253295,-0.350397,-0.975445,0.274652,SMT vs sham SMT; ODI 0-100; data extracted from table 2; data at 5 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,12.19,7.183862,,52,10.95,4.951614,,26,,,7.211055,0.187889,-0.28385,0.659629,Mobilisation vs sham SMT; RMDQ 0-24; data based upon figures presented in Fig. 2 using WebPlot Digitizer; data at 4 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,11.14,7.015198,,49,10.95,4.951614,,26,,,7.187285,0.029455,-0.446117,0.505027,Manipulation vs sham SMT; RMDQ 0-24; data based upon figures presented in Fig. 2 using WebPlot Digitizer; data at 4 weeks
1,2,Functional status,Functional status at 1 month,1,SUBGROUP_AND_OVERALL,Walker 2013,2013,,,14.0,6.7,,92,16.3,7.1,,91,,,8.242552,-0.331864,-0.623669,-0.040059,Chiropractic care vs detuned ultrasound and sham activator; Functional Rating Index 0-100; used data extracted from table 4; data at 2 weeks
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Balthazard 2012,2012,,,16.0,14.0,,20,26.0,21.0,,18,,,3.53249,-0.554533,-1.204786,0.095719,SMT with active excercise vs detuned US with active exercise; ODI 0-100; data extracted from table2; 1st Follow up is after discharge (4-8 weeks); &nbsp;2nd follow up is 3 months after discharge
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Dougherty 2014b,2014,,,27.9,13.939044,,67,32.0,13.939044,,67,,,12.883559,-0.292463,-0.632954,0.048027,SMT vs sham SMT; ODI 0-100; data extracted from table 2 (mean and CI); data at 12 weeks
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Gevers-Montoro 2024,2024,,,4.1,4.4,,48,5.4,5.3,,48,,,9.247195,-0.26476,-0.666659,0.13714,"SMT vs sham SMT, described as placebo SMT by trialists; ODI 0-100; data extracted from table 4; data at 8 weeks"
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Ghroubi 2007,2007,,,12.25,5.69,,32,12.07,5.62,,32,,,6.220306,0.031443,-0.45858,0.521466,Unclear SMT vs sham SMT; ODI 0-100; data extracted from table 3 and 4; data at 2 months
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,6.1,4.5,,36,6.1,4.1,,19,,,4.835511,0.0,-0.555778,0.555778,Osteopathic SMT vs. sham SMT; RMDQ 0-24; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 3 months
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Licciardone 2013,2013,,,4.27,4.87,,230,5.03,5.22,,225,,,44.097277,-0.150362,-0.334404,0.03368,Osteopathic MT vs sham MT; RMDQ 0-24; data received from the author; data at 12 weeks
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Senna 2011,2011,,,29.8,10.8,,26,33.5,13.0,,37,,,5.868559,-0.30085,-0.805345,0.203645,SMT ('non-maintained') vs sham SMT ('control group'); ODI; SE converted into SD; data extracted from table 3; data at 4 months
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,12.14,7.201822,,52,10.87,4.845199,,26,,,6.710357,0.192818,-0.278973,0.664609,Mobilisation vs sham SMT; RMDQ 0-24; data based upon figures presented in Fig. 2 using WebPlot Digitizer; data at 7 weeks
1,2,Functional status,Functional status at 3 months,2,SUBGROUP_AND_OVERALL,Thomas 2020,2020,,,10.9,7.050012,,49,10.87,4.951614,,26,,,6.604745,0.004633,-0.470916,0.480181,Manipulation vs sham SMT; RMDQ 0-24; data based upon figures presented in Fig. 2 using WebPlot Digitizer; data at 7 weeks
1,2,Functional status,Functional status at 6 months,3,SUBGROUP_AND_OVERALL,Licciardone 2003,2003,,,5.2,4.5,,32,5.0,4.5,,19,,,44.042896,0.043761,-0.523959,0.611481,Osteopathic SMT vs sham SMT; RMDQ; data based upon figures presented in Fig. 3 (mean+ SE); SE converted to SD; data at 6 months
