Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
2,1,Oral,1,127,1451,56,698,98.136223,1.057873,0.781701,1.431617,0.0,,,2.962761,3,0.397403,0.0,0.364473,,0.715505,subgroup:426433979530898939
2,1,Intravenous,2,3,27,1,24,1.863777,2.666667,0.296849,23.955306,0.0,,,0.0,0,1.0,0.0,0.87566,,0.381215,subgroup:426433979534831103
2,1,Subcutaneous,3,0,172,0,123,,,,,,,,,,,,,,,subgroup:426433979539025410
2,2,Oral,1,863,1013,389,485,93.391404,1.037425,0.942529,1.141874,0.002795,,,2.07006,1,0.150216,51.692223,0.750673,,0.452849,subgroup:444846245081022762
2,2,Intravenous,2,23,27,16,23,6.608596,1.224537,0.895663,1.674168,0.0,,,0.0,0,1.0,0.0,1.26942,,0.204291,subgroup:444846250674389292
2,3,Oral,1,269,1457,98,700,79.437027,1.570426,0.782597,3.151353,0.368636,,,20.64075,3,1.25E-4,85.465644,1.270126,,0.20404,subgroup:438827848770593535
2,3,Intravenous,2,3,27,1,24,6.180244,2.666667,0.296849,23.955306,0.0,,,0.0,0,1.0,0.0,0.87566,,0.381215,subgroup:444846092935003904
2,3,Subcutaneous,3,6,172,6,123,14.382729,0.893491,0.066456,12.012845,2.29809,,,2.650787,1,0.103499,62.275347,0.084942,,0.932308,subgroup:444846107997273873
2,4,Oral,1,1213,1451,525,698,99.493494,1.117129,1.031631,1.209712,0.002903,,,5.746622,3,0.12461,47.795419,2.726547,,0.0064,subgroup:426434085002702443
2,4,Intravenous,2,3,27,0,24,0.138881,6.25,0.339217,115.15481,0.0,,,0.0,0,1.0,0.0,1.232728,,0.217677,subgroup:426434085002702447
2,4,Subcutaneous,3,18,67,1,69,0.367625,7.415009,0.405001,135.758554,2.702111,,,2.572386,1,0.108744,61.125581,1.350636,,0.176812,subgroup:426434085006896753
2,5,Oral,1,184,889,171,437,100.0,0.528934,0.44452,0.629378,0.0,,,0.0,0,1.0,0.0,7.179444,,0.0,subgroup:425870232460296972
2,6,Oral,1,452,1300,457,643,87.865162,0.448955,0.307998,0.654421,0.067696,,,11.50612,1,6.94E-4,91.308973,4.165291,,3.1E-5,subgroup:425184659398477650
2,6,Intravenous,2,1,27,2,24,1.758197,0.444444,0.042957,4.598372,0.0,,,0.0,0,0.0,0.0,0.680207,,0.496373,subgroup:425184661688305491
