Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,N° of participants with at least one serious adverse event at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,130,1650,57,845,1.076261,0.797544,1.45238,,,0.0,,,3.631401,4,0.458182,0.0,0.480606,,0.630797,,,,,analysis:426222553078334670
1,2,N° of participants free from disability worsening at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,886,1040,405,509,1.053481,0.958195,1.158242,,,0.003047,,,3.356693,2,0.186683,40.417555,1.077105,,0.281433,,,,,analysis:425251415472489096
1,3,N° of participants who withdrew at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,278,1656,105,847,1.428203,0.767677,2.657061,,,0.3687,,,25.128755,6,3.23E-4,76.122971,1.125258,,0.26048,,,,,analysis:425251415486644883
1,4,N° of participants with at least one adverse event at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,1237,1579,526,826,1.14146,1.020922,1.276229,,,0.008321,,,14.898316,7,0.037325,53.014823,2.323616,,0.020146,,,,,analysis:426222627494724848
1,5,N° of participants with at least one relapse at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,215,1013,194,485,0.527893,0.449445,0.620033,,,0.0,,,0.003429,1,0.953307,0.0,7.783166,,0.0,,,,,analysis:425870669716751566
1,6,N° of participants with new Gd+ T1 MRI lesions at the end of follow-up,Cladribine vs placebo (All studies),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,205,1432,372,721,0.30225,0.194991,0.46851,,,0.113264,,,14.44702,3,0.002356,79.234473,5.350421,,0.0,,,,,analysis:425251415511286433
2,1,N° of participants with at least one serious adverse event at the end of follow-up,Cladribine vs placebo (Administration route),Custom input,"#N/A",Dichotomous,true,,,,,,,Cladribine,Placebo,IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,130,1650,57,845,1.076261,0.797544,1.45238,,,0.0,,,3.631401,4,0.458182,0.0,0.480606,,0.630797,0.66864,1,0.413527,0.0,analysis:426433979526704634
2,2,N° of participants free from disability worsening at the end of follow-up,Cladribine vs placebo (Administration route),Custom input,"#N/A",Dichotomous,true,,,,,,,[Not identical],[Not identical],IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,886,1040,405,508,1.051837,0.967583,1.143427,,,0.001996,,,2.89758,2,0.234854,30.976889,1.186363,,0.235479,0.987014,1,0.320474,0.0,analysis:425020496942111858
2,3,N° of participants who withdrew at the end of follow-up,Cladribine vs placebo (Administration route),Custom input,"#N/A",Dichotomous,true,,,,,,,[Not identical],[Not identical],IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,278,1656,105,847,1.428203,0.767677,2.657061,,,0.3687,,,25.128755,6,3.23E-4,76.122971,1.125258,,0.26048,0.403287,2,0.817387,0.0,analysis:425020496946306164
2,4,N° of participants with at least one adverse event at the end of follow-up,Cladribine vs placebo (Administration route),Custom input,"#N/A",Dichotomous,true,,,,,,,[Not identical],[Not identical],IV,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,1234,1545,526,791,1.137096,1.0199,1.26776,,,0.007726,,,13.327888,6,0.038115,54.981614,2.315017,,0.020612,2.96514,2,0.227053,32.549555,analysis:426434084998770282
