Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Giovannoni 2010,2010,,,,,77,884,,,28,435,,,51.652021,1.353224,0.891783,2.053431,,Some concerns,"<p>""Randomisation was performed with the use of a central system and a computer-generated treatment randomisation code, with dynamic allocation by site in permuted blocks of six"".<br />""The demographic and clinical characteristics of the ITT population were generally well-balanced across the three study groups, although patients receiving 3.5 mg of cladribine/Kg had a shorter significative mean duration of disease"".</p>",Low risk,"<p>""To maintain the double-blind nature of the study, all patients within a weight range received the same number of tablets (cladribine or matched placebo)"".<br>
 Safety analysis excluded 2/3/2 patients in the three groups and were equally distributed</p>",Low risk,<p>Safety analysis excluded 2/3/2 patients in the three groups and were equally distributed.</p>,Low risk,"<p>""Listed are preferred terms from the Medical Dictionary for Regulatory Activities (MedDRA) for symptoms that were reported by at least 10% of the patients in any group"".""Investigators rated the severity of the event according to the following definitions: mild (the event or symptom is easily tolerated); moderate (the event or symptom interferes with or reduces the usual level of activity); and severe (the event or symptom causes substantial impairment of functioning, reduces the usual level of activity, or endangers the patient’s life)"".<br />No concerns.<br />""At each study site, a treating physician reviewed clinical laboratory results (at this stage we could speculate that the clinical physician could guess the treatment) and assessed treatment-emergent adverse events and safety information, and an independent evaluating physician who was unaware of study-group assignments performed neurologic examinations and determined whether a clinical event fulfilled criteria"".</p>",Some concerns,<p>See Medra. Not applicable</p>,Some concerns,"<p>""Randomization was performed with the use of a central system and a computer-generated treatment randomization code, with dynamic allocation by site in permuted blocks of six"".<br />""The demographic and clinical characteristics of the IIT population of 1326 patients was generally well balanced across the 3 study groups, although patients receiving 3.5 mg of cladribine per kg had a shorter mean duration of disease (P=0.005 for the overall comparison)"".<br />""To maintain the double-blind nature of the study, all patients within a weight range received the same number of tablets (cladribine or matched placebo)"".<br />Safety analysis excluded 2/3/2 patients in the three groups and were equally distributed.<br />""Listed are preferred terms from the Medical Dictionary for Regulatory Activities (MedDRA) for symptoms that were reported by at least 10% of the patients in any group"". ""Investigators rated the severity of the event according to the following definitions: mild (the event or symptom is easily tolerated); moderate (the event or symptom interferes with or reduces the usual level of activity); and severe (the event or symptom causes substantial impairment of functioning, reduces the usual level of activity, or endangers the patient’s life)"".<br />""At each study site, a treating physician reviewed clinical laboratory results (at this stage we could speculate that the clinical physician could guess the treatment) and assessed treatment-emergent adverse events and safety information, and an independent evaluating physician who was unaware of study-group assignments performed neurologic examinations and determined whether a clinical event fulfilled criteria""</p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Leist 2014,2014,,,,,33,410,,,21,206,,,33.107658,0.789547,0.468989,1.329211,,Low risk,"<p>""Randomisation was done using a central web-based randomisation system and was stratified by geographic region. Masking was maintained nusing a two-physician model (both doctors were masked)"".<br />""Baseline patient demographics and disease characteristics were well balanced across treatment groups"".</p>",High risk,"<p>Patients were unaware of their treatment assignment, but patients and people delivering intervention probably were aware of intervention after convertion in MS . Treatment discontinuation in all groups was most commonly for reasons ""other than adverse events"". ""The most common reasons to discontinuatinue treatment were patient’s decision, termination of the trial or programme, or a Health Authority or sponsor request to stop treatment"".</p>",Low risk,"<p>The study was stopped before the scheduled period of follow up, because the study ended prematurely and a low precentage of partecipants completed it. There were only 1% of patients lost to FU</p>",Low risk,"<p>In table 4 we have different and detailed definition of side effects: serious and severe TEAEs (safety population).<br />""Masking was maintained using a two-physician model (both doctors were masked)"". </p>",Low risk,"<p>""Safety endpoints were adverse events and serious adverse events, vital signs, laboratory variables, and concomitant medications and procedures"".</p>",High risk,"<p>""Randomisation was done using a central web-based randomisation system and was stratified by geographic region"". ""Masking was maintained using a two-physician model (both doctors were masked). Baseline patient demographics and disease characteristics were well balanced across treatment groups"".</p><p>Patients were unaware of their treatment assignment, but patients and people delivering intervention probably were aware of intervention after convertion in MS . Treatment discontinuation in all groups was most commonly for reasons ""other than adverse events"". ""The most common reasons to discontinuatinue treatment were patient’s decision, termination of the trial or programme, or a Health Authority or sponsor request to stop treatment"".</p><p>The study was stopped before the scheduled period of follow up, because the study ended prematurely and a low precentage of partecipants completed it<br />There were only 1% of patients lost to FU.</p><p>In table 4 we have different and detailed definition of side effects: serious and severe TEAEs (safety population). <br />Safety endpoints were in the pre-specified analysis plan procedures.</p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Montalban 2018_amended,2018,,,,,12,124,,,5,48,,,9.190347,0.929032,0.345678,2.496839,,Some concerns,"<p>""A central interactive voice response system was used to allocate patients using a computer-generated treatment randomisation code and treatment groups were assigned with a block size of 6"".<br />There are differences in number of females, number of T1 Gd+ lesions and T2 lesions volume, and probably in the subgroups of MS.</p>",High risk,"<p>The study was double-blind and there was great non-adherence, which is well detailed in figure 1.</p>",Low risk,<p>Authors describe all the causes including SAEs.</p>,Low risk,<p>Authors considered MEdDRA classification.</p>,Low risk,<p>No concerns about this domain.</p>,High risk,"<p>""A central interactive voice response system was used to allocate patients using a computer-generated treatment randomisation code and treatment groups were assigned with a block size of 6"".<br />There are differences in number of females, number of T1 Gad+ lesions and T2 lesions volume, and probably in the subgroups of MS.<br />The study was double-blind and there was great non-adherence, which is well detailed in figure 1.<br />Authors describe all the outcomes, including SAEs.<br />Authors considered MEdDRA classification.<br /> </p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Montalban 2018_original protocol,2018,,,,,5,33,,,2,9,,,4.186197,0.681818,0.157577,2.950154,,Some concerns,"<p>This study is made by two studies and the details on randomization are in the amended study. We consider what authors described in the amended study.<br />For some paramethers there are differences expressed in table1, but despite some differences observed at baseline in the demographics of the ONWARD study between the two subgroups, it should be noted that these differences were not meaningful.</p>",Low risk,"<p>This trial is double blind and ""to mantain blinding all patients within 10Kg weight ranges recieved the same numbers of tablets"".<br />Only 5.9% of patients treated in cladribine 5.25 mg/kg deviated from the protocol.</p>",Low risk,<p>All patients included in the different treatments are very well described.<br /> </p>,Low risk,"<p>All SAEs are described in detailes, the assessor was blinded to the treatment.</p>",Some concerns,<p>Data were not analysed in agreement to a prespecified analysis plan.</p>,Some concerns,"<p>This study is made by two studies and the detailes on randomization are in the second study (amended study). For this reason we consider what authors described in the amended.<br />For some paramethers there are differences expressed in the table1.<br />This trial is double blind and ""to mantain blinding all patients within 10Kg weight ranges recieved the same numbers of tablets"".<br />Only 5.9% of patients treated in cladribine 5.25 mg/kg deviated from the protocol.<br />All patients included in the different treatments are very well described.<br />all SAEs are described in detailes. <br />The outcome assessor was blinded to the treatment.<br />Data were not analysed in agreement to a prespecified analysis plan.<br /> </p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Rice 2000,2000,,,,,0,105,,,0,54,,,,,,,,High risk,"<p>""Patients were assigned to one of three parallel treatment groups according to a computer-generated randomization schedule stratifyed by baseline disease severity and site"".<br />We believe that the pattern of disease is well different, in fact 36 patients in placebo group were different from 26 and 29 present in the other 2 groups and EDSS score at entry group there were 25 less severe patients over 75 compared to 31 vs 69 and 30 vs 70.<br />No information about concealment allocation.</p>",Some concerns,"<p>To receive a subsequent course of blinded study drug, patients were required to meet the hematologic criteria, which were based on the results of a CBC obtained 2 to 4 days before each dosing period. For a patient who did not meet these criteria, placebo was substituted for the active drug for that dosing period. ""The majority of patients received all eight scheduled courses of therapy"". ""The most common reasons for failure of the dosing criteria were fluctuations in hemoglobin levels and platelet counts, which occurred at a similar frequency in all groups"".</p>",Low risk,"<p>All patients randomized to receive double-blind therapy ""received at least one dose of the study drug, and all are included in the efficacy analysis""; 97% patients completed this phase.<br />There were no withdrawals due to adverse events; ""3% patients withdrew voluntarily from the study"". </p>",High risk,"<p>There is no clear distinction between ""serious adverse event"" and ""adverse event"". Moreover there is no information about hospitalization due to adverse events.</p>",Low risk,<p>There is no standard or clinically clear definition of adverse events and many adverse events are not evaluated beacuse they were attributed to MS and not to drug treatment .</p>,High risk,"<p>""Patients were assigned to one of three parallel treatment groups (cladribine 2.1 mg/ kg; cladribine 0.7 mg/kg; or placebo) according to a computer-generated randomization schedule stratified by baseline disease severity and site"". No information about concealment allocation<br />We believe that 36 patients in placebo group were different from 26 and 29 present in the other 2 groups. in fact in the EDSS score at entry group there were 25 less severe patients over 75 compared to 31 vs 69 and 30 vs 70.<br />To receive a subsequent course of blinded study drug, patients were required to meet the hematologic criteria, which were based on the results of a CBC obtained 2 to 4 days before each dosing period For a patient who did not meet these criteria, placebo was substituted for the active drug for that dosing period. <br />""The majority of patients received all eight scheduled courses of therapy"". ""The most common reasons for failure of the dosing criteria were fluctuations in hemoglobin levels and platelet counts, which occurred at a similar frequency in all groups"".<br />All patients randomized to receive double-blind therapy ""received at least one dose of the study drug, and all are included in the efficacy analysis""; 97% patients completed this phase.<br />There were no withdrawals due to adverse events; ""3% patients withdrew voluntarily from the study "".<br />There is no clear distinction between ""serious adverse event""and ""adverse event"". Moreover there is no information about hospitalization due to adverse events.<br />There is no clear definition of adverse events and many adverse events are not evaluated beacuse they attrbuted to the MS symptoms.</p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Romine 1999,1999,,,,,0,27,,,0,25,,,,,,,,Some concerns,"<p>""The stratified groups were randomized in blocks of four to either the placebo arm or the cladribine arm"". No information about allocation are available.</p>",High risk,"<p>Throughout the study till 12 months, patients, neurologists, nurses, and the neuroradiologist remained blinded to treatment assignment but not till 18 months, where 4 patients were unblinded.</p>",Some concerns,"<p>Two patients during first year withdrew, 1 in placebo arm for conversion disorder and 1 in cladribine arm due to transferring out of state; all of the remaining patients received standard intervention without deviations in the first 12 months. ""During the period from 12 to 18 months, 5 patients on placebo withdrew: 2 moved out of state, 2 withdrew for unspecified reasons, and 1 withdrew because of worsening MS. 1 patient receiving cladribine also withdrew because of worsening MS"". </p>",Some concerns,"<p>There is no definition of SAEs and there are no information on SAEs. During the period from 12 to 18 months, the blinding was removed from 2 cladribine patients and 2 placebo patients. We do not know the reasons.&nbsp;<br>
 &nbsp;</p>",Some concerns,<p>In methods section serious AEs are not specified as an outcome.</p>,High risk,"<p>""The stratified groups were randomized in blocks of four to either the placebo arm or the cladribine arm"". <br />No information about allocation.<br />Throughout the study till 12 months, patients, neurologists, nurses, and the neuroradiologist remained blinded to treatment assignment but not till 18 months, where 4 patients were unblinded.<br />2 patients during first year withdrew, 1 in placebo arm for conversion disorder and 1 in cladribine arm due to transferring out of state; all of the remaining patients received standard intervention without deviations in the first 12 months. ""During the period from 12 to 18 months, 5 patients on placebo withdrew: 2 moved out of state, 2 withdrew for unspecified reasons, and 1 withdrew because of worsening MS. 1 patient receiving cladribine also withdrew because of worsening MS"".<br />There is no definition of SAEs. Authors give more importance on the hematobiological aspect without considering the clinical consequences for patients.<br />During the period from 12 to 18 months, the blinding was removed from 2 cladribine patients and 2 placebo patients. We do not know the reasons.<br />In methods section serious AEs are not specified as an outcome.</p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Sipe 1994,1994,,,,,3,27,,,1,24,,,1.863777,2.666667,0.296849,23.955306,,High risk,"<p>Initially, 24 pairs of patients ""were matched for age, gender and disease severity"". Each matched pair ""was randomised by the statistician using random number tables, so that one patient was assigned to the cladribine group and the other to the placebo group"" (we do not know which patient started treatment first, number 1 or 2). In our opinion, this mechanism was biased. In addition, the authors replaced 2 patients lost to FU initially attributed to cladribine without considering their pairs with placebo. Demographic characteristics of patients at baseline are shown in Table 1.</p>",High risk,"<p>""Examining neurologists, nurses, and patients were blinded to the treatment assignments. An unblinded investigator (EB or RM) monitored all the laboratory studies and patients’ complaints and illnesses"".<br />There are no information on treating neurologist, who delivers intervention. There was an unblind investigator who controlled blood examination. <br />Intervention dosage was adapted to blood count.</p>",High risk,"<p>Three patients on cladribine group and 2 patients on placebo group were lost, ""accordingly, 24-months or longer follow-up of 21 of the 24 patients who had received cladribine in the first year and 22 of the 24 patients who had received placebo in the first year "". In both arms the percentage of lost people was less than 10%. ""The loss of these two patients on the initial cladribine arm was not attributed to treatment"" but there are no information on the other patients lost to follow-up. Moreover in the indexed paper (Beutler 1994) at reference 16, there is 1 more patient with hight mielotoxicity and 6 patients with mild mielotoxicity. These suggests that there is no transparency on reporting outcome events. </p>",High risk,"<p>There is no clinical instrument or definition to evaluate at definite time point the serious adverse events.<br>
 Some results are not easy to detect i.e. mielotoxicity in cladribine intervention group (they are published in an other paper). Moreover there is no time point and we considered the biggest lengt of time, at 1 year.&nbsp;</p>",Some concerns,<p>There is no pre specified analysis plan. There are no details on outcome measurements within the outcome domain.</p>,High risk,"<p>Initially 24 pairs of patients were ""matched by age, sex, and disease severity"". ""Each matched pair was randomized by the statistician using random number tables so that one patient was assigned to the group initially receiving cladribine and the other to the group receiving placebo (we do not know which patient started with treatment first, if number 1 or 2)"". This mechanism was on our opinion biased. Moreover authors replaced 2 patients lost at FU initially attributed to cladribine and did not the patient who recieved placebo. Demographic characteristics of patients at study entry were detected from the Table 1.</p><p>""Examining neurologists, nurses, and patients were blinded to the treatment assignments. An unblinded investigator (EB or RM) monitored all the laboratory studies and patients’ complaints and illnesses"".<br />There are no information on treating neurologist, who delivers intervention. There was an unblind investigator who controlled blood examination. <br />Intervention dosage was adapted to blood count.</p><p>Three patients on cladribine group and 2 patients on placebo group were lost. "" Accordingly, 24-months or longer follow-up of 21 of the 24 patients who had received cladribine in the first year and 22 of the 24 patients who had received placebo in the first year "" . In both arms the percentage of lost people was less than 10%. ""The loss of these two patients on the initial cladribine arm was not attributed to treatment"" but there are no information on the other patients lost to follow-up. Moreover in the indexed paper (Beutler 1994) at reference 16, there is 1 more patient with hight mielotoxicity and 6 patients with mild mielotoxicity. These suggests that there is no transparency on reporting outcome events.</p><p>There is no clinical instrument or definition to evaluate at definite time point the serious adverse events.<br />Some results are not easy to detect i.e. mielotoxicity in cladribine intervention group (they are published in an other paper). Moreover there is no time point and we considered the biggest lengt of time, at 1 year. </p><p>There is no pre specified analysis plan. There are no details on outcome measurements within the outcome domain.</p>"
1,1,N° of participants with at least one serious adverse event at the end of follow-up,,,SUBGROUP_AND_OVERALL,Stelmasiak 2009,2009,,,,,0,40,,,0,44,,,,,,,,Some concerns,"<p>""Randomization was performed by blind selection of number-coded patient names and prelabeled, and coded vials of cladribine or placebo (saline) were supplied for administration"".<br />""The randomization process was conducted entirely by the cladribine supplier; thus information was concealed from physicians who enrolled or treated patients in the study"".  There is no baseline table, nor information in the text. In our opinion the lack of information  is a suggestion of some difficulties in the balance of enrolled population.</p>",High risk,"<p>""Qualifying patients provided written informed consent and were randomized blindly to group A (cladribine in year 1 and placebo in year 2) or group B (placebo in year 1 and cladribine in year 2)"".<br />84 pazientes were enrolled but data were available only on 80 patiens. 4 patients withdrew from the study in the second year (after the cross over) but were not included in the analysis of the first year, while they were still participating.</p>",Low risk,"<p>""80 patients (95%) completed the study by November 1997"". ""Two patients in group A withdrew during year 2 (while receiving placebo) because of repeated infections (n = 1) and unspecified reasons (n = 1). One patient in group B withdrew during year 2 because he or she did not perceive any improvement in his/her condition. One patient from group B committed suicide during year 2, but this was considered to be unrelated to cladribine treatment"".</p>",Low risk,"<p>""Sixteen infections requiring treatment were reported by patients in each group during the year of cladribine therapy"". ""The annualized incidence of infections requiring treatment (events/person/year), in years 1 and 2, was 0.40 and 0.50 for group A and 0.14 and 0.38 for group B. No infections were considered serious; most were upper respiratory tract infections and all responded to standard antibiotic therapy"".<br />Both patients and investigators who performed the neurological assessments were blinded to laboratory data.</p>",Some concerns,"<p>There are no standard definition of SAEs, only a clinical judgement.&nbsp;</p>",High risk,"<p>""Randomization was performed by blind selection of number-coded patient names and prelabeled, and coded vials of cladribine or placebo (saline) were supplied for administration"".<br />""The randomization process was conducted entirely by the cladribine supplier; thus information was concealed from physicians who enrolled or treated patients in the study"". ""Probably yes"" depends on the fact that the drug industry helped to write the manuscript. In our opinion the lack of information (there is no baseline table showing the population) is a suggestion of some difficulties in the balance of enrolled population.</p><p>""Qualifying patients provided written informed consent and were randomized blindly to group A (cladribine in year 1 and placebo in year 2) or group B (placebo in year 1 and cladribine in year 2)"".<br />84 pazientes were enrolled but data were available only on 80 patiens. 4 patients withdrew from the study in the second year (after the cross over), but were not included in the analysis of the first year, while they were still participating.</p><p>""80 patients (95%) completed the study by November 1997"". ""Two patients in group A withdrew during year 2 (while receiving placebo) because of repeated infections (n = 1) and unspecified reasons (n = 1). One patient in group B withdrew during year 2 because he or she did not perceive any improvement in his/her condition. One patient from group B committed suicide during year 2, but this was considered to be unrelated to cladribine treatment"".</p><p>""Sixteen infections requiring treatment were reported by patients in each group during the year of cladribine therapy. The annualized incidence of infections requiring treatment (events/person/year), in years 1 and 2, was 0.40 and 0.50 for group A and 0.14 and 0.38 for group B. No infections were considered serious; most were upper respiratory tract infections and all responded to standard antibiotic therapy"".<br />Both patients and investigators who performed the neurological assessments were blinded to laboratory data.</p><p>There are no standard definition of SAEs, only a clinical judgement. </p>"
1,2,N° of participants free from disability worsening at the end of follow-up,,,SUBGROUP_AND_OVERALL,Giovannoni 2010,2010,,,,,758,889,,,347,437,,,61.014032,1.07379,1.01631,1.134521,at the end of 96 weeks FU (approximated to 24months),Some concerns,"<p>""Randomisation was performed with the use of a central system and a computer-generated treatment randomisation code, with dynamic allocation by site in permuted blocks of six"".<br />""The demographic and clinical characteristics of the ITT population were generally well-balanced across the three study groups, although patients receiving 3.5 mg of cladribine/Kg had a shorter significative mean duration of disease"".</p>",Low risk,"<p>None. ""To maintain the double-blind nature of the study, all patients within a weight range received the same number of tablets (cladribine or matched placebo)"". </p>",Low risk,"<p>""Overall, 1184 patients (89.3%) completed the 96-week study (91.9% in the cladribine 3.5-mg group, 89.0% in the cladribine 5.25-mg group, and 87.0% in the placebo group)"".</p>",Low risk,"<p>In the analysis of secondary end points, the progression of disability was evaluated, as well as the time to progression. It would be better to evaluate the proportion of patients who were progression-free. This outcome that we considered crucial in our review was considered only in the discussion of the results.<br />No concerns.</p>",High risk,<p>This outcome (as for all the efficacy outcomes) was a part of exploratory analysis in a phase II trial. Bearing this on mind authors give results only for the amended study  (only safety outcomes were considered in both trials). <br />Moreover this outcome was not considered in the prespecified analysis (time to progression was considered but it is a different outcome).</p>,Some concerns,"<p>""Randomization was performed with the use of a central system and a computer-generated treatment randomization code, with dynamic allocation by site in permuted blocks of six"". <br />""The demographic and clinical characteristics of the intention-to-treat population of 1326 patients was generally well balanced across the three study groups, although patients receiving 3.5 mg of cladribine per kilogram had a shorter mean duration of disease (P = 0.005 for the overall comparison)"". <br />""To maintain the double-blind nature of the study, all patients within a weight range received the same number of tablets (cladribine or matched placebo)"". <br />""Overall, 1184 patients (89.3%) completed the 96-week study (91.9% in the cladribine 3.5-mg group, 89.0% in the cladribine 5.25-mg group, and 87.0% in the placebo group)"".<br />In the analysis of secondary end points, the progression of disability was evaluated, as well as the time to progression. It would be better to evaluate the proportion of patients who were progression-free. This outcome, that we considered crucial in our review, was considered only in the discussion of the results.<br />No concerns.<br />This outcome was not considered in the prespecified analysis.<br /><br /> </p>"
1,2,N° of participants free from disability worsening at the end of follow-up,,,SUBGROUP_AND_OVERALL,Montalban 2018_amended,2018,,,,,105,124,,,42,48,,,31.269726,0.967742,0.849317,1.102679,"at 24 months, Amended Protocol",Some concerns,"<p>""A central interactive voice response system was used to allocate patients using a computer-generated treatment randomisation code and treatment groups were assigned with a block size of 6"".<br />There are differences in number of females, number of T1 Gd+ lesions and T2 lesions volume, and probably in the subgroups of MS.</p>",High risk,<p>The study was double blind. There was a great non adherence that is well detailed in figure 1. This was not a primary end point but a secondary end point.</p>,Low risk,"<p>Authors declared that 19/24 in treatment group and 6 /48 in placebo group had a EDSS progression over 96 weeks, but many participant discontinued treatment .</p>",Low risk,"<p>Independent, evaluating physicians assessed neurologic findings.</p>",High risk,<p>The study was not powered to detect between group differences. For this reason analysis was exploratory (as for all the efficacy outcome).</p>,High risk,"<p>""A central interactive voice response system was used to allocate patients using a computer-generated treatment randomization code and treatment groups were assigned with a block size of 6"".<br />There are differences in number of female, number of T1 Gad+ lesions and T2 lesions volume and probably in the subgroups of MS.</p><p>The study was double blind. There was a great non adherence that is well detailed in figure 1. This was not a primary end point but a secondary end point.</p><p>Authors declared that 19/24 in treatment group and 6 /48 in placebo group had a EDSS progression over 96 weeks, but many participant discontinued treatment .</p><p>Independent, evaluating physicians assessed neurologic findings.</p><p>The study was not powered to detect between group differences. For this reason analysis was exploratory (as for all the efficacy outcome).</p>"
