Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Poss-Doering 2021,2021,PUB,25735919,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Germany&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 3&nbsp;<br>Description of groups: Intervention 1: A&amp;F with quality circles, plus education and incentives; Intervention 2: A&amp;F with quality circles, plus education and incentives, plus education for medical assistants and patient education; Intervention 3: A&amp;F with quality circles, plus education and incentives plus decision-support</p>",<p>Clinical behaviour category: Prescribing</p>,
Reynolds 2021,2021,PUB,25735921,<p>Design: Step-Wedge</p>,<p>Country: USA&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F and educational outreach</p>,<p>Clinical behaviour category: Other</p>,
Riordan 2021,2021,PUB,25735923,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Ireland&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: waiting list; Intervention: practice reimbursement, an audit of attendance, electronic prompts targeting professionals, General Practice-endorsed patient reminders and a patient information leaflet</p>",<p>Clinical behaviour category: Testing/exams</p>,
Roquilly 2020,2020,PUB,25735925,<p>Design: Parallel Cluster-RCT</p>,<p>Country: France&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F</p>,<p>Clinical behaviour category: Prescribing</p>,
Ruud 2021,2021,PUB,25735927,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Norway&nbsp;<br>Setting: other outpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: guideline dissemination; Intervention: toolkits, clinical training, implementation facilitation, data-based feedback&nbsp;</p>",<p>Clinical behaviour category: Other</p>,
Schmiemann 2023,2023,PUB,25735929,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Germany&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: Practices in the control group were informed about their allocation in a study investigating the treatment of urinary tract infections in women and the upcoming data extraction after 12 months (Q4) but were unaware of the multimodal intervention; Intervention: guideline recommendations for GPs and patients, provision of regional resistance data, and quarterly feedback of individual antibiotic prescribing proportions, benchmarking, and telephone counselling</p>",<p>Clinical behaviour category: Prescribing</p>,
Schwartz 2021,2021,PUB,25735931,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 3500&nbsp;<br>N patients: NR</p>,<p>Number of arms: 3&nbsp;<br>Description of groups: Control: no intervention; Intervention 1: A&amp;F; Intervention 2: A&amp;F</p>,<p>Clinical behaviour category: Prescribing</p>,
Schweitzer 2022,2022,PUB,25735933,<p>Design: Step-Wedge</p>,<p>Country: Netherlands&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 4084</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: Multifaceted antimicrobial stewardship intervention based on education on local guidelines and audit and feedback</p>,<p>Clinical behaviour category: Prescribing</p>,
Singer 2022,2022,PUB,25735935,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 178&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 3&nbsp;<br>Description of groups: Control: did not receive any data specific to their prescribing; Intervention 1: Standard feedback report with a one-page summary of the Choosing Wisely Canada (CWC) recommendations of interest; Intervention 2: Standard feedback report, CWC recommendation summary and practice-specific data related to their prescribing rates for the CWC recommendations of interest, compared to rates for other providers at their clinic, in their health region and in the province</p>",<p>Clinical behaviour category: Prescribing</p>,
Skinner 2024,2024,PUB,25735937,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: France&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 155,362</p>","<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no specific actions implemented; Intervention: Quarterly with control charts for monitoring their surgical outcomes (inpatient death, intensive care stay, reoperation and severe complications)</p>",<p>Clinical behaviour category: Other</p>,
