Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Kaminski 2016,2016,PUB,25735378,<p>Design: parallel cluster-RCT</p>,<p>Country: Poland</p><p>Setting: screening service site</p><p>Speciality: gastroenterology</p><p>N health professionals: 176</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: education + A&amp;F; Intervention 2: A&amp;F</p>,<p>Clinical behaviour category: screening</p><p>Format of Audit &amp; Feedback: written</p><p>Source: administrative/billing data</p><p>Frequency: variable</p><p>Instructions for improvement: general</p>,
Katz 2004,2004,PUB,25735380,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: family practice and internal medicine clinic</p><p>Speciality: GP/family</p><p>N health professionals: 75</p><p>N patients: 2163</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + counselling + education + reminders</p>,"<p>Clinical behaviour category: counselling</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review, patient-reported data</p><p>Frequency: twice</p><p>Instructions for improvement: general</p>",
Kaufmann-Kolle 2011,2011,PUB,25735382,<p>Design: parallel cluster-RCT</p>,<p>Country: Germany</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 96</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: Benchmarking Quality Circles+ A&amp;F; Intervention 2: Traditional Quality Circles + A&amp;F</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: administrative/billing data</p><p>Frequency: bi-monthly</p><p>Instructions for improvement: specific</p>,
Kennedy 2015,2015,PUB,25735384,<p>Design: parallel cluster-RCT</p>,<p>Country: Canada</p><p>Setting: nursing homes</p><p>Speciality: long-term care</p><p>N health professionals: NR</p><p>N patients: 5591</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + education + action planning </p>,"<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts, administrative/billing data</p><p>Frequency: semi-annually</p><p>Instructions for improvement: co-developed plans</p>",
Kerry 2000,2000,PUB,25735386,<p>Design: parallel cluster-RCT</p>,<p>Country: UK</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 175</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + guidelines</p>,<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: written</p><p>Source: administrative/billing data</p><p>Frequency: once</p><p>Instructions for improvement: general</p>,
Kiefe 2001,2001,PUB,25735388,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: family medicine, internal medicine, endocrinology</p><p>Speciality: GP/family/internal medicine</p><p>N health professionals: 97</p><p>N patients: 3291</p>",<p>Number of arms: 2</p><p>Description of groups: Intervention 1: A&amp;F + achievable benchmark; Intervention 2: A&amp;F</p>,"<p>Clinical behaviour category: immunisation, testing/exams</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review, administrative/billing data</p><p>Frequency: variable</p><p>Instructions for improvement: general</p>",
Kim 1999,1999,PUB,25735390,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 41</p><p>N patients: 1810</p>,"<p>Number of arms: 2</p><p>Description of groups: Control: clinician education; Intervention: A&amp;F +
academic detailing + clinician education</p>","<p>Clinical behaviour category: immunisation, testing/exams, counselling</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review, patient-reported data</p><p>Frequency: semi-annually</p><p>Instructions for improvement: general</p>",
Kinsinger 1998,1998,PUB,25735392,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 134</p><p>N patients: 2887</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + facilitation</p>,"<p>Clinical behaviour category: counselling, testing/exams</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: variable</p><p>Instructions for improvement: co-developed plans</p>",
Kritchevsky 2008,2008,PUB,25735394,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: hospital inpatient</p><p>Speciality: internal medicine</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: A&amp;F + intervention meetings/conference calls; Intervention 2: A&amp;F only</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts</p><p>Frequency: variable</p><p>Instructions for improvement: co-developed plans</p>,
Lafata 2007,2007,PUB,25735396,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 294</p><p>N patients: 19,892</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + academic detailing</p>,"<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts, administrative/billing data</p><p>Frequency: once</p><p>Instructions for improvement: co-developed plans</p>",
Lakshminarayan 2010,2010,PUB,25735398,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: mixed hospital departments</p><p>Speciality: neurology</p><p>N health professionals: NR</p><p>N patients: 2305</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: A&amp;F + customised feedback + barrier identification; Intervention 2: A&amp;F only</p>,"<p>Clinical behaviour category: prescribing, treatment decision/action, counselling</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts</p><p>Frequency: variable</p><p>Instructions for improvement: co-developed plans</p>",
Lemelin 2001,2001,PUB,25735400,<p>Design: parallel cluster-RCT</p>,<p>Country: Canada</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: NR</p><p>N patients: 4000</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F  + consensus building + opinion leaders and networking + academic detailing + educational materials + reminders</p>,"<p>Clinical behaviour category: screening, prescribing, testing/exams, counselling, immunisation</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: manual chart review</p><p>Frequency: not reported/not applicable</p><p>Instructions for improvement: general</p>",
Lesuis 2018,2018,PUB,25735402,<p>Design: parallel cluster-RCT</p>,<p>Country: Netherlands</p><p>Setting: rheumatology clinic</p><p>Speciality: rheumatology</p><p>N health professionals: 20</p><p>N patients: 990</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: A&amp;F + clinician education; Intervention 2: A&amp;F + clinician education + computer decision-support</p>,"<p>Clinical behaviour category: screening, prescribing, testing/exams, treatment decision/action, referrals</p><p>Format of Audit &amp; Feedback: verbal (didactic)</p><p>Source: manual chart review, computerised search of charts</p><p>Frequency: monthly</p><p>Instructions for improvement: general</p>",
Levi 2020,2020,PUB,25735404,<p>Design: parallel cluster-RCT</p>,"<p>Country: Australia</p><p>Setting: hospital inpatient</p><p>Speciality: neurology</p><p>N health professionals: NR</p><p>N patients: 22,384</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + group meetings + workshops + education</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: computerised search of charts</p><p>Frequency: variable</p><p>Instructions for improvement: specific</p>,
