Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Abdellah 2011,2011,PUB,26535450,<p>Ineligible intervention</p>
Abdul 2007,2007,PUB,26535452,<p>Cannot separate term and preterm labour data</p>
Abedi-Asl 2007,2007,PUB,26535454,<p>Unclear gestational age</p>
Abramovici 1999,1999,PUB,26535456,<p>Ineligible intervention</p>
ACTRN12613000479707,2013,PUB,26535459,<p>Terminated/withdrawal trial</p>
ACTRN12616000522415,2016,PUB,26535461,<p>Terminated/withdrawal trial</p>
Adair 1998,1998,PUB,26535463,<p>Ineligible intervention</p>
Adeniji 2005,2005,PUB,26535465,<p>Unclear gestational age</p>
Afolabi 2005,2005,PUB,26535468,<p>Ineligible intervention</p>
Alcalay 1993,1993,PUB,26535470,<p>Cannot separate term and preterm labour data</p>
Alcalay 1996,1996,PUB,26535472,<p>Cannot separate term and preterm labour data</p>
Allameh 2012,2012,PUB,26535474,<p>Ineligible intervention</p>
Allouche 1993,1993,PUB,26535477,<p>Unclear gestational age</p>
Ambika 2017,2017,PUB,26535479,<p>Cannot separate term and preterm labour data</p>
Amorosa 2017,2017,PUB,26535481,<p>Cannot separate term and preterm labour data</p>
Andersen 1990,1990,PUB,26535484,<p>Cannot separate term and preterm labour data</p>
Anonymous 2017,2017,PUB,26535486,<p>Publication of an Erratum</p>
Antil 2016,2016,PUB,26535488,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Antonazzo 2016,2016,PUB,26535490,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Arias 1997,1997,PUB,26535494,<p>Ineligible intervention</p>
Arthi 2021,2021,PUB,26535496,<p>Cannot separate term and preterm labour data</p>
Ascher-Walsh 2000,2000,PUB,26535498,<p>Ineligible intervention</p>
Ashwini 2018,2018,PUB,26535500,<p>Cannot separate term and preterm labour data</p>
Atad 1996,1996,PUB,26535502,<p>Unclear gestational age</p>
Atkinson 2000,2000,PUB,26535507,<p>Dose comparison trial</p>
Attanayake 2014,2014,PUB,26535509,<p>Ineligible intervention</p>
Ayad 2002,2002,PUB,26535512,<p>Ineligible intervention</p>
Ayati 2019,2019,PUB,26535514,<p>Cannot separate term and preterm labour data</p>
Azeem 2006,2006,PUB,26535517,<p>Not a randomised controlled trial</p>
Bahadori 2012,2012,PUB,26535519,<p>Cannot separate term and preterm labour data</p>
Bakos 1987,1987,PUB,26535521,<p>Unclear gestational age</p>
Balci 2010,2010,PUB,26535523,<p>Ineligible intervention</p>
Balci 2011,2011,PUB,26535525,<p>Ineligible intervention</p>
Barrilleaux 2002,2002,PUB,26535527,<p>Ineligible intervention</p>
Bauer 2018,2018,PUB,26535529,<p>Cannot separate term and preterm labour data</p>
Beazley 1971,1971,PUB,26535533,<p>Ineligible intervention</p>
Beckmann 2015,2015,PUB,26535535,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Beckmann 2020,2020,PUB,26535541,<p>Ineligible intervention</p>
Berzosa 2013,2013,PUB,26535544,<p>Not a randomised controlled trial</p>
Bi 2000,2000,PUB,26535546,<p>Not a randomised controlled trial</p>
Bolgna 2019,2019,PUB,26535548,<p>Dose comparison trial</p>
Bonebrake 2001,2001,PUB,26535550,<p>Ineligible intervention</p>
Borisov 1985,1985,PUB,26535552,<p>Ineligible intervention</p>
Borre 2004,2004,PUB,26535554,<p>Comparison between the same type of induction of labour method</p>
Bracken 2021,2021,PUB,26535556,<p>Ineligible intervention</p>
Breart 1982,1982,PUB,26535559,<p>Method of induction of labour vs expectant management at different gestational age</p>
Bredow 1993,1993,PUB,26535561,<p>Not a randomised controlled trial</p>
Bremme 1980,1980,PUB,26535563,<p>Ineligible intervention</p>
Bricker 2008,2008,PUB,26535565,<p>Cannot separate term and preterm labour data</p>
Buccellato 2000,2000,PUB,26535569,<p>Cannot separate term and preterm labour data</p>
Buchanan 1984,1984,PUB,26535571,<p>Unclear gestational age</p>
Canfield 2023,2023,PUB,26535573,<p>Not a randomised controlled trial</p>
Cararach 1990,1990,PUB,26535575,<p>Induction of labour among preterm labour</p>
