Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Aalami-Harandi 2013,2013,PUB,26535102,<p>2-arm active-controlled randomised trial</p>,"<p>260 women were randomised in a hospital setting in Iran.</p><p>Inclusion criteria: women aged 18 years or older with a gestational age of 38 to 42 weeks and a singleton pregnancy who had request for elective termination of pregnancy before 42 weeks of gestation or had medical indication for labor induction (hypertension and diabetes). Additional criteria for enrollment were birth weight of maximally 4,000 grams, normal fetal heart rate, cephalic presentation, lack of uterine contractures, and Bishop’s score of 6 or less.</p><p>Exclusion criteria: lack of satisfaction for incorporation in the study, a positive history of uterine surgery including cesarean, intrauterine growth retardation (IUGR), oligohydramnios, placenta previa, umbilical cord prolapse, active herpes infection, symptoms of chorioamnionitis, hepatic or renal disease, non-reactive contraindications for prostaglandins use, contraindications for labour induction, and idiopathic vaginal bleeding.</p>",<p>25 µg oral misoprostol vs. oxytocin (alone)</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
Aduloju 2016,2016,PUB,26535105,<p>3-arm active-controlled randomised trial&nbsp;</p>,"<p>210 women were randomised in a hospital setting in Nigeria.</p><p>Inclusion criteria: women with live singleton fetuses with cephalic presentation, intact membranes, reactive nonstress test, and unfavourable cervices (Bishop’s score &lt; 6) scheduled to undergo induction of labour at term.</p><p>Exclusion criteria: women with pregnancies &lt; 37 weeks’ gestation, intrauterine fetal death, multiple gestations, previous uterine surgery, prelabour rupture of fetal membranes, abnormal nonstress test and any contraindication to vaginal delivery were excluded. Also, women who did not give their consent or have prenatal care in this centre were excluded.</p>",<p>Single balloon catheter vs. &lt; 50 µg vaginal misoprostol vs. Balloon catheters plus &lt; 50 µg vaginal misoprostol</p>,<p>See Suplementary material 14</p>,<p>Funding source: no funding was sought for this study.</p>
Al-Ibraheemi 2018,2018,PUB,26535108,<p>2-arm active-controlled randomised trial</p>,"<p>200 women were randomised in a hospital setting in the United States.</p><p>Inclusion criteria: women at term (37 weeks of gestation or greater) with a singleton fetus, cephalic presentation, and a Bishop score of 6 or less.</p><p>Exclusion criteria: rupture of membranes, regular uterine contractions (three or more contractions per 10 minutes), a history of prior uterine surgery (cesarean delivery or myomectomy), multiple gestations, malpresentation, contraindication to prostaglandins, nonreassuring fetal heart rate tracing (category 3 or persistent category 2), vaginal bleeding, fetal demise, anomalous fetus, or any contraindication to vaginal delivery.</p>",<p>&lt; 50 µg vaginal misoprostol vs. Balloon catheters plus &lt; 50 µg vaginal misoprostol</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
Amarasena 2021,2021,PUB,26535112,<p>2-arm active-controlled randomised trial</p>,"<p>144 women were randomised in a hospital setting in Sri Lanka.</p><p>Inclusion criteria: women who had singleton uncomplicated pregnancies with gestational age 40 weeks +3 days, with a vertex presentation and no contraindication for induction of labour.</p><p>Exclusion criteria: any woman with a previous caesarean delivery, history of myomectomy, hypersensitivity to misoprostol, or currently having pregnancy induced hypertension, gestational diabetes mellitus or pre labour rupture of membranes, was excluded from the trial.</p>",<p>50 µg oral misoprostol vs. Single balloon catheter</p>,<p>See Suplementary material 14</p>,<p>Funding source: the study was conducted without external funding.</p>
Anjali 2022,2022,PUB,26535115,<p>2-arm active-controlled randomised trial</p>,"<p>200 women were randomised in a hospital setting in India.</p><p>Inclusion criteria: pregnant women with single live pregnancies at ≥ 37 weeks’ gestation with valid indication for induction, cephalic presentation, Bishop’s score ≤ 4, and no fetal compromise.</p><p>Exclusion criteria: absence of consent to the study, history of cesarean delivery or other uterine surgery, chorioamnionitis, and any contraindications to the use of misoprostol and /or vaginal delivery.</p>",<p>Balloon catheters plus &lt; 50 µg oral misoprostol vs. &lt; 50 µg oral misoprostol</p>,<p>See Suplementary material 14</p>,<p>Funding source: no funding was sought for this study.</p>
Anzeljc 2022,2022,PUB,26535118,<p>2-arm active-controlled randomised trial</p>,"<p>205 women were randomised in a hospital setting in Slovenia.</p><p>Inclusion criteria: age 18 years or older, singleton pregnancy, cephalic insertion of the foetus, no signs of chorioamnionitis, no previous surgery on the uterus, no contraindications for vaginal delivery, absence of uterine contractions, and unfavourable cervix (defined as a Bishop score of six points or less) at least 4 hours after PROM.</p><p>Exclusion criteria: pregnant women who met the following criteria: age less than 18 years old, previous uterine surgery (previous caesarean sections, myomectomies), multiple pregnancies, a Bishop score of seven points or higher, signs of chorioamnionitis, elevated body temperature or other signs of inflammation at the time of admission to the Department of Perinatology, an inconclusive or pathological cardiotocographic (CTG) record, and all non-cephalic pregnant women who had a positive Streptococcus B vaginal smear or urine test were given penicillin-based antibiotics on a regular basis as soon as they were admitted to the delivery room. Others were given antibiotics 8 hours after PROM, in accordance with standard hospital clinical policy.</p>",<p>Vaginal dinoprostone (tablet or gel) vs. Controlled-release dinoprostone vaginal pessary</p>,<p>See Suplementary material 14</p>,"<p>Funding source: the study was supported by funding from University Medical Center Maribor, grant number IRP-2020/01-04.</p>"
Ayaz 2009,2009,PUB,26535121,<p>2-arm active-controlled randomised trial</p>,"<p>88 women were randomised in a hospital setting in Pakistan.</p><p>Inclusion criteria: women with age were between 26-40 years, multigravida, accurate dating of gestation, singleton viable pregnancy, gestational age 40-42 weeks, cephalic presentation, unfavourable cervical status defined as a Bishop score (BS) of &lt; 6, intact membranes, patient’s height more than 150 cm.</p><p>Exclusion criteria: women with known contraindications to receiving prostaglandins, placenta previa, previous uterine surgery and any antenatal complications (medical/obstetrical).</p>",<p>50 µg oral misoprostol vs. 50 µg vaginal misoprostol</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
Barda 2018,2018,PUB,26535123,<p>2-arm active-controlled randomised trial</p>,"<p>300 women were randomised in a hospital setting in Israel.</p><p>Inclusion criteria: gestational age ≥ 37 weeks, parity 1–3, singleton pregnancy with a vertex presentation, unfavourable cervix (Bishop score less than 5) and intact membranes.</p><p>Exclusion criteria: previous cesarean section, lack of prenatal care, and any contraindication for vaginal delivery.</p>",<p>Vaginal dinoprostone (tablet or gel) vs. Single balloon catheter</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
Bartusevicius 2006,2006,PUB,26535126,<p>2-arm active-controlled randomised trial</p>,"<p>140 women were randomised in a hospital setting in Lithuania.</p><p>Inclusion criteria: women were eligible for enrolment if they presented with obstetric or medical indications for labour induction, prelabour rupture of membranes, chronic, gestational hypertension or mild pre-eclampsia, or gestational diabetes without the need for insulin treatment. Additional requirements for enrolment included a singleton live pregnancy at term in the cephalic presentation, absence of active labour, a normal FHR tracing and an unfavourable cervix (Bishop score ≤ 6).</p><p>Exclusion criteria: known hypersensitivity to the use of prostaglandins, previous caesarean delivery or other types of uterine surgery, chorioamnionitis or hyperthermia &gt; 38°C, the need for immediate birth (such as ominous FHR, active uterine bleeding), ultrasonically estimated oligohydramnios, polyhydramnios, suspicion of fetal malformation, macrosomia or growth restriction and parity of more than five.</p>",<p>50 µg sublingual or buccal misoprostol vs. &lt; 50 µg vaginal misoprostol</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
Bebbington,,MIX,26535129,<p>2-arm active-controlled randomised trial</p>,"<p>200 women were randomised in a hospital setting in the United States.</p><p>Inclusion criteria: the presence of a single live fetus in cephalic presentation and a Bishop Score of less than or equal to 6.</p><p>Exclusion criteria: women with spontaneous labour, spontaneous rupture of the membranes, a history of prior uterine surgery or any contraindication to vaginal delivery or use of prostaglandins were excluded.</p>",<p>50 µg vaginal misoprostol vs. Vaginal dinoprostone (tablet or gel)</p>,<p>See Suplementary material 14</p>,<p>Funding source: source(s) of funding for the study were not reported.</p>
