Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Abdalfattah 2020,2020,PUB,26536486,<p>2-arm active-controlled randomised trial</p>,<p>120 women were randomised in a hospital setting in Egypt. The study did not report the inclusion and exclusion criteria in the report</p>,<p>&lt; 50 µg oral misoprostol + placebo vs. &lt; 50 µg vaginal misoprostol + placebo</p>,<p>The study reported outcomes with unclear definition.</p>,<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Abdelaziz 2018,2018,PUB,26536488,<p>2-arm placebo-controlled randomised trial</p>,"<p>Inclusion criteria included the presence of a singleton gestation at 37 weeks with an unfavourable cervix (Bishop Score &lt; 7), vertex presentation, absence of labour and presence of reassuring fetal heart rate (FHR) pattern.</p><p>Exclusion criteria: women with antepartum haemorrhage, placenta previa, uterine scar, suspected cephalopelvic disproportion, previous use of labour-inducing agent during the current pregnancy, contraindications for vaginal delivery and/or known hypersensitivity or contraindication to dinoprostone or any of the other constituents of dinoprostone vaginal tablets or inserts were excluded from the study.</p>",<p>Vaginal dinoprostone (tablet or gel) vs. Controlled-release dinoprostone vaginal pessary</p>,"<p>Caesarean section due to non‐reassuring fetal status, casesarean section, time from induction to delivery, time from induction to vaginal delivery, oxytocin augmentation, uterine scar dehiscence or rupture, admission to the neonatal intensive care unit; and a 5‐minute Apgar score of less than 7.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Abd-ELsalam 2021,2021,PUB,26536491,<p>2-arm active-controlled randomised trial</p>,"<p>44 women</p><p>Inclusion criteria: post-date nulliparous or multiparous (&gt; 40 weeks), singleton viable fetus, cephalic presentation, patients with gestational hypertension or preeclampsia, obstetrical indication for labour induction, Bishop score &lt;6, and parity ≤3.</p><p>Exclusion criteria: parity ≥4, bishop score &gt;6, multiple pregnancies, malpresentation, patients with a previous uterine scar or cesarean section, contracted pelvis, and the patient refuses induction of labour.</p>",<p>20 mg nitric oxide donor Vs Vaginal dinoprostone</p>,"<p>Vital signs, Bishop score, time from induction to delivery, mode of delivery, NICU admission, uterine hyperstimulation, and fetal distress.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Abdi 2021,2021,PUB,26536493,<p>2-arm active-controlled randomised trial</p>,"<p>120 women</p><p>Inclusion criteria: primigravid women aged 18–35 years with postdate pregnancies and Bishop score ≤ 4, singleton living pregnancy, and vertex presentation.</p><p>Exclusion criteria: evidence of active labour or intrauterine infection, uterine scarring, hypersensitivity to misoprostol, gestational age (GA) &lt; 41 weeks, any systemic comorbidity (such as preeclampsia, diabetes, cardiovascular disease, kidney disease, asthma, etc.), fetal macrosomia, nonreassuring fetal heart rate in nonstress test (NST), polyhydramnios, intrauterine growth retardation, fetal malpresentation, dystocia, premature rupture of membranes (PROM), unfavourable pelvis for normal vaginal delivery (NVD), vaginal bleeding, and placenta previa.</p>",<p>25 µg vaginal misoprostol Vs Balloon catheter</p>,"<p>Mode of delivery, placental abruption, uterine tachysystole, oxytocin requirement, time from induction to delivery, and NICU admission</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Abotorabi 2019,2019,PUB,26536496,<p>2-arm placebo-controlled randomised trial</p>,"<p>60 women</p><p>Inclusion criteria: maternal age of 18 years or older, unfavourable cervix (Bishop score 6 or less), uncomplicated singleton pregnancy with vertex presentation, reactive non-stress test, gestational age between 38 and 42 weeks and absence of labour, normal amniotic fluid index measuring ≥5 cm, intact fetal membranes, and absence of contraction frequency of three or greater in 10 min, as well as absence of significant systemic maternal disease other than preeclampsia or diabetes.</p><p>Exclusion criteria: fetal malpresentation, cesarean repeat or uterine surgery, presence of placenta previa or low-lying placenta, contraindications to receiving nitric oxide and prostaglandins (allergy, history of severe asthma, hypotension, palpitation), regular uterine contractions, cardiorespiratory disease, history of headache, intolerance to isosorbide mononitrate, and serious disease defined as daily use of medication.</p>",<p>Nitric oxide donor Vs Placebo</p>,"<p>Mode of delivery, side effects, and Bishop score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Acharya 2018,2018,PUB,26536499,<p>2-arm active-controlled randomised trial</p>,<p>50 women</p><p>Inclusion criteria: low-risk primigravida patients requiring induction of labour at term having a poor cervical score.</p><p>Exclusion criteria: high-risk pregnancies.</p>,<p>Balloon catheter Vs 25 µg vaginal misoprostol</p>,"<p>Mode of delivery, time from induction to active phase/second stage of labour, uterine hyperstimulation, and NICU admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Adam 2005,2005,PUB,26536501,<p>2-arm active-controlled randomised trial</p>,"<p>80 women were randomised in a hospital setting in Sudan.</p><p>Inclusion criteria: a singleton pregnancy and an unripe cervix (Bishop’s score &lt; 5).</p><p>Exclusion criteria: women undergoing uterine surgery, experiencing antepartum hemorrhage, or with a history of asthma, heart disease, and/or grand multiparty (≥ 7 pregnancies).</p>",<p>50 µg oral misoprostol Vs 50 µg vaginal misoprostol</p>,"<p>Caesarean section, time from induction to delivery, oxytocin augmentation, and APGAR score &lt; 7 at 5 minutes.</p>",<p>Trial author did not answer all of our queries or provide the requested information.</p>
Adeniji 2005a,2005,PUB,26536503,<p>2-arm active-controlled randomised trial</p>,"<p>96 women</p><p>Eligibility criteria: pregnant women with singleton pregnancy at 37 weeks gestational age or above with a cephalic presentation, intact foetal membranes, a Bishop’s score of 5 or less and a normal foetal heart rate.</p>",<p>Balloon catheter Vs 50 µg vaginal misoprostol</p>,"<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>",
Afifi 2021,2021,PUB,26536505,<p>2-arm placebo-controlled randomised trial</p>,"<p>140 women were randomised in a hospital setting in Egypt.</p><p>Inclusion criteria: (1) single gestation, (2) Bishop score of 6 or less, (3) cephalic presentation, (4) average fetal size (weight, 2.9–3.7 kg; length, 48.6–51.7 cm), (5) term or post-term pregnancy with maternal or fetal indication for labour induction, (6) adequate pelvic diameter, and (7) premature rupture of membranes.</p><p>Exclusion criteria: (1) previous uterine scar, (2) regular uterine contractions (3), malpresentation or malposition (4), established fetal distress, (5) multiple gestation, (6) indication for cesarean delivery (e.g., extensive cephalopelvic disproportion or fetal macrosomia), (7) placenta previa or vasa previa, (8) active genital herpes infection, (9) maternal disease such as severe pre-eclampsia, and (10) laboratory or clinical signs of chorioamnionitis.</p>",<p>Nitric oxide donors vs. placebo</p>,"<p>Vaginal delivery not achieved within 24 hours, caesarean section due to non‐reassuring fetal status, caesarean section due to any causes, time from induction to delivery, oxytocin augmentation,&nbsp;</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Agarwal 2012,2012,PUB,26536508,<p>2-arm placebo-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: a singleton pregnancy of a duration longer than 40 completed weeks, an unfavourable cervix (Bishop score &lt; 6), an absence of uterine contractions, and intact membranes. Induction was needed because the progression of pregnancy beyond 40 weeks increases the risks of adverse outcomes such as meconium passage, macrosomia, chorioamnionitis, intrauterine death, and the need for a cesarean delivery.</p><p>Exclusion criteria: fetal malpresentation, prepartum haemorrhage, previous uterine incision, ruptured membranes, a pregnancy with high-risk factors such as pre-eclampsia, oligohydramnios, intrauterine growth restriction, diabetes mellitus, heart disease, and hypertension, or any contraindication to receive isosorbide mononitrate or prostaglandins such as a known allergy to the drugs, bronchial asthma, hypotension, and palpitations.</p>",<p>40 mg nitric oxide donor Vs Placebo</p>,"<p>Bishop score, oxytocin augmentation, mode of delivery, time from induction to delivery, adverse maternal outcomes, uterine hyperstimulation, postpartum haemorrhage, meconium-stained liquor, fetal distress, APGAR score, and NICU admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
