Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Agrawal 2019,2019,PUB,26536511,<p>2-arm placebo-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: women who gave consent for the study with singleton pregnancy, gestational age equal to or more than 37 completed weeks, and poor cervical score (&lt;6).</p><p>Exclusion criteria: multiple pregnancies, any obstetric cause in which induction of labour is contraindicated (malpresentations, placenta previa, previous scar on uterus, and any coagulation failure), and patients who had other associated medical condition or disease which does not allow the use of isosorbide mononitrate and high-risk pregnancies.</p>",<p>40 mg nitric oxde donor Vs Placebo</p>,"<p>Bishop score, uterine hyperstimulation, time from induction to delivery, mode of delivery, and side effects.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Ahmad 2017,2017,PUB,26536513,<p>3-arm active-controlled randomised trial</p>,"<p>150 women</p><p>Inclusion criteria: pregnant women at over 37 weeks of the gestation period for induction of labour, with a singleton pregnancy, cephalic presentation, Bishop Score less than 8, reactive non-stress test, and clinically adequate pelvis.</p><p>Exclusion criteria: non-reassuring fetal heart pattern, contraindications for vaginal delivery (including placenta previa, active herpes infection, cephalopelvic disproportion), maternal heart disease, previous uterine scar (including lower segment caesarean section, myomectomy, hysterotomy), and known allergy to prostaglandins.</p>",<p>50 µg oral misoprostol Vs 50 µg sublingual misoprostol Vs 50 µg vaginal misoprostol</p>,"<p>Time from induction to vaginal delivery, mode of delivery, Bishop score, oxytocin augmentation, uterine hyperstimulation, APGAR score, neonatal intensive care unit admission, and maternal satisfaction.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Ahmadi 2022,2022,PUB,26536515,<p>2-arm active-controlled randomised trial</p>,"<p>90 women</p><p>Inclusion criteria: full-term and post-term pregnant women (gestational age greater than 40 weeks).</p><p>Exclusion criteria: contraindications to the use of nitroglycerin and misoprostol, history of previous cesarean section or any uterine scar of any disease, grounds of non-consent to participate in the study, vaginal discharge, intolerance, oligohydramnios, nitroglycerin, restriction of fetal growth, and the unreliable fetal heartbeat.</p>",<p>25 µg vaginal misoprostol Vs 40 mg nitric oxide donor</p>,"<p>Mode of delivery, APGAR score, vital signs, and side effects.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Akay 2012,2012,PUB,26536518,<p>2-arm active-controlled randomised trial</p>,"<p>144 women were randomised in a hospital setting in Turkey.</p><p>Inclusion criteria: (1) accurate dating of gestation, including crown-rump length measurements in the first trimester of pregnancy; (2) singleton viable pregnancy; (3) gestational age of ≥ 285 days; (4) cephalic presentation; (5) estimated birth weight of ≤ 4,000 g; (6) Bishop score of ≤ 6, defined as an unfavourable cervical status; (7) intact membranes, and (8) reactive non-stress test.</p><p>Exclusion criteria: (1) Non-reassuring fetal heart rate pattern; (2) known obstetric contraindications for receiving induction; (3) known contraindications for receiving prostaglandins, and (4) any antenatal complications, including gestational diabetes, preeclampsia or intrauterine growth retardation.</p>",<p>Controlled-release dinoprostone vaginal pessary vs. oxytocin (alone)</p>,"<p>Caesarean section due to any causes, time from induction to delivery, oxytocin augmentation, and admission to the neonatal intensive care unit.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Akhtar 2011,2011,PUB,26536520,<p>2-arm active-controlled randomised trial</p>,"<p>100 women</p><p>Inclusion criteria: between 37 to 42 weeks of gestation with favourable services, i.e. Bishop score less than 6.</p><p>Exclusion criteria: grand multiparas, malpresentation, multiple pregnancy and previous caesarean section.</p>",<p>Vaginal dinoprostone Vs Vaginal misoprostol</p>,"<p>Mode of delivery, fetal distress, postpartum haemorrhage, and APGAR score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Akhter 2012,2012,PUB,26536522,<p>2-arm active-controlled randomised trial</p>,"<p>120 women</p><p>Inclusion criteria: women aged 20-40 years of age with rupture of membranes after 37 completed weeks of gestation.</p><p>Exclusion criteria:&nbsp;previous caesarean section, breech presentation, placenta previa, malposition, placental abruption, twin pregnancy, cephalopelvic disproportion, fetal distress, and Chorioamnionitis</p>",<p>Vaginal dinoprostone Vs Oxytocin</p>,<p>Vaginal delivery within 24 hours and time from induction to delivery.</p>,"<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Akyol 1999,1999,PUB,26536524,<p>2-arm active-controlled randomised trial</p>,"<p>126 women</p><p>Inclusion criteria: women with ruptured membranes at ≥ 37 weeks’ gestation and had a single fetus in a cephalic presentation.</p><p>Exclusion criteria: active labour, if there had been a previous failed attempt to induce labour, or if there was a contraindication to either induction of labour (such as placenta praevia) or expectant management (such as meconium-staining of the amniotic fluid or chorioamnionitis).</p>",<p>Oxytocin Vs Expectant management</p>,"<p>Fetal distress, chorioamnionitis, mode of delivery, APGAR score, oxytocin augmentation, ventilation after resuscitation, and neonatal intensive care unit admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Al-hafez 2023,2023,PUB,26536526,<p>2-arm active-controlled randomised trial</p>,"<p>150 women were randomised in a hospital setting in the United States.</p><p>Study criteria: individuals at least 18 years old, at &nbsp;22 weeks’ gestational age with a live singleton cephalic fetus, Bishop score ≤ 6, and intact membranes were offered enrollment.</p>",<p>Balloon catheters plus misoprostol vs. Balloon catheters plus oxytocin</p>,"<p>Vaginal delivery not achieved within 24 hours, caesarean section due to non‐reassuring fetal status, caesarean section due to any causes, time from induction to delivey, admission to the neonatal intensive care unit, and a 5‐minute Apgar score of less than 7.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Ali 2022,2022,PUB,26536529,<p>2-arm active-controlled randomised trial</p>,"<p>90 women</p><p>Inclusion criteria: women between the ages of 18 and 42 who had reached 37 weeks of pregnancy when their membranes ruptured.</p><p>Exclusion criteria: mal-presentation, chorioamnionitis, cord prolapse, prior uterine surgery, the existence of an absolute indication for caesarean delivery, or a known intolerance to prostaglandins or oxytocin.</p>",<p>Oxytocin Vs Vaginal dinoprostone</p>,<p>Vaginal delivery within 24 hours and maternal satisfaction.</p>,"<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Al-Malt 1995,1995,PUB,26536531,<p>2-arm placebo-controlled randomised trial</p>,"<p>103 women</p><p>Eligibility criteria: women at term, singleton gestation and Bishop score &lt; 5.</p>",<p>Vaginal dinoprostone Vs Placebo</p>,<p>Mode of delivery.</p>,<p>Unable to find contact of authors to confirm unclear information.</p>
Al-Taani 2004,2004,PUB,26536533,<p>2-arm active-contolled randomised trial</p>,"<p>147 were randomised in a hospital setting in Jordan.</p><p>Inclusion criteria: a singleton pregnancy at term, vertex presentation, intact membranes, reassuring fetal heart tracings and Bishop score ≤ 5.&nbsp;</p><p>Exclusion criteria: women with previous caesarean section, ruptured membranes, contraindications for vaginal birth, suspected cephalopelvic disproportion or unexplained antepartum haemorrhage.</p>",<p>Balloon catheters vs. Vaginal dinoprostone (tablet or gel)</p>,"<p>Caesarean section due to any causes, time from induction of labour to delivery, oxytocin augmentation, and admission to the neonatal intensive care unit</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Anjanappa 2014,2014,PUB,26536535,<p>2-arm active-controlled randomised trial</p>,<p>100 women</p>,<p>25 µg sublingual misoprostol Vs 25 µg vaginal misoprostol</p>,"<p>Time from induction to delivery, mode of delivery, oxytocin augmentation, and maternal satisfaction.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Arrieta 2000,2000,PUB,26536537,<p>2-arm active-controlled randomised trial</p>,<p>100 women&nbsp;</p><p>Eligibility criteria: women with any indications for induction of labour.</p>,<p>Oxytocin Vs Misoprostol</p>,<p>Bishop score and time from induction to delivery.</p>,<p>Unable to find contact of authors to confirm unclear information.</p>
Arunabha 2022,2022,PUB,26536539,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: singleton gestation at ≥ 37 weeks with unfavourable cervix (Bishop Score &lt; 7), vertex presentation, absence of labour and presence of reassuring fetal heart rate (FHR) pattern.</p><p>Exclusion criteria: women with antepartum haemorrhage, placenta previa, uterine scar, suspected cephalopelvic disproportion, previous use of labour-inducing agent during the current pregnancy, contraindications for vaginal delivery and/or known hypersensitivity or contraindication to dinoprostone or any of the other constituents of dinoprostone vaginal tablets or inserts.</p>",<p>Vaginal dinoprostone Vs Controlled-release dinoprostone vaginal pessary</p>,"<p>Mode of delivery, oxytocin augmentation, time from induction to vaginal delivery, uterine hyperstimulation, uterine rupture, APGAR score, meconium stained liquor, and neonatal intensive care unit admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Atad 2000,2000,PUB,26536541,<p>No information</p>,<p>No information</p>,<p>No information</p>,<p>No information</p>,<p>Unable to find contact of authors to confirm unclear information.</p>
Ayachi 2017,2017,PUB,26536543,<p>2-arm active-controlled randomised trial</p>,"<p>213 women</p><p>Inclusion criteria: single live pregnancy, pregnancy duration of 37 weeks or more, indication for labour induction (hypertension, premature rupture of membranes, diabetes, or pregnancy duration of 41 weeks or more, restricted fetal growth, amniotic fluid index less than 5 cm), vertex presentation, and modified Bishop Score of 6 or less.</p><p>Exclusion criteria: women with uterine scar, abnormal fetal well-being test, fetal abnormalities, estimated fetal weight of more than 4500 g according to ultrasonography, suspected cephalopelvic disproportion, genital bleeding related to placental abnormalities, or contraindications to vaginal delivery or to receiving prostaglandins (e.g. asthma or glaucoma), and parity greater than 5</p>",<p>50 µg vaginal misoprostol Vs Vaginal dinoprostone</p>,"<p>Time from induction to delivery, uterine rupture, Bishop score, mode of delivery, APGAR score, and neonatal intensive care unit admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Ayati 2014,2014,PUB,26536545,<p>2-arm active-controlled randomised trial</p>,"<p>140 women</p><p>Inclusion criteria: gestational age&gt; 37 weeks requiring induction of labour due to fetal or maternal indication, Bishop score &lt; 7, gestational diabetes mellitus, singleton pregnancy, reassuring fetal heart rate tracing, cephalic presentation, low-located placenta, and mild preeclampsia.</p><p>Exclusion criteria: hypersensitivity to prostaglandin, temperature &gt; 38 °C, previous caesarean delivery or other uterine surgery, placenta previa, chorioamnionitis, vaginal bleeding, fetal distress, need to immediate delivery, macrosomia, and polyhydramnios.</p>",<p>25 µg sublingual misoprostol Vs 25 µg vaginal misoprostol</p>,"<p>Mode of delivery, time from induction to delivery, Bishop score, tachysystole, side effects, and neonatal complications.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Bagariya 2020,2020,PUB,26536547,<p>2-arm active-controlled randomised trial</p>,"<p>196 women</p><p>Inclusion criteria: primigravida patients with term gestation between 37 and 42 weeks, singleton viable pregnancy, Bishop's score &lt;6, cephalic presentation, and clinically adequate pelvis.</p><p>Exclusion criteria: women with cephalopelvic disproportion, abruptio placenta, placenta previa, malpresentation, previous uterine scar, post-caesarean pregnancy, twin pregnancy, and fetal distress.</p>",<p>25 µg oral misoprostol Vs 25 µg vaginal misoprostol</p>,"<p>Time from induction to delivery, neonatal intensive care unit admission, and APGAR score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Balamurugan 2020,2020,PUB,26536549,<p>3-arm active-controlled randomised trial</p>,"<p>300 women</p><p>Inclusion criteria: women with gestational age after 37 weeks regardless of parity, singleton pregnancy with a cephalic presentation, intact membranes, an unfavourable cervix (Bishop's score &lt;6), and reassuring cardiotocography.</p><p>Exclusion criteria: fetal malpresentation, rupture of membranes, multifetal gestation, non-reassuring fetal heart rate changes, fetal growth restriction (defined as estimated fetal weight less than the 10th percentile for gestational age), fetal demise, previous cesarean delivery or other uterine surgery (myomectomy, cornual wedge resection), and anomalous fetus.</p>",<p>Intracervical dinoprostone Vs 25 µg oral misoprostol Vs Balloon catheter plus misoprostol</p>,"<p>Time from induction to delivery, mode of delivery, uterine hyperstimulation, oxytocin augmentation, postpartum haemorrhage, and neonatal death.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Begum 2009,2009,PUB,26536552,<p>2-arm active-controlled randomised trial</p>,<p>Unclear number of women recruited in the study</p><p>Eligibility criteria: no information</p>,<p>Vaginal misoprostol Vs Vaginal dinoprostone</p>,"<p>Mode of delivery, cervical changes, and uterine hyperstimulation.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Behrashi 2014,2014,PUB,26536554,<p>2-arm active-controlled randomised trial</p>,<p>100 women were randomised in a hospital setting in Iran.</p><p>Study criteria: women aged 18-45 years with singleton pregnancies and an unfavourable cervix.</p>,<p>Osmotic cervical dilators vs. &lt; 50 vaginal misoprostol</p>,"<p>Caesarean section due to non‐reassuring fetal status, and time from induction to delivery</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Benedetto 1987,1987,PUB,26536557,<p>2-arm active-controlled randomised trial</p>,<p>50 women</p><p>Inclusion criteria: women requiring induction of labour.</p><p>Exclusion criteria: women with contraindications of prostaglandins or oxytocin and contraindications to have vaginal delivery.</p>,<p>Vaginal dinoprostone Vs Oxytocin</p>,"<p>Mode of delivery, Bishop score, time from induction to delivery, side effects, and APGAR score.</p>","<p>There was some questionable and unclear information identified during the trustworthiness screening, but we were unable to identify the contact details of the first and corresponding authors.</p>"
Bezircioglu 2012,2012,PUB,26536559,<p>2-arm controlled randomised trial</p>,"<p>100 women</p><p>Inclusion criteria: a live singleton fetus at term (37-42 weeks of gestation), cephalic presentation, a reactive non-stress test (NST), presenting with PROM and Bishop score of 4 or less.</p><p>Exclusion criteria: women in active labour or with abnormal fetal heart rate, malpresentation, estimated fetal weight above 4,500 g, multiple pregnancies, cephalopelvic disproportion, more than four previous term pregnancies, with previous uterine surgery, antepartum haemorrhage, chorioamnionitis, and contraindications to prostaglandin use (bronchial asthma, glaucoma).</p>",<p>Controlled-release dinoprostone vaginal pessary Vs No intervention</p>,"<p>Mode of delivery, uterine hyperstimulation, cervical ripening, time from induction to delivery, and APGAR score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Bollapragada 2009,2009,PUB,26536561,<p>2-arm active-controlled randomised trial</p>,"<p>350 women</p><p>Inclusion criteria: nulliparity, singleton fetus, cephalic presentation, ≥ 37 completed weeks<br>gestation, modified Bishop score &lt; 7, and willingness to self-administer vaginal tablets.</p><p>Exclusion criteria: women &lt;16 years of age who needed delivery within the next<br>48 hours in the fetal or maternal interest or who had ruptured membranes.</p>",<p>40 mg nitric oxide donor Vs Placebo</p>,"<p>Time interval from hospital admission to delivery, women’s experience of induction of labour, mode of delivery, neonatal intensive care unit admission, postpartum haemorrhage, meconium stained liquor, 5-minute Apgar of less than seven, oxytocin augmentation, epidural usage, and unfavourable cervix at 24 hours.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Boulton 2019,2019,PUB,26536566,<p>2-arm active-controlled randomised trial</p>,"<p>346 were randomised in a hospital setting in Australia.</p><p>Study criteria: primiparous women (&gt; 37 completed weeks) requiring induction of labour (Bishops’ score ≤ 4), and without fetal compromise.</p>",<p>&gt; 50 µg vaginal misoprostol vs. Controlled-release dinoprostone vaginal pessary</p>,"<p>Caesarean section due to any causes, time from induction to vaginal delivery, oxytocin augmentation</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Breart 1991,1991,PUB,26536568,<p>2-arm active-controlled randomised trial</p>,"<p>60 women were randomised in a hospital setting in Taiwan.</p><p>Inclusion criteria: women with term singleton pregnancies scheduled for induction of labour were enrolled in this study.</p><p>Exclusion criteria: known contraindications to vaginal prostaglandins, including a previous scar on the uterus, antepartum haemorrhage, fetal distress, premature rupture of membranes, abnormal lie, cephalopelvic disproportion and any maternal illness for which induction of labour was not appropriate.</p>",<p>&gt; 200 µg vaginal misoprostol vs. vaginal dinoprostone (tablet or gel)</p>,"<p>Caesarean section due to any causes, time from induction to delivey, and oxytocin augmentation</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Burns 2015,2015,PUB,26536570,<p>2-arm active-controlled randomised trial</p>,<p>258 women</p><p>Eligibility criteria: women admitted to a labour and delivery unit with medical orders for elective induction of labour.</p>,<p>25 µg vaginal misoprostol Vs 50 µg oral misoprostol</p>,"<p>Time from induction to delivery, Bishop score, and mode of delivery.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Butler 2004,2004,PUB,26536572,<p>4-arm active-controlled randomised trial</p>,<p>337 women</p><p>Eligibility criteria: women after 37 completed weeks gestation who presented with an indication for induction.</p>,<p>Vaginal dinoprostone Vs 25 µg vaginal misoprostol Vs 50 µg oral misoprostol Vs 75 µg oral misoprostol</p>,"<p>Mode of delivery, time from induction to vaginal delivery, perineal trauma, epidural use, postpartum haemorrhage, APGAR score, and neonatal intensive care unit admission.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Cahill 1988,1988,PUB,26536574,<p>2-arm active-controlled randomised trial</p>,<p>42 women</p><p>Eligibility criteria: women scheduled for induction of labour for established clinical indications and had all attained the 38th week of gestation.</p>,<p>Osmostic cervical dilator Vs Vaginal dinoprostone</p>,"<p>Time from induction to delivery, mode of delivery, and Bishop score.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Cameron 1988,1988,PUB,26536576,<p>2-arm active-controlled randomised trial</p>,<p>283 women</p><p>Eligibility criteria: women at 38 weeks or more gestation and with a Bishop score of 5 or more.</p>,<p>Vaginal dinoprostone Vs Oxytocin</p>,"<p>Mode of delivery, time from induction to delivery, and postpartum haemorrhage.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Campos 1994,1994,PUB,26536578,<p>2-arm active-controlled randomised trial</p>,<p>153 women</p><p>Eligibility criteria: no information</p>,<p>50 µg vaginal misoprostol Vs Oxytocin</p>,"<p>Time from induction to delivery, vaginal delivery within 24 hours, side effects, mode of delivery, and APGAR score.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Casey 1994,1994,PUB,26536581,<p>2-arm active-controlled randomised trial</p>,"<p>50 women</p><p>Inclusion criteria: women with a Bishop Score of ≥ 5</p><p>Exclusion criteria: intact membranes, a live singleton fetus and a vertex presentation.</p>",<p>Vaginal dinoprostone Vs Oxytocin plus amniotomy</p>,"<p>Mode of delivery, uterine hyperstimulation, haemorrhage, APGAR score, and fetal distress.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Chang 1997,1997,PUB,26536583,<p>2-arm active-controlled randomised trial</p>,"<p>60 were randomised in a hospital setting in Taiwan.</p><p>Inclusion criteria: women with term singleton pregnancies scheduled for induction of labour were enrolled in this study.</p><p>Exclusion criteria: known contraindications to vaginal prostaglandins, including a previous scar on the uterus, antepartum haemorrhage, fetal distress, premature rupture of membranes, abnormal lie, cephalopelic disproportion and any maternal illness for which induction of labour was not appropriate. Informed consent was obtained from all of the patients.</p>",<p>Vaginal dinoprostone (tablet or gel) Vs &gt; 50 µg Vaginal misoprostol</p>,"<p>Caesarean section due to any causes, oxytocin augmentation, and time from induction to delivery.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Chang 1997a,1997,PUB,26536585,<p>2-arm controlled randomised trial</p>,<p>92 women</p><p>Eligibility criteria: no information</p>,<p>Expectant management Vs Oxytocin</p>,"<p>Mode of delivery, chorioamnionitis, length of hospital stay, and neonatal intensive care unit admission.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
