Analysis number,Analysis name,Test number,Test name,Subgroup by,Subgroup item,Subgroup,Study,TP,FP,FN,TN,Sensitivity,Sens CI start,Sens CI end,Specificity,Spec CI start,Spec CI end
43,LSM by VCTE (CSPH) bivariate analysis,5,LSM by VCTE (CSPH) cut-off 25-28 kPa,None,,,Taru 2023,14,0,11,37,0.56,0.349281,0.755977,1.0,0.90511,1.0
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Augustin 2015,17,1,9,13,0.653846,0.443328,0.827856,0.928571,0.661316,0.998193
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Colecchia 2012,30,1,35,34,0.461538,0.337021,0.589675,0.971429,0.850828,0.999277
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Dajti 2022,30,7,30,128,0.5,0.368062,0.631938,0.948148,0.896083,0.978902
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,He 2022,45,0,5,51,0.9,0.781865,0.966725,1.0,0.930223,1.0
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Jachs 2022,119,11,69,103,0.632979,0.559752,0.701939,0.903509,0.833907,0.950841
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Jachs 2023,19,3,13,16,0.59375,0.406449,0.763016,0.842105,0.604216,0.966174
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Jindal 2022,258,30,222,116,0.5375,0.49174,0.582795,0.794521,0.719844,0.856862
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Podrug 2022,27,4,13,32,0.675,0.508705,0.814271,0.888889,0.739389,0.968884
43,LSM by VCTE (CSPH) bivariate analysis,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Taru 2023,14,0,11,37,0.56,0.349281,0.755977,1.0,0.90511,1.0
44,LSM by VCTE (SPH) bivariate analysis,8,LSM by VCTE (SPH) cut-off 16-18 kPa,None,,,Colecchia 2012,64,11,1,22,0.984615,0.917237,0.999611,0.666667,0.481732,0.820395
44,LSM by VCTE (SPH) bivariate analysis,8,LSM by VCTE (SPH) cut-off 16-18 kPa,None,,,Tseng 2018,67,6,19,7,0.77907,0.676688,0.861434,0.538462,0.251345,0.807768
44,LSM by VCTE (SPH) bivariate analysis,8,LSM by VCTE (SPH) cut-off 16-18 kPa,None,,,Vizzutti 2007,33,5,2,21,0.942857,0.808429,0.993003,0.807692,0.606494,0.934452
44,LSM by VCTE (SPH) bivariate analysis,9,LSM by VCTE (SPH) cut-off 20-22 kPa,None,,,Chandan 2012,50,14,17,27,0.746269,0.625127,0.844715,0.658537,0.494052,0.799166
44,LSM by VCTE (SPH) bivariate analysis,9,LSM by VCTE (SPH) cut-off 20-22 kPa,None,,,Colecchia 2012,47,9,7,37,0.87037,0.750988,0.946257,0.804348,0.660853,0.906424
44,LSM by VCTE (SPH) bivariate analysis,9,LSM by VCTE (SPH) cut-off 20-22 kPa,None,,,Zykus 2015,55,8,12,32,0.820896,0.708036,0.903881,0.8,0.643522,0.909478
44,LSM by VCTE (SPH) bivariate analysis,10,LSM by VCTE (SPH) cut-off 24-26 kPa,None,,,Colecchia 2012,30,1,24,45,0.555556,0.414,0.690803,0.978261,0.884728,0.99945
44,LSM by VCTE (SPH) bivariate analysis,10,LSM by VCTE (SPH) cut-off 24-26 kPa,None,,,Hirooka 2022,22,9,9,41,0.709677,0.519639,0.857772,0.82,0.68563,0.914238
44,LSM by VCTE (SPH) bivariate analysis,10,LSM by VCTE (SPH) cut-off 24-26 kPa,None,,,Hong 2013,26,8,5,20,0.83871,0.662728,0.945476,0.714286,0.513332,0.867763
45,SSM by VCTE (CSPH) bivariate analysis,12,SSM by VCTE (CSPH) cut-off 40-44 kPa,None,,,Colecchia 2012,64,9,1,26,0.984615,0.917237,0.999611,0.742857,0.567441,0.875106
45,SSM by VCTE (CSPH) bivariate analysis,12,SSM by VCTE (CSPH) cut-off 40-44 kPa,None,,,Grgurević 2016,7,0,4,9,0.636364,0.307905,0.890736,1.0,0.663733,1.0
45,SSM by VCTE (CSPH) bivariate analysis,12,SSM by VCTE (CSPH) cut-off 40-44 kPa,None,,,Grgurević 2022,31,8,4,18,0.885714,0.732622,0.967969,0.692308,0.482103,0.85674
45,SSM by VCTE (CSPH) bivariate analysis,12,SSM by VCTE (CSPH) cut-off 40-44 kPa,None,,,Stefanescu 2013,13,4,1,19,0.928571,0.661316,0.998193,0.826087,0.612188,0.950492
45,SSM by VCTE (CSPH) bivariate analysis,13,SSM by VCTE (CSPH) cut-off 46-50 kPa,None,,,Colecchia 2012,57,3,8,32,0.876923,0.771814,0.945336,0.914286,0.769425,0.981962
45,SSM by VCTE (CSPH) bivariate analysis,13,SSM by VCTE (CSPH) cut-off 46-50 kPa,None,,,Grgurević 2022,18,2,17,24,0.514286,0.339891,0.686172,0.923077,0.748697,0.990545
45,SSM by VCTE (CSPH) bivariate analysis,13,SSM by VCTE (CSPH) cut-off 46-50 kPa,None,,,Odriozola 2023,20,2,9,43,0.689655,0.491677,0.847154,0.955556,0.848507,0.994572
45,SSM by VCTE (CSPH) bivariate analysis,13,SSM by VCTE (CSPH) cut-off 46-50 kPa,None,,,Zykus 2015,59,5,17,18,0.776316,0.666195,0.863963,0.782609,0.562969,0.925397
46,SSM by VCTE (SPH) bivariate analysis,15,SSM by VCTE (SPH) cut-off 47-51 kPa,None,,,Colecchia 2012,51,8,3,38,0.944444,0.846115,0.988394,0.826087,0.685809,0.921796
46,SSM by VCTE (SPH) bivariate analysis,15,SSM by VCTE (SPH) cut-off 47-51 kPa,None,,,Hirooka 2022,26,9,5,41,0.83871,0.662728,0.945476,0.82,0.68563,0.914238
46,SSM by VCTE (SPH) bivariate analysis,15,SSM by VCTE (SPH) cut-off 47-51 kPa,None,,,Tseng 2018,65,0,21,13,0.755814,0.651274,0.84205,1.0,0.752947,1.0
46,SSM by VCTE (SPH) bivariate analysis,15,SSM by VCTE (SPH) cut-off 47-51 kPa,None,,,Zykus 2015,51,8,14,26,0.784615,0.665113,0.876947,0.764706,0.588292,0.892538
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Corina 2018,47,2,10,22,0.824561,0.700942,0.912527,0.916667,0.730027,0.989744
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Grgurević 2016,10,1,1,8,0.909091,0.58722,0.997701,0.888889,0.517503,0.997191
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Grgurević 2022,36,10,3,25,0.923077,0.791298,0.983847,0.714286,0.536955,0.853645
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Procopet 2015a,26,10,2,17,0.928571,0.764966,0.99123,0.62963,0.423679,0.805993
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Yoo 2018,63,9,19,15,0.768293,0.662048,0.854361,0.625,0.405937,0.812007
47,LSM by 2D-SWE (CSPH) bivariate analysis,23,LSM by 2D-SWE (CSPH) cut-off 11-14 kPa,None,,,Zhu 2020,41,2,6,9,0.87234,0.742586,0.951678,0.818182,0.482244,0.977169
47,LSM by 2D-SWE (CSPH) bivariate analysis,24,LSM by 2D-SWE (CSPH) cut-off 15-17 kPa,None,,,Jansen 2017,95,16,9,35,0.913462,0.842073,0.959663,0.686275,0.541127,0.808896
47,LSM by 2D-SWE (CSPH) bivariate analysis,24,LSM by 2D-SWE (CSPH) cut-off 15-17 kPa,None,,,Kim 2015,66,3,11,12,0.857143,0.758749,0.92647,0.8,0.519109,0.956688
47,LSM by 2D-SWE (CSPH) bivariate analysis,24,LSM by 2D-SWE (CSPH) cut-off 15-17 kPa,None,,,Maruyama 2016,14,1,2,5,0.875,0.616524,0.984486,0.833333,0.358766,0.99579
47,LSM by 2D-SWE (CSPH) bivariate analysis,24,LSM by 2D-SWE (CSPH) cut-off 15-17 kPa,None,,,Procopet 2015a,23,5,5,22,0.821429,0.631066,0.939357,0.814815,0.61917,0.937
47,LSM by 2D-SWE (CSPH) bivariate analysis,24,LSM by 2D-SWE (CSPH) cut-off 15-17 kPa,None,,,Zhu 2019,66,6,18,14,0.785714,0.682645,0.867776,0.7,0.457211,0.881068
48,LSM by 2D-SWE (SPH) bivariate analysis,28,LSM by 2D SWE (SPH) cut-off 21.5-23.5 kPa,None,,,Kim 2015,55,5,11,21,0.833333,0.721326,0.913752,0.807692,0.606494,0.934452
48,LSM by 2D-SWE (SPH) bivariate analysis,28,LSM by 2D SWE (SPH) cut-off 21.5-23.5 kPa,None,,,Sohn 2011,15,0,5,12,0.75,0.508954,0.913429,1.0,0.735351,1.0
48,LSM by 2D-SWE (SPH) bivariate analysis,28,LSM by 2D SWE (SPH) cut-off 21.5-23.5 kPa,None,,,Zhu 2019,60,6,14,24,0.810811,0.702995,0.892527,0.8,0.614334,0.922864
49,SSM by 2D-SWE (CSPH) bivariate analysis,30,SSM by 2D SWE (CSPH) cut-off 25.3-26.3 kPa,None,,,Jansen 2017,59,6,15,32,0.797297,0.687805,0.881876,0.842105,0.687467,0.93977
49,SSM by 2D-SWE (CSPH) bivariate analysis,30,SSM by 2D SWE (CSPH) cut-off 25.3-26.3 kPa,None,,,Kennedy 2022,8,9,3,14,0.727273,0.390258,0.939782,0.608696,0.385419,0.802923
49,SSM by 2D-SWE (CSPH) bivariate analysis,30,SSM by 2D SWE (CSPH) cut-off 25.3-26.3 kPa,None,,,Zhu 2019,71,4,13,16,0.845238,0.749902,0.91494,0.8,0.563386,0.942666
