review_id	review_group	review_pdf	outcome_section	section_order	outcome_order	outcome_name	outcome_text_raw	source_heading	outcome_role	outcome_role_note	matched_analysis_count	matched_analysis_ids	matched_analysis_outcomes	analysis_mapping_status	analysis_mapping_notes	extraction_status	extraction_notes	source_excerpt
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	2	Defined as unexpected spontaneous perineal lacerations or surgical episiotomy	Defined as unexpected spontaneous perineal lacerations or surgical episiotomy	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	3	Episiotomy	Episiotomy	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	4	1.1; 1.2; 2.1; 2.2	Incidence of perineal trauma (tears or episiotomy or both); Incidence of episiotomy	mapped_to_analysis_results	1.1:score=0.92:normalized_substring:planned_variant_1; 1.2:score=0.92:normalized_substring:planned_variant_1; 2.1:score=0.92:normalized_substring:planned_variant_1; 2.2:score=0.92:normalized_substring:planned_variant_1	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	4	Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour	Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	5	Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	6	Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery	Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Secondary outcomes	2	1	First and second degree perineal lacerations	First and second degree perineal lacerations	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	2	1.3; 2.3	Incidence of first and second degree perineal lacerations	mapped_to_analysis_results	1.3:score=0.92:normalized_substring:planned_variant_1; 2.3:score=0.92:normalized_substring:planned_variant_1	itemized	ok	1.First and second degree perineal lacerations •Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter 2.Third and fourth degree perineal lacerations •Lacerations to the anal sphincter complex or anorectal mucosa 3.Perineal oedema one hour after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 1 hour after vaginal delivery to evaluate perineal oedema. 4.Perineal oedema 24 hours after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 24 hours after vaginal delivery to evaluate perineal oedema. 5.Perineal trauma requiring suturing •Perineal lacerations or episiotomies require suture as assessed by obstetricians or midwi...
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Secondary outcomes	2	2	Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter	Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.First and second degree perineal lacerations •Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter 2.Third and fourth degree perineal lacerations •Lacerations to the anal sphincter complex or anorectal mucosa 3.Perineal oedema one hour after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 1 hour after vaginal delivery to evaluate perineal oedema. 4.Perineal oedema 24 hours after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 24 hours after vaginal delivery to evaluate perineal oedema. 5.Perineal trauma requiring suturing •Perineal lacerations or episiotomies require suture as assessed by obstetricians or midwi...
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Secondary outcomes	2	3	Third and fourth degree perineal lacerations	Third and fourth degree perineal lacerations	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	2	1.4; 2.4	Incidence of third and fourth degree perineal trauma	mapped_to_analysis_results	1.4:score=0.80:token_or_sequence_similarity:planned_variant_1; 2.4:score=0.80:token_or_sequence_similarity:planned_variant_1	itemized	ok	1.First and second degree perineal lacerations •Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter 2.Third and fourth degree perineal lacerations •Lacerations to the anal sphincter complex or anorectal mucosa 3.Perineal oedema one hour after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 1 hour after vaginal delivery to evaluate perineal oedema. 4.Perineal oedema 24 hours after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 24 hours after vaginal delivery to evaluate perineal oedema. 5.Perineal trauma requiring suturing •Perineal lacerations or episiotomies require suture as assessed by obstetricians or midwi...
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Secondary outcomes	2	4	Lacerations to the anal sphincter complex or anorectal mucosa	Lacerations to the anal sphincter complex or anorectal mucosa	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.First and second degree perineal lacerations •Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter 2.Third and fourth degree perineal lacerations •Lacerations to the anal sphincter complex or anorectal mucosa 3.Perineal oedema one hour after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 1 hour after vaginal delivery to evaluate perineal oedema. 4.Perineal oedema 24 hours after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 24 hours after vaginal delivery to evaluate perineal oedema. 5.Perineal trauma requiring suturing •Perineal lacerations or episiotomies require suture as assessed by obstetricians or midwi...
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Secondary outcomes	2	5	Perineal oedema one hour after vaginal delivery	Perineal oedema one hour after vaginal delivery	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	2	1.5; 2.5	Incidence of perineal oedema 1 hour after vaginal delivery	mapped_to_analysis_results	1.5:score=0.92:token_or_sequence_similarity:planned_variant_1; 2.5:score=0.92:token_or_sequence_similarity:planned_variant_1	itemized	ok	1.First and second degree perineal lacerations •Lacerations to the perineal skin, vaginal mucosa or perineal muscles but not involving the anal sphincter 2.Third and fourth degree perineal lacerations •Lacerations to the anal sphincter complex or anorectal mucosa 3.Perineal oedema one hour after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 1 hour after vaginal delivery to evaluate perineal oedema. 4.Perineal oedema 24 hours after vaginal delivery •Identified by the application of pressure to the swollen skin of the perineum with a finger. Postpartum vulvoperineal inspection was conducted 24 hours after vaginal delivery to evaluate perineal oedema. 5.Perineal trauma requiring suturing •Perineal lacerations or episiotomies require suture as assessed by obstetricians or midwi...
