Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Chin 2018,2018,,,,,0,44,,,0,52,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Hosseinzadeh 2014,2014,,,,,0,75,,,0,75,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Li 2021,2021,,,,,0,1477,,,0,1410,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Lu 2021,2021,,,,,0,300,,,0,300,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Rickard 2010,2010,,,,,0,185,,,0,177,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Rickard 2012,2012,,,,,0,1593,,,1,1690,,,59.18278025847316,0.35361773316603934,0.0144160208801862,8.674064934336663,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Vendramim 2020,2020,,,,,0,672,,,0,647,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Webster 2007,2007,,,,,0,103,,,0,103,,,,,,,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Webster 2008,2008,,,,,1,379,,,1,376,,,40.81721974152684,0.9920844327176781,0.06228211647261431,15.802795045886533,
1,1,Catheter-related bloodstream infection,,,SUBGROUP_AND_OVERALL,Xu 2017,2017,,,,,0,254,,,0,296,,,,,,,
1,2,Primary bloodstream infection,,,SUBGROUP_AND_OVERALL,Li 2021,2021,,,,,3,1477,,,4,1410,,,31.90814044536549,0.7159783344617467,0.16053026033462875,3.193323018040582,
1,2,Primary bloodstream infection,,,SUBGROUP_AND_OVERALL,Rickard 2012,2012,,,,,4,1593,,,9,1690,,,68.09185955463451,0.47150728883308923,0.14549375341473803,1.5280320852607134,
1,2,Primary bloodstream infection,,,SUBGROUP_AND_OVERALL,Van Donk 2009,2007,,,,,0,105,,,0,95,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Hosseinzadeh 2014,2014,,,,,0,75,,,0,75,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Li 2021,2021,,,,,2,1477,,,1,1410,,,67.08725869559869,1.9092755585646581,0.17331882259155748,21.032528977668903,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Lu 2021,2021,,,,,0,300,,,0,300,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Rickard 2010,2010,,,,,0,185,,,0,177,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Rickard 2012,2012,,,,,0,1593,,,0,1690,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Van Donk 2009,2007,,,,,0,105,,,0,95,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Webster 2007,2007,,,,,0,103,,,0,103,,,,,,,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Webster 2008,2008,,,,,2,379,,,0,376,,,32.9127413044013,4.9605263157894735,0.23894858703914956,102.97956407504634,
1,3,Local infection,,,SUBGROUP_AND_OVERALL,Xu 2017,2017,,,,,0,254,,,0,296,,,,,,,
1,4,Mortality,,,SUBGROUP_AND_OVERALL,Li 2021,2021,,,,,3,1477,,,3,1410,,,44.158093736451,0.9546377792823291,0.19300050220942896,4.721921856162788,
1,4,Mortality,,,SUBGROUP_AND_OVERALL,Rickard 2012,2012,,,,,4,1593,,,4,1690,,,55.84190626354899,1.0608913998744507,0.26577551979315145,4.234741270390598,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Barker 2004,2004,,,,,11,26,,,1,21,,,1.3849287945096735,8.884615384615385,1.2456170608882433,63.37131451640138,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Chin 2018,2018,,,,,7,44,,,13,52,,,5.545914876336549,0.6363636363636364,0.2784597679923161,1.4542807408254572,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Hosseinzadeh 2014,2014,,,,,1,75,,,2,75,,,0.9718535769648077,0.5,0.04632053256605939,5.3971745606220285,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Li 2021,2021,,,,,175,1477,,,143,1410,,,14.036422861809386,1.168263016604249,0.9483584654526325,1.4391588472971024,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Lin 2021,2021,,,,,8,140,,,2,143,,,2.155241655864585,4.085714285714285,0.8830547114446026,18.90376780526017,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Lu 2021,2021,,,,,83,300,,,41,300,,,12.00051938155386,2.024390243902439,1.4435229159162244,2.8389960522422464,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Nishanth 2009,2009,,,,,21,21,,,2,21,,,3.369598830420242,8.599999999999998,2.672430270238432,27.675184203553172,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Rickard 2010,2010,,,,,18,185,,,12,177,,,6.776580006739631,1.4351351351351351,0.7121237818157883,2.892211871997447,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Rickard 2012,2012,,,,,114,1593,,,114,1690,,,13.419076767414492,1.0608913998744507,0.8258772276424259,1.3627819301186341,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Van Donk 2009,2007,,,,,37,105,,,26,95,,,10.684620194502779,1.2875457875457876,0.8478481101481761,1.9552725720379065,
1,5,Thrombophlebitis,,,SUBGROUP_AND_OVERALL,Vendramim 2020,2020,,,,,55,672,,,64,647,,,11.906791050763323,0.8274042038690477,0.5866750782684735,1.166911194865666,
