Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
2,1,adult population,1,566,5115,452,5136,91.32698989083407,1.3438829806558696,0.9433301653592457,1.9145168171408176,0.09116272914202506,,,30.417284669963927,10,0.0007318223672543311,67.12395564396097,,1.8608416641874694,0.019348196694357934,subgroup:448301085748507910
2,1,paediatric population,2,16,259,17,270,8.673010109165942,1.109412348482673,0.0699600695474404,17.592832124491093,0.7456304818250661,,,4.654809119843106,2,0.09754878115589505,57.03368390608868,,0.1616502149699053,0.8756687771897387,subgroup:448301085754275091
2,2,High-income countries,1,204,2435,180,2514,45.19339645635573,1.160863233834349,0.8141906914454464,1.6551447490463438,0.027777280816799033,,,7.776750201163931,6,0.25491987368454994,22.846949628110828,,1.0289417005054917,0.26777627848565966,subgroup:448301093153551639
2,2,Low- to middle-income countries,2,378,2939,289,2892,54.80660354364427,1.4995660423453585,0.7668844481403079,2.932251815522412,0.1737162992168186,,,27.142754695034085,6,0.00013615658276322495,77.89465340782918,,1.4784326051816645,0.04973871478470337,subgroup:448301093158008100
2,3,Continuous infusion,1,545,5269,443,5311,89.31537980549722,1.325166235104832,0.9099959946800328,1.9297508570676423,0.11327228996611423,,,35.64678445746297,12,0.0003691637306721951,66.33637456326669,,1.6320700546537055,0.04040968550258937,subgroup:448301094641218856
2,3,intermittent infusion,2,37,105,26,95,10.68462019450278,1.2875457875457876,0.8478481101481761,1.9552725720379065,0,,,0,0,1,0,,0,0.23575820967596817,subgroup:448301094645675317
2,4,48 hour routine removal,1,32,47,3,42,4.754527624929915,8.673503289453253,7.231858216614733,10.402535151936615,0,,,0.0007792283808839141,1,0.9777302149398259,0,,151.00317545851914,0.000024955397245531473,subgroup:448318029752364529
2,4,72hr routine removal,2,193,2729,179,2860,41.071204010104196,1.1384916346565461,0.9206694707809437,1.407848574671955,0,,,4.485529007717053,6,0.611270523814993,0,,1.4945244364883565,0.19628326294191703,subgroup:448318036149988862
2,4,72-96hr routine removal,3,44,149,39,147,16.230535070839327,0.994318670919331,0.013288167548610395,74.4022541649977,0.13668697241995983,,,2.22446111316878,1,0.13584013922028992,55.045291910026506,,0.016776567726820252,0.9866148635107422,subgroup:448318075670818380
2,4,96hr routine replacement,4,313,2449,248,2357,37.943733294126574,1.248257028007829,0.4164095364971455,3.741858606501004,0.1301267832257673,,,13.677918100303458,2,0.0010712223652369346,85.37789168400103,,0.8690797450503389,0.32699427279161386,subgroup:448318083228167783
2,9,Adult,1,,4768,,4794,96.50308363865861,0.9923259669969257,0.7835451700678331,1.2567377892089298,0.03165043842938528,,,11.6301780156364,7,0.11339563064712632,39.811755326627626,,0.07711440012723653,0.9429031811458618,subgroup:448320004126340981
2,9,Paediatric,2,,44,,52,3.4969163613414125,0.6333000224566616,0.22416730781882008,1.7891499092622645,0,,,0,0,1,0,,0,0.3886336781755766,subgroup:448320006053361526
2,10,High-income countries,1,,2409,,2493,47.25117563835368,1.0125765727704592,0.8732323222022543,1.1741563953310594,0,,,1.36214533545596,5,0.9284089594360843,0,,0.21700179906519915,0.9098216376095742,subgroup:448320027712747390
2,10,low- to middle-income countries,2,,2403,,2353,52.74882436164633,0.8821125587693934,0.31156033615236833,2.4975020118034092,0.14833381288946276,,,11.07300036924419,2,0.003940317486589517,81.93804810523532,,0.5185856296938243,0.6128808330776375,subgroup:448320027717203847
3,1,Adult,1,981,4963,775,4999,85.82106676044937,1.2437021388751273,1.018071021859888,1.5193390019261779,0.02819629294430345,,,19.92881294701204,7,0.005725527633293592,64.87497765866922,,2.576179180533015,0.00475077738438342,subgroup:448317114406857393
3,1,Paediatric,2,54,259,49,270,14.178933239550611,1.3347250110196234,0.1828551971885667,9.74263177876316,0.3513827886931453,,,8.577377394024943,2,0.013722939627514252,76.68284945240705,,0.6249589465558576,0.4743538050807785,subgroup:448317120648243890
3,2,High-income countries,1,546,2304,474,2398,54.94284310089801,1.182548513423828,1.0201971027388488,1.370736088983851,0,,,3.9750987045905886,4,0.40938655649350164,0,,3.152385422923967,0.0016747864674411025,subgroup:448317177593785025
3,2,low- to middle-income countries,2,489,2918,350,2871,45.05715689910198,1.3570030642322202,0.8013903462267928,2.297828174504243,0.10092205188359353,,,21.86403624340811,5,0.0005556923586127471,77.13139539133597,,1.4899656977525926,0.06400362292235008,subgroup:448317181702892226
3,3,72hr routine removal,1,610,2729,553,2860,63.52329305418524,1.1040446402340736,0.9005741367356285,1.3534860906042296,0.013443413810836932,,,9.881404908032867,6,0.1297360486741228,39.27988928859261,,1.1889666132745897,0.17971348607970372,subgroup:448318240057389576
3,3,72-96hr routine removal,2,28,44,22,52,8.076613168907961,1.5041322314049588,1.020313233121354,2.21737177967403,0,,,0,0,1,0,,0,0.03925353475119603,subgroup:448318241249358345
3,3,96hr routine removal,3,397,2449,249,2357,28.4000937769068,1.6112727011411068,0.7425461894447873,3.4963477751919703,0.06584754645389408,,,8.275839186627834,2,0.015956029553231055,75.83326651354444,,2.64939277316966,0.008843429563473776,subgroup:448318242058596874
3,7,Adult,1,,4663,,4699,90.52744847939049,1.0785189862480222,0.7278091479178523,1.5982255884323568,0.14337785926784843,,,44.743303830510854,6,5.2487243440424436e-8,86.5901721903948,,0.4702686390674596,0.6336887119610064,subgroup:448663014050952081
3,7,Paediatric,2,,44,,52,9.472551520609509,1.4969953511672938,0.8210760001140988,2.7293394047628663,0,,,0,0,1,0,,0,0.187962893858407,subgroup:448663043168596904
3,8,High-income countries,1,,2304,,2398,57.99540186918411,1.1451397455288388,0.9910276962708754,1.3232173447062034,0,,,2.0382445581381106,4,0.7287247459770934,0,,2.603319132802025,0.06312051295574783,subgroup:448663564091717247
3,8,Low- to middle-income countries,2,,2403,,2353,42.00459813081591,1.0964250989412072,0.19102790173230072,6.293049270220644,0.3747767940310516,,,42.27448890423834,2,5.752589515850559e-10,95.26901435868221,,0.22666973515222794,0.799674471447375,subgroup:448663570872596097
3,9,72 hours,1,,2514,,2642,61.55907961622965,0.9013427400981426,0.586503329169208,1.3851903215595265,0.11376378874219936,,,18.55973516242707,4,0.0009589461446056768,78.44796833040093,,0.6711278658501759,0.554237483049669,subgroup:448663616073037449
3,9,72-96 hours,2,,44,,52,9.47255152060951,1.4969953511672938,0.8210760001140988,2.7293394047628663,0,,,0,0,1,0,,0,0.187962893858407,subgroup:448663628626589331
3,9,96 hours,3,,2149,,2057,28.968368863160855,1.5866306237606655,0.06202271533593943,40.58830256979152,0.11560045970000002,,,8.920589716597604,1,0.0028197613279120626,88.78997878201477,,1.8092489788154615,0.07041233155165622,subgroup:448663632919197333
4,1,Adult,1,843,5068,651,5094,89.80169294809421,1.5114594060333877,1.030002215082795,2.2179656535041192,0.09089528235459005,,,33.31640909111408,8,0.000054005282512314956,75.98780835557184,,2.483748754046401,0.002577040037558581,subgroup:448317253762345696
4,1,Paediatric,2,17,259,16,270,10.1983070519058,1.0849839092235305,0.2799597719489549,4.204854415614439,0,,,1.6650514285036433,2,0.43494959104471675,0,,0.25906336964921606,0.8131403017800864,subgroup:448317255399434978
4,2,High-income countries,1,399,2409,378,2493,39.282703738204546,1.166739411166907,0.8825625334346194,1.5424185845194218,0.012020975629558606,,,5.485127528312816,5,0.35957954946054305,8.84441657570791,,1.420144417778464,0.16847612421806035,subgroup:448317288509795112
4,2,Low- to middle-income countries,2,461,2918,289,2871,60.717296261795454,1.5731523691022566,0.8364471956813028,2.9587144163909374,0.11705404467274334,,,18.093903871105656,5,0.0028309949750121577,72.36638353106014,,1.84380581782262,0.01250055635370667,subgroup:448317290146360105
4,3,Continuous,1,847,5222,663,5269,95.92468945063227,1.4127799469807736,1.0237402130690347,1.9496617922308805,0.08026237290120555,,,32.90670371708435,10,0.0002823953432626869,69.61105528534526,,2.390445360267889,0.006555412431712116,subgroup:448317341312412491
4,3,Intermittent,2,13,105,4,95,4.075310549367709,2.9404761904761907,0.9928533021765553,8.708638232659888,0,,,0,0,1,0,,0,0.05153274668529126,subgroup:448317344011184972
4,4,72hr routine removal,1,439,2729,425,2860,56.12732282572635,1.0921092084947661,0.9639637887852126,1.2372897583446663,0,,,4.137482303127168,6,0.6580774546948057,0,,1.7273885219444405,0.15144665336863167,subgroup:448318168573079298
4,4,72-96hr routine removal,2,14,149,5,147,4.8546217103019655,2.598852981605776,0.04935094275625536,136.85730084953934,0,,,0.3668411841011957,1,0.5447314128189681,0,,3.06148325435125,0.06370178757510174,subgroup:448318169295023875
4,4,96hr routine removal,3,407,2449,237,2357,39.01805546397168,1.9697933730895052,0.32129069818374933,12.076558563946572,0.16919418597579852,,,13.849902563988213,2,0.00098295678889615,85.55946519652568,,1.6085761081949186,0.011194812200302554,subgroup:448318170301918980
4,8,Adult,1,,4768,,4794,99.4935910777053,1.1781815488883767,0.825570965938731,1.6813960512318107,0.1172639600403393,,,31.895289138270094,7,0.000042471974480928765,78.05318531632017,,1.0902015241043135,0.3147127207576562,subgroup:448663882079991567
4,8,Paediatric,2,,44,,52,0.5064089222946934,1.1762106998886463,0.014984181720035334,92.3288062292184,0,,,0,0,1,0,,0,0.9418799864988604,subgroup:448663883431606032
4,9,High-income countries,1,,2409,,2493,46.31485086552415,1.0304450581238567,0.8895846278538162,1.1936098990082424,0,,,2.9694161987852667,5,0.7047013099383278,0,,0.524478273760387,0.686078159001163,subgroup:448663935916242796
4,9,Low- to middle-income countries,2,,2403,,2353,53.685149134475864,1.1338778421285693,0.2787606956760555,4.6121242370703985,0.23322607511171556,,,18.879648983918052,2,0.00007949479092617118,89.40658270869534,,0.38530497846920747,0.6727757653673565,subgroup:448663937614411629
4,10,Continuous,1,,4707,,4751,95.38786404071541,1.138825615695122,0.8152832338150259,1.5907646927737802,0.11391052980415103,,,30.867788006147904,7,0.00006576327334495424,77.32263808924107,,0.9197472239015019,0.4303369798749529,subgroup:448663974045874032
4,10,Intermittent,2,,105,,95,4.6121359592845845,2.365331071273501,0.6407400512441956,8.731764255828592,0,,,0,0,1,0,,0,0.19636976735248354,subgroup:448663975992293233
4,11,72 hours,1,,2514,,2642,56.08126875548635,0.9291924776018095,0.6092940021276314,1.4170476935877163,0.03967937795983568,,,6.144722865314803,4,0.18859800311778807,34.903492188738866,,0.48315911339935985,0.6325425348736451,subgroup:448664041558439871
